,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.255,0.977,1,-11.466,1,0.596,0.153,0.0112,0.0819,0.0327,167.847,audio_features,7qxpLEHsE6MTV365DKiYwU,spotify:track:7qxpLEHsE6MTV365DKiYwU,https://api.spotify.com/v1/tracks/7qxpLEHsE6MTV365DKiYwU,https://api.spotify.com/v1/audio-analysis/7qxpLEHsE6MTV365DKiYwU,1060000,3,Slow Train Part 1 - EMS Synthi AKS,spotify:track:7qxpLEHsE6MTV365DKiYwU,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
1,0.283,0.81,7,-14.356,1,0.602,0.831,0.779,0.814,0.0688,81.32,audio_features,0FbtcoFYvSH7pro6gPQDoV,spotify:track:0FbtcoFYvSH7pro6gPQDoV,https://api.spotify.com/v1/tracks/0FbtcoFYvSH7pro6gPQDoV,https://api.spotify.com/v1/audio-analysis/0FbtcoFYvSH7pro6gPQDoV,1174944,4,Slow Train Part 2 - EMS Synthi AKS,spotify:track:0FbtcoFYvSH7pro6gPQDoV,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
2,0.272,0.145,0,-21.267,0,0.0343,0.945,0.921,0.239,0.0582,84.645,audio_features,2827yj3nQhOqaPMlnToawt,spotify:track:2827yj3nQhOqaPMlnToawt,https://api.spotify.com/v1/tracks/2827yj3nQhOqaPMlnToawt,https://api.spotify.com/v1/audio-analysis/2827yj3nQhOqaPMlnToawt,701000,4,12H.1,spotify:track:2827yj3nQhOqaPMlnToawt,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
3,0.265,0.583,7,-17.491,1,0.225,0.0187,0.878,0.0768,0.0394,81.69,audio_features,6cHzYy5lEOZyC28W3fGdhf,spotify:track:6cHzYy5lEOZyC28W3fGdhf,https://api.spotify.com/v1/tracks/6cHzYy5lEOZyC28W3fGdhf,https://api.spotify.com/v1/audio-analysis/6cHzYy5lEOZyC28W3fGdhf,648000,3,12H.2,spotify:track:6cHzYy5lEOZyC28W3fGdhf,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
4,0.442,0.735,7,-16.096,1,0.0708,0.507,0.614,0.812,0.477,86.098,audio_features,4HaMJjQCrTG7DOZU9wcrxW,spotify:track:4HaMJjQCrTG7DOZU9wcrxW,https://api.spotify.com/v1/tracks/4HaMJjQCrTG7DOZU9wcrxW,https://api.spotify.com/v1/audio-analysis/4HaMJjQCrTG7DOZU9wcrxW,536013,3,12H.3,spotify:track:4HaMJjQCrTG7DOZU9wcrxW,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
5,0.621,0.521,1,-18.083,1,0.0432,0.382,0.872,0.109,0.0359,113.987,audio_features,1tnsVGvAlUKjEx1onoQb42,spotify:track:1tnsVGvAlUKjEx1onoQb42,https://api.spotify.com/v1/tracks/1tnsVGvAlUKjEx1onoQb42,https://api.spotify.com/v1/audio-analysis/1tnsVGvAlUKjEx1onoQb42,445000,3,12H.4,spotify:track:1tnsVGvAlUKjEx1onoQb42,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
6,0.218,0.216,8,-17.263,1,0.0394,0.692,0.988,0.128,0.0336,87.715,audio_features,1zq8ebimNALch75L9AOdmC,spotify:track:1zq8ebimNALch75L9AOdmC,https://api.spotify.com/v1/tracks/1zq8ebimNALch75L9AOdmC,https://api.spotify.com/v1/audio-analysis/1zq8ebimNALch75L9AOdmC,445000,3,12H.5,spotify:track:1zq8ebimNALch75L9AOdmC,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
7,0.796,0.579,7,-12.439,0,0.0954,0.306,0.853,0.388,0.15,114.002,audio_features,0ddhUYGN20akq4REJcG6eo,spotify:track:0ddhUYGN20akq4REJcG6eo,https://api.spotify.com/v1/tracks/0ddhUYGN20akq4REJcG6eo,https://api.spotify.com/v1/audio-analysis/0ddhUYGN20akq4REJcG6eo,607013,4,12H.6,spotify:track:0ddhUYGN20akq4REJcG6eo,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
8,0.334,0.96,5,-17.308,1,0.0894,0.655,0.893,0.489,0.0395,82.113,audio_features,6gEcyVbuGOMDCglWwFF2lM,spotify:track:6gEcyVbuGOMDCglWwFF2lM,https://api.spotify.com/v1/tracks/6gEcyVbuGOMDCglWwFF2lM,https://api.spotify.com/v1/audio-analysis/6gEcyVbuGOMDCglWwFF2lM,372000,3,12H.7,spotify:track:6gEcyVbuGOMDCglWwFF2lM,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
9,0.158,0.181,0,-23.785,0,0.0388,0.896,0.929,0.41,0.0642,132.445,audio_features,4acvzNqloTY1vWcFs4v1GB,spotify:track:4acvzNqloTY1vWcFs4v1GB,https://api.spotify.com/v1/tracks/4acvzNqloTY1vWcFs4v1GB,https://api.spotify.com/v1/audio-analysis/4acvzNqloTY1vWcFs4v1GB,378000,4,12H.8,spotify:track:4acvzNqloTY1vWcFs4v1GB,Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC
