,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.314,0.069,0,-18.693,1,0.0412,0.986,0.0178,0.0877,0.439,169.681,audio_features,60CueJX9vAclyPm2229I2d,spotify:track:60CueJX9vAclyPm2229I2d,https://api.spotify.com/v1/tracks/60CueJX9vAclyPm2229I2d,https://api.spotify.com/v1/audio-analysis/60CueJX9vAclyPm2229I2d,65300,4,Air So Sweet,spotify:track:60CueJX9vAclyPm2229I2d,dodie,21TinSsF5ytwsfdyz5VSVS
1,0.755,0.53,8,-12.514,1,0.146,0.92,0.0334,0.15,0.903,103.985,audio_features,4ILUKveMdxak81RIB0iyhH,spotify:track:4ILUKveMdxak81RIB0iyhH,https://api.spotify.com/v1/tracks/4ILUKveMdxak81RIB0iyhH,https://api.spotify.com/v1/audio-analysis/4ILUKveMdxak81RIB0iyhH,208092,4,Hate Myself,spotify:track:4ILUKveMdxak81RIB0iyhH,dodie,21TinSsF5ytwsfdyz5VSVS
2,0.458,0.179,11,-19.057,0,0.0888,0.938,0.175,0.119,0.243,77.737,audio_features,35NX4IIsuOOm6isMzTdqtQ,spotify:track:35NX4IIsuOOm6isMzTdqtQ,https://api.spotify.com/v1/tracks/35NX4IIsuOOm6isMzTdqtQ,https://api.spotify.com/v1/audio-analysis/35NX4IIsuOOm6isMzTdqtQ,150937,5,I Kissed Someone (It Wasn't You),spotify:track:35NX4IIsuOOm6isMzTdqtQ,dodie,21TinSsF5ytwsfdyz5VSVS
3,0.73,0.205,2,-15.489,1,0.0957,0.872,0.0593,0.095,0.206,124.989,audio_features,51ZW0OUvhcO0uyXR3E68bh,spotify:track:51ZW0OUvhcO0uyXR3E68bh,https://api.spotify.com/v1/tracks/51ZW0OUvhcO0uyXR3E68bh,https://api.spotify.com/v1/audio-analysis/51ZW0OUvhcO0uyXR3E68bh,199385,4,Cool Girl,spotify:track:51ZW0OUvhcO0uyXR3E68bh,dodie,21TinSsF5ytwsfdyz5VSVS
4,0.684,0.395,0,-13.957,1,0.339,0.458,0.0532,0.0744,0.505,200.042,audio_features,2YIsnl3xxvV34QgnT9HLCY,spotify:track:2YIsnl3xxvV34QgnT9HLCY,https://api.spotify.com/v1/tracks/2YIsnl3xxvV34QgnT9HLCY,https://api.spotify.com/v1/audio-analysis/2YIsnl3xxvV34QgnT9HLCY,193423,4,Special Girl,spotify:track:2YIsnl3xxvV34QgnT9HLCY,dodie,21TinSsF5ytwsfdyz5VSVS
5,0.394,0.0711,2,-19.41,1,0.0559,0.98,0.00726,0.184,0.358,157.592,audio_features,4CUS2wpysR01dYz7uiRD5d,spotify:track:4CUS2wpysR01dYz7uiRD5d,https://api.spotify.com/v1/tracks/4CUS2wpysR01dYz7uiRD5d,https://api.spotify.com/v1/audio-analysis/4CUS2wpysR01dYz7uiRD5d,166876,3,Rainbow,spotify:track:4CUS2wpysR01dYz7uiRD5d,dodie,21TinSsF5ytwsfdyz5VSVS
6,0.244,0.0265,4,-26.889,1,0.0374,0.995,0.914,0.0773,0.0614,37.297,audio_features,5hC3I8u2OyE8AR0Y6pRBpa,spotify:track:5hC3I8u2OyE8AR0Y6pRBpa,https://api.spotify.com/v1/tracks/5hC3I8u2OyE8AR0Y6pRBpa,https://api.spotify.com/v1/audio-analysis/5hC3I8u2OyE8AR0Y6pRBpa,72036,3,?,spotify:track:5hC3I8u2OyE8AR0Y6pRBpa,dodie,21TinSsF5ytwsfdyz5VSVS
7,0.491,0.0915,9,-19.078,1,0.0763,0.971,0.000204,0.376,0.294,101.097,audio_features,7ilxwPIQLBWPIQa1gxYow6,spotify:track:7ilxwPIQLBWPIQa1gxYow6,https://api.spotify.com/v1/tracks/7ilxwPIQLBWPIQa1gxYow6,https://api.spotify.com/v1/audio-analysis/7ilxwPIQLBWPIQa1gxYow6,142150,4,Four Tequilas Down,spotify:track:7ilxwPIQLBWPIQa1gxYow6,dodie,21TinSsF5ytwsfdyz5VSVS
8,0.205,0.131,9,-21.094,1,0.0488,0.992,0.824,0.117,0.0363,112.244,audio_features,6eBdMbdHaDZnhSdaspgS8D,spotify:track:6eBdMbdHaDZnhSdaspgS8D,https://api.spotify.com/v1/tracks/6eBdMbdHaDZnhSdaspgS8D,https://api.spotify.com/v1/audio-analysis/6eBdMbdHaDZnhSdaspgS8D,83265,4,.,spotify:track:6eBdMbdHaDZnhSdaspgS8D,dodie,21TinSsF5ytwsfdyz5VSVS
9,0.346,0.1,9,-15.542,1,0.0362,0.615,0.00246,0.111,0.107,83.301,audio_features,0nVv9l68N2NtQSyxtTxHvy,spotify:track:0nVv9l68N2NtQSyxtTxHvy,https://api.spotify.com/v1/tracks/0nVv9l68N2NtQSyxtTxHvy,https://api.spotify.com/v1/audio-analysis/0nVv9l68N2NtQSyxtTxHvy,165619,4,Sorry,spotify:track:0nVv9l68N2NtQSyxtTxHvy,dodie,21TinSsF5ytwsfdyz5VSVS
10,0.309,0.0925,8,-15.885,1,0.0356,0.971,0.00212,0.102,0.245,89.829,audio_features,161iaO13CvAJ3IZC2EtAEQ,spotify:track:161iaO13CvAJ3IZC2EtAEQ,https://api.spotify.com/v1/tracks/161iaO13CvAJ3IZC2EtAEQ,https://api.spotify.com/v1/audio-analysis/161iaO13CvAJ3IZC2EtAEQ,223108,3,When,spotify:track:161iaO13CvAJ3IZC2EtAEQ,dodie,21TinSsF5ytwsfdyz5VSVS
11,0.466,0.114,5,-17.34,1,0.0667,0.923,0.0418,0.0687,0.21,85.199,audio_features,0Z56w8TQFrbakG2EYNGFk2,spotify:track:0Z56w8TQFrbakG2EYNGFk2,https://api.spotify.com/v1/tracks/0Z56w8TQFrbakG2EYNGFk2,https://api.spotify.com/v1/audio-analysis/0Z56w8TQFrbakG2EYNGFk2,216601,4,Before the Line,spotify:track:0Z56w8TQFrbakG2EYNGFk2,dodie,21TinSsF5ytwsfdyz5VSVS
12,0.723,0.27,7,-14.253,1,0.0813,0.938,0.0,0.125,0.582,145.002,audio_features,3MOcjyHSgktK1iOILE0UJD,spotify:track:3MOcjyHSgktK1iOILE0UJD,https://api.spotify.com/v1/tracks/3MOcjyHSgktK1iOILE0UJD,https://api.spotify.com/v1/audio-analysis/3MOcjyHSgktK1iOILE0UJD,209647,4,Guiltless (Bonus),spotify:track:3MOcjyHSgktK1iOILE0UJD,dodie,21TinSsF5ytwsfdyz5VSVS
13,0.747,0.404,11,-11.233,0,0.339,0.914,1.13e-05,0.11,0.596,126.894,audio_features,6CT9rlhE55gX3MaDznjWt7,spotify:track:6CT9rlhE55gX3MaDznjWt7,https://api.spotify.com/v1/tracks/6CT9rlhE55gX3MaDznjWt7,https://api.spotify.com/v1/audio-analysis/6CT9rlhE55gX3MaDznjWt7,180863,4,Boys Like You (Bonus),spotify:track:6CT9rlhE55gX3MaDznjWt7,dodie,21TinSsF5ytwsfdyz5VSVS
14,0.588,0.152,9,-18.513,0,0.414,0.884,0.00267,0.113,0.559,126.03,audio_features,3qFp7WxvzHbJV6q03GBHYJ,spotify:track:3qFp7WxvzHbJV6q03GBHYJ,https://api.spotify.com/v1/tracks/3qFp7WxvzHbJV6q03GBHYJ,https://api.spotify.com/v1/audio-analysis/3qFp7WxvzHbJV6q03GBHYJ,122057,4,bored like me (demo),spotify:track:3qFp7WxvzHbJV6q03GBHYJ,dodie,21TinSsF5ytwsfdyz5VSVS
15,0.439,0.032,2,-24.026,1,0.0697,0.924,0.0621,0.113,0.279,150.514,audio_features,0C1J9WEWIskxtqN9nTpl44,spotify:track:0C1J9WEWIskxtqN9nTpl44,https://api.spotify.com/v1/tracks/0C1J9WEWIskxtqN9nTpl44,https://api.spotify.com/v1/audio-analysis/0C1J9WEWIskxtqN9nTpl44,161289,3,let go (demo),spotify:track:0C1J9WEWIskxtqN9nTpl44,dodie,21TinSsF5ytwsfdyz5VSVS
16,0.569,0.0358,7,-18.816,1,0.162,0.956,0.000183,0.191,0.743,74.006,audio_features,5IWbVSHXMJzuHE7PoZdu7f,spotify:track:5IWbVSHXMJzuHE7PoZdu7f,https://api.spotify.com/v1/tracks/5IWbVSHXMJzuHE7PoZdu7f,https://api.spotify.com/v1/audio-analysis/5IWbVSHXMJzuHE7PoZdu7f,180367,3,bite back (demo),spotify:track:5IWbVSHXMJzuHE7PoZdu7f,dodie,21TinSsF5ytwsfdyz5VSVS
17,0.284,0.00835,0,-24.357,1,0.0816,0.983,0.012,0.112,0.0853,141.096,audio_features,3BEbE3VLuHWyq7lspx35GF,spotify:track:3BEbE3VLuHWyq7lspx35GF,https://api.spotify.com/v1/tracks/3BEbE3VLuHWyq7lspx35GF,https://api.spotify.com/v1/audio-analysis/3BEbE3VLuHWyq7lspx35GF,163540,4,"one last time, please (demo)",spotify:track:3BEbE3VLuHWyq7lspx35GF,dodie,21TinSsF5ytwsfdyz5VSVS
18,0.472,0.0324,10,-21.093,1,0.0631,0.956,0.00532,0.113,0.0458,127.838,audio_features,72nforC2yiPwMXSsExSNnK,spotify:track:72nforC2yiPwMXSsExSNnK,https://api.spotify.com/v1/tracks/72nforC2yiPwMXSsExSNnK,https://api.spotify.com/v1/audio-analysis/72nforC2yiPwMXSsExSNnK,190825,3,all my daughters (demo),spotify:track:72nforC2yiPwMXSsExSNnK,dodie,21TinSsF5ytwsfdyz5VSVS
19,0.386,0.0502,4,-21.084,1,0.0717,0.983,0.00046,0.351,0.338,164.866,audio_features,5bbDtmnf1oOe5MSRFoL4e8,spotify:track:5bbDtmnf1oOe5MSRFoL4e8,https://api.spotify.com/v1/tracks/5bbDtmnf1oOe5MSRFoL4e8,https://api.spotify.com/v1/audio-analysis/5bbDtmnf1oOe5MSRFoL4e8,151911,3,anything (demo),spotify:track:5bbDtmnf1oOe5MSRFoL4e8,dodie,21TinSsF5ytwsfdyz5VSVS
20,0.452,0.114,0,-21.539,1,0.298,0.95,1.82e-05,0.127,0.349,173.167,audio_features,31KdcBVHKmbHLbyb0EhqFC,spotify:track:31KdcBVHKmbHLbyb0EhqFC,https://api.spotify.com/v1/tracks/31KdcBVHKmbHLbyb0EhqFC,https://api.spotify.com/v1/audio-analysis/31KdcBVHKmbHLbyb0EhqFC,144074,3,in the bed (demo),spotify:track:31KdcBVHKmbHLbyb0EhqFC,dodie,21TinSsF5ytwsfdyz5VSVS
21,0.588,0.129,7,-19.413,0,0.176,0.982,0.00092,0.248,0.465,89.149,audio_features,1shFuXMd9yPSIDrpeb660U,spotify:track:1shFuXMd9yPSIDrpeb660U,https://api.spotify.com/v1/tracks/1shFuXMd9yPSIDrpeb660U,https://api.spotify.com/v1/audio-analysis/1shFuXMd9yPSIDrpeb660U,205874,4,don't quite belong (demo),spotify:track:1shFuXMd9yPSIDrpeb660U,dodie,21TinSsF5ytwsfdyz5VSVS
22,0.665,0.287,8,-14.923,1,0.04,0.938,0.149,0.103,0.386,133.924,audio_features,2yUIjUh9zQCahXZ9dS7D5X,spotify:track:2yUIjUh9zQCahXZ9dS7D5X,https://api.spotify.com/v1/tracks/2yUIjUh9zQCahXZ9dS7D5X,https://api.spotify.com/v1/audio-analysis/2yUIjUh9zQCahXZ9dS7D5X,202722,4,Human,spotify:track:2yUIjUh9zQCahXZ9dS7D5X,dodie,21TinSsF5ytwsfdyz5VSVS
23,0.458,0.179,11,-19.057,0,0.0888,0.938,0.175,0.119,0.243,77.737,audio_features,09MDfeQ5Ge4VoQa3CPr3Cl,spotify:track:09MDfeQ5Ge4VoQa3CPr3Cl,https://api.spotify.com/v1/tracks/09MDfeQ5Ge4VoQa3CPr3Cl,https://api.spotify.com/v1/audio-analysis/09MDfeQ5Ge4VoQa3CPr3Cl,150937,5,I Kissed Someone (It Wasn't You),spotify:track:09MDfeQ5Ge4VoQa3CPr3Cl,dodie,21TinSsF5ytwsfdyz5VSVS
24,0.755,0.53,8,-12.514,1,0.146,0.92,0.0334,0.15,0.903,103.985,audio_features,7iJbKmJQllcBt7EBn8SsUA,spotify:track:7iJbKmJQllcBt7EBn8SsUA,https://api.spotify.com/v1/tracks/7iJbKmJQllcBt7EBn8SsUA,https://api.spotify.com/v1/audio-analysis/7iJbKmJQllcBt7EBn8SsUA,208092,4,Hate Myself,spotify:track:7iJbKmJQllcBt7EBn8SsUA,dodie,21TinSsF5ytwsfdyz5VSVS
25,0.394,0.0711,2,-19.41,1,0.0559,0.98,0.00726,0.184,0.358,157.592,audio_features,1l289Hpww4yvjcOV7RF9Ya,spotify:track:1l289Hpww4yvjcOV7RF9Ya,https://api.spotify.com/v1/tracks/1l289Hpww4yvjcOV7RF9Ya,https://api.spotify.com/v1/audio-analysis/1l289Hpww4yvjcOV7RF9Ya,166876,3,Rainbow,spotify:track:1l289Hpww4yvjcOV7RF9Ya,dodie,21TinSsF5ytwsfdyz5VSVS
26,0.73,0.205,2,-15.489,1,0.0957,0.872,0.0593,0.095,0.206,124.989,audio_features,16Pkkt0kK05IxtLWeuMnOl,spotify:track:16Pkkt0kK05IxtLWeuMnOl,https://api.spotify.com/v1/tracks/16Pkkt0kK05IxtLWeuMnOl,https://api.spotify.com/v1/audio-analysis/16Pkkt0kK05IxtLWeuMnOl,199385,4,Cool Girl,spotify:track:16Pkkt0kK05IxtLWeuMnOl,dodie,21TinSsF5ytwsfdyz5VSVS
27,0.665,0.802,8,-7.259,1,0.0386,0.0641,0.145,0.0737,0.555,117.005,audio_features,3pDABAV7jMu9bFC2HHv2RT,spotify:track:3pDABAV7jMu9bFC2HHv2RT,https://api.spotify.com/v1/tracks/3pDABAV7jMu9bFC2HHv2RT,https://api.spotify.com/v1/audio-analysis/3pDABAV7jMu9bFC2HHv2RT,240869,4,Hate Myself - Georgia Remix,spotify:track:3pDABAV7jMu9bFC2HHv2RT,dodie,21TinSsF5ytwsfdyz5VSVS
28,0.714,0.0559,8,-22.498,1,0.228,0.958,0.0439,0.174,0.398,104.356,audio_features,5op5f1pZvU7Vj0KDSYSYdK,spotify:track:5op5f1pZvU7Vj0KDSYSYdK,https://api.spotify.com/v1/tracks/5op5f1pZvU7Vj0KDSYSYdK,https://api.spotify.com/v1/audio-analysis/5op5f1pZvU7Vj0KDSYSYdK,208657,4,Hate Myself (Voice Memo),spotify:track:5op5f1pZvU7Vj0KDSYSYdK,dodie,21TinSsF5ytwsfdyz5VSVS
