,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.572,0.889,2,-5.26,1,0.0402,0.00038,0.000352,0.034,0.472,123.043,audio_features,0HEcwBPQfxpHMtXR4qO55K,spotify:track:0HEcwBPQfxpHMtXR4qO55K,https://api.spotify.com/v1/tracks/0HEcwBPQfxpHMtXR4qO55K,https://api.spotify.com/v1/audio-analysis/0HEcwBPQfxpHMtXR4qO55K,206829,4,Deep,spotify:track:0HEcwBPQfxpHMtXR4qO55K,Dopamine,3Edve4VIATi0OZngclQlkN
1,0.683,0.788,11,-5.629,0,0.0531,0.000111,0.0233,0.0327,0.71,123.002,audio_features,38CUElVAijd8MURx4sE02u,spotify:track:38CUElVAijd8MURx4sE02u,https://api.spotify.com/v1/tracks/38CUElVAijd8MURx4sE02u,https://api.spotify.com/v1/audio-analysis/38CUElVAijd8MURx4sE02u,320734,4,Deep - Extended Mix,spotify:track:38CUElVAijd8MURx4sE02u,Dopamine,3Edve4VIATi0OZngclQlkN
2,0.73,0.893,8,-4.811,0,0.0425,0.0832,0.0,0.288,0.768,121.991,audio_features,4vMxZqi1FpHH8C0DJdzUvO,spotify:track:4vMxZqi1FpHH8C0DJdzUvO,https://api.spotify.com/v1/tracks/4vMxZqi1FpHH8C0DJdzUvO,https://api.spotify.com/v1/audio-analysis/4vMxZqi1FpHH8C0DJdzUvO,241013,4,Love (Sweet Love) - Dopamine Remix,spotify:track:4vMxZqi1FpHH8C0DJdzUvO,Dopamine,3Edve4VIATi0OZngclQlkN
3,0.761,0.939,11,-3.34,0,0.0729,0.0594,0.00158,0.0843,0.88,119.981,audio_features,6G3t9WroSJiK5S66umOfIA,spotify:track:6G3t9WroSJiK5S66umOfIA,https://api.spotify.com/v1/tracks/6G3t9WroSJiK5S66umOfIA,https://api.spotify.com/v1/audio-analysis/6G3t9WroSJiK5S66umOfIA,170022,4,Weekend,spotify:track:6G3t9WroSJiK5S66umOfIA,Dopamine,3Edve4VIATi0OZngclQlkN
4,0.6,0.817,7,-7.727,1,0.379,0.076,1.82e-06,0.381,0.852,125.529,audio_features,48yqQHR8GkeO57ln6JzOns,spotify:track:48yqQHR8GkeO57ln6JzOns,https://api.spotify.com/v1/tracks/48yqQHR8GkeO57ln6JzOns,https://api.spotify.com/v1/audio-analysis/48yqQHR8GkeO57ln6JzOns,58777,4,Toolroom Radio EP608 - Intro - TR608,spotify:track:48yqQHR8GkeO57ln6JzOns,Dopamine,3Edve4VIATi0OZngclQlkN
5,0.689,0.748,2,-8.141,0,0.04,0.0262,4.19e-06,0.693,0.472,125.021,audio_features,52zmJjCPLf8RsT428CA4Rf,spotify:track:52zmJjCPLf8RsT428CA4Rf,https://api.spotify.com/v1/tracks/52zmJjCPLf8RsT428CA4Rf,https://api.spotify.com/v1/audio-analysis/52zmJjCPLf8RsT428CA4Rf,184320,4,Basement - Albert Neve Remix - TR608,spotify:track:52zmJjCPLf8RsT428CA4Rf,Dopamine,3Edve4VIATi0OZngclQlkN
6,0.574,0.774,6,-7.3,0,0.344,0.231,0.0,0.0633,0.891,120.83,audio_features,2Pw3imuoruZ9A9QdmdVDAS,spotify:track:2Pw3imuoruZ9A9QdmdVDAS,https://api.spotify.com/v1/tracks/2Pw3imuoruZ9A9QdmdVDAS,https://api.spotify.com/v1/audio-analysis/2Pw3imuoruZ9A9QdmdVDAS,53760,3,Toolroom Radio EP608 - Coming Up - TR608,spotify:track:2Pw3imuoruZ9A9QdmdVDAS,Dopamine,3Edve4VIATi0OZngclQlkN
7,0.791,0.942,11,-7.656,1,0.0823,0.000971,0.876,0.12,0.297,125.001,audio_features,7Cny86jZ5RCuToVXERXpYl,spotify:track:7Cny86jZ5RCuToVXERXpYl,https://api.spotify.com/v1/tracks/7Cny86jZ5RCuToVXERXpYl,https://api.spotify.com/v1/audio-analysis/7Cny86jZ5RCuToVXERXpYl,184320,4,Come Back - TR608,spotify:track:7Cny86jZ5RCuToVXERXpYl,Dopamine,3Edve4VIATi0OZngclQlkN
8,0.657,0.959,2,-6.485,1,0.424,0.198,1.56e-06,0.0643,0.709,62.469,audio_features,5AW22ZQM7z6B8xlhWCqw5X,spotify:track:5AW22ZQM7z6B8xlhWCqw5X,https://api.spotify.com/v1/tracks/5AW22ZQM7z6B8xlhWCqw5X,https://api.spotify.com/v1/audio-analysis/5AW22ZQM7z6B8xlhWCqw5X,50400,4,Toolroom Radio EP608 - Hot Right Now - TR608,spotify:track:5AW22ZQM7z6B8xlhWCqw5X,Dopamine,3Edve4VIATi0OZngclQlkN
9,0.679,0.967,2,-6.797,1,0.0497,0.245,0.191,0.251,0.23,124.998,audio_features,7LOfmTUbdYy7U7rZFzAF1G,spotify:track:7LOfmTUbdYy7U7rZFzAF1G,https://api.spotify.com/v1/tracks/7LOfmTUbdYy7U7rZFzAF1G,https://api.spotify.com/v1/audio-analysis/7LOfmTUbdYy7U7rZFzAF1G,215040,4,Belter - TR608,spotify:track:7LOfmTUbdYy7U7rZFzAF1G,Dopamine,3Edve4VIATi0OZngclQlkN
