,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.378,0.748,11,-7.463,0,0.0936,0.000535,0.000706,0.344,0.337,170.011,audio_features,0pSgk7vLK9bMrm9AH0kZ7W,spotify:track:0pSgk7vLK9bMrm9AH0kZ7W,https://api.spotify.com/v1/tracks/0pSgk7vLK9bMrm9AH0kZ7W,https://api.spotify.com/v1/audio-analysis/0pSgk7vLK9bMrm9AH0kZ7W,206812,4,"F The World (feat. The Garden, Quay Dash and d0llywood1)",spotify:track:0pSgk7vLK9bMrm9AH0kZ7W,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
1,0.637,0.757,1,-6.989,0,0.318,0.0143,0.000447,0.108,0.582,137.086,audio_features,6pbVWSXwqoUKbrQ50ypNyh,spotify:track:6pbVWSXwqoUKbrQ50ypNyh,https://api.spotify.com/v1/tracks/6pbVWSXwqoUKbrQ50ypNyh,https://api.spotify.com/v1/audio-analysis/6pbVWSXwqoUKbrQ50ypNyh,171894,4,My Agenda (feat. Village People and Pussy Riot),spotify:track:6pbVWSXwqoUKbrQ50ypNyh,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
2,0.865,0.489,1,-9.148,1,0.297,0.0688,0.00408,0.139,0.728,80.012,audio_features,55a67moqtVe7FUydUPqtly,spotify:track:55a67moqtVe7FUydUPqtly,https://api.spotify.com/v1/tracks/55a67moqtVe7FUydUPqtly,https://api.spotify.com/v1/audio-analysis/55a67moqtVe7FUydUPqtly,102278,4,Gentleman,spotify:track:55a67moqtVe7FUydUPqtly,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
3,0.681,0.616,9,-6.267,1,0.127,0.0178,1.63e-06,0.0839,0.592,89.444,audio_features,0FnEl6wwPup6iTLXLtDNtG,spotify:track:0FnEl6wwPup6iTLXLtDNtG,https://api.spotify.com/v1/tracks/0FnEl6wwPup6iTLXLtDNtG,https://api.spotify.com/v1/audio-analysis/0FnEl6wwPup6iTLXLtDNtG,87673,4,M'Lady,spotify:track:0FnEl6wwPup6iTLXLtDNtG,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
4,0.458,0.744,9,-5.863,0,0.0428,0.0448,1.12e-06,0.538,0.26,75.033,audio_features,0V500tNOXGzDdjQOcpjhGY,spotify:track:0V500tNOXGzDdjQOcpjhGY,https://api.spotify.com/v1/tracks/0V500tNOXGzDdjQOcpjhGY,https://api.spotify.com/v1/audio-analysis/0V500tNOXGzDdjQOcpjhGY,150420,4,Iron Fist (feat. Faris Badwan),spotify:track:0V500tNOXGzDdjQOcpjhGY,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
5,0.52,0.775,11,-6.177,1,0.206,0.1,0.0,0.337,0.622,82.989,audio_features,0Nyga6wz4qHJWggoW4Q0LD,spotify:track:0Nyga6wz4qHJWggoW4Q0LD,https://api.spotify.com/v1/tracks/0Nyga6wz4qHJWggoW4Q0LD,https://api.spotify.com/v1/audio-analysis/0Nyga6wz4qHJWggoW4Q0LD,168989,4,Barbie Boy (feat. Sega Bodega),spotify:track:0Nyga6wz4qHJWggoW4Q0LD,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
6,0.766,0.475,1,-6.632,1,0.163,0.107,0.0,0.323,0.847,89.319,audio_features,4er74JBh91nQi30Vba523X,spotify:track:4er74JBh91nQi30Vba523X,https://api.spotify.com/v1/tracks/4er74JBh91nQi30Vba523X,https://api.spotify.com/v1/audio-analysis/4er74JBh91nQi30Vba523X,87294,4,Sorry Bro (I Love You),spotify:track:4er74JBh91nQi30Vba523X,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
7,0.333,0.706,9,-5.732,1,0.423,0.282,3.2e-05,0.101,0.387,155.057,audio_features,0a2DavZdiwc5RIZO3spIok,spotify:track:0a2DavZdiwc5RIZO3spIok,https://api.spotify.com/v1/tracks/0a2DavZdiwc5RIZO3spIok,https://api.spotify.com/v1/audio-analysis/0a2DavZdiwc5RIZO3spIok,66261,4,Monk Mode [Interlude] (feat. Gaylord),spotify:track:0a2DavZdiwc5RIZO3spIok,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
8,0.62,0.785,4,-6.243,0,0.199,0.0328,0.0,0.208,0.5,80.045,audio_features,1AcVZLopmyy03YcLHEINUZ,spotify:track:1AcVZLopmyy03YcLHEINUZ,https://api.spotify.com/v1/tracks/1AcVZLopmyy03YcLHEINUZ,https://api.spotify.com/v1/audio-analysis/1AcVZLopmyy03YcLHEINUZ,130729,4,Edgelord (feat. Rebecca Black),spotify:track:1AcVZLopmyy03YcLHEINUZ,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
9,0.391,0.805,2,-6.324,0,0.221,0.00607,3.64e-06,0.318,0.504,122.877,audio_features,6pwSEX3xINxZP8tipQnxAZ,spotify:track:6pwSEX3xINxZP8tipQnxAZ,https://api.spotify.com/v1/tracks/6pwSEX3xINxZP8tipQnxAZ,https://api.spotify.com/v1/audio-analysis/6pwSEX3xINxZP8tipQnxAZ,152390,4,"Ram It Down (feat. Mood Killer, Lil Mariko & Lil Texas)",spotify:track:6pwSEX3xINxZP8tipQnxAZ,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
10,0.547,0.532,9,-6.59,1,0.0372,0.459,0.0,0.276,0.309,95.983,audio_features,5T0Sqx6d6Cfen6rVE4P2oC,spotify:track:5T0Sqx6d6Cfen6rVE4P2oC,https://api.spotify.com/v1/tracks/5T0Sqx6d6Cfen6rVE4P2oC,https://api.spotify.com/v1/audio-analysis/5T0Sqx6d6Cfen6rVE4P2oC,186510,4,Give Great Thanks,spotify:track:5T0Sqx6d6Cfen6rVE4P2oC,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
11,0.409,0.937,11,-4.669,1,0.368,0.0886,3.6e-06,0.402,0.433,169.916,audio_features,1qIi47n0nsdGRfrTe0y57y,spotify:track:1qIi47n0nsdGRfrTe0y57y,https://api.spotify.com/v1/tracks/1qIi47n0nsdGRfrTe0y57y,https://api.spotify.com/v1/audio-analysis/1qIi47n0nsdGRfrTe0y57y,157808,4,My Agenda (feat. Village People & Pussy Riot) [Anamanaguchi Remix],spotify:track:1qIi47n0nsdGRfrTe0y57y,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
12,0.706,0.781,1,-5.625,1,0.21,0.047,0.000156,0.21,0.848,79.905,audio_features,55x2orPcpvLd5f25asgJge,spotify:track:55x2orPcpvLd5f25asgJge,https://api.spotify.com/v1/tracks/55x2orPcpvLd5f25asgJge,https://api.spotify.com/v1/audio-analysis/55x2orPcpvLd5f25asgJge,115168,4,Gentleman (feat. Danny Brown) [d0llywood1 Remix],spotify:track:55x2orPcpvLd5f25asgJge,Dorian Electra,202HZzqKvPsMHcbwnDZx7u
