,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.459,0.945,8,-2.811,0,0.0375,0.00497,0.353,0.0871,0.229,174.937,audio_features,0LpjSc9JkA8xFe4Fgnscmr,spotify:track:0LpjSc9JkA8xFe4Fgnscmr,https://api.spotify.com/v1/tracks/0LpjSc9JkA8xFe4Fgnscmr,https://api.spotify.com/v1/audio-analysis/0LpjSc9JkA8xFe4Fgnscmr,315429,4,Blinded,spotify:track:0LpjSc9JkA8xFe4Fgnscmr,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
1,0.347,0.888,5,-3.211,1,0.331,0.00265,0.129,0.11,0.347,175.193,audio_features,45E4f6HmQC5oxuzzMYPXrf,spotify:track:45E4f6HmQC5oxuzzMYPXrf,https://api.spotify.com/v1/tracks/45E4f6HmQC5oxuzzMYPXrf,https://api.spotify.com/v1/audio-analysis/45E4f6HmQC5oxuzzMYPXrf,304457,4,Take My Hand,spotify:track:45E4f6HmQC5oxuzzMYPXrf,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
2,0.596,0.975,1,-2.274,1,0.0971,0.000116,0.855,0.161,0.0302,175.002,audio_features,0yIUHhJiDlS7rGdjNfHnDx,spotify:track:0yIUHhJiDlS7rGdjNfHnDx,https://api.spotify.com/v1/tracks/0yIUHhJiDlS7rGdjNfHnDx,https://api.spotify.com/v1/audio-analysis/0yIUHhJiDlS7rGdjNfHnDx,263314,4,Starship,spotify:track:0yIUHhJiDlS7rGdjNfHnDx,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
3,0.536,0.823,9,-3.203,0,0.0688,0.000591,7.45e-05,0.11,0.499,175.053,audio_features,2awVNKUpx2NhPZ602f1d6o,spotify:track:2awVNKUpx2NhPZ602f1d6o,https://api.spotify.com/v1/tracks/2awVNKUpx2NhPZ602f1d6o,https://api.spotify.com/v1/audio-analysis/2awVNKUpx2NhPZ602f1d6o,307200,4,Stella,spotify:track:2awVNKUpx2NhPZ602f1d6o,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
4,0.572,0.93,9,-4.391,0,0.0646,0.032,0.052,0.0915,0.185,87.466,audio_features,1S5vzfbp25ALQUPoGwUX1A,spotify:track:1S5vzfbp25ALQUPoGwUX1A,https://api.spotify.com/v1/tracks/1S5vzfbp25ALQUPoGwUX1A,https://api.spotify.com/v1/audio-analysis/1S5vzfbp25ALQUPoGwUX1A,307200,4,My Love,spotify:track:1S5vzfbp25ALQUPoGwUX1A,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
5,0.63,0.967,6,-2.927,0,0.229,0.00298,0.85,0.215,0.497,175.014,audio_features,60cFY5t66d5vdNAcq5wvAv,spotify:track:60cFY5t66d5vdNAcq5wvAv,https://api.spotify.com/v1/tracks/60cFY5t66d5vdNAcq5wvAv,https://api.spotify.com/v1/audio-analysis/60cFY5t66d5vdNAcq5wvAv,246857,4,Off Course,spotify:track:60cFY5t66d5vdNAcq5wvAv,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
6,0.735,0.833,9,-2.811,0,0.198,0.00469,0.563,0.124,0.523,175.116,audio_features,0WxaC0KkGAXrfAIghLN6GO,spotify:track:0WxaC0KkGAXrfAIghLN6GO,https://api.spotify.com/v1/tracks/0WxaC0KkGAXrfAIghLN6GO,https://api.spotify.com/v1/audio-analysis/0WxaC0KkGAXrfAIghLN6GO,174171,4,Get Nasty,spotify:track:0WxaC0KkGAXrfAIghLN6GO,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
7,0.48,0.986,9,-2.872,1,0.0642,0.000192,0.919,0.414,0.497,175.16,audio_features,47zAY7BiftssTddcc5iUSs,spotify:track:47zAY7BiftssTddcc5iUSs,https://api.spotify.com/v1/tracks/47zAY7BiftssTddcc5iUSs,https://api.spotify.com/v1/audio-analysis/47zAY7BiftssTddcc5iUSs,244114,4,Tha Bird,spotify:track:47zAY7BiftssTddcc5iUSs,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
8,0.802,0.951,0,-1.567,1,0.0537,0.00411,0.2,0.292,0.817,175.041,audio_features,4ZYvzjQiCzZQsCR9SQpz8j,spotify:track:4ZYvzjQiCzZQsCR9SQpz8j,https://api.spotify.com/v1/tracks/4ZYvzjQiCzZQsCR9SQpz8j,https://api.spotify.com/v1/audio-analysis/4ZYvzjQiCzZQsCR9SQpz8j,287492,4,Shag,spotify:track:4ZYvzjQiCzZQsCR9SQpz8j,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
9,0.49,0.664,0,-5.405,1,0.104,0.00867,0.331,0.761,0.174,175.007,audio_features,361FRd31jTwog7ejEBXGli,spotify:track:361FRd31jTwog7ejEBXGli,https://api.spotify.com/v1/tracks/361FRd31jTwog7ejEBXGli,https://api.spotify.com/v1/audio-analysis/361FRd31jTwog7ejEBXGli,306326,4,Sunset,spotify:track:361FRd31jTwog7ejEBXGli,Dossa & Locuzzed,1hjb2l5U7cvWiXBpTyQF39
