,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.628,0.5,11,-7.142,0,0.046,0.496,4.95e-06,0.174,0.238,92.066,audio_features,5Qaz4QJkwMm1r8RcfPzQ0s,spotify:track:5Qaz4QJkwMm1r8RcfPzQ0s,https://api.spotify.com/v1/tracks/5Qaz4QJkwMm1r8RcfPzQ0s,https://api.spotify.com/v1/audio-analysis/5Qaz4QJkwMm1r8RcfPzQ0s,169596,4,Take Me Back,spotify:track:5Qaz4QJkwMm1r8RcfPzQ0s,Drakeford,5M7hCkA0s91a3BqfktxLfK
1,0.563,0.306,11,-11.249,1,0.027,0.736,1.49e-05,0.11,0.178,141.001,audio_features,7oODhPLX7LkhbbpiDUcN6Y,spotify:track:7oODhPLX7LkhbbpiDUcN6Y,https://api.spotify.com/v1/tracks/7oODhPLX7LkhbbpiDUcN6Y,https://api.spotify.com/v1/audio-analysis/7oODhPLX7LkhbbpiDUcN6Y,246021,4,Old Friend,spotify:track:7oODhPLX7LkhbbpiDUcN6Y,Drakeford,5M7hCkA0s91a3BqfktxLfK
2,0.52,0.747,0,-6.873,1,0.0445,0.102,0.0126,0.16,0.292,108.938,audio_features,3OrUrRKM0dhJMwWyDR06Ew,spotify:track:3OrUrRKM0dhJMwWyDR06Ew,https://api.spotify.com/v1/tracks/3OrUrRKM0dhJMwWyDR06Ew,https://api.spotify.com/v1/audio-analysis/3OrUrRKM0dhJMwWyDR06Ew,245233,4,The Way,spotify:track:3OrUrRKM0dhJMwWyDR06Ew,Drakeford,5M7hCkA0s91a3BqfktxLfK
3,0.537,0.187,4,-14.474,1,0.0362,0.883,0.000457,0.112,0.194,76.416,audio_features,0WNpNk4laRA6gRnYKbQShp,spotify:track:0WNpNk4laRA6gRnYKbQShp,https://api.spotify.com/v1/tracks/0WNpNk4laRA6gRnYKbQShp,https://api.spotify.com/v1/audio-analysis/0WNpNk4laRA6gRnYKbQShp,194210,1,All These Questions,spotify:track:0WNpNk4laRA6gRnYKbQShp,Drakeford,5M7hCkA0s91a3BqfktxLfK
4,0.467,0.517,4,-7.435,1,0.0283,0.533,0.0,0.119,0.373,81.735,audio_features,3rbovAR0vlLA6Rlrn2oSI4,spotify:track:3rbovAR0vlLA6Rlrn2oSI4,https://api.spotify.com/v1/tracks/3rbovAR0vlLA6Rlrn2oSI4,https://api.spotify.com/v1/audio-analysis/3rbovAR0vlLA6Rlrn2oSI4,237771,4,Press On,spotify:track:3rbovAR0vlLA6Rlrn2oSI4,Drakeford,5M7hCkA0s91a3BqfktxLfK
5,0.473,0.118,1,-16.621,1,0.0342,0.905,2.41e-05,0.357,0.519,109.23,audio_features,3KworZzriWToBEQs3tmuip,spotify:track:3KworZzriWToBEQs3tmuip,https://api.spotify.com/v1/tracks/3KworZzriWToBEQs3tmuip,https://api.spotify.com/v1/audio-analysis/3KworZzriWToBEQs3tmuip,177022,3,Waves,spotify:track:3KworZzriWToBEQs3tmuip,Drakeford,5M7hCkA0s91a3BqfktxLfK
6,0.441,0.299,4,-8.63,1,0.0291,0.659,1.24e-06,0.12,0.332,68.639,audio_features,3WTQCfqPxyY87fxKUsjtLy,spotify:track:3WTQCfqPxyY87fxKUsjtLy,https://api.spotify.com/v1/tracks/3WTQCfqPxyY87fxKUsjtLy,https://api.spotify.com/v1/audio-analysis/3WTQCfqPxyY87fxKUsjtLy,240881,4,Cast Your Cares,spotify:track:3WTQCfqPxyY87fxKUsjtLy,Drakeford,5M7hCkA0s91a3BqfktxLfK
7,0.561,0.536,7,-9.058,1,0.0259,0.00641,0.882,0.101,0.128,134.036,audio_features,2nP8VRgIUxza7n4S8lmo4c,spotify:track:2nP8VRgIUxza7n4S8lmo4c,https://api.spotify.com/v1/tracks/2nP8VRgIUxza7n4S8lmo4c,https://api.spotify.com/v1/audio-analysis/2nP8VRgIUxza7n4S8lmo4c,231223,4,Ready or Not (Instrumental),spotify:track:2nP8VRgIUxza7n4S8lmo4c,Drakeford,5M7hCkA0s91a3BqfktxLfK
8,0.569,0.45,7,-10.27,1,0.0316,0.065,0.468,0.0896,0.512,73.007,audio_features,3SX5Dhc75sbxwbtD4Vz8fr,spotify:track:3SX5Dhc75sbxwbtD4Vz8fr,https://api.spotify.com/v1/tracks/3SX5Dhc75sbxwbtD4Vz8fr,https://api.spotify.com/v1/audio-analysis/3SX5Dhc75sbxwbtD4Vz8fr,172789,4,Stronger Than One (Instrumental),spotify:track:3SX5Dhc75sbxwbtD4Vz8fr,Drakeford,5M7hCkA0s91a3BqfktxLfK
9,0.777,0.453,0,-8.356,0,0.0507,0.00822,0.818,0.0626,0.386,105.999,audio_features,4mGuQcjL0t91ut6V5Dya86,spotify:track:4mGuQcjL0t91ut6V5Dya86,https://api.spotify.com/v1/tracks/4mGuQcjL0t91ut6V5Dya86,https://api.spotify.com/v1/audio-analysis/4mGuQcjL0t91ut6V5Dya86,194820,4,The Road (Instrumental),spotify:track:4mGuQcjL0t91ut6V5Dya86,Drakeford,5M7hCkA0s91a3BqfktxLfK
10,0.608,0.258,10,-12.106,1,0.0344,0.59,0.926,0.0868,0.081,114.908,audio_features,5QohCpbYKPtiruT1loJ91H,spotify:track:5QohCpbYKPtiruT1loJ91H,https://api.spotify.com/v1/tracks/5QohCpbYKPtiruT1loJ91H,https://api.spotify.com/v1/audio-analysis/5QohCpbYKPtiruT1loJ91H,267668,3,Maybe (Instrumental),spotify:track:5QohCpbYKPtiruT1loJ91H,Drakeford,5M7hCkA0s91a3BqfktxLfK
11,0.45,0.647,7,-11.905,1,0.0401,0.172,0.919,0.125,0.0477,93.975,audio_features,5JEAGhofzKos0gbdqzDeJh,spotify:track:5JEAGhofzKos0gbdqzDeJh,https://api.spotify.com/v1/tracks/5JEAGhofzKos0gbdqzDeJh,https://api.spotify.com/v1/audio-analysis/5JEAGhofzKos0gbdqzDeJh,182872,4,Creation to Salvation (Instrumental),spotify:track:5JEAGhofzKos0gbdqzDeJh,Drakeford,5M7hCkA0s91a3BqfktxLfK
12,0.28,0.283,2,-11.512,1,0.0289,0.233,0.948,0.347,0.072,76.001,audio_features,3KWejJlUdBz6zLay68BEX8,spotify:track:3KWejJlUdBz6zLay68BEX8,https://api.spotify.com/v1/tracks/3KWejJlUdBz6zLay68BEX8,https://api.spotify.com/v1/audio-analysis/3KWejJlUdBz6zLay68BEX8,286256,4,Why (Instrumental),spotify:track:3KWejJlUdBz6zLay68BEX8,Drakeford,5M7hCkA0s91a3BqfktxLfK
