,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.731,0.337,6,-9.677,1,0.415,0.0843,2.76e-06,0.197,0.583,90.117,audio_features,0aPRKH8FlhwyTw6z0TFCqx,spotify:track:0aPRKH8FlhwyTw6z0TFCqx,https://api.spotify.com/v1/tracks/0aPRKH8FlhwyTw6z0TFCqx,https://api.spotify.com/v1/audio-analysis/0aPRKH8FlhwyTw6z0TFCqx,173741,4,Same Old,spotify:track:0aPRKH8FlhwyTw6z0TFCqx,ENNY,3qEnCAnX23lvoxZYtBiPgL
1,0.725,0.603,8,-10.714,0,0.286,0.0341,0.000101,0.146,0.728,113.033,audio_features,1cFtRiAnGglEmHSSrt4IGm,spotify:track:1cFtRiAnGglEmHSSrt4IGm,https://api.spotify.com/v1/tracks/1cFtRiAnGglEmHSSrt4IGm,https://api.spotify.com/v1/audio-analysis/1cFtRiAnGglEmHSSrt4IGm,202000,4,I Want,spotify:track:1cFtRiAnGglEmHSSrt4IGm,ENNY,3qEnCAnX23lvoxZYtBiPgL
2,0.698,0.694,1,-8.244,1,0.228,0.249,0.012,0.154,0.526,91.945,audio_features,2gESEcug6u7TEQaSBvoCuN,spotify:track:2gESEcug6u7TEQaSBvoCuN,https://api.spotify.com/v1/tracks/2gESEcug6u7TEQaSBvoCuN,https://api.spotify.com/v1/audio-analysis/2gESEcug6u7TEQaSBvoCuN,243098,4,Malibu,spotify:track:2gESEcug6u7TEQaSBvoCuN,ENNY,3qEnCAnX23lvoxZYtBiPgL
3,0.577,0.67,5,-10.612,0,0.469,0.573,5.86e-06,0.489,0.563,63.603,audio_features,0gXMmD1UrC6TwySAbc8GJR,spotify:track:0gXMmD1UrC6TwySAbc8GJR,https://api.spotify.com/v1/tracks/0gXMmD1UrC6TwySAbc8GJR,https://api.spotify.com/v1/audio-analysis/0gXMmD1UrC6TwySAbc8GJR,126562,4,Keisha's & Brenda's,spotify:track:0gXMmD1UrC6TwySAbc8GJR,ENNY,3qEnCAnX23lvoxZYtBiPgL
4,0.798,0.592,6,-5.967,0,0.214,0.0326,2.57e-05,0.0658,0.271,136.911,audio_features,3Xhj7ZZAfQwPUxKZHQdw3y,spotify:track:3Xhj7ZZAfQwPUxKZHQdw3y,https://api.spotify.com/v1/tracks/3Xhj7ZZAfQwPUxKZHQdw3y,https://api.spotify.com/v1/audio-analysis/3Xhj7ZZAfQwPUxKZHQdw3y,210184,4,Peng Black Girls,spotify:track:3Xhj7ZZAfQwPUxKZHQdw3y,ENNY,3qEnCAnX23lvoxZYtBiPgL
5,0.557,0.638,11,-7.517,0,0.27,0.255,0.00434,0.346,0.633,87.557,audio_features,6WnEshhNpZyTH75p1BmF8c,spotify:track:6WnEshhNpZyTH75p1BmF8c,https://api.spotify.com/v1/tracks/6WnEshhNpZyTH75p1BmF8c,https://api.spotify.com/v1/audio-analysis/6WnEshhNpZyTH75p1BmF8c,232044,4,Under 25,spotify:track:6WnEshhNpZyTH75p1BmF8c,ENNY,3qEnCAnX23lvoxZYtBiPgL
6,0.58,0.655,11,-4.748,1,0.19,0.804,0.0,0.883,0.949,88.213,audio_features,05j6YdwMD3x4l1rHWIf7Cp,spotify:track:05j6YdwMD3x4l1rHWIf7Cp,https://api.spotify.com/v1/tracks/05j6YdwMD3x4l1rHWIf7Cp,https://api.spotify.com/v1/audio-analysis/05j6YdwMD3x4l1rHWIf7Cp,66160,4,Revision (2011),spotify:track:05j6YdwMD3x4l1rHWIf7Cp,ENNY,3qEnCAnX23lvoxZYtBiPgL
7,0.681,0.776,11,-5.365,0,0.367,0.183,0.0,0.267,0.788,68.634,audio_features,3Z8WVPojr7RFPqkntdZVNR,spotify:track:3Z8WVPojr7RFPqkntdZVNR,https://api.spotify.com/v1/tracks/3Z8WVPojr7RFPqkntdZVNR,https://api.spotify.com/v1/audio-analysis/3Z8WVPojr7RFPqkntdZVNR,149126,3,Bernie Mac,spotify:track:3Z8WVPojr7RFPqkntdZVNR,ENNY,3qEnCAnX23lvoxZYtBiPgL
8,0.902,0.389,2,-10.275,1,0.229,0.334,0.281,0.113,0.177,110.006,audio_features,0Pq3zibi6EQz9R12Amaf6j,spotify:track:0Pq3zibi6EQz9R12Amaf6j,https://api.spotify.com/v1/tracks/0Pq3zibi6EQz9R12Amaf6j,https://api.spotify.com/v1/audio-analysis/0Pq3zibi6EQz9R12Amaf6j,178955,4,Feelin',spotify:track:0Pq3zibi6EQz9R12Amaf6j,ENNY,3qEnCAnX23lvoxZYtBiPgL
9,0.667,0.713,11,-8.429,0,0.414,0.251,0.0,0.333,0.684,120.977,audio_features,4vFfr9uChaMubInCshlskd,spotify:track:4vFfr9uChaMubInCshlskd,https://api.spotify.com/v1/tracks/4vFfr9uChaMubInCshlskd,https://api.spotify.com/v1/audio-analysis/4vFfr9uChaMubInCshlskd,146578,4,Daily Duppy (Don't Cry),spotify:track:4vFfr9uChaMubInCshlskd,ENNY,3qEnCAnX23lvoxZYtBiPgL
10,0.577,0.67,5,-10.612,0,0.469,0.573,5.86e-06,0.489,0.563,63.603,audio_features,6tlZVcjscs6zRTxMHomM7u,spotify:track:6tlZVcjscs6zRTxMHomM7u,https://api.spotify.com/v1/tracks/6tlZVcjscs6zRTxMHomM7u,https://api.spotify.com/v1/audio-analysis/6tlZVcjscs6zRTxMHomM7u,126562,4,Keisha's & Brenda’s,spotify:track:6tlZVcjscs6zRTxMHomM7u,ENNY,3qEnCAnX23lvoxZYtBiPgL
11,0.72,0.643,8,-9.649,0,0.276,0.0372,0.000169,0.147,0.752,113.021,audio_features,2k9E1OlHPxIKT6y46726Mv,spotify:track:2k9E1OlHPxIKT6y46726Mv,https://api.spotify.com/v1/tracks/2k9E1OlHPxIKT6y46726Mv,https://api.spotify.com/v1/audio-analysis/2k9E1OlHPxIKT6y46726Mv,202000,4,I Want,spotify:track:2k9E1OlHPxIKT6y46726Mv,ENNY,3qEnCAnX23lvoxZYtBiPgL
12,0.758,0.337,6,-9.677,0,0.384,0.0843,2.69e-06,0.197,0.584,90.031,audio_features,4kDo8Se1cKMjcrucZiiOmp,spotify:track:4kDo8Se1cKMjcrucZiiOmp,https://api.spotify.com/v1/tracks/4kDo8Se1cKMjcrucZiiOmp,https://api.spotify.com/v1/audio-analysis/4kDo8Se1cKMjcrucZiiOmp,173741,4,Same Old,spotify:track:4kDo8Se1cKMjcrucZiiOmp,ENNY,3qEnCAnX23lvoxZYtBiPgL
13,0.758,0.337,6,-9.677,0,0.384,0.0843,2.69e-06,0.197,0.584,90.031,audio_features,3YWZPpLVGeEq8VvNLaB55f,spotify:track:3YWZPpLVGeEq8VvNLaB55f,https://api.spotify.com/v1/tracks/3YWZPpLVGeEq8VvNLaB55f,https://api.spotify.com/v1/audio-analysis/3YWZPpLVGeEq8VvNLaB55f,173741,4,Same Old,spotify:track:3YWZPpLVGeEq8VvNLaB55f,ENNY,3qEnCAnX23lvoxZYtBiPgL
14,0.745,0.564,1,-8.2,1,0.39,0.326,0.000106,0.218,0.958,86.956,audio_features,74jPUn696jqwq4A0O8pVhE,spotify:track:74jPUn696jqwq4A0O8pVhE,https://api.spotify.com/v1/tracks/74jPUn696jqwq4A0O8pVhE,https://api.spotify.com/v1/audio-analysis/74jPUn696jqwq4A0O8pVhE,144138,4,Nu Normal - A COLORS ENCORE,spotify:track:74jPUn696jqwq4A0O8pVhE,ENNY,3qEnCAnX23lvoxZYtBiPgL
15,0.672,0.535,7,-9.735,1,0.268,0.0168,1.44e-06,0.0947,0.366,137.86,audio_features,6xCHJ0yeoIRs2yxS6tNJhj,spotify:track:6xCHJ0yeoIRs2yxS6tNJhj,https://api.spotify.com/v1/tracks/6xCHJ0yeoIRs2yxS6tNJhj,https://api.spotify.com/v1/audio-analysis/6xCHJ0yeoIRs2yxS6tNJhj,206075,4,Peng Black Girls Remix - A COLORS SHOW,spotify:track:6xCHJ0yeoIRs2yxS6tNJhj,ENNY,3qEnCAnX23lvoxZYtBiPgL
