,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.483,0.746,11,-7.342,0,0.381,0.188,0.00576,0.197,0.679,148.125,audio_features,0Z7NIszwm5Gli2HbmEtExm,spotify:track:0Z7NIszwm5Gli2HbmEtExm,https://api.spotify.com/v1/tracks/0Z7NIszwm5Gli2HbmEtExm,https://api.spotify.com/v1/audio-analysis/0Z7NIszwm5Gli2HbmEtExm,102003,3,74,spotify:track:0Z7NIszwm5Gli2HbmEtExm,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
1,0.509,0.622,7,-3.751,0,0.0571,0.394,0.164,0.357,0.665,78.037,audio_features,00O3NqxS1x2yTdIaJxcBCV,spotify:track:00O3NqxS1x2yTdIaJxcBCV,https://api.spotify.com/v1/tracks/00O3NqxS1x2yTdIaJxcBCV,https://api.spotify.com/v1/audio-analysis/00O3NqxS1x2yTdIaJxcBCV,118936,4,EAST,spotify:track:00O3NqxS1x2yTdIaJxcBCV,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
2,0.545,0.464,11,-7.378,1,0.303,0.338,0.000151,0.128,0.508,60.185,audio_features,4dbVjkK8zMxcs0McMSLpU5,spotify:track:4dbVjkK8zMxcs0McMSLpU5,https://api.spotify.com/v1/tracks/4dbVjkK8zMxcs0McMSLpU5,https://api.spotify.com/v1/audio-analysis/4dbVjkK8zMxcs0McMSLpU5,70056,4,MTOMB (feat. Liv.e),spotify:track:4dbVjkK8zMxcs0McMSLpU5,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
3,0.272,0.77,11,-5.863,0,0.349,0.00694,0.00668,0.137,0.446,76.436,audio_features,6A6NwDjjcB64LsFjhBEFIx,spotify:track:6A6NwDjjcB64LsFjhBEFIx,https://api.spotify.com/v1/tracks/6A6NwDjjcB64LsFjhBEFIx,https://api.spotify.com/v1/audio-analysis/6A6NwDjjcB64LsFjhBEFIx,95079,4,OD,spotify:track:6A6NwDjjcB64LsFjhBEFIx,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
4,0.36,0.872,6,-4.562,1,0.37,0.86,4.86e-06,0.396,0.345,45.47,audio_features,7yVXlS0BEz8R7XpPxkvLJP,spotify:track:7yVXlS0BEz8R7XpPxkvLJP,https://api.spotify.com/v1/tracks/7yVXlS0BEz8R7XpPxkvLJP,https://api.spotify.com/v1/audio-analysis/7yVXlS0BEz8R7XpPxkvLJP,151859,4,EL TORO COMBO MEAL (feat. Mavi),spotify:track:7yVXlS0BEz8R7XpPxkvLJP,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
5,0.583,0.755,1,-5.88,1,0.352,0.189,0.0,0.838,0.395,113.528,audio_features,4vZD9aNC7IZ0L8OtFcAz0T,spotify:track:4vZD9aNC7IZ0L8OtFcAz0T,https://api.spotify.com/v1/tracks/4vZD9aNC7IZ0L8OtFcAz0T,https://api.spotify.com/v1/audio-analysis/4vZD9aNC7IZ0L8OtFcAz0T,100640,4,TISK TISK / COOKIES,spotify:track:4vZD9aNC7IZ0L8OtFcAz0T,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
6,0.629,0.323,9,-7.91,0,0.558,0.703,0.00273,0.123,0.407,147.079,audio_features,6z8VWZlMJixfrufRionQHU,spotify:track:6z8VWZlMJixfrufRionQHU,https://api.spotify.com/v1/tracks/6z8VWZlMJixfrufRionQHU,https://api.spotify.com/v1/audio-analysis/6z8VWZlMJixfrufRionQHU,287476,4,4N (feat. Mach-Hommy),spotify:track:6z8VWZlMJixfrufRionQHU,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
7,0.352,0.858,2,-3.532,1,0.55,0.191,0.0,0.224,0.382,134.703,audio_features,54XPYxdhoEQOM1TcxAIEq5,spotify:track:54XPYxdhoEQOM1TcxAIEq5,https://api.spotify.com/v1/tracks/54XPYxdhoEQOM1TcxAIEq5,https://api.spotify.com/v1/audio-analysis/54XPYxdhoEQOM1TcxAIEq5,109766,3,GHOST (feat. Navy Blue),spotify:track:54XPYxdhoEQOM1TcxAIEq5,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
8,0.647,0.453,4,-11.782,1,0.42,0.584,0.0058,0.111,0.427,142.415,audio_features,0mlmdJ6dDVM13yavsIxTWe,spotify:track:0mlmdJ6dDVM13yavsIxTWe,https://api.spotify.com/v1/tracks/0mlmdJ6dDVM13yavsIxTWe,https://api.spotify.com/v1/audio-analysis/0mlmdJ6dDVM13yavsIxTWe,207515,4,WHOLE WORLD (feat. Maxo),spotify:track:0mlmdJ6dDVM13yavsIxTWe,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
9,0.483,0.746,11,-7.342,0,0.377,0.189,0.00555,0.197,0.678,148.133,audio_features,4hLdqS4ZrYzkvrHGykHuEH,spotify:track:4hLdqS4ZrYzkvrHGykHuEH,https://api.spotify.com/v1/tracks/4hLdqS4ZrYzkvrHGykHuEH,https://api.spotify.com/v1/audio-analysis/4hLdqS4ZrYzkvrHGykHuEH,102003,3,74,spotify:track:4hLdqS4ZrYzkvrHGykHuEH,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
10,0.542,0.621,7,-3.75,0,0.0547,0.381,0.156,0.357,0.668,78.252,audio_features,63adJJiaHQBiowMW5ZUQPm,spotify:track:63adJJiaHQBiowMW5ZUQPm,https://api.spotify.com/v1/tracks/63adJJiaHQBiowMW5ZUQPm,https://api.spotify.com/v1/audio-analysis/63adJJiaHQBiowMW5ZUQPm,118936,4,EAST,spotify:track:63adJJiaHQBiowMW5ZUQPm,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
11,0.545,0.464,11,-7.378,1,0.303,0.338,0.000151,0.128,0.508,60.185,audio_features,6MJJBVIJcquCLVlQEkUCp2,spotify:track:6MJJBVIJcquCLVlQEkUCp2,https://api.spotify.com/v1/tracks/6MJJBVIJcquCLVlQEkUCp2,https://api.spotify.com/v1/audio-analysis/6MJJBVIJcquCLVlQEkUCp2,70056,4,MTOMB (feat. Liv.e),spotify:track:6MJJBVIJcquCLVlQEkUCp2,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
12,0.393,0.77,11,-5.863,0,0.308,0.007,0.00676,0.137,0.452,71.7,audio_features,1Cq4W187CyHjtHNW54cAiT,spotify:track:1Cq4W187CyHjtHNW54cAiT,https://api.spotify.com/v1/tracks/1Cq4W187CyHjtHNW54cAiT,https://api.spotify.com/v1/audio-analysis/1Cq4W187CyHjtHNW54cAiT,95079,4,OD,spotify:track:1Cq4W187CyHjtHNW54cAiT,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
13,0.36,0.873,6,-4.562,1,0.371,0.86,4.69e-06,0.388,0.346,45.47,audio_features,5N2o99SskfemRUqBB2dsYt,spotify:track:5N2o99SskfemRUqBB2dsYt,https://api.spotify.com/v1/tracks/5N2o99SskfemRUqBB2dsYt,https://api.spotify.com/v1/audio-analysis/5N2o99SskfemRUqBB2dsYt,151859,4,EL TORO COMBO MEAL (feat. Mavi),spotify:track:5N2o99SskfemRUqBB2dsYt,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
14,0.584,0.755,1,-5.88,1,0.423,0.189,0.0,0.838,0.383,113.528,audio_features,4uXHYFGmSWrxJCsEytmAcU,spotify:track:4uXHYFGmSWrxJCsEytmAcU,https://api.spotify.com/v1/tracks/4uXHYFGmSWrxJCsEytmAcU,https://api.spotify.com/v1/audio-analysis/4uXHYFGmSWrxJCsEytmAcU,100640,4,TISK TISK / COOKIES,spotify:track:4uXHYFGmSWrxJCsEytmAcU,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
15,0.629,0.324,9,-7.91,0,0.556,0.704,0.00298,0.123,0.405,146.702,audio_features,2wI2Yq8wqdTwbSgVe87umF,spotify:track:2wI2Yq8wqdTwbSgVe87umF,https://api.spotify.com/v1/tracks/2wI2Yq8wqdTwbSgVe87umF,https://api.spotify.com/v1/audio-analysis/2wI2Yq8wqdTwbSgVe87umF,287476,4,4N (feat. Mach-Hommy),spotify:track:2wI2Yq8wqdTwbSgVe87umF,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
16,0.377,0.506,11,-4.773,0,0.157,0.00889,1.15e-06,0.482,0.787,145.254,audio_features,2LQb3iYBzoxbxct2IexjBc,spotify:track:2LQb3iYBzoxbxct2IexjBc,https://api.spotify.com/v1/tracks/2LQb3iYBzoxbxct2IexjBc,https://api.spotify.com/v1/audio-analysis/2LQb3iYBzoxbxct2IexjBc,141000,4,Shattered Dreams,spotify:track:2LQb3iYBzoxbxct2IexjBc,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
