,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.262,0.79,8,-6.942,0,0.105,0.406,0.321,0.165,0.493,196.957,audio_features,1YuehNJZF3XPOa3JutmZVg,spotify:track:1YuehNJZF3XPOa3JutmZVg,https://api.spotify.com/v1/tracks/1YuehNJZF3XPOa3JutmZVg,https://api.spotify.com/v1/audio-analysis/1YuehNJZF3XPOa3JutmZVg,437540,4,Hot Coals,spotify:track:1YuehNJZF3XPOa3JutmZVg,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
1,0.449,0.627,0,-10.992,0,0.24,0.719,0.00327,0.162,0.385,111.497,audio_features,6nhxt7KLbV7QqcVqXg9eU3,spotify:track:6nhxt7KLbV7QqcVqXg9eU3,https://api.spotify.com/v1/tracks/6nhxt7KLbV7QqcVqXg9eU3,https://api.spotify.com/v1/audio-analysis/6nhxt7KLbV7QqcVqXg9eU3,226027,4,Uncomfortable,spotify:track:6nhxt7KLbV7QqcVqXg9eU3,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
2,0.548,0.491,9,-10.451,1,0.0314,0.93,0.171,0.152,0.843,133.68,audio_features,3bqB9cGNfYs72ep8UqrSrz,spotify:track:3bqB9cGNfYs72ep8UqrSrz,https://api.spotify.com/v1/tracks/3bqB9cGNfYs72ep8UqrSrz,https://api.spotify.com/v1/audio-analysis/3bqB9cGNfYs72ep8UqrSrz,198026,4,Somewhere,spotify:track:3bqB9cGNfYs72ep8UqrSrz,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
3,0.422,0.828,6,-6.476,0,0.0473,0.294,0.00137,0.127,0.385,110.447,audio_features,1R1yheuqbn1J0u5bFRHdHU,spotify:track:1R1yheuqbn1J0u5bFRHdHU,https://api.spotify.com/v1/tracks/1R1yheuqbn1J0u5bFRHdHU,https://api.spotify.com/v1/audio-analysis/1R1yheuqbn1J0u5bFRHdHU,177687,4,No Love Like Yours,spotify:track:1R1yheuqbn1J0u5bFRHdHU,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
4,0.381,0.684,5,-7.861,1,0.0579,0.631,0.805,0.112,0.104,123.018,audio_features,4ejlJw3S5NgIVgDI1izxMp,spotify:track:4ejlJw3S5NgIVgDI1izxMp,https://api.spotify.com/v1/tracks/4ejlJw3S5NgIVgDI1izxMp,https://api.spotify.com/v1/audio-analysis/4ejlJw3S5NgIVgDI1izxMp,401141,4,Wake Up The Sun,spotify:track:4ejlJw3S5NgIVgDI1izxMp,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
5,0.394,0.482,2,-9.869,1,0.0443,0.78,0.268,0.107,0.381,154.478,audio_features,33KWItJxV4liCVNqpVK5VJ,spotify:track:33KWItJxV4liCVNqpVK5VJ,https://api.spotify.com/v1/tracks/33KWItJxV4liCVNqpVK5VJ,https://api.spotify.com/v1/audio-analysis/33KWItJxV4liCVNqpVK5VJ,185240,4,Free Stuff,spotify:track:33KWItJxV4liCVNqpVK5VJ,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
6,0.238,0.626,5,-8.965,0,0.057,0.753,0.673,0.119,0.244,169.06,audio_features,4RgiAlo75nnBhQByRq0I1c,spotify:track:4RgiAlo75nnBhQByRq0I1c,https://api.spotify.com/v1/tracks/4RgiAlo75nnBhQByRq0I1c,https://api.spotify.com/v1/audio-analysis/4RgiAlo75nnBhQByRq0I1c,273419,3,Let It Down,spotify:track:4RgiAlo75nnBhQByRq0I1c,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
7,0.289,0.233,5,-11.353,1,0.0328,0.958,0.00725,0.2,0.147,171.901,audio_features,26U9nXHuxZv3fOFcGIUPyt,spotify:track:26U9nXHuxZv3fOFcGIUPyt,https://api.spotify.com/v1/tracks/26U9nXHuxZv3fOFcGIUPyt,https://api.spotify.com/v1/audio-analysis/26U9nXHuxZv3fOFcGIUPyt,281494,3,Perfect Time,spotify:track:26U9nXHuxZv3fOFcGIUPyt,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
8,0.405,0.259,10,-12.931,1,0.0352,0.95,0.663,0.133,0.292,115.118,audio_features,1fPXhmFJ1xTMrm4RVn3FLj,spotify:track:1fPXhmFJ1xTMrm4RVn3FLj,https://api.spotify.com/v1/tracks/1fPXhmFJ1xTMrm4RVn3FLj,https://api.spotify.com/v1/audio-analysis/1fPXhmFJ1xTMrm4RVn3FLj,235973,3,Lullaby,spotify:track:1fPXhmFJ1xTMrm4RVn3FLj,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
9,0.278,0.696,9,-7.618,1,0.0729,0.285,0.00261,0.15,0.202,181.702,audio_features,0JrTmJUDEm6XzkZbneBgND,spotify:track:0JrTmJUDEm6XzkZbneBgND,https://api.spotify.com/v1/tracks/0JrTmJUDEm6XzkZbneBgND,https://api.spotify.com/v1/audio-analysis/0JrTmJUDEm6XzkZbneBgND,297413,4,The Ballad of Yaya,spotify:track:0JrTmJUDEm6XzkZbneBgND,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh
