,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.705,0.708,1,-5.76,1,0.0293,0.191,0.000144,0.279,0.472,135.029,audio_features,2oTbLJrRuZmCfFwAlPYRIg,spotify:track:2oTbLJrRuZmCfFwAlPYRIg,https://api.spotify.com/v1/tracks/2oTbLJrRuZmCfFwAlPYRIg,https://api.spotify.com/v1/audio-analysis/2oTbLJrRuZmCfFwAlPYRIg,193160,4,Famous,spotify:track:2oTbLJrRuZmCfFwAlPYRIg,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
1,0.782,0.839,0,-4.671,1,0.064,0.128,8.11e-05,0.076,0.222,96.058,audio_features,2TI4qo8zZMlXz0b2EqMvDV,spotify:track:2TI4qo8zZMlXz0b2EqMvDV,https://api.spotify.com/v1/tracks/2TI4qo8zZMlXz0b2EqMvDV,https://api.spotify.com/v1/audio-analysis/2TI4qo8zZMlXz0b2EqMvDV,160587,4,Song Like You,spotify:track:2TI4qo8zZMlXz0b2EqMvDV,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
2,0.848,0.606,1,-7.729,1,0.0456,0.00226,0.000683,0.0878,0.242,99.985,audio_features,6zU1a29cpjllHE0ScDTanF,spotify:track:6zU1a29cpjllHE0ScDTanF,https://api.spotify.com/v1/tracks/6zU1a29cpjllHE0ScDTanF,https://api.spotify.com/v1/audio-analysis/6zU1a29cpjllHE0ScDTanF,268950,4,Where I Come From,spotify:track:6zU1a29cpjllHE0ScDTanF,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
3,0.637,0.768,6,-5.513,1,0.0935,0.0359,1.06e-06,0.102,0.756,159.974,audio_features,7hwV00JbfYPgtctuf9vc24,spotify:track:7hwV00JbfYPgtctuf9vc24,https://api.spotify.com/v1/tracks/7hwV00JbfYPgtctuf9vc24,https://api.spotify.com/v1/audio-analysis/7hwV00JbfYPgtctuf9vc24,172392,4,Over & Over,spotify:track:7hwV00JbfYPgtctuf9vc24,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
4,0.502,0.608,2,-8.33,1,0.0387,0.523,0.0,0.0692,0.484,150.047,audio_features,4yoSAfvLNlscyFLDreAWXw,spotify:track:4yoSAfvLNlscyFLDreAWXw,https://api.spotify.com/v1/tracks/4yoSAfvLNlscyFLDreAWXw,https://api.spotify.com/v1/audio-analysis/4yoSAfvLNlscyFLDreAWXw,176666,4,One Last Song,spotify:track:4yoSAfvLNlscyFLDreAWXw,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
5,0.71,0.646,0,-7.458,1,0.0284,0.0385,0.00161,0.0872,0.234,95.035,audio_features,5CVQNqgEikVp6SPBrDNvY7,spotify:track:5CVQNqgEikVp6SPBrDNvY7,https://api.spotify.com/v1/tracks/5CVQNqgEikVp6SPBrDNvY7,https://api.spotify.com/v1/audio-analysis/5CVQNqgEikVp6SPBrDNvY7,177777,4,The Way She Move,spotify:track:5CVQNqgEikVp6SPBrDNvY7,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
6,0.649,0.856,2,-7.002,1,0.0448,0.00222,0.0397,0.132,0.373,150.014,audio_features,14yr9Du4EtXBUbdE2M7rP8,spotify:track:14yr9Du4EtXBUbdE2M7rP8,https://api.spotify.com/v1/tracks/14yr9Du4EtXBUbdE2M7rP8,https://api.spotify.com/v1/audio-analysis/14yr9Du4EtXBUbdE2M7rP8,220538,4,Let It Go,spotify:track:14yr9Du4EtXBUbdE2M7rP8,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
7,0.619,0.696,9,-5.075,0,0.0516,0.0459,0.00459,0.049,0.425,160.055,audio_features,2u5v6Q8IYbME93DylS1QIc,spotify:track:2u5v6Q8IYbME93DylS1QIc,https://api.spotify.com/v1/tracks/2u5v6Q8IYbME93DylS1QIc,https://api.spotify.com/v1/audio-analysis/2u5v6Q8IYbME93DylS1QIc,234867,4,The Kids (feat. Recycle Jordan),spotify:track:2u5v6Q8IYbME93DylS1QIc,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
8,0.79,0.685,8,-5.391,0,0.0359,0.0323,1.47e-05,0.105,0.525,97.997,audio_features,2eFMmV55GBVqYJcoBMXwKn,spotify:track:2eFMmV55GBVqYJcoBMXwKn,https://api.spotify.com/v1/tracks/2eFMmV55GBVqYJcoBMXwKn,https://api.spotify.com/v1/audio-analysis/2eFMmV55GBVqYJcoBMXwKn,190818,4,Vibe,spotify:track:2eFMmV55GBVqYJcoBMXwKn,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
9,0.757,0.692,1,-6.533,1,0.0704,0.0253,1.94e-06,0.134,0.81,160.049,audio_features,7g9A5arDMqoN9vXFCOjJx6,spotify:track:7g9A5arDMqoN9vXFCOjJx6,https://api.spotify.com/v1/tracks/7g9A5arDMqoN9vXFCOjJx6,https://api.spotify.com/v1/audio-analysis/7g9A5arDMqoN9vXFCOjJx6,196547,4,Queen,spotify:track:7g9A5arDMqoN9vXFCOjJx6,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
10,0.844,0.637,9,-2.984,0,0.0307,0.276,0.00889,0.145,0.409,100.002,audio_features,3Fy2Oy0zXLLz1LWXAe9a0Y,spotify:track:3Fy2Oy0zXLLz1LWXAe9a0Y,https://api.spotify.com/v1/tracks/3Fy2Oy0zXLLz1LWXAe9a0Y,https://api.spotify.com/v1/audio-analysis/3Fy2Oy0zXLLz1LWXAe9a0Y,236716,4,Lowkey,spotify:track:3Fy2Oy0zXLLz1LWXAe9a0Y,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
11,0.77,0.75,5,-10.071,1,0.522,0.848,0.092,0.16,0.537,148.033,audio_features,0MVMXFH2kEjgQ84vZKv7Yz,spotify:track:0MVMXFH2kEjgQ84vZKv7Yz,https://api.spotify.com/v1/tracks/0MVMXFH2kEjgQ84vZKv7Yz,https://api.spotify.com/v1/audio-analysis/0MVMXFH2kEjgQ84vZKv7Yz,220063,4,Silent Night (feat. Anna Maria Island),spotify:track:0MVMXFH2kEjgQ84vZKv7Yz,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
12,0.771,0.503,10,-10.114,0,0.0411,0.277,2.45e-06,0.135,0.679,120.033,audio_features,1iB49PGTzyCcpFRWAjpcZO,spotify:track:1iB49PGTzyCcpFRWAjpcZO,https://api.spotify.com/v1/tracks/1iB49PGTzyCcpFRWAjpcZO,https://api.spotify.com/v1/audio-analysis/1iB49PGTzyCcpFRWAjpcZO,208329,4,Baby It's Cold Outside (feat. Elena Coats),spotify:track:1iB49PGTzyCcpFRWAjpcZO,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
13,0.772,0.525,7,-7.708,0,0.0672,0.293,4.51e-06,0.0947,0.837,79.99,audio_features,6AikQoCgz8bys84pBKb40K,spotify:track:6AikQoCgz8bys84pBKb40K,https://api.spotify.com/v1/tracks/6AikQoCgz8bys84pBKb40K,https://api.spotify.com/v1/audio-analysis/6AikQoCgz8bys84pBKb40K,234561,4,One People,spotify:track:6AikQoCgz8bys84pBKb40K,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
14,0.73,0.667,0,-7.046,1,0.05,0.113,0.0375,0.0776,0.922,79.992,audio_features,2H4iy4GrOtIVgbrDGq6mGK,spotify:track:2H4iy4GrOtIVgbrDGq6mGK,https://api.spotify.com/v1/tracks/2H4iy4GrOtIVgbrDGq6mGK,https://api.spotify.com/v1/audio-analysis/2H4iy4GrOtIVgbrDGq6mGK,218324,4,Jingle Bells,spotify:track:2H4iy4GrOtIVgbrDGq6mGK,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
15,0.791,0.482,7,-11.288,1,0.0344,0.0221,0.000511,0.091,0.476,80.003,audio_features,0m3lPrLPgtqvcoKSbZ1rbo,spotify:track:0m3lPrLPgtqvcoKSbZ1rbo,https://api.spotify.com/v1/tracks/0m3lPrLPgtqvcoKSbZ1rbo,https://api.spotify.com/v1/audio-analysis/0m3lPrLPgtqvcoKSbZ1rbo,173350,4,The Christmas Song (Chestnuts Roasting On An Open Fire),spotify:track:0m3lPrLPgtqvcoKSbZ1rbo,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
16,0.783,0.564,5,-7.376,1,0.0313,0.526,0.000994,0.0938,0.855,140.008,audio_features,23NhkAGXQO5WfyhDRjl87V,spotify:track:23NhkAGXQO5WfyhDRjl87V,https://api.spotify.com/v1/tracks/23NhkAGXQO5WfyhDRjl87V,https://api.spotify.com/v1/audio-analysis/23NhkAGXQO5WfyhDRjl87V,190200,4,Have Yourself A Merry Little Christmas,spotify:track:23NhkAGXQO5WfyhDRjl87V,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
17,0.485,0.283,3,-10.622,1,0.0308,0.844,0.0,0.0777,0.4,129.894,audio_features,4LqhPiSlD35lCBfa02rRRj,spotify:track:4LqhPiSlD35lCBfa02rRRj,https://api.spotify.com/v1/tracks/4LqhPiSlD35lCBfa02rRRj,https://api.spotify.com/v1/audio-analysis/4LqhPiSlD35lCBfa02rRRj,195846,4,O Holy Night,spotify:track:4LqhPiSlD35lCBfa02rRRj,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
18,0.804,0.453,7,-6.711,1,0.039,0.0186,0.574,0.171,0.792,140.043,audio_features,0louePxVv8D8llHjAfBgmZ,spotify:track:0louePxVv8D8llHjAfBgmZ,https://api.spotify.com/v1/tracks/0louePxVv8D8llHjAfBgmZ,https://api.spotify.com/v1/audio-analysis/0louePxVv8D8llHjAfBgmZ,235103,4,White Christmas,spotify:track:0louePxVv8D8llHjAfBgmZ,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
19,0.624,0.354,8,-11.132,1,0.0365,0.163,0.126,0.103,0.534,150.018,audio_features,3Nsd3azSj2wmKaFfcGBMcR,spotify:track:3Nsd3azSj2wmKaFfcGBMcR,https://api.spotify.com/v1/tracks/3Nsd3azSj2wmKaFfcGBMcR,https://api.spotify.com/v1/audio-analysis/3Nsd3azSj2wmKaFfcGBMcR,165409,4,Little Drummer Boy,spotify:track:3Nsd3azSj2wmKaFfcGBMcR,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
20,0.269,0.194,7,-13.097,1,0.036,0.864,0.0,0.16,0.237,46.659,audio_features,0XwSUZh5QnDyQIH8AmpfOZ,spotify:track:0XwSUZh5QnDyQIH8AmpfOZ,https://api.spotify.com/v1/tracks/0XwSUZh5QnDyQIH8AmpfOZ,https://api.spotify.com/v1/audio-analysis/0XwSUZh5QnDyQIH8AmpfOZ,197110,4,There Is A Light,spotify:track:0XwSUZh5QnDyQIH8AmpfOZ,Elena Coats,76rOhzdFrZx37hyeA5cQgZ
