,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.529,0.218,3,-11.744,0,0.0338,0.894,0.00142,0.315,0.184,121.462,audio_features,3ugMZnIuboOjg3sm8E1urQ,spotify:track:3ugMZnIuboOjg3sm8E1urQ,https://api.spotify.com/v1/tracks/3ugMZnIuboOjg3sm8E1urQ,https://api.spotify.com/v1/audio-analysis/3ugMZnIuboOjg3sm8E1urQ,203173,4,My Kind of Fire,spotify:track:3ugMZnIuboOjg3sm8E1urQ,Elias,0UCLbPGOhtnYf29U7qbfLf
1,0.444,0.272,7,-10.418,0,0.0335,0.618,0.000492,0.116,0.127,71.998,audio_features,7CnQZYzZpSrw8RnOPJI9vg,spotify:track:7CnQZYzZpSrw8RnOPJI9vg,https://api.spotify.com/v1/tracks/7CnQZYzZpSrw8RnOPJI9vg,https://api.spotify.com/v1/audio-analysis/7CnQZYzZpSrw8RnOPJI9vg,199027,4,Holy,spotify:track:7CnQZYzZpSrw8RnOPJI9vg,Elias,0UCLbPGOhtnYf29U7qbfLf
2,0.291,0.214,4,-11.02,0,0.0322,0.897,0.0184,0.116,0.155,137.839,audio_features,4TGvTJKlMsW996b2cMZ7ZG,spotify:track:4TGvTJKlMsW996b2cMZ7ZG,https://api.spotify.com/v1/tracks/4TGvTJKlMsW996b2cMZ7ZG,https://api.spotify.com/v1/audio-analysis/4TGvTJKlMsW996b2cMZ7ZG,251120,4,Let Me Be The One,spotify:track:4TGvTJKlMsW996b2cMZ7ZG,Elias,0UCLbPGOhtnYf29U7qbfLf
3,0.681,0.4,9,-10.405,1,0.0608,0.728,0.00949,0.0799,0.549,144.969,audio_features,2Bd4WZSIauirf0G0sODwkU,spotify:track:2Bd4WZSIauirf0G0sODwkU,https://api.spotify.com/v1/tracks/2Bd4WZSIauirf0G0sODwkU,https://api.spotify.com/v1/audio-analysis/2Bd4WZSIauirf0G0sODwkU,191120,4,Last Time,spotify:track:2Bd4WZSIauirf0G0sODwkU,Elias,0UCLbPGOhtnYf29U7qbfLf
4,0.403,0.378,5,-9.72,0,0.104,0.786,0.0027,0.213,0.31,142.96,audio_features,00mxYZRGe2NAUAeivFRsSW,spotify:track:00mxYZRGe2NAUAeivFRsSW,https://api.spotify.com/v1/tracks/00mxYZRGe2NAUAeivFRsSW,https://api.spotify.com/v1/audio-analysis/00mxYZRGe2NAUAeivFRsSW,237307,4,My Hope,spotify:track:00mxYZRGe2NAUAeivFRsSW,Elias,0UCLbPGOhtnYf29U7qbfLf
5,0.68,0.578,9,-7.872,1,0.0748,0.728,1.6e-06,0.111,0.241,113.919,audio_features,729wjZIMDmQJ8dEmR4GAJ6,spotify:track:729wjZIMDmQJ8dEmR4GAJ6,https://api.spotify.com/v1/tracks/729wjZIMDmQJ8dEmR4GAJ6,https://api.spotify.com/v1/audio-analysis/729wjZIMDmQJ8dEmR4GAJ6,211933,4,I've Been Waiting,spotify:track:729wjZIMDmQJ8dEmR4GAJ6,Elias,0UCLbPGOhtnYf29U7qbfLf
6,0.513,0.116,8,-13.203,1,0.0385,0.946,0.0,0.132,0.271,75.878,audio_features,0EtEQVM2yVmIY2GgWJUQ9C,spotify:track:0EtEQVM2yVmIY2GgWJUQ9C,https://api.spotify.com/v1/tracks/0EtEQVM2yVmIY2GgWJUQ9C,https://api.spotify.com/v1/audio-analysis/0EtEQVM2yVmIY2GgWJUQ9C,243827,4,Where We Go,spotify:track:0EtEQVM2yVmIY2GgWJUQ9C,Elias,0UCLbPGOhtnYf29U7qbfLf
7,0.684,0.548,9,-7.841,0,0.0561,0.321,0.0,0.0953,0.472,82.537,audio_features,6uMciofhQOaYnMz0exCOvs,spotify:track:6uMciofhQOaYnMz0exCOvs,https://api.spotify.com/v1/tracks/6uMciofhQOaYnMz0exCOvs,https://api.spotify.com/v1/audio-analysis/6uMciofhQOaYnMz0exCOvs,211920,4,Hold It Out,spotify:track:6uMciofhQOaYnMz0exCOvs,Elias,0UCLbPGOhtnYf29U7qbfLf
8,0.47,0.341,4,-8.337,0,0.0275,0.193,0.0,0.102,0.144,59.973,audio_features,5ChQHJhW6RHf10bmmmrTsB,spotify:track:5ChQHJhW6RHf10bmmmrTsB,https://api.spotify.com/v1/tracks/5ChQHJhW6RHf10bmmmrTsB,https://api.spotify.com/v1/audio-analysis/5ChQHJhW6RHf10bmmmrTsB,254000,4,Focus,spotify:track:5ChQHJhW6RHf10bmmmrTsB,Elias,0UCLbPGOhtnYf29U7qbfLf
9,0.353,0.408,7,-8.882,1,0.0389,0.22,3.58e-05,0.12,0.13,139.415,audio_features,6NqWkjJYrl0btI44T9dTjg,spotify:track:6NqWkjJYrl0btI44T9dTjg,https://api.spotify.com/v1/tracks/6NqWkjJYrl0btI44T9dTjg,https://api.spotify.com/v1/audio-analysis/6NqWkjJYrl0btI44T9dTjg,248895,4,Hope,spotify:track:6NqWkjJYrl0btI44T9dTjg,Elias,0UCLbPGOhtnYf29U7qbfLf
