,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.301,0.419,6,-9.295,0,0.0288,0.621,0.179,0.108,0.0577,144.671,audio_features,5mLVIRT0jcX2H8yAxOJkw0,spotify:track:5mLVIRT0jcX2H8yAxOJkw0,https://api.spotify.com/v1/tracks/5mLVIRT0jcX2H8yAxOJkw0,https://api.spotify.com/v1/audio-analysis/5mLVIRT0jcX2H8yAxOJkw0,217853,4,Under the Blood Moon,spotify:track:5mLVIRT0jcX2H8yAxOJkw0,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
1,0.438,0.655,0,-7.973,1,0.0299,0.408,0.72,0.411,0.389,109.955,audio_features,6bQXfhXXYYFduu341GgZiP,spotify:track:6bQXfhXXYYFduu341GgZiP,https://api.spotify.com/v1/tracks/6bQXfhXXYYFduu341GgZiP,https://api.spotify.com/v1/audio-analysis/6bQXfhXXYYFduu341GgZiP,200973,4,Chains of Promises,spotify:track:6bQXfhXXYYFduu341GgZiP,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
2,0.546,0.668,8,-8.022,0,0.0342,0.671,0.919,0.155,0.323,119.978,audio_features,2W3Z4r19OwBPHqEcD042QB,spotify:track:2W3Z4r19OwBPHqEcD042QB,https://api.spotify.com/v1/tracks/2W3Z4r19OwBPHqEcD042QB,https://api.spotify.com/v1/audio-analysis/2W3Z4r19OwBPHqEcD042QB,239360,4,Ocean,spotify:track:2W3Z4r19OwBPHqEcD042QB,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
3,0.506,0.58,8,-7.629,0,0.0355,0.476,0.223,0.192,0.304,127.973,audio_features,6uvtjD6fR4JG19JgQsKLjE,spotify:track:6uvtjD6fR4JG19JgQsKLjE,https://api.spotify.com/v1/tracks/6uvtjD6fR4JG19JgQsKLjE,https://api.spotify.com/v1/audio-analysis/6uvtjD6fR4JG19JgQsKLjE,195547,4,Au Volant,spotify:track:6uvtjD6fR4JG19JgQsKLjE,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
4,0.368,0.385,9,-11.495,0,0.0318,0.762,0.915,0.0977,0.102,82.029,audio_features,77D46sDikGgz9LRYhM8uS5,spotify:track:77D46sDikGgz9LRYhM8uS5,https://api.spotify.com/v1/tracks/77D46sDikGgz9LRYhM8uS5,https://api.spotify.com/v1/audio-analysis/77D46sDikGgz9LRYhM8uS5,228120,4,Sinnerman,spotify:track:77D46sDikGgz9LRYhM8uS5,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
5,0.497,0.628,4,-7.101,0,0.0287,0.128,0.0681,0.293,0.263,105.993,audio_features,5aJt7fSjMPb38WHsNPg13n,spotify:track:5aJt7fSjMPb38WHsNPg13n,https://api.spotify.com/v1/tracks/5aJt7fSjMPb38WHsNPg13n,https://api.spotify.com/v1/audio-analysis/5aJt7fSjMPb38WHsNPg13n,184707,4,Six Hours,spotify:track:5aJt7fSjMPb38WHsNPg13n,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
6,0.276,0.258,4,-12.661,0,0.0336,0.868,0.128,0.0774,0.11,107.717,audio_features,6eUpPxAGyGZEuPY8Dsxyjs,spotify:track:6eUpPxAGyGZEuPY8Dsxyjs,https://api.spotify.com/v1/tracks/6eUpPxAGyGZEuPY8Dsxyjs,https://api.spotify.com/v1/audio-analysis/6eUpPxAGyGZEuPY8Dsxyjs,190253,3,Kill Your Darlings,spotify:track:6eUpPxAGyGZEuPY8Dsxyjs,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
7,0.419,0.649,9,-9.158,0,0.0302,0.506,0.307,0.31,0.382,151.861,audio_features,1MWfQ3JbqJrp6bhSG4xobV,spotify:track:1MWfQ3JbqJrp6bhSG4xobV,https://api.spotify.com/v1/tracks/1MWfQ3JbqJrp6bhSG4xobV,https://api.spotify.com/v1/audio-analysis/1MWfQ3JbqJrp6bhSG4xobV,217893,4,Waiting,spotify:track:1MWfQ3JbqJrp6bhSG4xobV,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
8,0.474,0.23,8,-13.126,0,0.0321,0.914,0.0094,0.141,0.167,97.037,audio_features,54TTQaKn0cspOCLJOKaZiT,spotify:track:54TTQaKn0cspOCLJOKaZiT,https://api.spotify.com/v1/tracks/54TTQaKn0cspOCLJOKaZiT,https://api.spotify.com/v1/audio-analysis/54TTQaKn0cspOCLJOKaZiT,187267,4,The Drowning,spotify:track:54TTQaKn0cspOCLJOKaZiT,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
9,0.64,0.851,11,-7.024,0,0.0371,0.108,0.000267,0.136,0.604,105.956,audio_features,4GAASor2AiPvM3Wl05dkKf,spotify:track:4GAASor2AiPvM3Wl05dkKf,https://api.spotify.com/v1/tracks/4GAASor2AiPvM3Wl05dkKf,https://api.spotify.com/v1/audio-analysis/4GAASor2AiPvM3Wl05dkKf,221987,4,Endless Optimism,spotify:track:4GAASor2AiPvM3Wl05dkKf,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY
