,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,49it80G0Pu2L4Ip4KoToiK,spotify:track:49it80G0Pu2L4Ip4KoToiK,https://api.spotify.com/v1/tracks/49it80G0Pu2L4Ip4KoToiK,https://api.spotify.com/v1/audio-analysis/49it80G0Pu2L4Ip4KoToiK,202735,4,Cold Heart - PNAU Remix,spotify:track:49it80G0Pu2L4Ip4KoToiK,Elton John,3PhoLpVuITZKcymswpck5b
1,0.686,0.651,1,-4.935,1,0.0408,0.246,6.4e-06,0.114,0.243,122.987,audio_features,4PHCQGGLKjK3JIfDXmsVSR,spotify:track:4PHCQGGLKjK3JIfDXmsVSR,https://api.spotify.com/v1/tracks/4PHCQGGLKjK3JIfDXmsVSR,https://api.spotify.com/v1/audio-analysis/4PHCQGGLKjK3JIfDXmsVSR,257238,4,Always Love You,spotify:track:4PHCQGGLKjK3JIfDXmsVSR,Elton John,3PhoLpVuITZKcymswpck5b
2,0.563,0.537,1,-6.138,1,0.0794,0.552,0.0,0.0655,0.658,173.785,audio_features,7k7AWoLRwxubONxNNH9adt,spotify:track:7k7AWoLRwxubONxNNH9adt,https://api.spotify.com/v1/tracks/7k7AWoLRwxubONxNNH9adt,https://api.spotify.com/v1/audio-analysis/7k7AWoLRwxubONxNNH9adt,211214,4,Learn To Fly,spotify:track:7k7AWoLRwxubONxNNH9adt,Elton John,3PhoLpVuITZKcymswpck5b
3,0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,audio_features,2dvOAnaA6sEaai1q31Luvh,spotify:track:2dvOAnaA6sEaai1q31Luvh,https://api.spotify.com/v1/tracks/2dvOAnaA6sEaai1q31Luvh,https://api.spotify.com/v1/audio-analysis/2dvOAnaA6sEaai1q31Luvh,208715,4,After All,spotify:track:2dvOAnaA6sEaai1q31Luvh,Elton John,3PhoLpVuITZKcymswpck5b
4,0.497,0.586,4,-6.985,1,0.0413,0.496,0.0,0.0698,0.283,73.016,audio_features,6vEUsTftjDrpaFKh0Oi66K,spotify:track:6vEUsTftjDrpaFKh0Oi66K,https://api.spotify.com/v1/tracks/6vEUsTftjDrpaFKh0Oi66K,https://api.spotify.com/v1/audio-analysis/6vEUsTftjDrpaFKh0Oi66K,280381,4,Chosen Family,spotify:track:6vEUsTftjDrpaFKh0Oi66K,Elton John,3PhoLpVuITZKcymswpck5b
5,0.351,0.481,0,-8.03,1,0.0406,0.539,0.000206,0.0609,0.465,64.485,audio_features,2NAOth4k77wP5zhz8YQiZf,spotify:track:2NAOth4k77wP5zhz8YQiZf,https://api.spotify.com/v1/tracks/2NAOth4k77wP5zhz8YQiZf,https://api.spotify.com/v1/audio-analysis/2NAOth4k77wP5zhz8YQiZf,253053,4,The Pink Phantom,spotify:track:2NAOth4k77wP5zhz8YQiZf,Elton John,3PhoLpVuITZKcymswpck5b
6,0.615,0.84,0,-6.413,0,0.0362,0.0511,6.08e-05,0.231,0.204,125.027,audio_features,0FCuFNLRCSX5wrL3C25wn6,spotify:track:0FCuFNLRCSX5wrL3C25wn6,https://api.spotify.com/v1/tracks/0FCuFNLRCSX5wrL3C25wn6,https://api.spotify.com/v1/audio-analysis/0FCuFNLRCSX5wrL3C25wn6,284904,4,It's a sin - global reach mix,spotify:track:0FCuFNLRCSX5wrL3C25wn6,Elton John,3PhoLpVuITZKcymswpck5b
7,0.452,0.668,4,-5.118,0,0.0292,0.00516,1.45e-05,0.112,0.142,142.548,audio_features,6QC8zX7AY56ogWRxhsTGiz,spotify:track:6QC8zX7AY56ogWRxhsTGiz,https://api.spotify.com/v1/tracks/6QC8zX7AY56ogWRxhsTGiz,https://api.spotify.com/v1/audio-analysis/6QC8zX7AY56ogWRxhsTGiz,395786,3,Nothing Else Matters,spotify:track:6QC8zX7AY56ogWRxhsTGiz,Elton John,3PhoLpVuITZKcymswpck5b
8,0.72,0.804,8,-4.231,1,0.0358,0.00282,0.143,0.129,0.822,114.002,audio_features,2zHDGYNJ0e27IHn1FvesGM,spotify:track:2zHDGYNJ0e27IHn1FvesGM,https://api.spotify.com/v1/tracks/2zHDGYNJ0e27IHn1FvesGM,https://api.spotify.com/v1/audio-analysis/2zHDGYNJ0e27IHn1FvesGM,208226,4,Orbit,spotify:track:2zHDGYNJ0e27IHn1FvesGM,Elton John,3PhoLpVuITZKcymswpck5b
9,0.506,0.795,0,-4.628,1,0.0299,0.263,7.68e-05,0.142,0.277,88.057,audio_features,4NjL1VHEqZ4CzC0UjcXXxH,spotify:track:4NjL1VHEqZ4CzC0UjcXXxH,https://api.spotify.com/v1/tracks/4NjL1VHEqZ4CzC0UjcXXxH,https://api.spotify.com/v1/audio-analysis/4NjL1VHEqZ4CzC0UjcXXxH,251586,4,Simple Things,spotify:track:4NjL1VHEqZ4CzC0UjcXXxH,Elton John,3PhoLpVuITZKcymswpck5b
10,0.582,0.821,9,-4.417,1,0.0843,0.00868,6.36e-06,0.0846,0.16,155.003,audio_features,0CBoq7KLlVF4gTp7s8VWcq,spotify:track:0CBoq7KLlVF4gTp7s8VWcq,https://api.spotify.com/v1/tracks/0CBoq7KLlVF4gTp7s8VWcq,https://api.spotify.com/v1/audio-analysis/0CBoq7KLlVF4gTp7s8VWcq,230870,4,Beauty In The Bones,spotify:track:0CBoq7KLlVF4gTp7s8VWcq,Elton John,3PhoLpVuITZKcymswpck5b
11,0.708,0.593,3,-4.921,0,0.0529,0.16,0.0,0.169,0.507,144.09,audio_features,3J5ZhKSXqMHqb8EyqyTYfg,spotify:track:3J5ZhKSXqMHqb8EyqyTYfg,https://api.spotify.com/v1/tracks/3J5ZhKSXqMHqb8EyqyTYfg,https://api.spotify.com/v1/audio-analysis/3J5ZhKSXqMHqb8EyqyTYfg,161667,4,One Of Me,spotify:track:3J5ZhKSXqMHqb8EyqyTYfg,Elton John,3PhoLpVuITZKcymswpck5b
12,0.384,0.946,7,-2.149,1,0.0654,0.00054,0.0,0.147,0.279,138.167,audio_features,7fTG5a3rCs7ZIlI3KW20oJ,spotify:track:7fTG5a3rCs7ZIlI3KW20oJ,https://api.spotify.com/v1/tracks/7fTG5a3rCs7ZIlI3KW20oJ,https://api.spotify.com/v1/audio-analysis/7fTG5a3rCs7ZIlI3KW20oJ,198818,4,E-Ticket,spotify:track:7fTG5a3rCs7ZIlI3KW20oJ,Elton John,3PhoLpVuITZKcymswpck5b
13,0.48,0.803,5,-3.415,1,0.0485,0.0756,0.0,0.195,0.539,171.79,audio_features,7cwIZjlI68BncRBhXFV9ks,spotify:track:7cwIZjlI68BncRBhXFV9ks,https://api.spotify.com/v1/tracks/7cwIZjlI68BncRBhXFV9ks,https://api.spotify.com/v1/audio-analysis/7cwIZjlI68BncRBhXFV9ks,264847,4,Finish Line,spotify:track:7cwIZjlI68BncRBhXFV9ks,Elton John,3PhoLpVuITZKcymswpck5b
14,0.516,0.762,1,-4.306,1,0.0319,0.00691,0.000178,0.241,0.226,139.834,audio_features,6LmpRbrN12y6YO9u0l3e3i,spotify:track:6LmpRbrN12y6YO9u0l3e3i,https://api.spotify.com/v1/tracks/6LmpRbrN12y6YO9u0l3e3i,https://api.spotify.com/v1/audio-analysis/6LmpRbrN12y6YO9u0l3e3i,337754,4,Stolen Car,spotify:track:6LmpRbrN12y6YO9u0l3e3i,Elton John,3PhoLpVuITZKcymswpck5b
15,0.35,0.462,7,-6.433,1,0.0273,0.0638,0.000453,0.238,0.111,60.016,audio_features,6R2FBoFzid7OAlMIXRvGNP,spotify:track:6R2FBoFzid7OAlMIXRvGNP,https://api.spotify.com/v1/tracks/6R2FBoFzid7OAlMIXRvGNP,https://api.spotify.com/v1/audio-analysis/6R2FBoFzid7OAlMIXRvGNP,176555,4,I'm Not Gonna Miss You,spotify:track:6R2FBoFzid7OAlMIXRvGNP,Elton John,3PhoLpVuITZKcymswpck5b
16,0.431,0.244,5,-15.817,1,0.0356,0.84,0.0,0.0721,0.343,94.261,audio_features,2bz2cpm4hAU2XclXLJYQj1,spotify:track:2bz2cpm4hAU2XclXLJYQj1,https://api.spotify.com/v1/tracks/2bz2cpm4hAU2XclXLJYQj1,https://api.spotify.com/v1/audio-analysis/2bz2cpm4hAU2XclXLJYQj1,192307,4,Scarecrow - Piano/Tambourine Demo,spotify:track:2bz2cpm4hAU2XclXLJYQj1,Elton John,3PhoLpVuITZKcymswpck5b
17,0.368,0.348,9,-12.912,1,0.0317,0.924,0.329,0.174,0.388,157.884,audio_features,1fwDWtEY6QRQSZmw2aj4iR,spotify:track:1fwDWtEY6QRQSZmw2aj4iR,https://api.spotify.com/v1/tracks/1fwDWtEY6QRQSZmw2aj4iR,https://api.spotify.com/v1/audio-analysis/1fwDWtEY6QRQSZmw2aj4iR,274293,3,Holiday Inn - Piano Demo,spotify:track:1fwDWtEY6QRQSZmw2aj4iR,Elton John,3PhoLpVuITZKcymswpck5b
18,0.553,0.707,7,-9.356,0,0.0386,0.697,0.0106,0.119,0.418,83.899,audio_features,1AARvQLoXfnQstTo6eHJ8a,spotify:track:1AARvQLoXfnQstTo6eHJ8a,https://api.spotify.com/v1/tracks/1AARvQLoXfnQstTo6eHJ8a,https://api.spotify.com/v1/audio-analysis/1AARvQLoXfnQstTo6eHJ8a,255973,4,Keep It A Mystery,spotify:track:1AARvQLoXfnQstTo6eHJ8a,Elton John,3PhoLpVuITZKcymswpck5b
