,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.428,0.713,1,-5.339,1,0.0376,0.000936,0.000233,0.368,0.431,168.074,audio_features,1XhxiMLnvp1HjhvZ4aGIRY,spotify:track:1XhxiMLnvp1HjhvZ4aGIRY,https://api.spotify.com/v1/tracks/1XhxiMLnvp1HjhvZ4aGIRY,https://api.spotify.com/v1/audio-analysis/1XhxiMLnvp1HjhvZ4aGIRY,201000,4,10/10,spotify:track:1XhxiMLnvp1HjhvZ4aGIRY,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
1,0.448,0.956,2,-5.421,1,0.0527,1.11e-05,4.57e-06,0.404,0.621,94.987,audio_features,5r71novvWjDyPHQLkqYqTD,spotify:track:5r71novvWjDyPHQLkqYqTD,https://api.spotify.com/v1/tracks/5r71novvWjDyPHQLkqYqTD,https://api.spotify.com/v1/audio-analysis/5r71novvWjDyPHQLkqYqTD,180991,4,You Know It's Wrong,spotify:track:5r71novvWjDyPHQLkqYqTD,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
2,0.487,0.915,7,-5.272,0,0.0451,3.3e-05,0.0148,0.292,0.446,96.016,audio_features,6uDgdW7c0bC1k1pv6zcLYV,spotify:track:6uDgdW7c0bC1k1pv6zcLYV,https://api.spotify.com/v1/tracks/6uDgdW7c0bC1k1pv6zcLYV,https://api.spotify.com/v1/audio-analysis/6uDgdW7c0bC1k1pv6zcLYV,173613,4,No Problem,spotify:track:6uDgdW7c0bC1k1pv6zcLYV,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
3,0.526,0.927,5,-5.554,0,0.0387,6.84e-05,0.138,0.915,0.843,139.101,audio_features,7l6RZysO4YjiAH2QsPBoMM,spotify:track:7l6RZysO4YjiAH2QsPBoMM,https://api.spotify.com/v1/tracks/7l6RZysO4YjiAH2QsPBoMM,https://api.spotify.com/v1/audio-analysis/7l6RZysO4YjiAH2QsPBoMM,157321,4,Blue Lips,spotify:track:7l6RZysO4YjiAH2QsPBoMM,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
4,0.619,0.892,11,-6.088,0,0.0286,0.00608,9.02e-05,0.152,0.856,98.028,audio_features,2rhIkV9n1kmDeLMxaOtAqj,spotify:track:2rhIkV9n1kmDeLMxaOtAqj,https://api.spotify.com/v1/tracks/2rhIkV9n1kmDeLMxaOtAqj,https://api.spotify.com/v1/audio-analysis/2rhIkV9n1kmDeLMxaOtAqj,182961,4,Blow Up,spotify:track:2rhIkV9n1kmDeLMxaOtAqj,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
5,0.436,0.943,0,-6.085,1,0.0496,4.53e-05,0.00891,0.434,0.57,83.985,audio_features,7AbjC5w93U03U0giTHt4TI,spotify:track:7AbjC5w93U03U0giTHt4TI,https://api.spotify.com/v1/tracks/7AbjC5w93U03U0giTHt4TI,https://api.spotify.com/v1/audio-analysis/7AbjC5w93U03U0giTHt4TI,173000,4,Cut // Run,spotify:track:7AbjC5w93U03U0giTHt4TI,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
6,0.333,0.96,11,-6.147,1,0.054,2.97e-06,0.735,0.346,0.68,187.035,audio_features,1bkeWY3tyWQ9Bm6u4noRhY,spotify:track:1bkeWY3tyWQ9Bm6u4noRhY,https://api.spotify.com/v1/tracks/1bkeWY3tyWQ9Bm6u4noRhY,https://api.spotify.com/v1/audio-analysis/1bkeWY3tyWQ9Bm6u4noRhY,152817,4,A.Y.R.F.W.C.,spotify:track:1bkeWY3tyWQ9Bm6u4noRhY,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
7,0.631,0.935,2,-4.623,1,0.0382,0.0021,0.000218,0.34,0.961,130.034,audio_features,4nq86UXj1xZAULvRKbDUix,spotify:track:4nq86UXj1xZAULvRKbDUix,https://api.spotify.com/v1/tracks/4nq86UXj1xZAULvRKbDUix,https://api.spotify.com/v1/audio-analysis/4nq86UXj1xZAULvRKbDUix,172993,4,Who Am I?,spotify:track:4nq86UXj1xZAULvRKbDUix,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
8,0.364,0.915,2,-5.51,1,0.0473,9.19e-06,0.000564,0.265,0.743,168.055,audio_features,4BLxwZnIi7GwSt91EtuHUC,spotify:track:4BLxwZnIi7GwSt91EtuHUC,https://api.spotify.com/v1/tracks/4BLxwZnIi7GwSt91EtuHUC,https://api.spotify.com/v1/audio-analysis/4BLxwZnIi7GwSt91EtuHUC,181744,4,Romantic Horror,spotify:track:4BLxwZnIi7GwSt91EtuHUC,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
9,0.484,0.892,4,-5.834,0,0.0353,0.000791,0.236,0.0671,0.531,91.0,audio_features,2BFBSyYThi6eSzm0sEoli7,spotify:track:2BFBSyYThi6eSzm0sEoli7,https://api.spotify.com/v1/tracks/2BFBSyYThi6eSzm0sEoli7,https://api.spotify.com/v1/audio-analysis/2BFBSyYThi6eSzm0sEoli7,179960,4,Wait On,spotify:track:2BFBSyYThi6eSzm0sEoli7,Ex Ømerta,0hkwsTvHfdny1bWeqW6Smv
