,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.694,0.935,10,-4.239,0,0.0845,0.00219,0.759,0.153,0.666,124.983,audio_features,6mo88PgAWke0VsVbFmABoT,spotify:track:6mo88PgAWke0VsVbFmABoT,https://api.spotify.com/v1/tracks/6mo88PgAWke0VsVbFmABoT,https://api.spotify.com/v1/audio-analysis/6mo88PgAWke0VsVbFmABoT,222725,4,TROUBLEMAKER,spotify:track:6mo88PgAWke0VsVbFmABoT,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
1,0.493,0.801,11,-3.364,0,0.0342,0.00958,0.607,0.142,0.099,108.001,audio_features,2Q1ePwIF8CrYzhV3pTsgaE,spotify:track:2Q1ePwIF8CrYzhV3pTsgaE,https://api.spotify.com/v1/tracks/2Q1ePwIF8CrYzhV3pTsgaE,https://api.spotify.com/v1/audio-analysis/2Q1ePwIF8CrYzhV3pTsgaE,186667,4,VIOLENCE,spotify:track:2Q1ePwIF8CrYzhV3pTsgaE,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
2,0.394,0.918,7,-3.831,0,0.105,0.000923,0.0974,0.101,0.26,154.907,audio_features,1pdV5dS32lvCQWp0Bh3UG0,spotify:track:1pdV5dS32lvCQWp0Bh3UG0,https://api.spotify.com/v1/tracks/1pdV5dS32lvCQWp0Bh3UG0,https://api.spotify.com/v1/audio-analysis/1pdV5dS32lvCQWp0Bh3UG0,223327,4,INERTIA,spotify:track:1pdV5dS32lvCQWp0Bh3UG0,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
3,0.502,0.902,4,-3.894,0,0.0431,0.000362,0.664,0.106,0.0662,165.082,audio_features,0re1suVg1TYTmhy8Bb1wJp,spotify:track:0re1suVg1TYTmhy8Bb1wJp,https://api.spotify.com/v1/tracks/0re1suVg1TYTmhy8Bb1wJp,https://api.spotify.com/v1/audio-analysis/0re1suVg1TYTmhy8Bb1wJp,249455,4,MENTAL STATE,spotify:track:0re1suVg1TYTmhy8Bb1wJp,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
4,0.418,0.918,7,-3.814,0,0.106,0.000941,0.0903,0.103,0.258,154.951,audio_features,5pqaZzkZ5AnjZs5AV3Bnvn,spotify:track:5pqaZzkZ5AnjZs5AV3Bnvn,https://api.spotify.com/v1/tracks/5pqaZzkZ5AnjZs5AV3Bnvn,https://api.spotify.com/v1/audio-analysis/5pqaZzkZ5AnjZs5AV3Bnvn,223327,4,INERTIA,spotify:track:5pqaZzkZ5AnjZs5AV3Bnvn,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
5,0.501,0.903,4,-3.894,0,0.0433,0.000363,0.692,0.106,0.0662,165.082,audio_features,6fWFFBD6VM5xEHpQUFhLe1,spotify:track:6fWFFBD6VM5xEHpQUFhLe1,https://api.spotify.com/v1/tracks/6fWFFBD6VM5xEHpQUFhLe1,https://api.spotify.com/v1/audio-analysis/6fWFFBD6VM5xEHpQUFhLe1,249455,4,MENTAL STATE,spotify:track:6fWFFBD6VM5xEHpQUFhLe1,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
6,0.748,0.475,5,-8.874,0,0.0326,0.529,0.88,0.11,0.173,108.011,audio_features,7gKrUvZlCdVTG7W24mQHNU,spotify:track:7gKrUvZlCdVTG7W24mQHNU,https://api.spotify.com/v1/tracks/7gKrUvZlCdVTG7W24mQHNU,https://api.spotify.com/v1/audio-analysis/7gKrUvZlCdVTG7W24mQHNU,184473,4,Lost,spotify:track:7gKrUvZlCdVTG7W24mQHNU,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
7,0.637,0.775,7,-6.195,0,0.0323,0.000537,0.832,0.166,0.126,130.046,audio_features,6uOvYTdwIuKMs7Ci3C61Xb,spotify:track:6uOvYTdwIuKMs7Ci3C61Xb,https://api.spotify.com/v1/tracks/6uOvYTdwIuKMs7Ci3C61Xb,https://api.spotify.com/v1/audio-analysis/6uOvYTdwIuKMs7Ci3C61Xb,228133,4,Victory (F.O.O.L Remix),spotify:track:6uOvYTdwIuKMs7Ci3C61Xb,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
8,0.622,0.925,7,-4.347,1,0.0644,6.63e-05,0.207,0.113,0.131,128.032,audio_features,6REU88k9oIi7PNEPBKSLwQ,spotify:track:6REU88k9oIi7PNEPBKSLwQ,https://api.spotify.com/v1/tracks/6REU88k9oIi7PNEPBKSLwQ,https://api.spotify.com/v1/audio-analysis/6REU88k9oIi7PNEPBKSLwQ,194062,4,Dystopia 2077,spotify:track:6REU88k9oIi7PNEPBKSLwQ,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
9,0.54,0.86,10,-2.367,1,0.0309,0.000198,0.669,0.0838,0.15,114.978,audio_features,7kEpmKijhbbqsHZdE5i9wT,spotify:track:7kEpmKijhbbqsHZdE5i9wT,https://api.spotify.com/v1/tracks/7kEpmKijhbbqsHZdE5i9wT,https://api.spotify.com/v1/audio-analysis/7kEpmKijhbbqsHZdE5i9wT,214364,4,Hysteria,spotify:track:7kEpmKijhbbqsHZdE5i9wT,F.O.O.L,1ldNdtZX38LAsOk0ciLvb2
