,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.243,0.241,0,-14.754,0,0.0579,0.839,0.0417,0.325,0.18,81.285,audio_features,1xsb4ZIwzSi5dacBz9oMdA,spotify:track:1xsb4ZIwzSi5dacBz9oMdA,https://api.spotify.com/v1/tracks/1xsb4ZIwzSi5dacBz9oMdA,https://api.spotify.com/v1/audio-analysis/1xsb4ZIwzSi5dacBz9oMdA,300507,4,thousand eyes,spotify:track:1xsb4ZIwzSi5dacBz9oMdA,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
1,0.378,0.196,0,-12.5,1,0.0561,0.842,2.76e-05,0.105,0.0995,119.037,audio_features,7BpykYGkewMF00FzSJLSgH,spotify:track:7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/tracks/7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/audio-analysis/7BpykYGkewMF00FzSJLSgH,224947,5,home with you,spotify:track:7BpykYGkewMF00FzSJLSgH,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
2,0.434,0.469,0,-10.681,0,0.166,0.808,0.000212,0.0856,0.14,136.723,audio_features,68lrQ6jAW5cOyn7GX39uzz,spotify:track:68lrQ6jAW5cOyn7GX39uzz,https://api.spotify.com/v1/tracks/68lrQ6jAW5cOyn7GX39uzz,https://api.spotify.com/v1/audio-analysis/68lrQ6jAW5cOyn7GX39uzz,255720,4,sad day,spotify:track:68lrQ6jAW5cOyn7GX39uzz,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
3,0.534,0.579,7,-7.541,0,0.123,0.369,0.00437,0.119,0.252,159.774,audio_features,5ZmzzBiEAIVCkgsPyh80gt,spotify:track:5ZmzzBiEAIVCkgsPyh80gt,https://api.spotify.com/v1/tracks/5ZmzzBiEAIVCkgsPyh80gt,https://api.spotify.com/v1/audio-analysis/5ZmzzBiEAIVCkgsPyh80gt,243000,4,holy terrain,spotify:track:5ZmzzBiEAIVCkgsPyh80gt,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
4,0.391,0.444,1,-13.137,0,0.119,0.488,3.26e-05,0.111,0.159,171.831,audio_features,77tQQM8iEswfiSVLbTrFPX,spotify:track:77tQQM8iEswfiSVLbTrFPX,https://api.spotify.com/v1/tracks/77tQQM8iEswfiSVLbTrFPX,https://api.spotify.com/v1/audio-analysis/77tQQM8iEswfiSVLbTrFPX,321067,5,mary magdalene,spotify:track:77tQQM8iEswfiSVLbTrFPX,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
5,0.581,0.674,9,-7.734,0,0.0498,0.353,0.000126,0.303,0.214,139.944,audio_features,2uZkWDubNphtNJxUbvCLd7,spotify:track:2uZkWDubNphtNJxUbvCLd7,https://api.spotify.com/v1/tracks/2uZkWDubNphtNJxUbvCLd7,https://api.spotify.com/v1/audio-analysis/2uZkWDubNphtNJxUbvCLd7,238960,4,fallen alien,spotify:track:2uZkWDubNphtNJxUbvCLd7,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
6,0.343,0.304,0,-9.972,1,0.0488,0.801,1.38e-06,0.0961,0.224,91.707,audio_features,7kofQ4W8kA6nOzyXdPz7ny,spotify:track:7kofQ4W8kA6nOzyXdPz7ny,https://api.spotify.com/v1/tracks/7kofQ4W8kA6nOzyXdPz7ny,https://api.spotify.com/v1/audio-analysis/7kofQ4W8kA6nOzyXdPz7ny,272947,4,mirrored heart,spotify:track:7kofQ4W8kA6nOzyXdPz7ny,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
7,0.33,0.313,0,-13.592,1,0.0463,0.561,0.0056,0.118,0.102,90.654,audio_features,2bciAhiIMuBIoKHNg6FZG4,spotify:track:2bciAhiIMuBIoKHNg6FZG4,https://api.spotify.com/v1/tracks/2bciAhiIMuBIoKHNg6FZG4,https://api.spotify.com/v1/audio-analysis/2bciAhiIMuBIoKHNg6FZG4,271427,4,daybed,spotify:track:2bciAhiIMuBIoKHNg6FZG4,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
8,0.431,0.284,2,-11.858,1,0.0432,0.871,0.000136,0.0899,0.229,98.317,audio_features,7x8pIrhMu9FCmqqHNyuH0P,spotify:track:7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/tracks/7x8pIrhMu9FCmqqHNyuH0P,https://api.spotify.com/v1/audio-analysis/7x8pIrhMu9FCmqqHNyuH0P,204067,1,cellophane,spotify:track:7x8pIrhMu9FCmqqHNyuH0P,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
9,0.283,0.656,1,-6.224,1,0.0513,0.572,0.364,0.0545,0.039,110.536,audio_features,5HbUqdkZuNhDzZje6dIYTD,spotify:track:5HbUqdkZuNhDzZje6dIYTD,https://api.spotify.com/v1/tracks/5HbUqdkZuNhDzZje6dIYTD,https://api.spotify.com/v1/audio-analysis/5HbUqdkZuNhDzZje6dIYTD,106787,4,Preface,spotify:track:5HbUqdkZuNhDzZje6dIYTD,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
10,0.28,0.453,11,-10.706,0,0.124,0.0791,0.000129,0.564,0.296,75.16,audio_features,5GYjQW9v9fmoFy03hmlo5B,spotify:track:5GYjQW9v9fmoFy03hmlo5B,https://api.spotify.com/v1/tracks/5GYjQW9v9fmoFy03hmlo5B,https://api.spotify.com/v1/audio-analysis/5GYjQW9v9fmoFy03hmlo5B,264360,4,Lights On,spotify:track:5GYjQW9v9fmoFy03hmlo5B,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
11,0.479,0.716,0,-6.663,1,0.228,0.0624,0.000685,0.0814,0.338,109.748,audio_features,6V0LX0hP1S0qH513CChAKt,spotify:track:6V0LX0hP1S0qH513CChAKt,https://api.spotify.com/v1/tracks/6V0LX0hP1S0qH513CChAKt,https://api.spotify.com/v1/audio-analysis/6V0LX0hP1S0qH513CChAKt,247547,4,Two Weeks,spotify:track:6V0LX0hP1S0qH513CChAKt,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
