,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.262,0.0727,9,-23.043,1,0.0415,0.993,0.901,0.0805,0.0763,70.608,audio_features,2OQ6ScCDojCI6KmbpWBEqQ,spotify:track:2OQ6ScCDojCI6KmbpWBEqQ,https://api.spotify.com/v1/tracks/2OQ6ScCDojCI6KmbpWBEqQ,https://api.spotify.com/v1/audio-analysis/2OQ6ScCDojCI6KmbpWBEqQ,660787,5,"Piano Sonata in A Major, D. 664, Op. posth. 120: I. Allegro moderato",spotify:track:2OQ6ScCDojCI6KmbpWBEqQ,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
1,0.484,0.0186,2,-25.385,1,0.0513,0.995,0.908,0.0716,0.0513,128.469,audio_features,30Nay5sZr2fDwKR6HB7sVI,spotify:track:30Nay5sZr2fDwKR6HB7sVI,https://api.spotify.com/v1/tracks/30Nay5sZr2fDwKR6HB7sVI,https://api.spotify.com/v1/audio-analysis/30Nay5sZr2fDwKR6HB7sVI,270400,4,"Piano Sonata in A Major, D. 664, Op. posth. 120: II. Andante",spotify:track:30Nay5sZr2fDwKR6HB7sVI,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
2,0.361,0.14,9,-20.781,1,0.0382,0.989,0.893,0.101,0.339,123.389,audio_features,4c9aOWsLz4unnvkNWRCWAw,spotify:track:4c9aOWsLz4unnvkNWRCWAw,https://api.spotify.com/v1/tracks/4c9aOWsLz4unnvkNWRCWAw,https://api.spotify.com/v1/audio-analysis/4c9aOWsLz4unnvkNWRCWAw,454720,4,"Piano Sonata in A Major, D. 664, Op. posth. 120: III. Allegro",spotify:track:4c9aOWsLz4unnvkNWRCWAw,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
3,0.319,0.0556,5,-23.515,0,0.0401,0.993,0.92,0.113,0.0795,118.135,audio_features,3auXqhwXmV0obglozZWnBO,spotify:track:3auXqhwXmV0obglozZWnBO,https://api.spotify.com/v1/tracks/3auXqhwXmV0obglozZWnBO,https://api.spotify.com/v1/audio-analysis/3auXqhwXmV0obglozZWnBO,665280,4,"Four Impromptus, D. 935, Op. posth. 142: Impromptu No. 1 in F Minor (Allegro moderato)",spotify:track:3auXqhwXmV0obglozZWnBO,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
4,0.291,0.0266,8,-22.888,1,0.0392,0.989,0.925,0.111,0.0508,76.829,audio_features,4IBsbORhWpww6yUTpFietY,spotify:track:4IBsbORhWpww6yUTpFietY,https://api.spotify.com/v1/tracks/4IBsbORhWpww6yUTpFietY,https://api.spotify.com/v1/audio-analysis/4IBsbORhWpww6yUTpFietY,375160,4,"Four Impromptus, D. 935, Op. posth. 142: Impromptu No. 2 in A-Flat Major (Allegretto)",spotify:track:4IBsbORhWpww6yUTpFietY,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
5,0.339,0.104,10,-22.803,1,0.0391,0.991,0.919,0.0935,0.101,102.49,audio_features,1p1QAkO1j5CDMT76spwtQ4,spotify:track:1p1QAkO1j5CDMT76spwtQ4,https://api.spotify.com/v1/tracks/1p1QAkO1j5CDMT76spwtQ4,https://api.spotify.com/v1/audio-analysis/1p1QAkO1j5CDMT76spwtQ4,715960,4,"Four Impromptus, D. 935, Op. posth. 142: Impromptu No. 3 in B-Flat Major ""Rosamunde"" (Andante)",spotify:track:1p1QAkO1j5CDMT76spwtQ4,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
6,0.309,0.166,5,-18.372,0,0.0388,0.986,0.904,0.105,0.13,86.286,audio_features,7AMnsGiwEy4QiCMxPhYjyM,spotify:track:7AMnsGiwEy4QiCMxPhYjyM,https://api.spotify.com/v1/tracks/7AMnsGiwEy4QiCMxPhYjyM,https://api.spotify.com/v1/audio-analysis/7AMnsGiwEy4QiCMxPhYjyM,407707,4,"Four Impromptus, D. 935, Op. posth. 142: Impromptu No. 4 in F Minor (Allegro scherzando)",spotify:track:7AMnsGiwEy4QiCMxPhYjyM,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
7,0.284,0.102,2,-16.618,1,0.0339,0.96,0.823,0.18,0.072,129.897,audio_features,3R9VXmb7rkfIQc5tW1Fw1Z,spotify:track:3R9VXmb7rkfIQc5tW1Fw1Z,https://api.spotify.com/v1/tracks/3R9VXmb7rkfIQc5tW1Fw1Z,https://api.spotify.com/v1/audio-analysis/3R9VXmb7rkfIQc5tW1Fw1Z,730600,4,"Symphony No. 1 in D Major, D. 82: I. Adagio - Allegro vivace",spotify:track:3R9VXmb7rkfIQc5tW1Fw1Z,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
8,0.102,0.0265,7,-25.67,1,0.0389,0.984,0.894,0.0878,0.0399,53.841,audio_features,4EY1mS5ezyQ1c8wxlzLvlO,spotify:track:4EY1mS5ezyQ1c8wxlzLvlO,https://api.spotify.com/v1/tracks/4EY1mS5ezyQ1c8wxlzLvlO,https://api.spotify.com/v1/audio-analysis/4EY1mS5ezyQ1c8wxlzLvlO,359720,4,"Symphony No. 1 in D Major, D. 82: II. Andante",spotify:track:4EY1mS5ezyQ1c8wxlzLvlO,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
9,0.327,0.0325,2,-19.694,1,0.0352,0.977,0.695,0.219,0.0933,109.707,audio_features,6rKQYGmu5jBXeN6HAeY8oi,spotify:track:6rKQYGmu5jBXeN6HAeY8oi,https://api.spotify.com/v1/tracks/6rKQYGmu5jBXeN6HAeY8oi,https://api.spotify.com/v1/audio-analysis/6rKQYGmu5jBXeN6HAeY8oi,242733,4,"Symphony No. 1 in D Major, D. 82: III. Menuetto. Allegretto - Trio",spotify:track:6rKQYGmu5jBXeN6HAeY8oi,Franz Schubert,2p0UyoPfYfI76PCStuXfOP
