,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.501,0.865,0,-1.549,1,0.289,0.0171,0.418,0.145,0.074,172.031,audio_features,1lSNwK6Oq7wxNRiLBgYUfd,spotify:track:1lSNwK6Oq7wxNRiLBgYUfd,https://api.spotify.com/v1/tracks/1lSNwK6Oq7wxNRiLBgYUfd,https://api.spotify.com/v1/audio-analysis/1lSNwK6Oq7wxNRiLBgYUfd,300000,4,Polaris,spotify:track:1lSNwK6Oq7wxNRiLBgYUfd,Fade Black,6lczpQaXIogAbhZfhVOiEe
1,0.527,0.945,10,0.285,1,0.2,0.00401,0.69,0.169,0.0706,175.181,audio_features,5lBH3sfJreyd4nwlsquidW,spotify:track:5lBH3sfJreyd4nwlsquidW,https://api.spotify.com/v1/tracks/5lBH3sfJreyd4nwlsquidW,https://api.spotify.com/v1/audio-analysis/5lBH3sfJreyd4nwlsquidW,246857,4,Elysium,spotify:track:5lBH3sfJreyd4nwlsquidW,Fade Black,6lczpQaXIogAbhZfhVOiEe
2,0.682,0.93,9,0.371,1,0.329,0.0483,0.134,0.0796,0.497,175.027,audio_features,7atU1LGwJRO5epd7khcbUu,spotify:track:7atU1LGwJRO5epd7khcbUu,https://api.spotify.com/v1/tracks/7atU1LGwJRO5epd7khcbUu,https://api.spotify.com/v1/audio-analysis/7atU1LGwJRO5epd7khcbUu,230400,4,Dismantle,spotify:track:7atU1LGwJRO5epd7khcbUu,Fade Black,6lczpQaXIogAbhZfhVOiEe
3,0.428,0.96,8,-3.003,0,0.56,0.00165,0.158,0.138,0.122,174.047,audio_features,00ti7CrO1m6TWVHY8bvPL3,spotify:track:00ti7CrO1m6TWVHY8bvPL3,https://api.spotify.com/v1/tracks/00ti7CrO1m6TWVHY8bvPL3,https://api.spotify.com/v1/audio-analysis/00ti7CrO1m6TWVHY8bvPL3,320000,4,Far Gone,spotify:track:00ti7CrO1m6TWVHY8bvPL3,Fade Black,6lczpQaXIogAbhZfhVOiEe
4,0.448,0.995,9,-1.876,0,0.372,0.00605,0.781,0.115,0.149,171.967,audio_features,0fHb0NM82End1ydl4lrhlh,spotify:track:0fHb0NM82End1ydl4lrhlh,https://api.spotify.com/v1/tracks/0fHb0NM82End1ydl4lrhlh,https://api.spotify.com/v1/audio-analysis/0fHb0NM82End1ydl4lrhlh,273488,4,12 Gauge,spotify:track:0fHb0NM82End1ydl4lrhlh,Fade Black,6lczpQaXIogAbhZfhVOiEe
5,0.661,0.871,8,-1.609,0,0.264,0.00279,0.859,0.123,0.157,172.019,audio_features,3dc0W7A6WGTrRa39z89jlg,spotify:track:3dc0W7A6WGTrRa39z89jlg,https://api.spotify.com/v1/tracks/3dc0W7A6WGTrRa39z89jlg,https://api.spotify.com/v1/audio-analysis/3dc0W7A6WGTrRa39z89jlg,284651,4,Blej - Fade Black Remix,spotify:track:3dc0W7A6WGTrRa39z89jlg,Fade Black,6lczpQaXIogAbhZfhVOiEe
6,0.476,0.974,4,-2.616,0,0.307,0.000383,0.759,0.086,0.0375,107.232,audio_features,6A77SIouIU7MXPVCD53fAE,spotify:track:6A77SIouIU7MXPVCD53fAE,https://api.spotify.com/v1/tracks/6A77SIouIU7MXPVCD53fAE,https://api.spotify.com/v1/audio-analysis/6A77SIouIU7MXPVCD53fAE,267907,5,Condemned,spotify:track:6A77SIouIU7MXPVCD53fAE,Fade Black,6lczpQaXIogAbhZfhVOiEe
7,0.745,0.966,8,-2.521,0,0.402,0.0279,0.38,0.194,0.459,172.019,audio_features,2vK7yRe417JxqGLF56SEri,spotify:track:2vK7yRe417JxqGLF56SEri,https://api.spotify.com/v1/tracks/2vK7yRe417JxqGLF56SEri,https://api.spotify.com/v1/audio-analysis/2vK7yRe417JxqGLF56SEri,304186,4,Sluggah,spotify:track:2vK7yRe417JxqGLF56SEri,Fade Black,6lczpQaXIogAbhZfhVOiEe
8,0.543,0.906,1,-2.83,1,0.128,0.0012,0.0854,0.138,0.0679,172.087,audio_features,77igCCRDqMHYsDqV7q06mC,spotify:track:77igCCRDqMHYsDqV7q06mC,https://api.spotify.com/v1/tracks/77igCCRDqMHYsDqV7q06mC,https://api.spotify.com/v1/audio-analysis/77igCCRDqMHYsDqV7q06mC,286047,4,Sane,spotify:track:77igCCRDqMHYsDqV7q06mC,Fade Black,6lczpQaXIogAbhZfhVOiEe
9,0.698,0.979,11,-2.842,0,0.479,0.00412,0.825,0.173,0.33,172.178,audio_features,5022Yg19qR2NQaQSp8mRVC,spotify:track:5022Yg19qR2NQaQSp8mRVC,https://api.spotify.com/v1/tracks/5022Yg19qR2NQaQSp8mRVC,https://api.spotify.com/v1/audio-analysis/5022Yg19qR2NQaQSp8mRVC,256744,4,RWD,spotify:track:5022Yg19qR2NQaQSp8mRVC,Fade Black,6lczpQaXIogAbhZfhVOiEe
10,0.745,0.966,8,-2.521,0,0.402,0.0279,0.38,0.194,0.459,172.019,audio_features,0IS66jJ1SE3CN6y4wHtY8K,spotify:track:0IS66jJ1SE3CN6y4wHtY8K,https://api.spotify.com/v1/tracks/0IS66jJ1SE3CN6y4wHtY8K,https://api.spotify.com/v1/audio-analysis/0IS66jJ1SE3CN6y4wHtY8K,304186,4,Sluggah,spotify:track:0IS66jJ1SE3CN6y4wHtY8K,Fade Black,6lczpQaXIogAbhZfhVOiEe
11,0.543,0.906,1,-2.83,1,0.128,0.0012,0.0854,0.138,0.0679,172.087,audio_features,43DeMuEuwfEZ6FRLbpHMVb,spotify:track:43DeMuEuwfEZ6FRLbpHMVb,https://api.spotify.com/v1/tracks/43DeMuEuwfEZ6FRLbpHMVb,https://api.spotify.com/v1/audio-analysis/43DeMuEuwfEZ6FRLbpHMVb,286047,4,Sane,spotify:track:43DeMuEuwfEZ6FRLbpHMVb,Fade Black,6lczpQaXIogAbhZfhVOiEe
12,0.627,0.965,11,-2.803,0,0.339,0.00115,0.783,0.129,0.0384,172.032,audio_features,3Yo9Fvsda4SYhVgLjCo4Lh,spotify:track:3Yo9Fvsda4SYhVgLjCo4Lh,https://api.spotify.com/v1/tracks/3Yo9Fvsda4SYhVgLjCo4Lh,https://api.spotify.com/v1/audio-analysis/3Yo9Fvsda4SYhVgLjCo4Lh,260930,4,Unknown,spotify:track:3Yo9Fvsda4SYhVgLjCo4Lh,Fade Black,6lczpQaXIogAbhZfhVOiEe
13,0.567,0.995,2,-3.295,1,0.302,6.26e-05,0.758,0.133,0.183,172.143,audio_features,0NYVohkqvxMxTcE6ZrX6fU,spotify:track:0NYVohkqvxMxTcE6ZrX6fU,https://api.spotify.com/v1/tracks/0NYVohkqvxMxTcE6ZrX6fU,https://api.spotify.com/v1/audio-analysis/0NYVohkqvxMxTcE6ZrX6fU,248372,4,Latitude - Icicle Remix,spotify:track:0NYVohkqvxMxTcE6ZrX6fU,Fade Black,6lczpQaXIogAbhZfhVOiEe
