,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.522,0.916,0,-3.773,1,0.0447,0.00614,0.0,0.369,0.281,170.992,audio_features,61fTqDgu4pzJc3xVJ174qn,spotify:track:61fTqDgu4pzJc3xVJ174qn,https://api.spotify.com/v1/tracks/61fTqDgu4pzJc3xVJ174qn,https://api.spotify.com/v1/audio-analysis/61fTqDgu4pzJc3xVJ174qn,220702,4,IGNITE (Fairlane Remix) - Sakura Chill Beats Singles,spotify:track:61fTqDgu4pzJc3xVJ174qn,Fairlane,3L7JnVovGbYSUmRyqhXMYO
1,0.536,0.858,4,-3.232,1,0.0373,0.0319,0.0,0.461,0.388,133.05,audio_features,2ll3MsOkmQD6rjIZJQCAQ7,spotify:track:2ll3MsOkmQD6rjIZJQCAQ7,https://api.spotify.com/v1/tracks/2ll3MsOkmQD6rjIZJQCAQ7,https://api.spotify.com/v1/audio-analysis/2ll3MsOkmQD6rjIZJQCAQ7,195113,4,Try (feat. RØRY) - Fairlane Remix,spotify:track:2ll3MsOkmQD6rjIZJQCAQ7,Fairlane,3L7JnVovGbYSUmRyqhXMYO
2,0.49,0.828,1,-4.374,1,0.0379,0.0265,0.0,0.149,0.31,170.049,audio_features,1PA8t7QlRzSpUOZIlLLi6U,spotify:track:1PA8t7QlRzSpUOZIlLLi6U,https://api.spotify.com/v1/tracks/1PA8t7QlRzSpUOZIlLLi6U,https://api.spotify.com/v1/audio-analysis/1PA8t7QlRzSpUOZIlLLi6U,228706,4,Broken,spotify:track:1PA8t7QlRzSpUOZIlLLi6U,Fairlane,3L7JnVovGbYSUmRyqhXMYO
3,0.442,0.886,0,-4.423,1,0.0897,0.0162,0.0,0.202,0.261,170.029,audio_features,00QY4pdQtNdftuKb2qbVeZ,spotify:track:00QY4pdQtNdftuKb2qbVeZ,https://api.spotify.com/v1/tracks/00QY4pdQtNdftuKb2qbVeZ,https://api.spotify.com/v1/audio-analysis/00QY4pdQtNdftuKb2qbVeZ,211765,4,Ocean Avenue,spotify:track:00QY4pdQtNdftuKb2qbVeZ,Fairlane,3L7JnVovGbYSUmRyqhXMYO
4,0.647,0.857,7,-5.017,0,0.0508,0.0148,0.000188,0.0883,0.447,92.007,audio_features,1UWYmWcYtNeoVfI05gL05Z,spotify:track:1UWYmWcYtNeoVfI05gL05Z,https://api.spotify.com/v1/tracks/1UWYmWcYtNeoVfI05gL05Z,https://api.spotify.com/v1/audio-analysis/1UWYmWcYtNeoVfI05gL05Z,187836,4,Hypnotize,spotify:track:1UWYmWcYtNeoVfI05gL05Z,Fairlane,3L7JnVovGbYSUmRyqhXMYO
5,0.632,0.766,10,-4.556,1,0.0429,0.00151,0.0,0.563,0.203,124.98,audio_features,1DllRIGuqWeH7x3w0Ggkwq,spotify:track:1DllRIGuqWeH7x3w0Ggkwq,https://api.spotify.com/v1/tracks/1DllRIGuqWeH7x3w0Ggkwq,https://api.spotify.com/v1/audio-analysis/1DllRIGuqWeH7x3w0Ggkwq,207360,4,Earn It,spotify:track:1DllRIGuqWeH7x3w0Ggkwq,Fairlane,3L7JnVovGbYSUmRyqhXMYO
6,0.524,0.571,5,-5.314,1,0.0262,0.218,5.58e-06,0.12,0.185,108.087,audio_features,6EhpZwYStL4t0SJ8d7G3KF,spotify:track:6EhpZwYStL4t0SJ8d7G3KF,https://api.spotify.com/v1/tracks/6EhpZwYStL4t0SJ8d7G3KF,https://api.spotify.com/v1/audio-analysis/6EhpZwYStL4t0SJ8d7G3KF,224000,4,Out Loud,spotify:track:6EhpZwYStL4t0SJ8d7G3KF,Fairlane,3L7JnVovGbYSUmRyqhXMYO
7,0.417,0.0815,3,-18.118,1,0.0404,0.922,0.0,0.113,0.149,104.266,audio_features,2gKj79uMdS77EodTr2jygu,spotify:track:2gKj79uMdS77EodTr2jygu,https://api.spotify.com/v1/tracks/2gKj79uMdS77EodTr2jygu,https://api.spotify.com/v1/audio-analysis/2gKj79uMdS77EodTr2jygu,203586,3,Butterflies - Acoustic,spotify:track:2gKj79uMdS77EodTr2jygu,Fairlane,3L7JnVovGbYSUmRyqhXMYO
8,0.69,0.875,10,-3.669,0,0.0791,0.0543,1.2e-05,0.0894,0.455,135.018,audio_features,2OvghkMxxhszSnCszI0RvU,spotify:track:2OvghkMxxhszSnCszI0RvU,https://api.spotify.com/v1/tracks/2OvghkMxxhszSnCszI0RvU,https://api.spotify.com/v1/audio-analysis/2OvghkMxxhszSnCszI0RvU,199111,4,Believer,spotify:track:2OvghkMxxhszSnCszI0RvU,Fairlane,3L7JnVovGbYSUmRyqhXMYO
9,0.352,0.296,0,-10.469,1,0.0307,0.941,0.961,0.135,0.0752,155.349,audio_features,2kpcFukdCnqQgCqWcqVFDe,spotify:track:2kpcFukdCnqQgCqWcqVFDe,https://api.spotify.com/v1/tracks/2kpcFukdCnqQgCqWcqVFDe,https://api.spotify.com/v1/audio-analysis/2kpcFukdCnqQgCqWcqVFDe,62323,4,nature - intro,spotify:track:2kpcFukdCnqQgCqWcqVFDe,Fairlane,3L7JnVovGbYSUmRyqhXMYO
