,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.306,0.396,3,-8.693,0,0.0307,0.675,0.0,0.232,0.308,34.498,audio_features,0AcaFbQqaU5TD3fIzs8UEu,spotify:track:0AcaFbQqaU5TD3fIzs8UEu,https://api.spotify.com/v1/tracks/0AcaFbQqaU5TD3fIzs8UEu,https://api.spotify.com/v1/audio-analysis/0AcaFbQqaU5TD3fIzs8UEu,60133,3,A Billion,spotify:track:0AcaFbQqaU5TD3fIzs8UEu,Faith Evans,5NDMothbpdpq2xHqSjrrWn
1,0.671,0.555,8,-7.1,0,0.0889,0.625,0.0,0.44,0.468,102.014,audio_features,5FTs4Euyo3gYNLSTKuluSj,spotify:track:5FTs4Euyo3gYNLSTKuluSj,https://api.spotify.com/v1/tracks/5FTs4Euyo3gYNLSTKuluSj,https://api.spotify.com/v1/audio-analysis/5FTs4Euyo3gYNLSTKuluSj,251173,4,Legacy,spotify:track:5FTs4Euyo3gYNLSTKuluSj,Faith Evans,5NDMothbpdpq2xHqSjrrWn
2,0.813,0.653,1,-9.142,1,0.498,0.0783,0.00216,0.444,0.788,125.276,audio_features,6x6whfro1PEYZ75dfDVXoq,spotify:track:6x6whfro1PEYZ75dfDVXoq,https://api.spotify.com/v1/tracks/6x6whfro1PEYZ75dfDVXoq,https://api.spotify.com/v1/audio-analysis/6x6whfro1PEYZ75dfDVXoq,30747,5,Beautiful - Interlude,spotify:track:6x6whfro1PEYZ75dfDVXoq,Faith Evans,5NDMothbpdpq2xHqSjrrWn
3,0.554,0.872,2,-6.503,1,0.284,0.411,0.0,0.211,0.568,176.704,audio_features,1v93acLk4bz2VUXP2pWWV1,spotify:track:1v93acLk4bz2VUXP2pWWV1,https://api.spotify.com/v1/tracks/1v93acLk4bz2VUXP2pWWV1,https://api.spotify.com/v1/audio-analysis/1v93acLk4bz2VUXP2pWWV1,233493,4,Can't Get Enough,spotify:track:1v93acLk4bz2VUXP2pWWV1,Faith Evans,5NDMothbpdpq2xHqSjrrWn
4,0.695,0.707,2,-3.924,0,0.191,0.469,4.79e-06,0.0665,0.86,92.996,audio_features,2dA5vEgQiG3f8U00rbpUjQ,spotify:track:2dA5vEgQiG3f8U00rbpUjQ,https://api.spotify.com/v1/tracks/2dA5vEgQiG3f8U00rbpUjQ,https://api.spotify.com/v1/audio-analysis/2dA5vEgQiG3f8U00rbpUjQ,228440,4,Don't Test Me,spotify:track:2dA5vEgQiG3f8U00rbpUjQ,Faith Evans,5NDMothbpdpq2xHqSjrrWn
5,0.79,0.391,2,-10.448,1,0.353,0.673,0.0,0.174,0.353,112.745,audio_features,11D8MP5tFCPt4FAdrowbyP,spotify:track:11D8MP5tFCPt4FAdrowbyP,https://api.spotify.com/v1/tracks/11D8MP5tFCPt4FAdrowbyP,https://api.spotify.com/v1/audio-analysis/11D8MP5tFCPt4FAdrowbyP,88480,4,Big / Faye (Interlude) [feat. Jamal Woolard],spotify:track:11D8MP5tFCPt4FAdrowbyP,Faith Evans,5NDMothbpdpq2xHqSjrrWn
6,0.57,0.744,11,-7.247,0,0.216,0.51,0.0,0.254,0.626,82.091,audio_features,13ebW4ZNUAQ4B1eu4aaw1F,spotify:track:13ebW4ZNUAQ4B1eu4aaw1F,https://api.spotify.com/v1/tracks/13ebW4ZNUAQ4B1eu4aaw1F,https://api.spotify.com/v1/audio-analysis/13ebW4ZNUAQ4B1eu4aaw1F,225987,4,Tryna Get By,spotify:track:13ebW4ZNUAQ4B1eu4aaw1F,Faith Evans,5NDMothbpdpq2xHqSjrrWn
7,0.353,0.78,4,-6.748,0,0.243,0.106,0.0,0.177,0.723,178.73,audio_features,04AmWxklQqEYnJCYszooHo,spotify:track:04AmWxklQqEYnJCYszooHo,https://api.spotify.com/v1/tracks/04AmWxklQqEYnJCYszooHo,https://api.spotify.com/v1/audio-analysis/04AmWxklQqEYnJCYszooHo,218533,4,The Reason,spotify:track:04AmWxklQqEYnJCYszooHo,Faith Evans,5NDMothbpdpq2xHqSjrrWn
8,0.713,0.799,7,-5.793,1,0.254,0.366,0.0,0.0967,0.754,93.817,audio_features,4pKVHiDWLm71Jov5iKAKjb,spotify:track:4pKVHiDWLm71Jov5iKAKjb,https://api.spotify.com/v1/tracks/4pKVHiDWLm71Jov5iKAKjb,https://api.spotify.com/v1/audio-analysis/4pKVHiDWLm71Jov5iKAKjb,206147,4,I Don't Want It (feat. Lil' Cease),spotify:track:4pKVHiDWLm71Jov5iKAKjb,Faith Evans,5NDMothbpdpq2xHqSjrrWn
9,0.491,0.494,5,-10.491,0,0.101,0.873,2.84e-05,0.121,0.405,119.769,audio_features,0wptlgWRmCu2m2nJBRew97,spotify:track:0wptlgWRmCu2m2nJBRew97,https://api.spotify.com/v1/tracks/0wptlgWRmCu2m2nJBRew97,https://api.spotify.com/v1/audio-analysis/0wptlgWRmCu2m2nJBRew97,146360,3,I Got Married (Interlude) [feat. Mama Wallace],spotify:track:0wptlgWRmCu2m2nJBRew97,Faith Evans,5NDMothbpdpq2xHqSjrrWn
10,0.725,0.741,1,-5.872,1,0.227,0.0458,0.0,0.336,0.713,87.027,audio_features,727bljT9Zo4CbChHM1WJiP,spotify:track:727bljT9Zo4CbChHM1WJiP,https://api.spotify.com/v1/tracks/727bljT9Zo4CbChHM1WJiP,https://api.spotify.com/v1/audio-analysis/727bljT9Zo4CbChHM1WJiP,227707,4,Ten Wife Commandments,spotify:track:727bljT9Zo4CbChHM1WJiP,Faith Evans,5NDMothbpdpq2xHqSjrrWn
11,0.45,0.487,9,-8.805,0,0.152,0.855,0.0,0.209,0.548,96.905,audio_features,5Q1xOtrX8aHce3ixpwptXt,spotify:track:5Q1xOtrX8aHce3ixpwptXt,https://api.spotify.com/v1/tracks/5Q1xOtrX8aHce3ixpwptXt,https://api.spotify.com/v1/audio-analysis/5Q1xOtrX8aHce3ixpwptXt,65347,1,We Just Clicked (Interlude) [feat. Mama Wallace],spotify:track:5Q1xOtrX8aHce3ixpwptXt,Faith Evans,5NDMothbpdpq2xHqSjrrWn
12,0.756,0.54,1,-5.121,1,0.327,0.353,0.0,0.0878,0.93,91.115,audio_features,56NmpYw8plRFgLg0daP0H7,spotify:track:56NmpYw8plRFgLg0daP0H7,https://api.spotify.com/v1/tracks/56NmpYw8plRFgLg0daP0H7,https://api.spotify.com/v1/audio-analysis/56NmpYw8plRFgLg0daP0H7,184667,4,A Little Romance,spotify:track:56NmpYw8plRFgLg0daP0H7,Faith Evans,5NDMothbpdpq2xHqSjrrWn
13,0.556,0.965,4,-7.138,0,0.512,0.717,0.000315,0.245,0.246,96.324,audio_features,4R0l1n8CZAqCGB4cToKfRq,spotify:track:4R0l1n8CZAqCGB4cToKfRq,https://api.spotify.com/v1/tracks/4R0l1n8CZAqCGB4cToKfRq,https://api.spotify.com/v1/audio-analysis/4R0l1n8CZAqCGB4cToKfRq,43813,4,The Baddest (Interlude),spotify:track:4R0l1n8CZAqCGB4cToKfRq,Faith Evans,5NDMothbpdpq2xHqSjrrWn
14,0.514,0.678,1,-4.999,1,0.0538,0.138,0.0,0.244,0.44,79.649,audio_features,4H6IBsftMoe5aHwT9oP8v3,spotify:track:4H6IBsftMoe5aHwT9oP8v3,https://api.spotify.com/v1/tracks/4H6IBsftMoe5aHwT9oP8v3,https://api.spotify.com/v1/audio-analysis/4H6IBsftMoe5aHwT9oP8v3,262680,3,Fool For You,spotify:track:4H6IBsftMoe5aHwT9oP8v3,Faith Evans,5NDMothbpdpq2xHqSjrrWn
15,0.65,0.868,5,-7.12,0,0.052,0.22,0.0615,0.0627,0.875,123.958,audio_features,30A8ch4BtulLV5jLAE7LoK,spotify:track:30A8ch4BtulLV5jLAE7LoK,https://api.spotify.com/v1/tracks/30A8ch4BtulLV5jLAE7LoK,https://api.spotify.com/v1/audio-analysis/30A8ch4BtulLV5jLAE7LoK,73600,4,Crazy (Interlude) [feat. 112 & Mama Wallace],spotify:track:30A8ch4BtulLV5jLAE7LoK,Faith Evans,5NDMothbpdpq2xHqSjrrWn
16,0.6,0.856,2,-3.786,1,0.268,0.147,0.0,0.602,0.306,91.079,audio_features,78wmEDpMLVp0qyX3EsLm3Q,spotify:track:78wmEDpMLVp0qyX3EsLm3Q,https://api.spotify.com/v1/tracks/78wmEDpMLVp0qyX3EsLm3Q,https://api.spotify.com/v1/audio-analysis/78wmEDpMLVp0qyX3EsLm3Q,174173,4,Got Me Twisted,spotify:track:78wmEDpMLVp0qyX3EsLm3Q,Faith Evans,5NDMothbpdpq2xHqSjrrWn
17,0.749,0.767,6,-5.925,0,0.259,0.034,0.0,0.0604,0.609,104.075,audio_features,4Nv8GzZWyZwjo08aoxDTv9,spotify:track:4Nv8GzZWyZwjo08aoxDTv9,https://api.spotify.com/v1/tracks/4Nv8GzZWyZwjo08aoxDTv9,https://api.spotify.com/v1/audio-analysis/4Nv8GzZWyZwjo08aoxDTv9,207662,4,When We Party (feat. Snoop Dogg),spotify:track:4Nv8GzZWyZwjo08aoxDTv9,Faith Evans,5NDMothbpdpq2xHqSjrrWn
18,0.662,0.809,7,-5.678,1,0.129,0.0326,0.0,0.174,0.391,91.216,audio_features,1raTej2ywCbffGm8XctgbO,spotify:track:1raTej2ywCbffGm8XctgbO,https://api.spotify.com/v1/tracks/1raTej2ywCbffGm8XctgbO,https://api.spotify.com/v1/audio-analysis/1raTej2ywCbffGm8XctgbO,315827,4,Somebody Knows (feat. Busta Rhymes),spotify:track:1raTej2ywCbffGm8XctgbO,Faith Evans,5NDMothbpdpq2xHqSjrrWn
19,0.668,0.872,11,-6.809,0,0.244,0.0436,0.0,0.0761,0.354,110.165,audio_features,4Dzo4s6QJluC19yEWL1lLN,spotify:track:4Dzo4s6QJluC19yEWL1lLN,https://api.spotify.com/v1/tracks/4Dzo4s6QJluC19yEWL1lLN,https://api.spotify.com/v1/audio-analysis/4Dzo4s6QJluC19yEWL1lLN,241480,5,Take Me There (feat. Sheek Louch & Styles P),spotify:track:4Dzo4s6QJluC19yEWL1lLN,Faith Evans,5NDMothbpdpq2xHqSjrrWn
