,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.567,0.573,6,-5.973,1,0.0411,0.159,0.0,0.105,0.148,75.038,audio_features,0BtfxMl5G3h4mj9XQXuTDG,spotify:track:0BtfxMl5G3h4mj9XQXuTDG,https://api.spotify.com/v1/tracks/0BtfxMl5G3h4mj9XQXuTDG,https://api.spotify.com/v1/audio-analysis/0BtfxMl5G3h4mj9XQXuTDG,213600,4,Break Off,spotify:track:0BtfxMl5G3h4mj9XQXuTDG,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
1,0.433,0.594,4,-3.65,0,0.032,0.0262,0.00625,0.153,0.0383,139.806,audio_features,6TCUsjX216i4qvyuIHTp0M,spotify:track:6TCUsjX216i4qvyuIHTp0M,https://api.spotify.com/v1/tracks/6TCUsjX216i4qvyuIHTp0M,https://api.spotify.com/v1/audio-analysis/6TCUsjX216i4qvyuIHTp0M,286500,4,Lifeline,spotify:track:6TCUsjX216i4qvyuIHTp0M,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
2,0.541,0.423,0,-7.335,0,0.0378,0.23,0.0,0.108,0.349,139.968,audio_features,6UkGChbUEn77IzMwBV08mW,spotify:track:6UkGChbUEn77IzMwBV08mW,https://api.spotify.com/v1/tracks/6UkGChbUEn77IzMwBV08mW,https://api.spotify.com/v1/audio-analysis/6UkGChbUEn77IzMwBV08mW,213209,4,Ask Yourself,spotify:track:6UkGChbUEn77IzMwBV08mW,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
3,0.596,0.402,1,-6.469,0,0.0399,0.0346,0.0446,0.109,0.114,140.006,audio_features,3rt3sjWEkM9AbuVuQNkkmR,spotify:track:3rt3sjWEkM9AbuVuQNkkmR,https://api.spotify.com/v1/tracks/3rt3sjWEkM9AbuVuQNkkmR,https://api.spotify.com/v1/audio-analysis/3rt3sjWEkM9AbuVuQNkkmR,237107,4,Fresh Blood,spotify:track:3rt3sjWEkM9AbuVuQNkkmR,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
4,0.741,0.511,8,-7.425,0,0.108,0.0525,0.000977,0.313,0.0841,99.945,audio_features,71shC15bq3sGiB4g7pdzMW,spotify:track:71shC15bq3sGiB4g7pdzMW,https://api.spotify.com/v1/tracks/71shC15bq3sGiB4g7pdzMW,https://api.spotify.com/v1/audio-analysis/71shC15bq3sGiB4g7pdzMW,200450,4,Truth Like This,spotify:track:71shC15bq3sGiB4g7pdzMW,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
5,0.52,0.467,7,-8.739,0,0.0335,0.0871,0.0,0.127,0.214,89.958,audio_features,01lOFAux4JHuoIRp9UjU1N,spotify:track:01lOFAux4JHuoIRp9UjU1N,https://api.spotify.com/v1/tracks/01lOFAux4JHuoIRp9UjU1N,https://api.spotify.com/v1/audio-analysis/01lOFAux4JHuoIRp9UjU1N,202146,4,Let Go,spotify:track:01lOFAux4JHuoIRp9UjU1N,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
6,0.5,0.76,2,-6.076,0,0.0587,0.0118,0.688,0.295,0.128,75.137,audio_features,1e2SBvP3jpd5y4efmWM8Ck,spotify:track:1e2SBvP3jpd5y4efmWM8Ck,https://api.spotify.com/v1/tracks/1e2SBvP3jpd5y4efmWM8Ck,https://api.spotify.com/v1/audio-analysis/1e2SBvP3jpd5y4efmWM8Ck,184229,4,Feel,spotify:track:1e2SBvP3jpd5y4efmWM8Ck,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
7,0.514,0.783,0,-4.483,1,0.0449,0.218,1.73e-06,0.551,0.151,128.146,audio_features,1JhpqlOsmZPdn9M3ho5MnP,spotify:track:1JhpqlOsmZPdn9M3ho5MnP,https://api.spotify.com/v1/tracks/1JhpqlOsmZPdn9M3ho5MnP,https://api.spotify.com/v1/audio-analysis/1JhpqlOsmZPdn9M3ho5MnP,270100,4,Sweet Lullaby,spotify:track:1JhpqlOsmZPdn9M3ho5MnP,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
8,0.382,0.757,8,-5.368,0,0.057,0.183,2.6e-05,0.114,0.175,74.88,audio_features,1oueKXobjBq4GZXUfzjdeV,spotify:track:1oueKXobjBq4GZXUfzjdeV,https://api.spotify.com/v1/tracks/1oueKXobjBq4GZXUfzjdeV,https://api.spotify.com/v1/audio-analysis/1oueKXobjBq4GZXUfzjdeV,209016,4,Need Your Touch,spotify:track:1oueKXobjBq4GZXUfzjdeV,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
9,0.464,0.517,6,-6.032,1,0.0371,0.5,2.55e-06,0.0918,0.19,119.95,audio_features,5vzqUtKRS3HDxhVaFLSP1r,spotify:track:5vzqUtKRS3HDxhVaFLSP1r,https://api.spotify.com/v1/tracks/5vzqUtKRS3HDxhVaFLSP1r,https://api.spotify.com/v1/audio-analysis/5vzqUtKRS3HDxhVaFLSP1r,214974,4,Summit,spotify:track:5vzqUtKRS3HDxhVaFLSP1r,Fancy Monster,2mTmPVVrjt7SLOtJIaI9LY
