,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.592,0.783,3,-3.718,1,0.387,0.191,0.0,0.131,0.349,91.558,audio_features,2UfwoagFLsZASKmdjfcyvM,spotify:track:2UfwoagFLsZASKmdjfcyvM,https://api.spotify.com/v1/tracks/2UfwoagFLsZASKmdjfcyvM,https://api.spotify.com/v1/audio-analysis/2UfwoagFLsZASKmdjfcyvM,173320,4,KUCK KUCK,spotify:track:2UfwoagFLsZASKmdjfcyvM,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
1,0.795,0.536,1,-7.047,0,0.423,0.0894,1.72e-05,0.107,0.312,130.017,audio_features,7alAkbh08R2oMV0oWGg0AN,spotify:track:7alAkbh08R2oMV0oWGg0AN,https://api.spotify.com/v1/tracks/7alAkbh08R2oMV0oWGg0AN,https://api.spotify.com/v1/audio-analysis/7alAkbh08R2oMV0oWGg0AN,221373,4,THANOS,spotify:track:7alAkbh08R2oMV0oWGg0AN,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
2,0.84,0.643,5,-7.256,0,0.256,0.104,1.38e-06,0.196,0.273,136.005,audio_features,2CQ75jbJ6KXv0KpdtQkYlD,spotify:track:2CQ75jbJ6KXv0KpdtQkYlD,https://api.spotify.com/v1/tracks/2CQ75jbJ6KXv0KpdtQkYlD,https://api.spotify.com/v1/audio-analysis/2CQ75jbJ6KXv0KpdtQkYlD,166187,4,ASOZIAL,spotify:track:2CQ75jbJ6KXv0KpdtQkYlD,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
3,0.827,0.69,11,-6.961,0,0.344,0.0336,0.0,0.258,0.479,129.877,audio_features,4agV8QIU9yK1Yyui4LIikE,spotify:track:4agV8QIU9yK1Yyui4LIikE,https://api.spotify.com/v1/tracks/4agV8QIU9yK1Yyui4LIikE,https://api.spotify.com/v1/audio-analysis/4agV8QIU9yK1Yyui4LIikE,184680,4,POPSMOKE DANCE,spotify:track:4agV8QIU9yK1Yyui4LIikE,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
4,0.831,0.677,11,-6.724,0,0.32,0.0122,0.0,0.161,0.381,128.137,audio_features,35avkfVOgH9YTw9y1SYUEt,spotify:track:35avkfVOgH9YTw9y1SYUEt,https://api.spotify.com/v1/tracks/35avkfVOgH9YTw9y1SYUEt,https://api.spotify.com/v1/audio-analysis/35avkfVOgH9YTw9y1SYUEt,201653,4,EINE BRUDERSCHAFT BLEIBT,spotify:track:35avkfVOgH9YTw9y1SYUEt,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
5,0.85,0.723,10,-4.461,1,0.338,0.0401,0.0,0.0637,0.706,148.135,audio_features,6iu03BbUbdoAO3AvOvUjdo,spotify:track:6iu03BbUbdoAO3AvOvUjdo,https://api.spotify.com/v1/tracks/6iu03BbUbdoAO3AvOvUjdo,https://api.spotify.com/v1/audio-analysis/6iu03BbUbdoAO3AvOvUjdo,160427,4,SAO PAULO,spotify:track:6iu03BbUbdoAO3AvOvUjdo,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
6,0.663,0.616,8,-6.503,1,0.515,0.00975,0.0,0.0976,0.265,112.358,audio_features,0mOUQygJZBSE6trjMCQmOY,spotify:track:0mOUQygJZBSE6trjMCQmOY,https://api.spotify.com/v1/tracks/0mOUQygJZBSE6trjMCQmOY,https://api.spotify.com/v1/audio-analysis/0mOUQygJZBSE6trjMCQmOY,140773,5,MAKE FULUS,spotify:track:0mOUQygJZBSE6trjMCQmOY,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
7,0.484,0.719,2,-7.006,1,0.418,0.0648,0.0,0.228,0.462,178.833,audio_features,46eRRHhnKXkPlCa3bNiG7m,spotify:track:46eRRHhnKXkPlCa3bNiG7m,https://api.spotify.com/v1/tracks/46eRRHhnKXkPlCa3bNiG7m,https://api.spotify.com/v1/audio-analysis/46eRRHhnKXkPlCa3bNiG7m,157187,4,KAMPFSPORT,spotify:track:46eRRHhnKXkPlCa3bNiG7m,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
8,0.809,0.613,6,-6.526,0,0.445,0.00861,0.0,0.37,0.611,155.967,audio_features,6pmRDud0piav1blhzTA3DA,spotify:track:6pmRDud0piav1blhzTA3DA,https://api.spotify.com/v1/tracks/6pmRDud0piav1blhzTA3DA,https://api.spotify.com/v1/audio-analysis/6pmRDud0piav1blhzTA3DA,199773,4,CALI WEED FREESTYLE,spotify:track:6pmRDud0piav1blhzTA3DA,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
9,0.542,0.64,4,-6.364,0,0.421,0.0252,0.0,0.207,0.17,130.301,audio_features,0ZzGOG3CpwhvbEaJ29bCUF,spotify:track:0ZzGOG3CpwhvbEaJ29bCUF,https://api.spotify.com/v1/tracks/0ZzGOG3CpwhvbEaJ29bCUF,https://api.spotify.com/v1/audio-analysis/0ZzGOG3CpwhvbEaJ29bCUF,146613,5,PARIS SAINT GERMAIN,spotify:track:0ZzGOG3CpwhvbEaJ29bCUF,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
10,0.706,0.643,1,-6.031,1,0.454,0.0398,0.0,0.121,0.326,87.836,audio_features,0nS9PF1g64Oj3BzUXVXTBY,spotify:track:0nS9PF1g64Oj3BzUXVXTBY,https://api.spotify.com/v1/tracks/0nS9PF1g64Oj3BzUXVXTBY,https://api.spotify.com/v1/audio-analysis/0nS9PF1g64Oj3BzUXVXTBY,214467,4,2008,spotify:track:0nS9PF1g64Oj3BzUXVXTBY,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
11,0.736,0.666,1,-4.785,1,0.252,0.00607,0.0,0.165,0.192,95.97,audio_features,2xqcgzPLUB9KL6MQXOtS6u,spotify:track:2xqcgzPLUB9KL6MQXOtS6u,https://api.spotify.com/v1/tracks/2xqcgzPLUB9KL6MQXOtS6u,https://api.spotify.com/v1/audio-analysis/2xqcgzPLUB9KL6MQXOtS6u,165627,4,NUMMER EINS,spotify:track:2xqcgzPLUB9KL6MQXOtS6u,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1
