,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.687,0.558,7,-7.838,0,0.0347,0.073,0.226,0.24,0.379,132.981,audio_features,5FsbppbQ3MVWrsJKoYKQGM,spotify:track:5FsbppbQ3MVWrsJKoYKQGM,https://api.spotify.com/v1/tracks/5FsbppbQ3MVWrsJKoYKQGM,https://api.spotify.com/v1/audio-analysis/5FsbppbQ3MVWrsJKoYKQGM,359903,4,Drops in the Ocean,spotify:track:5FsbppbQ3MVWrsJKoYKQGM,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
1,0.755,0.798,3,-5.543,0,0.0499,0.0293,0.0638,0.0746,0.632,117.002,audio_features,7rCFzr3BYzeiu1A3NJT2sP,spotify:track:7rCFzr3BYzeiu1A3NJT2sP,https://api.spotify.com/v1/tracks/7rCFzr3BYzeiu1A3NJT2sP,https://api.spotify.com/v1/audio-analysis/7rCFzr3BYzeiu1A3NJT2sP,246204,4,Day We Met,spotify:track:7rCFzr3BYzeiu1A3NJT2sP,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
2,0.698,0.771,7,-8.295,1,0.06,0.000548,0.888,0.0801,0.839,132.991,audio_features,5n4E90tpswNOnqkUnWMyKh,spotify:track:5n4E90tpswNOnqkUnWMyKh,https://api.spotify.com/v1/tracks/5n4E90tpswNOnqkUnWMyKh,https://api.spotify.com/v1/audio-analysis/5n4E90tpswNOnqkUnWMyKh,331580,4,"Bar-Bodega ""That's It!""",spotify:track:5n4E90tpswNOnqkUnWMyKh,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
3,0.796,0.923,0,-8.577,0,0.0394,0.00904,0.803,0.0683,0.974,133.012,audio_features,11QPNSVWUdXe95yJgurIti,spotify:track:11QPNSVWUdXe95yJgurIti,https://api.spotify.com/v1/tracks/11QPNSVWUdXe95yJgurIti,https://api.spotify.com/v1/audio-analysis/11QPNSVWUdXe95yJgurIti,140748,4,Monderman,spotify:track:11QPNSVWUdXe95yJgurIti,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
4,0.754,0.761,0,-7.678,0,0.0501,0.0661,0.885,0.046,0.95,126.017,audio_features,3RXusq6ncS6XdrLDehP9wa,spotify:track:3RXusq6ncS6XdrLDehP9wa,https://api.spotify.com/v1/tracks/3RXusq6ncS6XdrLDehP9wa,https://api.spotify.com/v1/audio-analysis/3RXusq6ncS6XdrLDehP9wa,292567,3,Happy Hour at Hayek's,spotify:track:3RXusq6ncS6XdrLDehP9wa,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
5,0.816,0.802,5,-9.099,0,0.0747,0.00104,0.813,0.105,0.673,133.005,audio_features,2uCEQB8fnShTxDoDcAaLME,spotify:track:2uCEQB8fnShTxDoDcAaLME,https://api.spotify.com/v1/tracks/2uCEQB8fnShTxDoDcAaLME,https://api.spotify.com/v1/audio-analysis/2uCEQB8fnShTxDoDcAaLME,386396,4,Spontaneous Order,spotify:track:2uCEQB8fnShTxDoDcAaLME,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
6,0.807,0.965,2,-7.284,0,0.0488,0.102,0.903,0.0464,0.772,119.99,audio_features,3izrf60gvOUQMOZ2JhuCVj,spotify:track:3izrf60gvOUQMOZ2JhuCVj,https://api.spotify.com/v1/tracks/3izrf60gvOUQMOZ2JhuCVj,https://api.spotify.com/v1/audio-analysis/3izrf60gvOUQMOZ2JhuCVj,284621,4,Unwashed,spotify:track:3izrf60gvOUQMOZ2JhuCVj,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
7,0.67,0.654,7,-11.964,0,0.0394,0.9,0.822,0.134,0.136,132.982,audio_features,6UotV9HhnA6TZUVmd0kz18,spotify:track:6UotV9HhnA6TZUVmd0kz18,https://api.spotify.com/v1/tracks/6UotV9HhnA6TZUVmd0kz18,https://api.spotify.com/v1/audio-analysis/6UotV9HhnA6TZUVmd0kz18,270000,3,Daio Alternate History,spotify:track:6UotV9HhnA6TZUVmd0kz18,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
8,0.79,0.646,8,-8.459,1,0.132,0.0305,0.908,0.103,0.349,100.015,audio_features,5nw3TFEQmCsfxs8cJtmRoL,spotify:track:5nw3TFEQmCsfxs8cJtmRoL,https://api.spotify.com/v1/tracks/5nw3TFEQmCsfxs8cJtmRoL,https://api.spotify.com/v1/audio-analysis/5nw3TFEQmCsfxs8cJtmRoL,170629,4,Master Zhuang,spotify:track:5nw3TFEQmCsfxs8cJtmRoL,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
9,0.719,0.483,10,-8.323,1,0.0353,0.00252,0.501,0.0818,0.953,94.989,audio_features,4vMYzfHRi3hr5tAtXHrPGF,spotify:track:4vMYzfHRi3hr5tAtXHrPGF,https://api.spotify.com/v1/tracks/4vMYzfHRi3hr5tAtXHrPGF,https://api.spotify.com/v1/audio-analysis/4vMYzfHRi3hr5tAtXHrPGF,247485,4,We Are Drops,spotify:track:4vMYzfHRi3hr5tAtXHrPGF,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
10,0.388,0.362,9,-8.265,0,0.0335,0.355,0.404,0.364,0.185,92.107,audio_features,4Oat1JbYINXEK7247MCmBl,spotify:track:4Oat1JbYINXEK7247MCmBl,https://api.spotify.com/v1/tracks/4Oat1JbYINXEK7247MCmBl,https://api.spotify.com/v1/audio-analysis/4Oat1JbYINXEK7247MCmBl,63272,3,Shuppatsu,spotify:track:4Oat1JbYINXEK7247MCmBl,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
11,0.67,0.857,10,-8.894,0,0.0621,0.000962,0.884,0.0623,0.308,115.958,audio_features,6r5FHlXksRbAVXXaMvfTiu,spotify:track:6r5FHlXksRbAVXXaMvfTiu,https://api.spotify.com/v1/tracks/6r5FHlXksRbAVXXaMvfTiu,https://api.spotify.com/v1/audio-analysis/6r5FHlXksRbAVXXaMvfTiu,382333,4,Borderless II,spotify:track:6r5FHlXksRbAVXXaMvfTiu,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
12,0.84,0.566,11,-7.164,0,0.0448,0.00506,0.44,0.101,0.723,117.991,audio_features,4Noq0kesyOwbyLLQcg3qYW,spotify:track:4Noq0kesyOwbyLLQcg3qYW,https://api.spotify.com/v1/tracks/4Noq0kesyOwbyLLQcg3qYW,https://api.spotify.com/v1/audio-analysis/4Noq0kesyOwbyLLQcg3qYW,409831,4,Love Invaders,spotify:track:4Noq0kesyOwbyLLQcg3qYW,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
13,0.863,0.642,5,-9.239,1,0.0462,0.418,0.815,0.108,0.96,112.991,audio_features,43LyN9NDyV1E188MlEJdBU,spotify:track:43LyN9NDyV1E188MlEJdBU,https://api.spotify.com/v1/tracks/43LyN9NDyV1E188MlEJdBU,https://api.spotify.com/v1/audio-analysis/43LyN9NDyV1E188MlEJdBU,248495,3,Only Of The Universe,spotify:track:43LyN9NDyV1E188MlEJdBU,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
14,0.606,0.396,0,-11.731,0,0.0338,0.954,0.974,0.319,0.681,99.994,audio_features,6AXMALDK60tP8PkZPEKiol,spotify:track:6AXMALDK60tP8PkZPEKiol,https://api.spotify.com/v1/tracks/6AXMALDK60tP8PkZPEKiol,https://api.spotify.com/v1/audio-analysis/6AXMALDK60tP8PkZPEKiol,148396,4,Migratory Floozy,spotify:track:6AXMALDK60tP8PkZPEKiol,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
15,0.793,0.686,7,-7.86,0,0.0409,0.601,0.928,0.101,0.866,119.994,audio_features,0Eu4njioAxRJ4r10KQ7wyi,spotify:track:0Eu4njioAxRJ4r10KQ7wyi,https://api.spotify.com/v1/tracks/0Eu4njioAxRJ4r10KQ7wyi,https://api.spotify.com/v1/audio-analysis/0Eu4njioAxRJ4r10KQ7wyi,461508,4,Sazak Bay,spotify:track:0Eu4njioAxRJ4r10KQ7wyi,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
16,0.745,0.596,2,-6.562,0,0.0257,0.000335,0.331,0.118,0.372,113.01,audio_features,3dOvSHny4Ho5rKTJKEvyi4,spotify:track:3dOvSHny4Ho5rKTJKEvyi4,https://api.spotify.com/v1/tracks/3dOvSHny4Ho5rKTJKEvyi4,https://api.spotify.com/v1/audio-analysis/3dOvSHny4Ho5rKTJKEvyi4,187987,4,Citizens,spotify:track:3dOvSHny4Ho5rKTJKEvyi4,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
17,0.802,0.563,8,-9.208,1,0.0576,0.0952,0.891,0.109,0.0776,122.012,audio_features,4JPaqUW68KdcQV0ZRwyabT,spotify:track:4JPaqUW68KdcQV0ZRwyabT,https://api.spotify.com/v1/tracks/4JPaqUW68KdcQV0ZRwyabT,https://api.spotify.com/v1/audio-analysis/4JPaqUW68KdcQV0ZRwyabT,292410,4,"Sooty Shearwater, King Of Migration",spotify:track:4JPaqUW68KdcQV0ZRwyabT,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
18,0.711,0.99,1,-9.788,1,0.291,0.394,0.942,0.0864,0.164,175.294,audio_features,0YFtAfDxBTQpKL7gJU6BZ3,spotify:track:0YFtAfDxBTQpKL7gJU6BZ3,https://api.spotify.com/v1/tracks/0YFtAfDxBTQpKL7gJU6BZ3,https://api.spotify.com/v1/audio-analysis/0YFtAfDxBTQpKL7gJU6BZ3,155044,4,Night Crossing,spotify:track:0YFtAfDxBTQpKL7gJU6BZ3,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
19,0.465,0.431,4,-10.127,0,0.035,0.0381,0.894,0.116,0.0665,99.986,audio_features,4mR9XfNlcoeJyamroCKNp4,spotify:track:4mR9XfNlcoeJyamroCKNp4,https://api.spotify.com/v1/tracks/4mR9XfNlcoeJyamroCKNp4,https://api.spotify.com/v1/audio-analysis/4mR9XfNlcoeJyamroCKNp4,397847,4,Imaginary Lines,spotify:track:4mR9XfNlcoeJyamroCKNp4,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
20,0.765,0.896,0,-4.494,1,0.268,0.0342,0.00116,0.334,0.638,113.041,audio_features,6k8s4NQXrftnV2YmmDHNH2,spotify:track:6k8s4NQXrftnV2YmmDHNH2,https://api.spotify.com/v1/tracks/6k8s4NQXrftnV2YmmDHNH2,https://api.spotify.com/v1/audio-analysis/6k8s4NQXrftnV2YmmDHNH2,690313,4,Build It Up,spotify:track:6k8s4NQXrftnV2YmmDHNH2,Fatima Yamaha,7eZRt08LoDy0nfIS6OwyMP
