,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.276,0.865,5,-2.233,0,0.178,0.000583,0.00118,0.56,0.271,174.039,audio_features,4CDTHGXvoZTFGGT9yjDMn6,spotify:track:4CDTHGXvoZTFGGT9yjDMn6,https://api.spotify.com/v1/tracks/4CDTHGXvoZTFGGT9yjDMn6,https://api.spotify.com/v1/audio-analysis/4CDTHGXvoZTFGGT9yjDMn6,292414,4,Weavers,spotify:track:4CDTHGXvoZTFGGT9yjDMn6,Feint,6RQ9kYbHisp1UUbnfwHNeU
1,0.254,0.717,0,-5.623,1,0.0665,0.143,0.0772,0.129,0.102,173.742,audio_features,7LKm8GVnMcDMXfDyhVcODr,spotify:track:7LKm8GVnMcDMXfDyhVcODr,https://api.spotify.com/v1/tracks/7LKm8GVnMcDMXfDyhVcODr,https://api.spotify.com/v1/audio-analysis/7LKm8GVnMcDMXfDyhVcODr,278000,4,Starseed,spotify:track:7LKm8GVnMcDMXfDyhVcODr,Feint,6RQ9kYbHisp1UUbnfwHNeU
2,0.3,0.846,8,-1.049,1,0.0541,0.114,0.000914,0.197,0.274,173.911,audio_features,0UKQrQDMVcKN3ngG1kthYN,spotify:track:0UKQrQDMVcKN3ngG1kthYN,https://api.spotify.com/v1/tracks/0UKQrQDMVcKN3ngG1kthYN,https://api.spotify.com/v1/audio-analysis/0UKQrQDMVcKN3ngG1kthYN,295172,4,Fading Wind,spotify:track:0UKQrQDMVcKN3ngG1kthYN,Feint,6RQ9kYbHisp1UUbnfwHNeU
3,0.459,0.789,5,-6.403,1,0.0348,0.296,0.95,0.104,0.151,174.025,audio_features,51coyjFM2iecFNv9fWoZmt,spotify:track:51coyjFM2iecFNv9fWoZmt,https://api.spotify.com/v1/tracks/51coyjFM2iecFNv9fWoZmt,https://api.spotify.com/v1/audio-analysis/51coyjFM2iecFNv9fWoZmt,270345,4,Silent Light,spotify:track:51coyjFM2iecFNv9fWoZmt,Feint,6RQ9kYbHisp1UUbnfwHNeU
4,0.374,0.909,4,-1.061,0,0.0419,0.00579,3.19e-05,0.149,0.0378,174.089,audio_features,4H8BKHQJnzEoSFeKnxULg6,spotify:track:4H8BKHQJnzEoSFeKnxULg6,https://api.spotify.com/v1/tracks/4H8BKHQJnzEoSFeKnxULg6,https://api.spotify.com/v1/audio-analysis/4H8BKHQJnzEoSFeKnxULg6,217931,4,Living in a Dream - Feint Remix,spotify:track:4H8BKHQJnzEoSFeKnxULg6,Feint,6RQ9kYbHisp1UUbnfwHNeU
5,0.474,0.909,7,-1.049,1,0.0325,0.006,3.07e-05,0.153,0.0379,86.985,audio_features,5yyUv9Ns8296jEjXO3OiZo,spotify:track:5yyUv9Ns8296jEjXO3OiZo,https://api.spotify.com/v1/tracks/5yyUv9Ns8296jEjXO3OiZo,https://api.spotify.com/v1/audio-analysis/5yyUv9Ns8296jEjXO3OiZo,217931,4,Living in a Dream (feat. Natalie Major) [Feint Remix],spotify:track:5yyUv9Ns8296jEjXO3OiZo,Feint,6RQ9kYbHisp1UUbnfwHNeU
6,0.389,0.912,0,-2.444,1,0.0624,0.172,0.000131,0.0911,0.395,174.101,audio_features,5RkJMrhW5aU2zMuJcZUNmh,spotify:track:5RkJMrhW5aU2zMuJcZUNmh,https://api.spotify.com/v1/tracks/5RkJMrhW5aU2zMuJcZUNmh,https://api.spotify.com/v1/audio-analysis/5RkJMrhW5aU2zMuJcZUNmh,186207,4,Do Better,spotify:track:5RkJMrhW5aU2zMuJcZUNmh,Feint,6RQ9kYbHisp1UUbnfwHNeU
7,0.458,0.78,0,-4.815,0,0.037,0.00566,0.128,0.111,0.0534,87.99,audio_features,7A9cnc8k2b3242i8WbhcT7,spotify:track:7A9cnc8k2b3242i8WbhcT7,https://api.spotify.com/v1/tracks/7A9cnc8k2b3242i8WbhcT7,https://api.spotify.com/v1/audio-analysis/7A9cnc8k2b3242i8WbhcT7,218182,4,She's A Killer Part 2,spotify:track:7A9cnc8k2b3242i8WbhcT7,Feint,6RQ9kYbHisp1UUbnfwHNeU
8,0.499,0.904,8,-3.836,0,0.0356,0.000719,0.026,0.371,0.271,86.953,audio_features,1HwnI03ofP3ywGUCZtH040,spotify:track:1HwnI03ofP3ywGUCZtH040,https://api.spotify.com/v1/tracks/1HwnI03ofP3ywGUCZtH040,https://api.spotify.com/v1/audio-analysis/1HwnI03ofP3ywGUCZtH040,264109,4,I'll Be There,spotify:track:1HwnI03ofP3ywGUCZtH040,Feint,6RQ9kYbHisp1UUbnfwHNeU
9,0.451,0.955,1,-1.592,0,0.0775,0.000316,0.639,0.319,0.221,172.024,audio_features,3rLWrVlVLH8Upn5cjfvgAn,spotify:track:3rLWrVlVLH8Upn5cjfvgAn,https://api.spotify.com/v1/tracks/3rLWrVlVLH8Upn5cjfvgAn,https://api.spotify.com/v1/audio-analysis/3rLWrVlVLH8Upn5cjfvgAn,228924,4,Outbreak - Fox Stevenson Remix,spotify:track:3rLWrVlVLH8Upn5cjfvgAn,Feint,6RQ9kYbHisp1UUbnfwHNeU
