,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.52,0.00874,3,-29.301,0,0.0887,0.965,1.78e-05,0.107,0.037,94.65,audio_features,4MB2P16ikujt5Dieh2a0Ne,spotify:track:4MB2P16ikujt5Dieh2a0Ne,https://api.spotify.com/v1/tracks/4MB2P16ikujt5Dieh2a0Ne,https://api.spotify.com/v1/audio-analysis/4MB2P16ikujt5Dieh2a0Ne,125600,4,Tired - Live,spotify:track:4MB2P16ikujt5Dieh2a0Ne,First Aid Kit,21egYD1eInY6bGFcniCRT1
1,0.452,0.14,6,-18.584,1,0.0598,0.887,0.0,0.234,0.198,146.762,audio_features,05LwDzXo5aeWXbwSsPk3yv,spotify:track:05LwDzXo5aeWXbwSsPk3yv,https://api.spotify.com/v1/tracks/05LwDzXo5aeWXbwSsPk3yv,https://api.spotify.com/v1/audio-analysis/05LwDzXo5aeWXbwSsPk3yv,220307,4,Suzanne - Live,spotify:track:05LwDzXo5aeWXbwSsPk3yv,First Aid Kit,21egYD1eInY6bGFcniCRT1
2,0.419,0.132,0,-20.197,1,0.0556,0.733,1.31e-05,0.0897,0.1,143.118,audio_features,2eeurp3gehruU84iaY1vcp,spotify:track:2eeurp3gehruU84iaY1vcp,https://api.spotify.com/v1/tracks/2eeurp3gehruU84iaY1vcp,https://api.spotify.com/v1/audio-analysis/2eeurp3gehruU84iaY1vcp,235093,3,Sisters of Mercy - Live,spotify:track:2eeurp3gehruU84iaY1vcp,First Aid Kit,21egYD1eInY6bGFcniCRT1
3,0.299,0.35,0,-17.393,1,0.0576,0.205,0.0172,0.623,0.202,165.852,audio_features,11xRktI80wqmA8qAw9rf08,spotify:track:11xRktI80wqmA8qAw9rf08,https://api.spotify.com/v1/tracks/11xRktI80wqmA8qAw9rf08,https://api.spotify.com/v1/audio-analysis/11xRktI80wqmA8qAw9rf08,231133,4,Who by Fire / As the Mist Leaves No Scar - Live,spotify:track:11xRktI80wqmA8qAw9rf08,First Aid Kit,21egYD1eInY6bGFcniCRT1
4,0.386,0.24,2,-19.988,1,0.423,0.647,0.0,0.64,0.211,163.948,audio_features,1veecD3wNObR6Zt0yKLAJ2,spotify:track:1veecD3wNObR6Zt0yKLAJ2,https://api.spotify.com/v1/tracks/1veecD3wNObR6Zt0yKLAJ2,https://api.spotify.com/v1/audio-analysis/1veecD3wNObR6Zt0yKLAJ2,64747,4,Twelve O'Clock Chant - Live,spotify:track:1veecD3wNObR6Zt0yKLAJ2,First Aid Kit,21egYD1eInY6bGFcniCRT1
5,0.443,0.397,10,-15.917,0,0.0692,0.142,0.00148,0.171,0.106,139.184,audio_features,642XmHdW1YxBw9bdTdm2QR,spotify:track:642XmHdW1YxBw9bdTdm2QR,https://api.spotify.com/v1/tracks/642XmHdW1YxBw9bdTdm2QR,https://api.spotify.com/v1/audio-analysis/642XmHdW1YxBw9bdTdm2QR,305800,4,Everybody Knows - Live,spotify:track:642XmHdW1YxBw9bdTdm2QR,First Aid Kit,21egYD1eInY6bGFcniCRT1
6,0.327,0.369,9,-16.648,1,0.0414,0.46,4.29e-05,0.0986,0.0549,134.126,audio_features,07ZdA2LTuRwReBeMrxevF0,spotify:track:07ZdA2LTuRwReBeMrxevF0,https://api.spotify.com/v1/tracks/07ZdA2LTuRwReBeMrxevF0,https://api.spotify.com/v1/audio-analysis/07ZdA2LTuRwReBeMrxevF0,209160,4,Avalanche - Live,spotify:track:07ZdA2LTuRwReBeMrxevF0,First Aid Kit,21egYD1eInY6bGFcniCRT1
7,0.473,0.26,2,-21.835,1,0.289,0.146,0.00146,0.108,0.0415,133.322,audio_features,1Hhzptt6x3Yx7J9hDREtgy,spotify:track:1Hhzptt6x3Yx7J9hDREtgy,https://api.spotify.com/v1/tracks/1Hhzptt6x3Yx7J9hDREtgy,https://api.spotify.com/v1/audio-analysis/1Hhzptt6x3Yx7J9hDREtgy,148280,4,The Future - Live,spotify:track:1Hhzptt6x3Yx7J9hDREtgy,First Aid Kit,21egYD1eInY6bGFcniCRT1
8,0.369,0.109,2,-18.169,1,0.0403,0.881,0.0,0.101,0.294,77.205,audio_features,1i0BjfAF350w2Fv9LeTORW,spotify:track:1i0BjfAF350w2Fv9LeTORW,https://api.spotify.com/v1/tracks/1i0BjfAF350w2Fv9LeTORW,https://api.spotify.com/v1/audio-analysis/1i0BjfAF350w2Fv9LeTORW,229480,4,Chelsea Hotel #2 - Live,spotify:track:1i0BjfAF350w2Fv9LeTORW,First Aid Kit,21egYD1eInY6bGFcniCRT1
9,0.402,0.411,6,-14.542,0,0.0445,0.342,0.111,0.234,0.0396,113.82,audio_features,001XFtkTBYHh2Dpmv4a4jD,spotify:track:001XFtkTBYHh2Dpmv4a4jD,https://api.spotify.com/v1/tracks/001XFtkTBYHh2Dpmv4a4jD,https://api.spotify.com/v1/audio-analysis/001XFtkTBYHh2Dpmv4a4jD,342640,4,You Want It Darker - Live,spotify:track:001XFtkTBYHh2Dpmv4a4jD,First Aid Kit,21egYD1eInY6bGFcniCRT1
10,0.251,0.442,9,-11.05,1,0.0381,0.0764,7.33e-06,0.676,0.116,147.207,audio_features,5s3Vyexxo8Qia4XYWHuIns,spotify:track:5s3Vyexxo8Qia4XYWHuIns,https://api.spotify.com/v1/tracks/5s3Vyexxo8Qia4XYWHuIns,https://api.spotify.com/v1/audio-analysis/5s3Vyexxo8Qia4XYWHuIns,305853,3,If It Be Your Will - Live,spotify:track:5s3Vyexxo8Qia4XYWHuIns,First Aid Kit,21egYD1eInY6bGFcniCRT1
11,0.424,0.322,10,-17.731,1,0.507,0.849,0.0,0.17,0.106,170.385,audio_features,3pVmlfuRtRxyf8QDhT4Xe1,spotify:track:3pVmlfuRtRxyf8QDhT4Xe1,https://api.spotify.com/v1/tracks/3pVmlfuRtRxyf8QDhT4Xe1,https://api.spotify.com/v1/audio-analysis/3pVmlfuRtRxyf8QDhT4Xe1,211373,3,The Asthmatic - Live,spotify:track:3pVmlfuRtRxyf8QDhT4Xe1,First Aid Kit,21egYD1eInY6bGFcniCRT1
