,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.517,0.758,11,-5.517,1,0.0499,0.089,7.25e-06,0.653,0.377,90.087,audio_features,3bO1aiSSz2y0dko3Ke93Qf,spotify:track:3bO1aiSSz2y0dko3Ke93Qf,https://api.spotify.com/v1/tracks/3bO1aiSSz2y0dko3Ke93Qf,https://api.spotify.com/v1/audio-analysis/3bO1aiSSz2y0dko3Ke93Qf,181515,4,Kawaii Hawaii,spotify:track:3bO1aiSSz2y0dko3Ke93Qf,Forests,2ew0XBmcP0n50UWzVVQygC
1,0.457,0.735,4,-5.145,1,0.0423,0.00145,0.000266,0.112,0.198,84.503,audio_features,7EXW4ZfF7284qm8Z7geVQz,spotify:track:7EXW4ZfF7284qm8Z7geVQz,https://api.spotify.com/v1/tracks/7EXW4ZfF7284qm8Z7geVQz,https://api.spotify.com/v1/audio-analysis/7EXW4ZfF7284qm8Z7geVQz,262526,4,"Perfect Worst Team, Ya Know?",spotify:track:7EXW4ZfF7284qm8Z7geVQz,Forests,2ew0XBmcP0n50UWzVVQygC
2,0.624,0.796,7,-4.435,1,0.0519,0.0112,0.000173,0.23,0.754,89.935,audio_features,0RLr1OfVRMzF32xoxhOqMC,spotify:track:0RLr1OfVRMzF32xoxhOqMC,https://api.spotify.com/v1/tracks/0RLr1OfVRMzF32xoxhOqMC,https://api.spotify.com/v1/audio-analysis/0RLr1OfVRMzF32xoxhOqMC,265768,4,Goldust,spotify:track:0RLr1OfVRMzF32xoxhOqMC,Forests,2ew0XBmcP0n50UWzVVQygC
3,0.397,0.917,9,-4.556,1,0.0774,0.0097,1.14e-05,0.12,0.564,99.936,audio_features,61FznXHspFwipILhYZrqSf,spotify:track:61FznXHspFwipILhYZrqSf,https://api.spotify.com/v1/tracks/61FznXHspFwipILhYZrqSf,https://api.spotify.com/v1/audio-analysis/61FznXHspFwipILhYZrqSf,270393,4,This Town Needs Fun,spotify:track:61FznXHspFwipILhYZrqSf,Forests,2ew0XBmcP0n50UWzVVQygC
4,0.24,0.947,2,-4.481,1,0.0866,0.0124,3.5e-06,0.322,0.182,77.447,audio_features,5bYtyisursfDwhWhSeIro4,spotify:track:5bYtyisursfDwhWhSeIro4,https://api.spotify.com/v1/tracks/5bYtyisursfDwhWhSeIro4,https://api.spotify.com/v1/audio-analysis/5bYtyisursfDwhWhSeIro4,244375,4,Cirrus Clouds,spotify:track:5bYtyisursfDwhWhSeIro4,Forests,2ew0XBmcP0n50UWzVVQygC
5,0.349,0.802,0,-4.094,1,0.0494,0.00417,0.000293,0.139,0.464,85.741,audio_features,6uL5Yn8S3WQo6cK8KZ0FYE,spotify:track:6uL5Yn8S3WQo6cK8KZ0FYE,https://api.spotify.com/v1/tracks/6uL5Yn8S3WQo6cK8KZ0FYE,https://api.spotify.com/v1/audio-analysis/6uL5Yn8S3WQo6cK8KZ0FYE,185445,3,You Must Be Fun at Parties,spotify:track:6uL5Yn8S3WQo6cK8KZ0FYE,Forests,2ew0XBmcP0n50UWzVVQygC
6,0.529,0.795,9,-5.051,1,0.0564,0.0472,0.00185,0.0488,0.27,110.095,audio_features,76ZV2w2Z1OpddavEeioMXY,spotify:track:76ZV2w2Z1OpddavEeioMXY,https://api.spotify.com/v1/tracks/76ZV2w2Z1OpddavEeioMXY,https://api.spotify.com/v1/audio-analysis/76ZV2w2Z1OpddavEeioMXY,274379,4,I Miss Your Dog (More Than I Miss You),spotify:track:76ZV2w2Z1OpddavEeioMXY,Forests,2ew0XBmcP0n50UWzVVQygC
7,0.601,0.37,7,-12.96,1,0.0345,0.762,0.00725,0.101,0.534,144.828,audio_features,1H2NAaRGNv4df0nNmUQTl7,spotify:track:1H2NAaRGNv4df0nNmUQTl7,https://api.spotify.com/v1/tracks/1H2NAaRGNv4df0nNmUQTl7,https://api.spotify.com/v1/audio-analysis/1H2NAaRGNv4df0nNmUQTl7,121778,4,Tater Tots,spotify:track:1H2NAaRGNv4df0nNmUQTl7,Forests,2ew0XBmcP0n50UWzVVQygC
8,0.4,0.754,2,-4.496,1,0.0407,0.0134,1.61e-06,0.578,0.413,134.979,audio_features,7vQpBOJJSMXQM06ZI5kjDj,spotify:track:7vQpBOJJSMXQM06ZI5kjDj,https://api.spotify.com/v1/tracks/7vQpBOJJSMXQM06ZI5kjDj,https://api.spotify.com/v1/audio-analysis/7vQpBOJJSMXQM06ZI5kjDj,268618,4,How's Leaving Coming Along?,spotify:track:7vQpBOJJSMXQM06ZI5kjDj,Forests,2ew0XBmcP0n50UWzVVQygC
9,0.564,0.901,7,-4.56,1,0.0701,0.292,0.0711,0.107,0.732,157.948,audio_features,1S5Y2WCUIs7z2kobtDVQfy,spotify:track:1S5Y2WCUIs7z2kobtDVQfy,https://api.spotify.com/v1/tracks/1S5Y2WCUIs7z2kobtDVQfy,https://api.spotify.com/v1/audio-analysis/1S5Y2WCUIs7z2kobtDVQfy,247000,4,You Seem a Little Anxious,spotify:track:1S5Y2WCUIs7z2kobtDVQfy,Forests,2ew0XBmcP0n50UWzVVQygC
