,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.679,0.875,5,-4.903,0,0.0567,0.0126,0.00167,0.118,0.763,126.966,audio_features,7FfM7wdVob6IEoYQPHaWDY,spotify:track:7FfM7wdVob6IEoYQPHaWDY,https://api.spotify.com/v1/tracks/7FfM7wdVob6IEoYQPHaWDY,https://api.spotify.com/v1/audio-analysis/7FfM7wdVob6IEoYQPHaWDY,275707,4,Helena Beat,spotify:track:7FfM7wdVob6IEoYQPHaWDY,Foster The People,7gP3bB2nilZXLfPHJhMdvc
1,0.738,0.709,5,-5.831,0,0.0291,0.164,0.117,0.0886,0.962,128.093,audio_features,3xvJyw0Wk7cEoYittAhCjO,spotify:track:3xvJyw0Wk7cEoYittAhCjO,https://api.spotify.com/v1/tracks/3xvJyw0Wk7cEoYittAhCjO,https://api.spotify.com/v1/audio-analysis/3xvJyw0Wk7cEoYittAhCjO,239733,4,Pumped Up Kicks,spotify:track:3xvJyw0Wk7cEoYittAhCjO,Foster The People,7gP3bB2nilZXLfPHJhMdvc
2,0.643,0.964,5,-4.281,0,0.0599,0.056,0.000173,0.247,0.733,113.022,audio_features,0yMn9Wdqjyrq0BiBKpoqlf,spotify:track:0yMn9Wdqjyrq0BiBKpoqlf,https://api.spotify.com/v1/tracks/0yMn9Wdqjyrq0BiBKpoqlf,https://api.spotify.com/v1/audio-analysis/0yMn9Wdqjyrq0BiBKpoqlf,238707,4,Call It What You Want,spotify:track:0yMn9Wdqjyrq0BiBKpoqlf,Foster The People,7gP3bB2nilZXLfPHJhMdvc
3,0.61,0.948,11,-3.781,0,0.0725,0.00188,0.141,0.0825,0.802,132.991,audio_features,2eYmycemHHnsiKcr36IaBW,spotify:track:2eYmycemHHnsiKcr36IaBW,https://api.spotify.com/v1/tracks/2eYmycemHHnsiKcr36IaBW,https://api.spotify.com/v1/audio-analysis/2eYmycemHHnsiKcr36IaBW,174813,4,Don't Stop (Color on the Walls),spotify:track:2eYmycemHHnsiKcr36IaBW,Foster The People,7gP3bB2nilZXLfPHJhMdvc
4,0.69,0.735,8,-6.272,1,0.0291,0.061,4.55e-06,0.0645,0.865,125.971,audio_features,6xZQQjssnJlEfLtSqALFSt,spotify:track:6xZQQjssnJlEfLtSqALFSt,https://api.spotify.com/v1/tracks/6xZQQjssnJlEfLtSqALFSt,https://api.spotify.com/v1/audio-analysis/6xZQQjssnJlEfLtSqALFSt,205747,4,Waste,spotify:track:6xZQQjssnJlEfLtSqALFSt,Foster The People,7gP3bB2nilZXLfPHJhMdvc
5,0.599,0.849,0,-5.836,1,0.0336,0.0376,1.65e-05,0.124,0.497,127.993,audio_features,6IF1pYg7rM4jNJTtlYnnfY,spotify:track:6IF1pYg7rM4jNJTtlYnnfY,https://api.spotify.com/v1/tracks/6IF1pYg7rM4jNJTtlYnnfY,https://api.spotify.com/v1/audio-analysis/6IF1pYg7rM4jNJTtlYnnfY,214453,4,I Would Do Anything for You,spotify:track:6IF1pYg7rM4jNJTtlYnnfY,Foster The People,7gP3bB2nilZXLfPHJhMdvc
6,0.62,0.911,8,-3.531,1,0.0432,0.00702,0.000357,0.27,0.733,110.029,audio_features,4NcQv2iHPj3V1fNorFeEyZ,spotify:track:4NcQv2iHPj3V1fNorFeEyZ,https://api.spotify.com/v1/tracks/4NcQv2iHPj3V1fNorFeEyZ,https://api.spotify.com/v1/audio-analysis/4NcQv2iHPj3V1fNorFeEyZ,202320,4,Houdini,spotify:track:4NcQv2iHPj3V1fNorFeEyZ,Foster The People,7gP3bB2nilZXLfPHJhMdvc
7,0.7,0.952,5,-5.393,0,0.0749,0.0506,0.00703,0.291,0.718,120.022,audio_features,3YiTUYAYqlrVcbj0saLEpf,spotify:track:3YiTUYAYqlrVcbj0saLEpf,https://api.spotify.com/v1/tracks/3YiTUYAYqlrVcbj0saLEpf,https://api.spotify.com/v1/audio-analysis/3YiTUYAYqlrVcbj0saLEpf,215307,4,Life on the Nickel,spotify:track:3YiTUYAYqlrVcbj0saLEpf,Foster The People,7gP3bB2nilZXLfPHJhMdvc
8,0.625,0.995,0,-3.95,0,0.196,0.0219,0.0307,0.119,0.0936,120.991,audio_features,5T587h4FwLF0QEUrk8bmsD,spotify:track:5T587h4FwLF0QEUrk8bmsD,https://api.spotify.com/v1/tracks/5T587h4FwLF0QEUrk8bmsD,https://api.spotify.com/v1/audio-analysis/5T587h4FwLF0QEUrk8bmsD,213040,4,Miss You,spotify:track:5T587h4FwLF0QEUrk8bmsD,Foster The People,7gP3bB2nilZXLfPHJhMdvc
9,0.627,0.822,0,-5.449,1,0.0589,0.0111,0.0019,0.127,0.291,120.007,audio_features,5ydsojJItduqElbewSZUut,spotify:track:5ydsojJItduqElbewSZUut,https://api.spotify.com/v1/tracks/5ydsojJItduqElbewSZUut,https://api.spotify.com/v1/audio-analysis/5ydsojJItduqElbewSZUut,320987,4,Warrant,spotify:track:5ydsojJItduqElbewSZUut,Foster The People,7gP3bB2nilZXLfPHJhMdvc
10,0.632,0.887,3,-4.882,1,0.0472,0.00122,0.0444,0.271,0.53,123.964,audio_features,62pTiLfL1VsELH6MCuNDDD,spotify:track:62pTiLfL1VsELH6MCuNDDD,https://api.spotify.com/v1/tracks/62pTiLfL1VsELH6MCuNDDD,https://api.spotify.com/v1/audio-analysis/62pTiLfL1VsELH6MCuNDDD,336333,4,Broken Jaw,spotify:track:62pTiLfL1VsELH6MCuNDDD,Foster The People,7gP3bB2nilZXLfPHJhMdvc
