,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.62,0.674,3,-6.451,0,0.0282,0.0572,5.25e-06,0.137,0.731,119.672,audio_features,59gwmXo8rQmsRV756B1LI5,spotify:track:59gwmXo8rQmsRV756B1LI5,https://api.spotify.com/v1/tracks/59gwmXo8rQmsRV756B1LI5,https://api.spotify.com/v1/audio-analysis/59gwmXo8rQmsRV756B1LI5,178400,4,Reach Out I'll Be There - Single Version / Mono,spotify:track:59gwmXo8rQmsRV756B1LI5,Four Tops,7fIvjotigTGWqjIz6EP1i4
1,0.679,0.607,0,-8.832,1,0.0286,0.287,0.0,0.0881,0.966,127.013,audio_features,7rovrNiaZUFBBW4D0TNZ0l,spotify:track:7rovrNiaZUFBBW4D0TNZ0l,https://api.spotify.com/v1/tracks/7rovrNiaZUFBBW4D0TNZ0l,https://api.spotify.com/v1/audio-analysis/7rovrNiaZUFBBW4D0TNZ0l,162293,4,"I Can't Help Myself (Sugar Pie, Honey Bunch) - ""16 Big Hits"" Stereo Version",spotify:track:7rovrNiaZUFBBW4D0TNZ0l,Four Tops,7fIvjotigTGWqjIz6EP1i4
2,0.641,0.581,0,-8.029,0,0.0414,0.644,0.0,0.172,0.703,121.226,audio_features,1DtwWmZlMs4OlLOQiZ6oXn,spotify:track:1DtwWmZlMs4OlLOQiZ6oXn,https://api.spotify.com/v1/tracks/1DtwWmZlMs4OlLOQiZ6oXn,https://api.spotify.com/v1/audio-analysis/1DtwWmZlMs4OlLOQiZ6oXn,163600,4,Baby I Need Your Loving - Stereo Version,spotify:track:1DtwWmZlMs4OlLOQiZ6oXn,Four Tops,7fIvjotigTGWqjIz6EP1i4
3,0.374,0.665,5,-5.416,1,0.0461,0.0234,0.0,0.439,0.633,100.016,audio_features,0Rs3nPSTPVdW4vq5u81Byu,spotify:track:0Rs3nPSTPVdW4vq5u81Byu,https://api.spotify.com/v1/tracks/0Rs3nPSTPVdW4vq5u81Byu,https://api.spotify.com/v1/audio-analysis/0Rs3nPSTPVdW4vq5u81Byu,168133,4,Loving You Is Sweeter Than Ever,spotify:track:0Rs3nPSTPVdW4vq5u81Byu,Four Tops,7fIvjotigTGWqjIz6EP1i4
4,0.636,0.583,0,-6.986,1,0.0303,0.297,0.0,0.306,0.759,114.396,audio_features,5ylqTBGwaRjIv4O9lzaZyy,spotify:track:5ylqTBGwaRjIv4O9lzaZyy,https://api.spotify.com/v1/tracks/5ylqTBGwaRjIv4O9lzaZyy,https://api.spotify.com/v1/audio-analysis/5ylqTBGwaRjIv4O9lzaZyy,198773,4,A Place In The Sun,spotify:track:5ylqTBGwaRjIv4O9lzaZyy,Four Tops,7fIvjotigTGWqjIz6EP1i4
5,0.433,0.862,6,-3.721,1,0.0514,0.128,0.0,0.291,0.902,177.235,audio_features,2z3WyJFv5mkpxHwfYl926c,spotify:track:2z3WyJFv5mkpxHwfYl926c,https://api.spotify.com/v1/tracks/2z3WyJFv5mkpxHwfYl926c,https://api.spotify.com/v1/audio-analysis/2z3WyJFv5mkpxHwfYl926c,152187,4,7-Rooms Of Gloom,spotify:track:2z3WyJFv5mkpxHwfYl926c,Four Tops,7fIvjotigTGWqjIz6EP1i4
6,0.577,0.75,10,-6.59,1,0.0345,0.231,0.0,0.101,0.787,130.374,audio_features,1Ha5goTc1FVY3ZDB47sBpC,spotify:track:1Ha5goTc1FVY3ZDB47sBpC,https://api.spotify.com/v1/tracks/1Ha5goTc1FVY3ZDB47sBpC,https://api.spotify.com/v1/audio-analysis/1Ha5goTc1FVY3ZDB47sBpC,160507,4,Something About You - Album Version / Stereo,spotify:track:1Ha5goTc1FVY3ZDB47sBpC,Four Tops,7fIvjotigTGWqjIz6EP1i4
7,0.583,0.743,2,-6.434,1,0.0368,0.282,0.0203,0.238,0.844,90.354,audio_features,7wWSRVghowdsISwsQk19Ia,spotify:track:7wWSRVghowdsISwsQk19Ia,https://api.spotify.com/v1/tracks/7wWSRVghowdsISwsQk19Ia,https://api.spotify.com/v1/audio-analysis/7wWSRVghowdsISwsQk19Ia,182947,4,Just Seven Numbers (Can Straighten Out My Life),spotify:track:7wWSRVghowdsISwsQk19Ia,Four Tops,7fIvjotigTGWqjIz6EP1i4
8,0.387,0.682,10,-5.612,1,0.0339,0.0618,0.0,0.132,0.848,147.798,audio_features,1Io0IX72nY1e7g2wVxkFi7,spotify:track:1Io0IX72nY1e7g2wVxkFi7,https://api.spotify.com/v1/tracks/1Io0IX72nY1e7g2wVxkFi7,https://api.spotify.com/v1/audio-analysis/1Io0IX72nY1e7g2wVxkFi7,159907,4,Helpless,spotify:track:1Io0IX72nY1e7g2wVxkFi7,Four Tops,7fIvjotigTGWqjIz6EP1i4
9,0.675,0.639,5,-7.608,0,0.0274,0.0497,7.63e-05,0.149,0.623,110.084,audio_features,7pBx4XoF5QtenYjEYqbHDG,spotify:track:7pBx4XoF5QtenYjEYqbHDG,https://api.spotify.com/v1/tracks/7pBx4XoF5QtenYjEYqbHDG,https://api.spotify.com/v1/audio-analysis/7pBx4XoF5QtenYjEYqbHDG,204800,4,Sunny,spotify:track:7pBx4XoF5QtenYjEYqbHDG,Four Tops,7fIvjotigTGWqjIz6EP1i4
