,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.587,0.725,11,-11.56,0,0.405,0.953,0.832,0.23,0.64,67.44,audio_features,0RSbvFz1aje9Gw70QRwEzX,spotify:track:0RSbvFz1aje9Gw70QRwEzX,https://api.spotify.com/v1/tracks/0RSbvFz1aje9Gw70QRwEzX,https://api.spotify.com/v1/audio-analysis/0RSbvFz1aje9Gw70QRwEzX,59013,3,Intro,spotify:track:0RSbvFz1aje9Gw70QRwEzX,G. Dep,7x7pxJtOTFkTSStKmrRyRp
1,0.784,0.653,4,-4.586,1,0.182,0.072,0.0,0.0864,0.633,85.564,audio_features,19ycEi0eGTU4TdGj9nsqcA,spotify:track:19ycEi0eGTU4TdGj9nsqcA,https://api.spotify.com/v1/tracks/19ycEi0eGTU4TdGj9nsqcA,https://api.spotify.com/v1/audio-analysis/19ycEi0eGTU4TdGj9nsqcA,245307,4,Mr.Welfare - DJ C.M.S. Mix,spotify:track:19ycEi0eGTU4TdGj9nsqcA,G. Dep,7x7pxJtOTFkTSStKmrRyRp
2,0.717,0.731,0,-9.144,1,0.27,0.0945,3.35e-05,0.0658,0.588,88.012,audio_features,2LWwhpvS9sIQZDs6pmetgs,spotify:track:2LWwhpvS9sIQZDs6pmetgs,https://api.spotify.com/v1/tracks/2LWwhpvS9sIQZDs6pmetgs,https://api.spotify.com/v1/audio-analysis/2LWwhpvS9sIQZDs6pmetgs,226560,4,Gametime,spotify:track:2LWwhpvS9sIQZDs6pmetgs,G. Dep,7x7pxJtOTFkTSStKmrRyRp
3,0.817,0.786,2,-3.841,1,0.223,0.028,0.0,0.308,0.739,103.969,audio_features,2sYPf5zPGlOtBtznwtDosF,spotify:track:2sYPf5zPGlOtBtznwtDosF,https://api.spotify.com/v1/tracks/2sYPf5zPGlOtBtznwtDosF,https://api.spotify.com/v1/audio-analysis/2sYPf5zPGlOtBtznwtDosF,239427,4,Hold On,spotify:track:2sYPf5zPGlOtBtznwtDosF,G. Dep,7x7pxJtOTFkTSStKmrRyRp
4,0.558,0.561,1,-9.611,1,0.491,0.138,1.07e-06,0.0515,0.525,84.098,audio_features,1N9crcTVoxhieoUPRDZrAL,spotify:track:1N9crcTVoxhieoUPRDZrAL,https://api.spotify.com/v1/tracks/1N9crcTVoxhieoUPRDZrAL,https://api.spotify.com/v1/audio-analysis/1N9crcTVoxhieoUPRDZrAL,237920,4,Funnyman,spotify:track:1N9crcTVoxhieoUPRDZrAL,G. Dep,7x7pxJtOTFkTSStKmrRyRp
5,0.673,0.537,4,-13.468,0,0.0804,0.0401,4.54e-05,0.085,0.756,90.018,audio_features,5HC0wkbaMmk7Zv21RFIMsU,spotify:track:5HC0wkbaMmk7Zv21RFIMsU,https://api.spotify.com/v1/tracks/5HC0wkbaMmk7Zv21RFIMsU,https://api.spotify.com/v1/audio-analysis/5HC0wkbaMmk7Zv21RFIMsU,219000,4,Redlight,spotify:track:5HC0wkbaMmk7Zv21RFIMsU,G. Dep,7x7pxJtOTFkTSStKmrRyRp
6,0.822,0.757,0,-9.138,1,0.117,0.101,0.0,0.216,0.693,105.985,audio_features,5gAQ4VTmBx4ab9w0P7Cs3g,spotify:track:5gAQ4VTmBx4ab9w0P7Cs3g,https://api.spotify.com/v1/tracks/5gAQ4VTmBx4ab9w0P7Cs3g,https://api.spotify.com/v1/audio-analysis/5gAQ4VTmBx4ab9w0P7Cs3g,216213,4,What's The Word?,spotify:track:5gAQ4VTmBx4ab9w0P7Cs3g,G. Dep,7x7pxJtOTFkTSStKmrRyRp
7,0.836,0.737,10,-2.841,0,0.231,0.171,0.0011,0.31,0.844,103.084,audio_features,4Cw6NodTuyXSBJmz6nZzrL,spotify:track:4Cw6NodTuyXSBJmz6nZzrL,https://api.spotify.com/v1/tracks/4Cw6NodTuyXSBJmz6nZzrL,https://api.spotify.com/v1/audio-analysis/4Cw6NodTuyXSBJmz6nZzrL,223773,4,Transmitter - Erick Sermon Mix,spotify:track:4Cw6NodTuyXSBJmz6nZzrL,G. Dep,7x7pxJtOTFkTSStKmrRyRp
8,0.281,0.802,0,-7.203,0,0.125,0.131,7.31e-06,0.366,0.521,134.333,audio_features,4TI301hALUDtBsXzRb1iF9,spotify:track:4TI301hALUDtBsXzRb1iF9,https://api.spotify.com/v1/tracks/4TI301hALUDtBsXzRb1iF9,https://api.spotify.com/v1/audio-analysis/4TI301hALUDtBsXzRb1iF9,334253,4,Jazz & Men,spotify:track:4TI301hALUDtBsXzRb1iF9,G. Dep,7x7pxJtOTFkTSStKmrRyRp
9,0.763,0.565,7,-9.985,1,0.292,0.112,0.0,0.0718,0.654,87.017,audio_features,7ta3xguFQIYi4cLiJD7pkx,spotify:track:7ta3xguFQIYi4cLiJD7pkx,https://api.spotify.com/v1/tracks/7ta3xguFQIYi4cLiJD7pkx,https://api.spotify.com/v1/audio-analysis/7ta3xguFQIYi4cLiJD7pkx,263613,4,Out Of Control,spotify:track:7ta3xguFQIYi4cLiJD7pkx,G. Dep,7x7pxJtOTFkTSStKmrRyRp
