,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.753,0.721,0,-5.213,1,0.0836,0.21,1.77e-05,0.124,0.601,98.044,audio_features,2X5gs8HvIDmZQ2rlWmkscx,spotify:track:2X5gs8HvIDmZQ2rlWmkscx,https://api.spotify.com/v1/tracks/2X5gs8HvIDmZQ2rlWmkscx,https://api.spotify.com/v1/audio-analysis/2X5gs8HvIDmZQ2rlWmkscx,193699,4,Athen,spotify:track:2X5gs8HvIDmZQ2rlWmkscx,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
1,0.714,0.747,0,-5.191,1,0.0518,0.0534,0.000374,0.207,0.533,128.935,audio_features,2iYKc47k20m4kkGus9pAkl,spotify:track:2iYKc47k20m4kkGus9pAkl,https://api.spotify.com/v1/tracks/2iYKc47k20m4kkGus9pAkl,https://api.spotify.com/v1/audio-analysis/2iYKc47k20m4kkGus9pAkl,199419,4,Glaubst du an mich,spotify:track:2iYKc47k20m4kkGus9pAkl,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
2,0.766,0.774,8,-4.017,1,0.203,0.296,1.94e-06,0.081,0.589,121.952,audio_features,3BKbBfR5if6GwQYurEuKkb,spotify:track:3BKbBfR5if6GwQYurEuKkb,https://api.spotify.com/v1/tracks/3BKbBfR5if6GwQYurEuKkb,https://api.spotify.com/v1/audio-analysis/3BKbBfR5if6GwQYurEuKkb,202131,4,"Höher, weiter, schneller",spotify:track:3BKbBfR5if6GwQYurEuKkb,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
3,0.615,0.517,0,-8.731,1,0.0549,0.0271,0.0,0.059,0.397,130.043,audio_features,69AktQhM9rEwu5lEMTKvNE,spotify:track:69AktQhM9rEwu5lEMTKvNE,https://api.spotify.com/v1/tracks/69AktQhM9rEwu5lEMTKvNE,https://api.spotify.com/v1/audio-analysis/69AktQhM9rEwu5lEMTKvNE,183115,4,Mein Zuhause,spotify:track:69AktQhM9rEwu5lEMTKvNE,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
4,0.766,0.662,4,-6.074,1,0.19,0.0563,0.0,0.321,0.669,127.027,audio_features,6N3gMRzxxfzy2od8FssBbt,spotify:track:6N3gMRzxxfzy2od8FssBbt,https://api.spotify.com/v1/tracks/6N3gMRzxxfzy2od8FssBbt,https://api.spotify.com/v1/audio-analysis/6N3gMRzxxfzy2od8FssBbt,209843,4,Mars,spotify:track:6N3gMRzxxfzy2od8FssBbt,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
5,0.714,0.747,0,-5.191,1,0.0518,0.0534,0.000374,0.207,0.533,128.935,audio_features,0yv69tNeoYH5GOTqow6FbM,spotify:track:0yv69tNeoYH5GOTqow6FbM,https://api.spotify.com/v1/tracks/0yv69tNeoYH5GOTqow6FbM,https://api.spotify.com/v1/audio-analysis/0yv69tNeoYH5GOTqow6FbM,199419,4,Glaubst du an mich,spotify:track:0yv69tNeoYH5GOTqow6FbM,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
6,0.768,0.71,8,-6.119,1,0.228,0.322,1.6e-06,0.0861,0.596,121.932,audio_features,3mnw76J1oyLDxpWqxrYW0Q,spotify:track:3mnw76J1oyLDxpWqxrYW0Q,https://api.spotify.com/v1/tracks/3mnw76J1oyLDxpWqxrYW0Q,https://api.spotify.com/v1/audio-analysis/3mnw76J1oyLDxpWqxrYW0Q,202131,4,"Höher, weiter, schneller",spotify:track:3mnw76J1oyLDxpWqxrYW0Q,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
7,0.615,0.517,0,-8.731,1,0.0549,0.0271,0.0,0.059,0.397,130.043,audio_features,5XkvfyPJanQcdvmam9jHhO,spotify:track:5XkvfyPJanQcdvmam9jHhO,https://api.spotify.com/v1/tracks/5XkvfyPJanQcdvmam9jHhO,https://api.spotify.com/v1/audio-analysis/5XkvfyPJanQcdvmam9jHhO,183115,4,Mein Zuhause,spotify:track:5XkvfyPJanQcdvmam9jHhO,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
8,0.765,0.619,4,-7.78,1,0.206,0.0589,0.0,0.316,0.62,127.033,audio_features,0dQZNYCla9f1SSZcR6fRfT,spotify:track:0dQZNYCla9f1SSZcR6fRfT,https://api.spotify.com/v1/tracks/0dQZNYCla9f1SSZcR6fRfT,https://api.spotify.com/v1/audio-analysis/0dQZNYCla9f1SSZcR6fRfT,209843,4,Mars,spotify:track:0dQZNYCla9f1SSZcR6fRfT,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
9,0.768,0.71,8,-6.119,1,0.228,0.322,1.6e-06,0.0861,0.596,121.932,audio_features,3vr1JfDP34ohEPsJHVM1Rd,spotify:track:3vr1JfDP34ohEPsJHVM1Rd,https://api.spotify.com/v1/tracks/3vr1JfDP34ohEPsJHVM1Rd,https://api.spotify.com/v1/audio-analysis/3vr1JfDP34ohEPsJHVM1Rd,202131,4,"Höher, weiter, schneller",spotify:track:3vr1JfDP34ohEPsJHVM1Rd,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
10,0.615,0.517,0,-8.731,1,0.0549,0.0271,0.0,0.059,0.397,130.043,audio_features,5QiP6I0XLCajVmOAj0u3PR,spotify:track:5QiP6I0XLCajVmOAj0u3PR,https://api.spotify.com/v1/tracks/5QiP6I0XLCajVmOAj0u3PR,https://api.spotify.com/v1/audio-analysis/5QiP6I0XLCajVmOAj0u3PR,183115,4,Mein Zuhause,spotify:track:5QiP6I0XLCajVmOAj0u3PR,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
11,0.765,0.619,4,-7.78,1,0.206,0.0589,0.0,0.316,0.62,127.033,audio_features,1CrXU3ETjDehBwi5kN4zJX,spotify:track:1CrXU3ETjDehBwi5kN4zJX,https://api.spotify.com/v1/tracks/1CrXU3ETjDehBwi5kN4zJX,https://api.spotify.com/v1/audio-analysis/1CrXU3ETjDehBwi5kN4zJX,209843,4,Mars,spotify:track:1CrXU3ETjDehBwi5kN4zJX,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
12,0.588,0.64,7,-6.823,1,0.0645,0.00287,3.67e-05,0.16,0.198,129.95,audio_features,2QkHym30n9xJlvQ7q98mFx,spotify:track:2QkHym30n9xJlvQ7q98mFx,https://api.spotify.com/v1/tracks/2QkHym30n9xJlvQ7q98mFx,https://api.spotify.com/v1/audio-analysis/2QkHym30n9xJlvQ7q98mFx,258038,4,Mein Zuhause - HBz Remix,spotify:track:2QkHym30n9xJlvQ7q98mFx,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
13,0.804,0.91,0,-3.757,1,0.205,0.0087,5.23e-06,0.0588,0.226,128.013,audio_features,4y58E2jxIBmmAQZnQWH5f0,spotify:track:4y58E2jxIBmmAQZnQWH5f0,https://api.spotify.com/v1/tracks/4y58E2jxIBmmAQZnQWH5f0,https://api.spotify.com/v1/audio-analysis/4y58E2jxIBmmAQZnQWH5f0,153750,4,Mein Zuhause - VIZE Remix,spotify:track:4y58E2jxIBmmAQZnQWH5f0,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
14,0.815,0.623,0,-5.477,1,0.0372,0.0794,1.44e-05,0.111,0.712,130.041,audio_features,315hmqXPCIRp7qYb4VkIOU,spotify:track:315hmqXPCIRp7qYb4VkIOU,https://api.spotify.com/v1/tracks/315hmqXPCIRp7qYb4VkIOU,https://api.spotify.com/v1/audio-analysis/315hmqXPCIRp7qYb4VkIOU,184240,4,Mein Zuhause - Dayo Akustik Remix,spotify:track:315hmqXPCIRp7qYb4VkIOU,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
15,0.615,0.517,0,-8.731,1,0.0549,0.0271,0.0,0.059,0.397,130.043,audio_features,21p89pQKz0PqIvILJ19JY1,spotify:track:21p89pQKz0PqIvILJ19JY1,https://api.spotify.com/v1/tracks/21p89pQKz0PqIvILJ19JY1,https://api.spotify.com/v1/audio-analysis/21p89pQKz0PqIvILJ19JY1,183115,4,Mein Zuhause,spotify:track:21p89pQKz0PqIvILJ19JY1,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
16,0.765,0.619,4,-7.78,1,0.206,0.0589,0.0,0.316,0.62,127.033,audio_features,0HtquseMgJBNoQbZKkhFrN,spotify:track:0HtquseMgJBNoQbZKkhFrN,https://api.spotify.com/v1/tracks/0HtquseMgJBNoQbZKkhFrN,https://api.spotify.com/v1/audio-analysis/0HtquseMgJBNoQbZKkhFrN,209843,4,Mars,spotify:track:0HtquseMgJBNoQbZKkhFrN,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
17,0.771,0.608,4,-8.256,1,0.138,0.0653,0.0,0.298,0.693,126.991,audio_features,0zXWk0WXl8PSItc0mzNtHJ,spotify:track:0zXWk0WXl8PSItc0mzNtHJ,https://api.spotify.com/v1/tracks/0zXWk0WXl8PSItc0mzNtHJ,https://api.spotify.com/v1/audio-analysis/0zXWk0WXl8PSItc0mzNtHJ,210169,4,Mars - Duett Version,spotify:track:0zXWk0WXl8PSItc0mzNtHJ,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
18,0.773,0.656,4,-6.576,1,0.133,0.0603,0.0,0.3,0.682,126.987,audio_features,7MbIYxr0iO85rpg1zFed5o,spotify:track:7MbIYxr0iO85rpg1zFed5o,https://api.spotify.com/v1/tracks/7MbIYxr0iO85rpg1zFed5o,https://api.spotify.com/v1/audio-analysis/7MbIYxr0iO85rpg1zFed5o,210169,4,Mars - Duett Version,spotify:track:7MbIYxr0iO85rpg1zFed5o,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
19,0.766,0.662,4,-6.074,1,0.19,0.0563,0.0,0.321,0.669,127.027,audio_features,5wypk6YATd0SUZCcK4vsdX,spotify:track:5wypk6YATd0SUZCcK4vsdX,https://api.spotify.com/v1/tracks/5wypk6YATd0SUZCcK4vsdX,https://api.spotify.com/v1/audio-analysis/5wypk6YATd0SUZCcK4vsdX,209843,4,Mars,spotify:track:5wypk6YATd0SUZCcK4vsdX,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
20,0.86,0.755,1,-4.353,0,0.105,0.0273,0.000952,0.0651,0.863,130.02,audio_features,6rH77L4kO6j8PX2hVcRzto,spotify:track:6rH77L4kO6j8PX2hVcRzto,https://api.spotify.com/v1/tracks/6rH77L4kO6j8PX2hVcRzto,https://api.spotify.com/v1/audio-analysis/6rH77L4kO6j8PX2hVcRzto,168923,4,Mars - Jerome & DIZE Remix,spotify:track:6rH77L4kO6j8PX2hVcRzto,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
21,0.86,0.755,1,-4.353,0,0.105,0.0273,0.000952,0.0651,0.863,130.02,audio_features,5e9t2YUwIPbjZ4yHgMtGNK,spotify:track:5e9t2YUwIPbjZ4yHgMtGNK,https://api.spotify.com/v1/tracks/5e9t2YUwIPbjZ4yHgMtGNK,https://api.spotify.com/v1/audio-analysis/5e9t2YUwIPbjZ4yHgMtGNK,168923,4,Mars - Jerome & DIZE Remix,spotify:track:5e9t2YUwIPbjZ4yHgMtGNK,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
22,0.766,0.662,4,-6.074,1,0.19,0.0563,0.0,0.321,0.669,127.027,audio_features,5iUveERei5JgBhqWlu3JIN,spotify:track:5iUveERei5JgBhqWlu3JIN,https://api.spotify.com/v1/tracks/5iUveERei5JgBhqWlu3JIN,https://api.spotify.com/v1/audio-analysis/5iUveERei5JgBhqWlu3JIN,209843,4,Mars,spotify:track:5iUveERei5JgBhqWlu3JIN,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
23,0.839,0.737,0,-5.21,1,0.059,0.00638,8.14e-06,0.0678,0.688,123.07,audio_features,3lpfDtmT6KVTXN0Y3Pp2tc,spotify:track:3lpfDtmT6KVTXN0Y3Pp2tc,https://api.spotify.com/v1/tracks/3lpfDtmT6KVTXN0Y3Pp2tc,https://api.spotify.com/v1/audio-analysis/3lpfDtmT6KVTXN0Y3Pp2tc,157015,4,Ich brauch dich nicht,spotify:track:3lpfDtmT6KVTXN0Y3Pp2tc,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
24,0.477,0.87,0,-5.812,1,0.245,0.0892,0.0,0.174,0.486,123.917,audio_features,31T4GHCanROxRbSTnwwSpI,spotify:track:31T4GHCanROxRbSTnwwSpI,https://api.spotify.com/v1/tracks/31T4GHCanROxRbSTnwwSpI,https://api.spotify.com/v1/audio-analysis/31T4GHCanROxRbSTnwwSpI,195600,4,Holterdiepolter - LIZOT Remix Edit,spotify:track:31T4GHCanROxRbSTnwwSpI,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
25,0.725,0.701,0,-6.309,1,0.283,0.0526,6.12e-06,0.0748,0.621,123.999,audio_features,4fhYhYpmQzirs2tecK4rvQ,spotify:track:4fhYhYpmQzirs2tecK4rvQ,https://api.spotify.com/v1/tracks/4fhYhYpmQzirs2tecK4rvQ,https://api.spotify.com/v1/audio-analysis/4fhYhYpmQzirs2tecK4rvQ,249573,4,Holterdiepolter - LIZOT Remix,spotify:track:4fhYhYpmQzirs2tecK4rvQ,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
26,0.718,0.666,0,-4.974,1,0.0462,0.00271,0.0124,0.114,0.613,122.017,audio_features,3CYbeUvgrxOupeiDJ5bymV,spotify:track:3CYbeUvgrxOupeiDJ5bymV,https://api.spotify.com/v1/tracks/3CYbeUvgrxOupeiDJ5bymV,https://api.spotify.com/v1/audio-analysis/3CYbeUvgrxOupeiDJ5bymV,333600,4,Holterdiepolter - Extended Mix,spotify:track:3CYbeUvgrxOupeiDJ5bymV,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
27,0.725,0.76,0,-4.836,1,0.0444,0.0311,0.000161,0.199,0.59,122.068,audio_features,1JLkfGbg0vw9VBTZeuPPNZ,spotify:track:1JLkfGbg0vw9VBTZeuPPNZ,https://api.spotify.com/v1/tracks/1JLkfGbg0vw9VBTZeuPPNZ,https://api.spotify.com/v1/audio-analysis/1JLkfGbg0vw9VBTZeuPPNZ,192600,4,Holterdiepolter,spotify:track:1JLkfGbg0vw9VBTZeuPPNZ,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
28,0.766,0.662,4,-6.074,1,0.19,0.0563,0.0,0.321,0.669,127.027,audio_features,7zwPc2i1SzxRPqxSy2xVNZ,spotify:track:7zwPc2i1SzxRPqxSy2xVNZ,https://api.spotify.com/v1/tracks/7zwPc2i1SzxRPqxSy2xVNZ,https://api.spotify.com/v1/audio-analysis/7zwPc2i1SzxRPqxSy2xVNZ,209843,4,Mars,spotify:track:7zwPc2i1SzxRPqxSy2xVNZ,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
29,0.807,0.921,6,-3.62,1,0.035,0.0237,1.1e-05,0.186,0.816,127.995,audio_features,4SHM0eVOh5r6R620jiY6Aj,spotify:track:4SHM0eVOh5r6R620jiY6Aj,https://api.spotify.com/v1/tracks/4SHM0eVOh5r6R620jiY6Aj,https://api.spotify.com/v1/audio-analysis/4SHM0eVOh5r6R620jiY6Aj,213272,4,Siebe mal Herz - Siebe mal Schmerz,spotify:track:4SHM0eVOh5r6R620jiY6Aj,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
30,0.769,0.581,1,-6.644,1,0.0324,0.204,0.0,0.141,0.953,131.959,audio_features,1efDxxpnMvlGX4crb1hDUm,spotify:track:1efDxxpnMvlGX4crb1hDUm,https://api.spotify.com/v1/tracks/1efDxxpnMvlGX4crb1hDUm,https://api.spotify.com/v1/audio-analysis/1efDxxpnMvlGX4crb1hDUm,211633,4,Marie,spotify:track:1efDxxpnMvlGX4crb1hDUm,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
31,0.765,0.678,5,-5.848,1,0.0335,0.127,2.17e-06,0.314,0.552,123.972,audio_features,5BgyXnHy1GLJXJ69AMJe5U,spotify:track:5BgyXnHy1GLJXJ69AMJe5U,https://api.spotify.com/v1/tracks/5BgyXnHy1GLJXJ69AMJe5U,https://api.spotify.com/v1/audio-analysis/5BgyXnHy1GLJXJ69AMJe5U,174173,4,Happy Wife - Happy Life,spotify:track:5BgyXnHy1GLJXJ69AMJe5U,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
32,0.5,0.744,4,-4.589,0,0.047,0.194,0.0,0.113,0.468,139.845,audio_features,7o3FO7yOV9dQgejz3Wzkhj,spotify:track:7o3FO7yOV9dQgejz3Wzkhj,https://api.spotify.com/v1/tracks/7o3FO7yOV9dQgejz3Wzkhj,https://api.spotify.com/v1/audio-analysis/7o3FO7yOV9dQgejz3Wzkhj,215649,4,Sommer der nie geht - Single Mix,spotify:track:7o3FO7yOV9dQgejz3Wzkhj,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
33,0.728,0.808,0,-5.237,1,0.221,0.166,0.0,0.251,0.711,121.939,audio_features,7oc2EmgXbQb0OlDDDpbrJ0,spotify:track:7oc2EmgXbQb0OlDDDpbrJ0,https://api.spotify.com/v1/tracks/7oc2EmgXbQb0OlDDDpbrJ0,https://api.spotify.com/v1/audio-analysis/7oc2EmgXbQb0OlDDDpbrJ0,163541,4,"Rosen, Alles Gut - Radio Edit",spotify:track:7oc2EmgXbQb0OlDDDpbrJ0,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
34,0.6,0.931,3,-4.607,1,0.106,0.111,0.0,0.0863,0.847,168.04,audio_features,62tj8a5K0anZBMRSxouZ2D,spotify:track:62tj8a5K0anZBMRSxouZ2D,https://api.spotify.com/v1/tracks/62tj8a5K0anZBMRSxouZ2D,https://api.spotify.com/v1/audio-analysis/62tj8a5K0anZBMRSxouZ2D,163027,4,Rock mi - Remix,spotify:track:62tj8a5K0anZBMRSxouZ2D,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
35,0.504,0.855,2,-5.588,0,0.0779,0.362,0.0,0.163,0.214,87.031,audio_features,113CheMkOKkIhlwkHlkNl0,spotify:track:113CheMkOKkIhlwkHlkNl0,https://api.spotify.com/v1/tracks/113CheMkOKkIhlwkHlkNl0,https://api.spotify.com/v1/audio-analysis/113CheMkOKkIhlwkHlkNl0,234080,4,Gäa,spotify:track:113CheMkOKkIhlwkHlkNl0,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
36,0.596,0.852,0,-7.044,0,0.0626,0.0137,0.00232,0.31,0.516,119.932,audio_features,7qODOmWEGy32nR1zzYIkBI,spotify:track:7qODOmWEGy32nR1zzYIkBI,https://api.spotify.com/v1/tracks/7qODOmWEGy32nR1zzYIkBI,https://api.spotify.com/v1/audio-analysis/7qODOmWEGy32nR1zzYIkBI,184529,4,Wem...,spotify:track:7qODOmWEGy32nR1zzYIkBI,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
37,0.65,0.861,2,-3.578,1,0.0382,0.0599,0.0,0.29,0.643,116.041,audio_features,4qfCCzKs8HBjH3tkaTXw7b,spotify:track:4qfCCzKs8HBjH3tkaTXw7b,https://api.spotify.com/v1/tracks/4qfCCzKs8HBjH3tkaTXw7b,https://api.spotify.com/v1/audio-analysis/4qfCCzKs8HBjH3tkaTXw7b,211440,4,Eine Nacht,spotify:track:4qfCCzKs8HBjH3tkaTXw7b,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
38,0.746,0.892,9,-5.859,1,0.0383,0.108,0.0,0.21,0.71,119.997,audio_features,5gvyE5WRwDjBcr20QRrukV,spotify:track:5gvyE5WRwDjBcr20QRrukV,https://api.spotify.com/v1/tracks/5gvyE5WRwDjBcr20QRrukV,https://api.spotify.com/v1/audio-analysis/5gvyE5WRwDjBcr20QRrukV,218789,4,Wegen Dir (Nachts wenn alles schläft),spotify:track:5gvyE5WRwDjBcr20QRrukV,Georg Stengel,7jQYzUpPshdP6jZS7lJSDU
