,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.357,0.00677,2,-25.09,0,0.0415,0.827,0.829,0.134,0.344,70.217,audio_features,2R9amRQYebgQuXuqWXHVsl,spotify:track:2R9amRQYebgQuXuqWXHVsl,https://api.spotify.com/v1/tracks/2R9amRQYebgQuXuqWXHVsl,https://api.spotify.com/v1/audio-analysis/2R9amRQYebgQuXuqWXHVsl,50613,3,Carmen's Shadow,spotify:track:2R9amRQYebgQuXuqWXHVsl,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
1,0.48,0.0829,2,-31.772,0,0.0479,0.977,0.593,0.0861,0.466,153.137,audio_features,1DYDmHXfB9fPFU0xAEaDEm,spotify:track:1DYDmHXfB9fPFU0xAEaDEm,https://api.spotify.com/v1/tracks/1DYDmHXfB9fPFU0xAEaDEm,https://api.spotify.com/v1/audio-analysis/1DYDmHXfB9fPFU0xAEaDEm,64000,4,"Jeux d'enfants, Op. 22 WD 56 - Petite Suite: III. Impromptu: La toupie",spotify:track:1DYDmHXfB9fPFU0xAEaDEm,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
2,0.412,0.0436,5,-32.999,1,0.0572,0.994,0.926,0.116,0.193,85.834,audio_features,5ZpZ6Wz28q4KOOylcag88i,spotify:track:5ZpZ6Wz28q4KOOylcag88i,https://api.spotify.com/v1/tracks/5ZpZ6Wz28q4KOOylcag88i,https://api.spotify.com/v1/audio-analysis/5ZpZ6Wz28q4KOOylcag88i,62000,3,"Jeux d'enfants, Op.22 WD 56: 5. Le volant",spotify:track:5ZpZ6Wz28q4KOOylcag88i,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
3,0.42,0.00609,7,-24.256,0,0.0449,0.784,0.00305,0.074,0.474,110.082,audio_features,46nZRZa9f6jPnP2GFrwxu7,spotify:track:46nZRZa9f6jPnP2GFrwxu7,https://api.spotify.com/v1/tracks/46nZRZa9f6jPnP2GFrwxu7,https://api.spotify.com/v1/audio-analysis/46nZRZa9f6jPnP2GFrwxu7,49333,4,Carmen's Walk,spotify:track:46nZRZa9f6jPnP2GFrwxu7,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
4,0.0819,0.129,0,-20.427,0,0.0404,0.96,0.916,0.101,0.0564,170.919,audio_features,09WlzJnSnjUq2RfW4AVc1i,spotify:track:09WlzJnSnjUq2RfW4AVc1i,https://api.spotify.com/v1/tracks/09WlzJnSnjUq2RfW4AVc1i,https://api.spotify.com/v1/audio-analysis/09WlzJnSnjUq2RfW4AVc1i,84013,1,Carmen Suite (excerpts from suites nos. 1 & 2): Prélude,spotify:track:09WlzJnSnjUq2RfW4AVc1i,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
5,0.496,0.0111,5,-39.509,1,0.0387,0.994,0.964,0.183,0.594,98.212,audio_features,3WPnAriYVElAjhohWcBPiQ,spotify:track:3WPnAriYVElAjhohWcBPiQ,https://api.spotify.com/v1/tracks/3WPnAriYVElAjhohWcBPiQ,https://api.spotify.com/v1/audio-analysis/3WPnAriYVElAjhohWcBPiQ,88000,4,"Jeux d'enfants, Op.22 WD 56: 7. Les bulles de savon",spotify:track:3WPnAriYVElAjhohWcBPiQ,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
6,0.645,0.679,9,-17.323,1,0.05,0.87,0.949,0.148,0.649,96.844,audio_features,7DyN8ZjVDpX4XlixVaQlw5,spotify:track:7DyN8ZjVDpX4XlixVaQlw5,https://api.spotify.com/v1/tracks/7DyN8ZjVDpX4XlixVaQlw5,https://api.spotify.com/v1/audio-analysis/7DyN8ZjVDpX4XlixVaQlw5,115000,4,"Jeux d'enfants, Op. 22 WD 56 - Petite Suite: V. Galop: Le bal",spotify:track:7DyN8ZjVDpX4XlixVaQlw5,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
7,0.428,0.0153,7,-37.125,1,0.0378,0.967,0.257,0.121,0.504,120.083,audio_features,2Fj7lErNoBQJlZrnRW5usP,spotify:track:2Fj7lErNoBQJlZrnRW5usP,https://api.spotify.com/v1/tracks/2Fj7lErNoBQJlZrnRW5usP,https://api.spotify.com/v1/audio-analysis/2Fj7lErNoBQJlZrnRW5usP,94227,4,Carmen Suite No.1: Entr'acte (Act II),spotify:track:2Fj7lErNoBQJlZrnRW5usP,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
8,0.466,0.00735,7,-39.927,1,0.039,0.931,0.0589,0.0817,0.265,112.118,audio_features,52DCHPdbboVvbFPhKRAjct,spotify:track:52DCHPdbboVvbFPhKRAjct,https://api.spotify.com/v1/tracks/52DCHPdbboVvbFPhKRAjct,https://api.spotify.com/v1/audio-analysis/52DCHPdbboVvbFPhKRAjct,103667,4,Carmen Suite (excerpts from suites nos. 1 & 2): Les dragons d'Alcala,spotify:track:52DCHPdbboVvbFPhKRAjct,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
9,0.457,0.0057,2,-29.605,1,0.0462,0.964,0.000607,0.167,0.493,133.591,audio_features,4cjBDSJhmX1x4XnKRCeBPl,spotify:track:4cjBDSJhmX1x4XnKRCeBPl,https://api.spotify.com/v1/tracks/4cjBDSJhmX1x4XnKRCeBPl,https://api.spotify.com/v1/audio-analysis/4cjBDSJhmX1x4XnKRCeBPl,122000,4,Carmen Suite No. 2: 2. Habanera,spotify:track:4cjBDSJhmX1x4XnKRCeBPl,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
10,0.517,0.0195,1,-28.381,1,0.0602,0.995,0.902,0.0982,0.126,65.836,audio_features,6XJA974PVvPKDPAoZA2Bqd,spotify:track:6XJA974PVvPKDPAoZA2Bqd,https://api.spotify.com/v1/tracks/6XJA974PVvPKDPAoZA2Bqd,https://api.spotify.com/v1/audio-analysis/6XJA974PVvPKDPAoZA2Bqd,95000,3,"Jeux d'enfants, Op.22 WD 56: 9. Colin-maillard",spotify:track:6XJA974PVvPKDPAoZA2Bqd,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
11,0.491,0.369,9,-20.805,1,0.0406,0.992,0.906,0.112,0.764,106.9,audio_features,2yw1rhFYAGY0rgwKg9hcju,spotify:track:2yw1rhFYAGY0rgwKg9hcju,https://api.spotify.com/v1/tracks/2yw1rhFYAGY0rgwKg9hcju,https://api.spotify.com/v1/audio-analysis/2yw1rhFYAGY0rgwKg9hcju,105000,4,"Jeux d'enfants, Op.22 WD 56: 12. Le bal",spotify:track:2yw1rhFYAGY0rgwKg9hcju,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
12,0.334,0.279,2,-17.693,0,0.0448,0.779,0.933,0.323,0.633,121.086,audio_features,1gGoBxBywe2oYXi6iqJ1B9,spotify:track:1gGoBxBywe2oYXi6iqJ1B9,https://api.spotify.com/v1/tracks/1gGoBxBywe2oYXi6iqJ1B9,https://api.spotify.com/v1/audio-analysis/1gGoBxBywe2oYXi6iqJ1B9,132600,4,Carmen Suite No.1: Entr'acte (Act IV),spotify:track:1gGoBxBywe2oYXi6iqJ1B9,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
13,0.289,0.0521,2,-21.172,0,0.0411,0.717,0.00795,0.109,0.433,120.959,audio_features,3pLdeJ6koKVl8IBvn8bynm,spotify:track:3pLdeJ6koKVl8IBvn8bynm,https://api.spotify.com/v1/tracks/3pLdeJ6koKVl8IBvn8bynm,https://api.spotify.com/v1/audio-analysis/3pLdeJ6koKVl8IBvn8bynm,136467,1,Carmen Suite (excerpts from suites nos. 1 & 2): Aragonaise,spotify:track:3pLdeJ6koKVl8IBvn8bynm,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
14,0.192,0.0138,5,-33.272,1,0.037,0.973,0.918,0.0988,0.177,97.502,audio_features,0fnmCYDXKzQccbB7Ft6iXv,spotify:track:0fnmCYDXKzQccbB7Ft6iXv,https://api.spotify.com/v1/tracks/0fnmCYDXKzQccbB7Ft6iXv,https://api.spotify.com/v1/audio-analysis/0fnmCYDXKzQccbB7Ft6iXv,127827,4,"La jolie fille de Perth, WD 15, Suite: 2. Sérénade",spotify:track:0fnmCYDXKzQccbB7Ft6iXv,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
15,0.335,0.372,5,-16.127,1,0.037,0.697,5.2e-05,0.141,0.821,127.133,audio_features,5exYJV6qopU6jc7F7jWe7P,spotify:track:5exYJV6qopU6jc7F7jWe7P,https://api.spotify.com/v1/tracks/5exYJV6qopU6jc7F7jWe7P,https://api.spotify.com/v1/audio-analysis/5exYJV6qopU6jc7F7jWe7P,138000,4,Carmen Suite No. 1: 5. Les toréadors,spotify:track:5exYJV6qopU6jc7F7jWe7P,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
16,0.496,0.143,1,-23.819,0,0.0381,0.994,0.921,0.087,0.419,133.021,audio_features,7mEprHm2cnR9iIyTLUqEJb,spotify:track:7mEprHm2cnR9iIyTLUqEJb,https://api.spotify.com/v1/tracks/7mEprHm2cnR9iIyTLUqEJb,https://api.spotify.com/v1/audio-analysis/7mEprHm2cnR9iIyTLUqEJb,128000,4,"Jeux d'enfants, Op.22 WD 56: 6. Trompette et tamboer",spotify:track:7mEprHm2cnR9iIyTLUqEJb,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
17,0.236,0.0174,7,-33.324,1,0.0455,0.955,0.867,0.083,0.093,178.068,audio_features,1wBRWLUkCqwy65CJgPNpQ4,spotify:track:1wBRWLUkCqwy65CJgPNpQ4,https://api.spotify.com/v1/tracks/1wBRWLUkCqwy65CJgPNpQ4,https://api.spotify.com/v1/audio-analysis/1wBRWLUkCqwy65CJgPNpQ4,123907,3,Carmen Suite (excerpts from suites nos. 1 & 2): Séguedille,spotify:track:1wBRWLUkCqwy65CJgPNpQ4,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
18,0.363,0.216,11,-24.69,0,0.0518,0.995,0.906,0.263,0.158,90.499,audio_features,2LkvmByla7TpLNAwAXNyAC,spotify:track:2LkvmByla7TpLNAwAXNyAC,https://api.spotify.com/v1/tracks/2LkvmByla7TpLNAwAXNyAC,https://api.spotify.com/v1/audio-analysis/2LkvmByla7TpLNAwAXNyAC,135000,4,"Jeux d'enfants, Op.22 WD 56: 8. Les quatre coins",spotify:track:2LkvmByla7TpLNAwAXNyAC,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
19,0.42,0.0943,0,-22.624,1,0.0804,0.985,0.00371,0.0744,0.371,110.932,audio_features,3aiOU5y1dPDSXuaQFdaVoo,spotify:track:3aiOU5y1dPDSXuaQFdaVoo,https://api.spotify.com/v1/tracks/3aiOU5y1dPDSXuaQFdaVoo,https://api.spotify.com/v1/audio-analysis/3aiOU5y1dPDSXuaQFdaVoo,136000,4,"Chanson d'avril, WD 75",spotify:track:3aiOU5y1dPDSXuaQFdaVoo,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
20,0.41,0.166,0,-22.561,1,0.0437,0.939,0.842,0.122,0.377,102.413,audio_features,1TYsdGFZOS2yvhhnfuzQ4f,spotify:track:1TYsdGFZOS2yvhhnfuzQ4f,https://api.spotify.com/v1/tracks/1TYsdGFZOS2yvhhnfuzQ4f,https://api.spotify.com/v1/audio-analysis/1TYsdGFZOS2yvhhnfuzQ4f,134000,3,"Jeux d'enfants, Op. 22 WD 56 - Petite Suite: I. Marche: Trompette et tambour",spotify:track:1TYsdGFZOS2yvhhnfuzQ4f,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
21,0.363,0.229,4,-21.719,1,0.0363,0.993,0.868,0.0831,0.546,159.249,audio_features,0AqFjC3CtrLZhzSBEMHIzw,spotify:track:0AqFjC3CtrLZhzSBEMHIzw,https://api.spotify.com/v1/tracks/0AqFjC3CtrLZhzSBEMHIzw,https://api.spotify.com/v1/audio-analysis/0AqFjC3CtrLZhzSBEMHIzw,77000,4,"Jeux d'enfants, Op.22 WD 56: 4. Les chevaux de bois",spotify:track:0AqFjC3CtrLZhzSBEMHIzw,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
22,0.393,0.0933,10,-20.392,0,0.0466,0.99,0.0501,0.106,0.293,111.14,audio_features,6KZP1YpeGErwCIQhli8pOn,spotify:track:6KZP1YpeGErwCIQhli8pOn,https://api.spotify.com/v1/tracks/6KZP1YpeGErwCIQhli8pOn,https://api.spotify.com/v1/audio-analysis/6KZP1YpeGErwCIQhli8pOn,167000,3,Ouvre ton coeur - Bolero,spotify:track:6KZP1YpeGErwCIQhli8pOn,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
23,0.148,0.0653,3,-26.244,1,0.0393,0.927,0.934,0.0774,0.0522,65.57,audio_features,3PbP8w9vAQ7cYxwV0eh0PV,spotify:track:3PbP8w9vAQ7cYxwV0eh0PV,https://api.spotify.com/v1/tracks/3PbP8w9vAQ7cYxwV0eh0PV,https://api.spotify.com/v1/audio-analysis/3PbP8w9vAQ7cYxwV0eh0PV,165000,4,Carmen Suite No.1: Entr'acte (Act III),spotify:track:3PbP8w9vAQ7cYxwV0eh0PV,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
24,0.499,0.184,5,-19.314,1,0.0429,0.99,0.915,0.0969,0.371,135.911,audio_features,19yVV0RZbUxD9tWhSmvskv,spotify:track:19yVV0RZbUxD9tWhSmvskv,https://api.spotify.com/v1/tracks/19yVV0RZbUxD9tWhSmvskv,https://api.spotify.com/v1/audio-analysis/19yVV0RZbUxD9tWhSmvskv,76000,4,"Jeux d'enfants, Op.22 WD 56: 10. Saute-mouton",spotify:track:19yVV0RZbUxD9tWhSmvskv,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
25,0.297,0.035,8,-19.017,1,0.0614,0.989,6.99e-05,0.102,0.0716,77.183,audio_features,7iwpl15CbR4aasnQjq5LPc,spotify:track:7iwpl15CbR4aasnQjq5LPc,https://api.spotify.com/v1/tracks/7iwpl15CbR4aasnQjq5LPc,https://api.spotify.com/v1/audio-analysis/7iwpl15CbR4aasnQjq5LPc,161920,3,Seize mélodies (1886): No.1 La Sirène,spotify:track:7iwpl15CbR4aasnQjq5LPc,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
26,0.219,0.0422,3,-28.187,1,0.0455,0.902,0.933,0.142,0.0712,110.839,audio_features,0gCuJEcZLXKhc0RnBCHt82,spotify:track:0gCuJEcZLXKhc0RnBCHt82,https://api.spotify.com/v1/tracks/0gCuJEcZLXKhc0RnBCHt82,https://api.spotify.com/v1/audio-analysis/0gCuJEcZLXKhc0RnBCHt82,164187,4,Carmen Suite (excerpts from suites nos. 1 & 2): Intermezzo,spotify:track:0gCuJEcZLXKhc0RnBCHt82,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
27,0.496,0.223,5,-25.492,1,0.0547,0.995,0.943,0.132,0.27,79.23,audio_features,3E7Q8HDnwEbbr3GAAcER1Z,spotify:track:3E7Q8HDnwEbbr3GAAcER1Z,https://api.spotify.com/v1/tracks/3E7Q8HDnwEbbr3GAAcER1Z,https://api.spotify.com/v1/audio-analysis/3E7Q8HDnwEbbr3GAAcER1Z,60400,4,"Jeux d'enfants, Op.22 WD 56: 2. La toupie",spotify:track:3E7Q8HDnwEbbr3GAAcER1Z,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
28,0.49,0.00747,11,-37.463,1,0.0503,0.996,0.915,0.108,0.24,65.403,audio_features,2ZN9WnNhFFQVGnSmoYU9gy,spotify:track:2ZN9WnNhFFQVGnSmoYU9gy,https://api.spotify.com/v1/tracks/2ZN9WnNhFFQVGnSmoYU9gy,https://api.spotify.com/v1/audio-analysis/2ZN9WnNhFFQVGnSmoYU9gy,142000,1,"Jeux d'enfants, Op. 22 WD 56: 3. La poupée",spotify:track:2ZN9WnNhFFQVGnSmoYU9gy,Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd
