,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.423,0.51,3,-9.498,0,0.166,0.179,0.000494,0.934,0.224,199.872,audio_features,1QRpKIlwwqXxDgQEXSvR92,spotify:track:1QRpKIlwwqXxDgQEXSvR92,https://api.spotify.com/v1/tracks/1QRpKIlwwqXxDgQEXSvR92,https://api.spotify.com/v1/audio-analysis/1QRpKIlwwqXxDgQEXSvR92,205663,4,The Beach,spotify:track:1QRpKIlwwqXxDgQEXSvR92,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
1,0.569,0.509,0,-7.085,1,0.0706,0.265,0.0,0.335,0.323,144.093,audio_features,044KJJGIudjZXd1R0tq0DW,spotify:track:044KJJGIudjZXd1R0tq0DW,https://api.spotify.com/v1/tracks/044KJJGIudjZXd1R0tq0DW,https://api.spotify.com/v1/audio-analysis/044KJJGIudjZXd1R0tq0DW,193467,4,World We Created,spotify:track:044KJJGIudjZXd1R0tq0DW,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
2,0.419,0.34,4,-17.507,1,0.454,0.669,0.0,0.472,0.142,110.79,audio_features,1VRt3UDpkAEfjGViw6E1rZ,spotify:track:1VRt3UDpkAEfjGViw6E1rZ,https://api.spotify.com/v1/tracks/1VRt3UDpkAEfjGViw6E1rZ,https://api.spotify.com/v1/audio-analysis/1VRt3UDpkAEfjGViw6E1rZ,45283,3,Take Time (Interlude),spotify:track:1VRt3UDpkAEfjGViw6E1rZ,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
3,0.651,0.412,10,-9.517,1,0.0552,0.754,0.0,0.129,0.136,84.975,audio_features,3RVPyPf55ceoDjsshTWG1a,spotify:track:3RVPyPf55ceoDjsshTWG1a,https://api.spotify.com/v1/tracks/3RVPyPf55ceoDjsshTWG1a,https://api.spotify.com/v1/audio-analysis/3RVPyPf55ceoDjsshTWG1a,172907,4,Favorite Mistake,spotify:track:3RVPyPf55ceoDjsshTWG1a,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
4,0.405,0.456,7,-9.9,1,0.0939,0.451,1.71e-05,0.629,0.433,81.752,audio_features,0Lvzyxvpd0NNf52Wp8zV0u,spotify:track:0Lvzyxvpd0NNf52Wp8zV0u,https://api.spotify.com/v1/tracks/0Lvzyxvpd0NNf52Wp8zV0u,https://api.spotify.com/v1/audio-analysis/0Lvzyxvpd0NNf52Wp8zV0u,164967,4,This Ain't Love,spotify:track:0Lvzyxvpd0NNf52Wp8zV0u,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
5,0.443,0.459,0,-8.955,1,0.074,0.546,1.05e-06,0.307,0.565,87.064,audio_features,27tDoZsybt3KvJWTDoW9id,spotify:track:27tDoZsybt3KvJWTDoW9id,https://api.spotify.com/v1/tracks/27tDoZsybt3KvJWTDoW9id,https://api.spotify.com/v1/audio-analysis/27tDoZsybt3KvJWTDoW9id,198371,5,Heartbreak Anniversary,spotify:track:27tDoZsybt3KvJWTDoW9id,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
6,0.683,0.356,10,-7.757,0,0.062,0.751,7.93e-05,0.114,0.437,119.735,audio_features,1RohgA8t3qiVc5HcAroDgf,spotify:track:1RohgA8t3qiVc5HcAroDgf,https://api.spotify.com/v1/tracks/1RohgA8t3qiVc5HcAroDgf,https://api.spotify.com/v1/audio-analysis/1RohgA8t3qiVc5HcAroDgf,260776,3,Like I Want You,spotify:track:1RohgA8t3qiVc5HcAroDgf,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
7,0.531,0.215,10,-11.293,0,0.0313,0.313,0.0283,0.727,0.342,128.559,audio_features,0JGTZ66hMX1D7fZCijIIfU,spotify:track:0JGTZ66hMX1D7fZCijIIfU,https://api.spotify.com/v1/tracks/0JGTZ66hMX1D7fZCijIIfU,https://api.spotify.com/v1/audio-analysis/0JGTZ66hMX1D7fZCijIIfU,209406,3,Vanish,spotify:track:0JGTZ66hMX1D7fZCijIIfU,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
8,0.434,0.358,4,-14.857,0,0.266,0.937,0.0,0.739,0.897,109.921,audio_features,2wP1SEiYQk9s1hFdyZIgEr,spotify:track:2wP1SEiYQk9s1hFdyZIgEr,https://api.spotify.com/v1/tracks/2wP1SEiYQk9s1hFdyZIgEr,https://api.spotify.com/v1/audio-analysis/2wP1SEiYQk9s1hFdyZIgEr,55063,1,When It's All Said And Done,spotify:track:2wP1SEiYQk9s1hFdyZIgEr,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
9,0.535,0.406,3,-7.681,0,0.0654,0.481,0.0,0.144,0.217,113.467,audio_features,6qvtoU0gbkaOcTx6mnVDgV,spotify:track:6qvtoU0gbkaOcTx6mnVDgV,https://api.spotify.com/v1/tracks/6qvtoU0gbkaOcTx6mnVDgV,https://api.spotify.com/v1/audio-analysis/6qvtoU0gbkaOcTx6mnVDgV,177446,4,Still Your Best,spotify:track:6qvtoU0gbkaOcTx6mnVDgV,Giveon,4fxd5Ee7UefO4CUXgwJ7IP
