,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.331,0.412,9,-11.739,0,0.0487,0.98,0.843,0.114,0.271,74.669,audio_features,0M10DIBTQFbOrurNZdSYEv,spotify:track:0M10DIBTQFbOrurNZdSYEv,https://api.spotify.com/v1/tracks/0M10DIBTQFbOrurNZdSYEv,https://api.spotify.com/v1/audio-analysis/0M10DIBTQFbOrurNZdSYEv,303776,3,Generation,spotify:track:0M10DIBTQFbOrurNZdSYEv,Glacier,7DS9AJjKnseiE7nVofoULL
1,0.455,0.0344,0,-19.645,1,0.0348,0.978,0.887,0.162,0.202,73.312,audio_features,5ELjy9HqonbFyn9LXIKt8P,spotify:track:5ELjy9HqonbFyn9LXIKt8P,https://api.spotify.com/v1/tracks/5ELjy9HqonbFyn9LXIKt8P,https://api.spotify.com/v1/audio-analysis/5ELjy9HqonbFyn9LXIKt8P,31433,5,Gargantuan,spotify:track:5ELjy9HqonbFyn9LXIKt8P,Glacier,7DS9AJjKnseiE7nVofoULL
2,0.365,0.2,9,-19.732,0,0.0402,0.973,0.798,0.109,0.528,126.598,audio_features,3lPYsf09hfJISJtyHo5w0T,spotify:track:3lPYsf09hfJISJtyHo5w0T,https://api.spotify.com/v1/tracks/3lPYsf09hfJISJtyHo5w0T,https://api.spotify.com/v1/audio-analysis/3lPYsf09hfJISJtyHo5w0T,32095,3,Gutsiness,spotify:track:3lPYsf09hfJISJtyHo5w0T,Glacier,7DS9AJjKnseiE7nVofoULL
3,0.522,0.218,0,-14.785,1,0.0639,0.992,0.896,0.119,0.132,141.652,audio_features,4Y1aeRln9VwufZfFBXXLQW,spotify:track:4Y1aeRln9VwufZfFBXXLQW,https://api.spotify.com/v1/tracks/4Y1aeRln9VwufZfFBXXLQW,https://api.spotify.com/v1/audio-analysis/4Y1aeRln9VwufZfFBXXLQW,182525,4,Gratitude,spotify:track:4Y1aeRln9VwufZfFBXXLQW,Glacier,7DS9AJjKnseiE7nVofoULL
4,0.508,0.112,9,-18.187,0,0.0471,0.986,0.723,0.0845,0.196,79.23,audio_features,3RIXAnypsURvvsMylN8dSP,spotify:track:3RIXAnypsURvvsMylN8dSP,https://api.spotify.com/v1/tracks/3RIXAnypsURvvsMylN8dSP,https://api.spotify.com/v1/audio-analysis/3RIXAnypsURvvsMylN8dSP,32009,3,Glamorize,spotify:track:3RIXAnypsURvvsMylN8dSP,Glacier,7DS9AJjKnseiE7nVofoULL
5,0.448,0.156,0,-15.998,1,0.0619,0.981,0.892,0.0976,0.438,65.285,audio_features,5zYuNtw2SuyZySdLNoanky,spotify:track:5zYuNtw2SuyZySdLNoanky,https://api.spotify.com/v1/tracks/5zYuNtw2SuyZySdLNoanky,https://api.spotify.com/v1/audio-analysis/5zYuNtw2SuyZySdLNoanky,32450,1,Gladiator,spotify:track:5zYuNtw2SuyZySdLNoanky,Glacier,7DS9AJjKnseiE7nVofoULL
6,0.369,0.183,0,-15.809,1,0.0651,0.99,0.485,0.105,0.307,150.169,audio_features,68WVq0ZaNAqzUQcdfsOgYi,spotify:track:68WVq0ZaNAqzUQcdfsOgYi,https://api.spotify.com/v1/tracks/68WVq0ZaNAqzUQcdfsOgYi,https://api.spotify.com/v1/audio-analysis/68WVq0ZaNAqzUQcdfsOgYi,32009,4,Ginormous,spotify:track:68WVq0ZaNAqzUQcdfsOgYi,Glacier,7DS9AJjKnseiE7nVofoULL
7,0.512,0.0333,0,-16.206,1,0.036,0.988,0.925,0.133,0.0513,52.825,audio_features,6gaVCVEhj6wlvkuZ6V6XQH,spotify:track:6gaVCVEhj6wlvkuZ6V6XQH,https://api.spotify.com/v1/tracks/6gaVCVEhj6wlvkuZ6V6XQH,https://api.spotify.com/v1/audio-analysis/6gaVCVEhj6wlvkuZ6V6XQH,32120,4,Gallivant,spotify:track:6gaVCVEhj6wlvkuZ6V6XQH,Glacier,7DS9AJjKnseiE7nVofoULL
8,0.463,0.325,9,-14.158,0,0.0625,0.989,0.904,0.111,0.244,148.837,audio_features,1cDCIGYhm0PU3yZKBrZavV,spotify:track:1cDCIGYhm0PU3yZKBrZavV,https://api.spotify.com/v1/tracks/1cDCIGYhm0PU3yZKBrZavV,https://api.spotify.com/v1/audio-analysis/1cDCIGYhm0PU3yZKBrZavV,182427,4,Gumption,spotify:track:1cDCIGYhm0PU3yZKBrZavV,Glacier,7DS9AJjKnseiE7nVofoULL
9,0.435,0.12,0,-19.017,1,0.0561,0.97,0.584,0.107,0.133,128.022,audio_features,6JP50zPlkmWJpoo3A6hFLU,spotify:track:6JP50zPlkmWJpoo3A6hFLU,https://api.spotify.com/v1/tracks/6JP50zPlkmWJpoo3A6hFLU,https://api.spotify.com/v1/audio-analysis/6JP50zPlkmWJpoo3A6hFLU,31691,4,Grandeur,spotify:track:6JP50zPlkmWJpoo3A6hFLU,Glacier,7DS9AJjKnseiE7nVofoULL
10,0.507,0.0688,0,-16.182,1,0.0437,0.983,0.734,0.146,0.25,99.583,audio_features,0oX4acaQGabapyZUfe4oJZ,spotify:track:0oX4acaQGabapyZUfe4oJZ,https://api.spotify.com/v1/tracks/0oX4acaQGabapyZUfe4oJZ,https://api.spotify.com/v1/audio-analysis/0oX4acaQGabapyZUfe4oJZ,32769,5,Gorgeous,spotify:track:0oX4acaQGabapyZUfe4oJZ,Glacier,7DS9AJjKnseiE7nVofoULL
11,0.411,0.0813,0,-16.208,1,0.0341,0.984,0.873,0.117,0.383,88.524,audio_features,2tq5JHosb6mRJkwNdS6BH2,spotify:track:2tq5JHosb6mRJkwNdS6BH2,https://api.spotify.com/v1/tracks/2tq5JHosb6mRJkwNdS6BH2,https://api.spotify.com/v1/audio-analysis/2tq5JHosb6mRJkwNdS6BH2,31446,4,Glorious,spotify:track:2tq5JHosb6mRJkwNdS6BH2,Glacier,7DS9AJjKnseiE7nVofoULL
12,0.233,0.0548,9,-15.072,0,0.0486,0.968,0.866,0.104,0.135,181.596,audio_features,5pHoNZJMWuwdLpTufznxJq,spotify:track:5pHoNZJMWuwdLpTufznxJq,https://api.spotify.com/v1/tracks/5pHoNZJMWuwdLpTufznxJq,https://api.spotify.com/v1/audio-analysis/5pHoNZJMWuwdLpTufznxJq,32965,4,Generous,spotify:track:5pHoNZJMWuwdLpTufznxJq,Glacier,7DS9AJjKnseiE7nVofoULL
13,0.424,0.441,9,-11.785,0,0.0326,0.977,0.894,0.13,0.359,93.214,audio_features,3HQSLr6u3IFfvOQJMOg1WT,spotify:track:3HQSLr6u3IFfvOQJMOg1WT,https://api.spotify.com/v1/tracks/3HQSLr6u3IFfvOQJMOg1WT,https://api.spotify.com/v1/audio-analysis/3HQSLr6u3IFfvOQJMOg1WT,303053,3,Geometry,spotify:track:3HQSLr6u3IFfvOQJMOg1WT,Glacier,7DS9AJjKnseiE7nVofoULL
14,0.446,0.14,7,-17.367,1,0.0603,0.984,0.816,0.122,0.192,63.146,audio_features,2wBj0K7wSwWFN9YCI9CuDg,spotify:track:2wBj0K7wSwWFN9YCI9CuDg,https://api.spotify.com/v1/tracks/2wBj0K7wSwWFN9YCI9CuDg,https://api.spotify.com/v1/audio-analysis/2wBj0K7wSwWFN9YCI9CuDg,31764,3,Glitter,spotify:track:2wBj0K7wSwWFN9YCI9CuDg,Glacier,7DS9AJjKnseiE7nVofoULL
