,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.578,0.73,4,-4.773,0,0.0439,0.0668,0.418,0.0965,0.264,174.011,audio_features,4hgX3PfsGkgYpn488zYncj,spotify:track:4hgX3PfsGkgYpn488zYncj,https://api.spotify.com/v1/tracks/4hgX3PfsGkgYpn488zYncj,https://api.spotify.com/v1/audio-analysis/4hgX3PfsGkgYpn488zYncj,253793,4,Underground,spotify:track:4hgX3PfsGkgYpn488zYncj,Grafix,27YdXZOMLqvxI2pB5GyqyY
1,0.652,0.885,11,-3.546,0,0.0381,0.156,0.000442,0.186,0.497,86.994,audio_features,4ykwFWDh9XT236ip3PNkk0,spotify:track:4ykwFWDh9XT236ip3PNkk0,https://api.spotify.com/v1/tracks/4ykwFWDh9XT236ip3PNkk0,https://api.spotify.com/v1/audio-analysis/4ykwFWDh9XT236ip3PNkk0,250826,4,Gold - Grafix Remix,spotify:track:4ykwFWDh9XT236ip3PNkk0,Grafix,27YdXZOMLqvxI2pB5GyqyY
2,0.434,0.904,1,-3.994,1,0.0387,0.00142,0.635,0.931,0.349,173.982,audio_features,1QpSeLx3XbPAyjYAAe12w0,spotify:track:1QpSeLx3XbPAyjYAAe12w0,https://api.spotify.com/v1/tracks/1QpSeLx3XbPAyjYAAe12w0,https://api.spotify.com/v1/audio-analysis/1QpSeLx3XbPAyjYAAe12w0,281379,4,Overdrive,spotify:track:1QpSeLx3XbPAyjYAAe12w0,Grafix,27YdXZOMLqvxI2pB5GyqyY
3,0.41,0.91,5,-4.384,0,0.0469,0.000768,0.222,0.0816,0.0351,173.963,audio_features,5NW0bfXVM6qn0DGHe40Pk5,spotify:track:5NW0bfXVM6qn0DGHe40Pk5,https://api.spotify.com/v1/tracks/5NW0bfXVM6qn0DGHe40Pk5,https://api.spotify.com/v1/audio-analysis/5NW0bfXVM6qn0DGHe40Pk5,358621,4,Parallel - VIP,spotify:track:5NW0bfXVM6qn0DGHe40Pk5,Grafix,27YdXZOMLqvxI2pB5GyqyY
4,0.411,0.959,2,-2.467,1,0.0459,0.0316,0.000595,0.131,0.391,173.887,audio_features,5DdPAQH9jtmsQcaT9TMGA9,spotify:track:5DdPAQH9jtmsQcaT9TMGA9,https://api.spotify.com/v1/tracks/5DdPAQH9jtmsQcaT9TMGA9,https://api.spotify.com/v1/audio-analysis/5DdPAQH9jtmsQcaT9TMGA9,226207,4,Forget the Rain,spotify:track:5DdPAQH9jtmsQcaT9TMGA9,Grafix,27YdXZOMLqvxI2pB5GyqyY
5,0.64,0.967,7,-4.256,0,0.0887,0.00191,0.529,0.133,0.23,174.042,audio_features,6O3HcclTYveLqOclCWLt8c,spotify:track:6O3HcclTYveLqOclCWLt8c,https://api.spotify.com/v1/tracks/6O3HcclTYveLqOclCWLt8c,https://api.spotify.com/v1/audio-analysis/6O3HcclTYveLqOclCWLt8c,320100,4,4 Days - Grafix Remix,spotify:track:6O3HcclTYveLqOclCWLt8c,Grafix,27YdXZOMLqvxI2pB5GyqyY
6,0.374,0.879,4,-5.266,0,0.057,0.00609,3.75e-05,0.238,0.0473,75.01,audio_features,0HUqGXQ4KRphRPHqAvAAYd,spotify:track:0HUqGXQ4KRphRPHqAvAAYd,https://api.spotify.com/v1/tracks/0HUqGXQ4KRphRPHqAvAAYd,https://api.spotify.com/v1/audio-analysis/0HUqGXQ4KRphRPHqAvAAYd,286000,4,Numb,spotify:track:0HUqGXQ4KRphRPHqAvAAYd,Grafix,27YdXZOMLqvxI2pB5GyqyY
7,0.397,0.921,5,-5.67,0,0.0541,0.00283,5.08e-05,0.68,0.0934,173.816,audio_features,32u6pHnoYR4q2YSMnWAtPB,spotify:track:32u6pHnoYR4q2YSMnWAtPB,https://api.spotify.com/v1/tracks/32u6pHnoYR4q2YSMnWAtPB,https://api.spotify.com/v1/audio-analysis/32u6pHnoYR4q2YSMnWAtPB,216552,4,Worlds Collide - Grafix Remix,spotify:track:32u6pHnoYR4q2YSMnWAtPB,Grafix,27YdXZOMLqvxI2pB5GyqyY
8,0.584,0.685,11,-3.137,1,0.0396,0.0231,0.000391,0.0732,0.0792,86.977,audio_features,6F7tkIRX2EXQGOXbVxoXTj,spotify:track:6F7tkIRX2EXQGOXbVxoXTj,https://api.spotify.com/v1/tracks/6F7tkIRX2EXQGOXbVxoXTj,https://api.spotify.com/v1/audio-analysis/6F7tkIRX2EXQGOXbVxoXTj,248389,4,Empty Bottles,spotify:track:6F7tkIRX2EXQGOXbVxoXTj,Grafix,27YdXZOMLqvxI2pB5GyqyY
9,0.474,0.905,9,-3.387,0,0.0376,0.0415,0.393,0.0804,0.224,174.026,audio_features,66MAM7KC3D40Ka9mgnQGft,spotify:track:66MAM7KC3D40Ka9mgnQGft,https://api.spotify.com/v1/tracks/66MAM7KC3D40Ka9mgnQGft,https://api.spotify.com/v1/audio-analysis/66MAM7KC3D40Ka9mgnQGft,228579,4,Onyx,spotify:track:66MAM7KC3D40Ka9mgnQGft,Grafix,27YdXZOMLqvxI2pB5GyqyY
