,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.51,0.747,11,-10.105,0,0.0462,0.00526,0.926,0.103,0.0371,98.014,audio_features,7HeWFVMxSD6R5Th2oOtzT7,spotify:track:7HeWFVMxSD6R5Th2oOtzT7,https://api.spotify.com/v1/tracks/7HeWFVMxSD6R5Th2oOtzT7,https://api.spotify.com/v1/audio-analysis/7HeWFVMxSD6R5Th2oOtzT7,229000,4,Perfect Silence,spotify:track:7HeWFVMxSD6R5Th2oOtzT7,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
1,0.628,0.898,5,-7.981,0,0.0773,0.0714,0.651,0.237,0.182,120.006,audio_features,7BAOsPD2YLAh4nXClLnhkq,spotify:track:7BAOsPD2YLAh4nXClLnhkq,https://api.spotify.com/v1/tracks/7BAOsPD2YLAh4nXClLnhkq,https://api.spotify.com/v1/audio-analysis/7BAOsPD2YLAh4nXClLnhkq,471000,4,Cradle - Extended Mix,spotify:track:7BAOsPD2YLAh4nXClLnhkq,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
2,0.694,0.635,9,-8.877,1,0.124,0.00144,0.00249,0.24,0.242,121.0,audio_features,05gK2dUZaHslm865erMleD,spotify:track:05gK2dUZaHslm865erMleD,https://api.spotify.com/v1/tracks/05gK2dUZaHslm865erMleD,https://api.spotify.com/v1/audio-analysis/05gK2dUZaHslm865erMleD,391000,4,Hive,spotify:track:05gK2dUZaHslm865erMleD,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
3,0.678,0.805,0,-9.445,1,0.174,0.0212,0.0157,0.123,0.173,124.012,audio_features,0AJPH02Dh6kWoNwXYycHss,spotify:track:0AJPH02Dh6kWoNwXYycHss,https://api.spotify.com/v1/tracks/0AJPH02Dh6kWoNwXYycHss,https://api.spotify.com/v1/audio-analysis/0AJPH02Dh6kWoNwXYycHss,444000,4,One Look,spotify:track:0AJPH02Dh6kWoNwXYycHss,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
4,0.185,0.646,11,-10.203,1,0.042,0.0048,0.00146,0.304,0.0359,101.237,audio_features,56hdUfK0NKBwGsD1cyCWR7,spotify:track:56hdUfK0NKBwGsD1cyCWR7,https://api.spotify.com/v1/tracks/56hdUfK0NKBwGsD1cyCWR7,https://api.spotify.com/v1/audio-analysis/56hdUfK0NKBwGsD1cyCWR7,476000,3,Myriad,spotify:track:56hdUfK0NKBwGsD1cyCWR7,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
5,0.724,0.857,2,-6.972,1,0.153,0.00488,0.141,0.713,0.295,121.004,audio_features,3F747MdtVuS5Dti5SxFDDa,spotify:track:3F747MdtVuS5Dti5SxFDDa,https://api.spotify.com/v1/tracks/3F747MdtVuS5Dti5SxFDDa,https://api.spotify.com/v1/audio-analysis/3F747MdtVuS5Dti5SxFDDa,313500,3,Coral Glasses - Extended Mix,spotify:track:3F747MdtVuS5Dti5SxFDDa,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
6,0.657,0.665,4,-9.888,0,0.0813,0.0184,0.662,0.131,0.0374,121.975,audio_features,4MwevG9Y20dSlW0VAFxUbt,spotify:track:4MwevG9Y20dSlW0VAFxUbt,https://api.spotify.com/v1/tracks/4MwevG9Y20dSlW0VAFxUbt,https://api.spotify.com/v1/audio-analysis/4MwevG9Y20dSlW0VAFxUbt,433000,3,Second Self,spotify:track:4MwevG9Y20dSlW0VAFxUbt,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
7,0.701,0.746,7,-9.634,1,0.0483,0.0326,0.689,0.103,0.038,121.982,audio_features,0phE5ZZufqyyaTeE62JQ1i,spotify:track:0phE5ZZufqyyaTeE62JQ1i,https://api.spotify.com/v1/tracks/0phE5ZZufqyyaTeE62JQ1i,https://api.spotify.com/v1/audio-analysis/0phE5ZZufqyyaTeE62JQ1i,414250,4,My Guiding Star,spotify:track:0phE5ZZufqyyaTeE62JQ1i,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
8,0.56,0.66,0,-9.214,0,0.0386,0.279,0.749,0.132,0.0757,102.007,audio_features,7zXJs5hSpj9T0m4YVsJ7T5,spotify:track:7zXJs5hSpj9T0m4YVsJ7T5,https://api.spotify.com/v1/tracks/7zXJs5hSpj9T0m4YVsJ7T5,https://api.spotify.com/v1/audio-analysis/7zXJs5hSpj9T0m4YVsJ7T5,330500,4,Craving You,spotify:track:7zXJs5hSpj9T0m4YVsJ7T5,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
9,0.657,0.754,6,-7.886,0,0.141,0.00773,0.063,0.092,0.345,122.029,audio_features,1Jc6WMO5QCnP3kqKdbewxm,spotify:track:1Jc6WMO5QCnP3kqKdbewxm,https://api.spotify.com/v1/tracks/1Jc6WMO5QCnP3kqKdbewxm,https://api.spotify.com/v1/audio-analysis/1Jc6WMO5QCnP3kqKdbewxm,377250,4,The Best Gift,spotify:track:1Jc6WMO5QCnP3kqKdbewxm,Gregory Esayan,1EOqDTixfAxQjvX2uAuvMy
