,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.924,0.504,8,-10.328,0,0.345,0.105,0.0,0.098,0.75,119.945,audio_features,7Jqc0n8AriBTpm2J97wvoa,spotify:track:7Jqc0n8AriBTpm2J97wvoa,https://api.spotify.com/v1/tracks/7Jqc0n8AriBTpm2J97wvoa,https://api.spotify.com/v1/audio-analysis/7Jqc0n8AriBTpm2J97wvoa,188440,4,Slam The Door,spotify:track:7Jqc0n8AriBTpm2J97wvoa,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
1,0.9,0.462,6,-10.013,0,0.271,0.0445,0.0,0.13,0.475,139.928,audio_features,2Qy8dSR0C64QISZoFBtb0l,spotify:track:2Qy8dSR0C64QISZoFBtb0l,https://api.spotify.com/v1/tracks/2Qy8dSR0C64QISZoFBtb0l,https://api.spotify.com/v1/audio-analysis/2Qy8dSR0C64QISZoFBtb0l,216053,4,Litty (feat. DaBaby),spotify:track:2Qy8dSR0C64QISZoFBtb0l,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
2,0.81,0.535,1,-8.468,1,0.0492,0.039,0.0,0.0788,0.38,123.993,audio_features,0YME5uqu6F54yMwefThbKr,spotify:track:0YME5uqu6F54yMwefThbKr,https://api.spotify.com/v1/tracks/0YME5uqu6F54yMwefThbKr,https://api.spotify.com/v1/audio-analysis/0YME5uqu6F54yMwefThbKr,225173,4,No Surprise (feat. Don Toliver & Bslime),spotify:track:0YME5uqu6F54yMwefThbKr,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
3,0.896,0.581,5,-8.195,0,0.35,0.0228,0.0,0.0972,0.341,134.039,audio_features,54S9l0SsYzHxHmxKLzpp24,spotify:track:54S9l0SsYzHxHmxKLzpp24,https://api.spotify.com/v1/tracks/54S9l0SsYzHxHmxKLzpp24,https://api.spotify.com/v1/audio-analysis/54S9l0SsYzHxHmxKLzpp24,171920,4,Mil In Vegas (feat. NAV),spotify:track:54S9l0SsYzHxHmxKLzpp24,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
4,0.871,0.458,2,-9.434,1,0.0936,0.0543,1.18e-06,0.139,0.0561,122.88,audio_features,0VCh1b6lWfTPJe6DrQKihE,spotify:track:0VCh1b6lWfTPJe6DrQKihE,https://api.spotify.com/v1/tracks/0VCh1b6lWfTPJe6DrQKihE,https://api.spotify.com/v1/audio-analysis/0VCh1b6lWfTPJe6DrQKihE,154373,4,Explosion (feat. Yak Gotti & FN DaDealer),spotify:track:0VCh1b6lWfTPJe6DrQKihE,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
5,0.875,0.507,0,-9.662,1,0.329,0.0397,3.15e-05,0.0582,0.344,85.967,audio_features,1RimSFdY3YyBwGLOYN8RU9,spotify:track:1RimSFdY3YyBwGLOYN8RU9,https://api.spotify.com/v1/tracks/1RimSFdY3YyBwGLOYN8RU9,https://api.spotify.com/v1/audio-analysis/1RimSFdY3YyBwGLOYN8RU9,88387,4,Yessirskii (feat. MEGO),spotify:track:1RimSFdY3YyBwGLOYN8RU9,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
6,0.596,0.734,7,-6.847,1,0.426,0.0179,0.0,0.228,0.729,89.653,audio_features,5qw9ntK31hKWyyTkrC83tN,spotify:track:5qw9ntK31hKWyyTkrC83tN,https://api.spotify.com/v1/tracks/5qw9ntK31hKWyyTkrC83tN,https://api.spotify.com/v1/audio-analysis/5qw9ntK31hKWyyTkrC83tN,125893,4,Mack Truck (feat. Jim Jones),spotify:track:5qw9ntK31hKWyyTkrC83tN,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
7,0.547,0.648,11,-8.372,1,0.455,0.0395,0.0,0.17,0.471,166.919,audio_features,2ITW8JC6EeLfy6pUHYeRPD,spotify:track:2ITW8JC6EeLfy6pUHYeRPD,https://api.spotify.com/v1/tracks/2ITW8JC6EeLfy6pUHYeRPD,https://api.spotify.com/v1/audio-analysis/2ITW8JC6EeLfy6pUHYeRPD,203787,4,"Mob Ties Remix (feat. Unfoonk, 24Heavy, Future & YTB Trench)",spotify:track:2ITW8JC6EeLfy6pUHYeRPD,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
8,0.819,0.532,1,-7.559,1,0.08,0.000342,5.79e-05,0.104,0.182,130.019,audio_features,3tUYQJgY9Zqy9sYJjj58lT,spotify:track:3tUYQJgY9Zqy9sYJjj58lT,https://api.spotify.com/v1/tracks/3tUYQJgY9Zqy9sYJjj58lT,https://api.spotify.com/v1/audio-analysis/3tUYQJgY9Zqy9sYJjj58lT,290280,4,Slatty (feat. Yak Gotti & Lil Duke),spotify:track:3tUYQJgY9Zqy9sYJjj58lT,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
9,0.959,0.641,8,-7.775,0,0.204,0.0139,0.0,0.0408,0.893,123.021,audio_features,1UfGA1mEtprrNQ63SKoWK8,spotify:track:1UfGA1mEtprrNQ63SKoWK8,https://api.spotify.com/v1/tracks/1UfGA1mEtprrNQ63SKoWK8,https://api.spotify.com/v1/audio-analysis/1UfGA1mEtprrNQ63SKoWK8,152333,4,Ski,spotify:track:1UfGA1mEtprrNQ63SKoWK8,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
10,0.852,0.692,4,-7.42,0,0.313,0.0136,7.17e-05,0.0903,0.607,74.031,audio_features,3ofA0xLWkXx7aPSKHkhWgO,spotify:track:3ofA0xLWkXx7aPSKHkhWgO,https://api.spotify.com/v1/tracks/3ofA0xLWkXx7aPSKHkhWgO,https://api.spotify.com/v1/audio-analysis/3ofA0xLWkXx7aPSKHkhWgO,242600,4,Diamonds Dancing (feat. Travis Scott),spotify:track:3ofA0xLWkXx7aPSKHkhWgO,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
11,0.89,0.486,11,-9.469,0,0.178,0.0389,0.0,0.151,0.354,125.981,audio_features,3mAsYrF8GoGDEb3Lb97hb3,spotify:track:3mAsYrF8GoGDEb3Lb97hb3,https://api.spotify.com/v1/tracks/3mAsYrF8GoGDEb3Lb97hb3,https://api.spotify.com/v1/audio-analysis/3mAsYrF8GoGDEb3Lb97hb3,215693,4,Solid (feat. Drake),spotify:track:3mAsYrF8GoGDEb3Lb97hb3,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
12,0.775,0.827,2,-6.936,1,0.174,0.314,0.0,0.148,0.577,123.967,audio_features,2xD5CtlkR2ehpGETgxqrD9,spotify:track:2xD5CtlkR2ehpGETgxqrD9,https://api.spotify.com/v1/tracks/2xD5CtlkR2ehpGETgxqrD9,https://api.spotify.com/v1/audio-analysis/2xD5CtlkR2ehpGETgxqrD9,174413,4,Came and Saw (feat. Rowdy Rebel),spotify:track:2xD5CtlkR2ehpGETgxqrD9,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
13,0.566,0.587,1,-8.715,1,0.344,0.0235,0.0,0.118,0.226,161.941,audio_features,73m9iv27mgz8qgdn2lrHoO,spotify:track:73m9iv27mgz8qgdn2lrHoO,https://api.spotify.com/v1/tracks/73m9iv27mgz8qgdn2lrHoO,https://api.spotify.com/v1/audio-analysis/73m9iv27mgz8qgdn2lrHoO,201547,4,Paid the Fine (feat. Lil Baby & YTB Trench),spotify:track:73m9iv27mgz8qgdn2lrHoO,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
14,0.845,0.454,5,-7.63,0,0.201,0.0188,0.0,0.298,0.22,135.964,audio_features,3t27zSDQvgza1nzrsYvJqw,spotify:track:3t27zSDQvgza1nzrsYvJqw,https://api.spotify.com/v1/tracks/3t27zSDQvgza1nzrsYvJqw,https://api.spotify.com/v1/audio-analysis/3t27zSDQvgza1nzrsYvJqw,211733,4,Proud of You (feat. Lil Uzi Vert & Yung Kayo),spotify:track:3t27zSDQvgza1nzrsYvJqw,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
15,0.626,0.632,3,-7.341,1,0.191,0.00877,0.0,0.111,0.466,160.144,audio_features,0NHZJPjX5um40WLBCoiRdD,spotify:track:0NHZJPjX5um40WLBCoiRdD,https://api.spotify.com/v1/tracks/0NHZJPjX5um40WLBCoiRdD,https://api.spotify.com/v1/audio-analysis/0NHZJPjX5um40WLBCoiRdD,193360,4,Real (feat. Unfoonk),spotify:track:0NHZJPjX5um40WLBCoiRdD,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
16,0.714,0.478,5,-9.302,0,0.111,0.0904,0.0,0.236,0.343,134.048,audio_features,1vF90zoysEK5wMGASfHq4m,spotify:track:1vF90zoysEK5wMGASfHq4m,https://api.spotify.com/v1/tracks/1vF90zoysEK5wMGASfHq4m,https://api.spotify.com/v1/audio-analysis/1vF90zoysEK5wMGASfHq4m,189813,4,I Like (feat. Karlae & Coi Leray),spotify:track:1vF90zoysEK5wMGASfHq4m,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
17,0.842,0.563,2,-7.964,1,0.392,0.274,0.0,0.0818,0.356,122.936,audio_features,1WTnSl4KP64PQsrvpGwV8L,spotify:track:1WTnSl4KP64PQsrvpGwV8L,https://api.spotify.com/v1/tracks/1WTnSl4KP64PQsrvpGwV8L,https://api.spotify.com/v1/audio-analysis/1WTnSl4KP64PQsrvpGwV8L,218640,4,"Warrior (feat. T-Shyne, Lil Keed & Big Sean)",spotify:track:1WTnSl4KP64PQsrvpGwV8L,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
18,0.751,0.572,10,-6.339,1,0.13,0.0808,0.0,0.231,0.3,130.092,audio_features,5QWNyBmfgpTEg1FgFQ7UX1,spotify:track:5QWNyBmfgpTEg1FgFQ7UX1,https://api.spotify.com/v1/tracks/5QWNyBmfgpTEg1FgFQ7UX1,https://api.spotify.com/v1/audio-analysis/5QWNyBmfgpTEg1FgFQ7UX1,193733,4,Pots N Pans (feat. Lil Duke & NAV),spotify:track:5QWNyBmfgpTEg1FgFQ7UX1,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
19,0.847,0.643,8,-6.664,1,0.316,0.133,0.0,0.117,0.426,148.039,audio_features,7zc1SFoDOHQDJ9nZwbfl7u,spotify:track:7zc1SFoDOHQDJ9nZwbfl7u,https://api.spotify.com/v1/tracks/7zc1SFoDOHQDJ9nZwbfl7u,https://api.spotify.com/v1/audio-analysis/7zc1SFoDOHQDJ9nZwbfl7u,181507,4,WokStar (feat. Strick & Skepta),spotify:track:7zc1SFoDOHQDJ9nZwbfl7u,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
