,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.697,0.427,7,-9.971,1,0.311,0.921,0.936,0.0987,0.585,100.405,audio_features,2HJ8F34qs7nvSFzm2WzC8N,spotify:track:2HJ8F34qs7nvSFzm2WzC8N,https://api.spotify.com/v1/tracks/2HJ8F34qs7nvSFzm2WzC8N,https://api.spotify.com/v1/audio-analysis/2HJ8F34qs7nvSFzm2WzC8N,137451,4,I'll Trade It for a Stratos,spotify:track:2HJ8F34qs7nvSFzm2WzC8N,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
1,0.682,0.274,4,-17.4,1,0.0562,0.433,0.104,0.148,0.291,130.052,audio_features,4smXi4e9oFaDg8VmptZOSu,spotify:track:4smXi4e9oFaDg8VmptZOSu,https://api.spotify.com/v1/tracks/4smXi4e9oFaDg8VmptZOSu,https://api.spotify.com/v1/audio-analysis/4smXi4e9oFaDg8VmptZOSu,138462,4,Spring Ferry Ride,spotify:track:4smXi4e9oFaDg8VmptZOSu,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
2,0.611,0.433,5,-11.521,1,0.149,0.736,0.515,0.0742,0.175,212.976,audio_features,1Z975jWe6pMXVnT3Bf7eJw,spotify:track:1Z975jWe6pMXVnT3Bf7eJw,https://api.spotify.com/v1/tracks/1Z975jWe6pMXVnT3Bf7eJw,https://api.spotify.com/v1/audio-analysis/1Z975jWe6pMXVnT3Bf7eJw,130591,3,Rainbow,spotify:track:1Z975jWe6pMXVnT3Bf7eJw,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
3,0.776,0.448,2,-10.017,1,0.148,0.351,0.814,0.106,0.815,151.95,audio_features,42reTy3TsFYjJcyAVtz2sc,spotify:track:42reTy3TsFYjJcyAVtz2sc,https://api.spotify.com/v1/tracks/42reTy3TsFYjJcyAVtz2sc,https://api.spotify.com/v1/audio-analysis/42reTy3TsFYjJcyAVtz2sc,130411,4,77,spotify:track:42reTy3TsFYjJcyAVtz2sc,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
4,0.756,0.183,1,-15.573,1,0.0583,0.322,0.923,0.115,0.139,104.065,audio_features,5m8f9w1dLcvY6QC1bjEGaX,spotify:track:5m8f9w1dLcvY6QC1bjEGaX,https://api.spotify.com/v1/tracks/5m8f9w1dLcvY6QC1bjEGaX,https://api.spotify.com/v1/audio-analysis/5m8f9w1dLcvY6QC1bjEGaX,161539,4,Gentle Breeze,spotify:track:5m8f9w1dLcvY6QC1bjEGaX,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
5,0.663,0.318,1,-8.05,1,0.0496,0.433,0.679,0.104,0.625,84.33,audio_features,7Fh9gUGlgCzqPMRII5bhOp,spotify:track:7Fh9gUGlgCzqPMRII5bhOp,https://api.spotify.com/v1/tracks/7Fh9gUGlgCzqPMRII5bhOp,https://api.spotify.com/v1/audio-analysis/7Fh9gUGlgCzqPMRII5bhOp,119630,4,Midnight,spotify:track:7Fh9gUGlgCzqPMRII5bhOp,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
6,0.744,0.336,11,-12.854,1,0.0498,0.655,0.911,0.111,0.178,116.033,audio_features,43znFxsE9BXZ80Bok0vAGk,spotify:track:43znFxsE9BXZ80Bok0vAGk,https://api.spotify.com/v1/tracks/43znFxsE9BXZ80Bok0vAGk,https://api.spotify.com/v1/audio-analysis/43znFxsE9BXZ80Bok0vAGk,138967,4,Primus,spotify:track:43znFxsE9BXZ80Bok0vAGk,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
7,0.7,0.378,2,-8.313,0,0.112,0.839,0.771,0.111,0.642,153.785,audio_features,7Iw9OXJeRwye9a7Y2Hv7Vw,spotify:track:7Iw9OXJeRwye9a7Y2Hv7Vw,https://api.spotify.com/v1/tracks/7Iw9OXJeRwye9a7Y2Hv7Vw,https://api.spotify.com/v1/audio-analysis/7Iw9OXJeRwye9a7Y2Hv7Vw,99741,4,Fairy Type,spotify:track:7Iw9OXJeRwye9a7Y2Hv7Vw,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
8,0.684,0.36,2,-7.319,1,0.0574,0.179,0.885,0.125,0.328,78.013,audio_features,7KxHIyt0cT3B7Z5PyggYis,spotify:track:7KxHIyt0cT3B7Z5PyggYis,https://api.spotify.com/v1/tracks/7KxHIyt0cT3B7Z5PyggYis,https://api.spotify.com/v1/audio-analysis/7KxHIyt0cT3B7Z5PyggYis,95526,4,Oyster Sauce,spotify:track:7KxHIyt0cT3B7Z5PyggYis,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
9,0.755,0.372,8,-8.899,0,0.0465,0.725,0.947,0.125,0.302,149.456,audio_features,6crzHJAWZ3j2Kft1VaWsdx,spotify:track:6crzHJAWZ3j2Kft1VaWsdx,https://api.spotify.com/v1/tracks/6crzHJAWZ3j2Kft1VaWsdx,https://api.spotify.com/v1/audio-analysis/6crzHJAWZ3j2Kft1VaWsdx,105181,4,Peace,spotify:track:6crzHJAWZ3j2Kft1VaWsdx,HM Surf,6TeBxtluBMQixZcKkJ3ZrB
