,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.119,0.427,2,-10.587,1,0.035,0.984,0.792,0.169,0.0358,167.49,audio_features,0xKa7V4yCWF23u6wvquCim,spotify:track:0xKa7V4yCWF23u6wvquCim,https://api.spotify.com/v1/tracks/0xKa7V4yCWF23u6wvquCim,https://api.spotify.com/v1/audio-analysis/0xKa7V4yCWF23u6wvquCim,33280,4,Halloween Fright Night: Welcome to the Terror,spotify:track:0xKa7V4yCWF23u6wvquCim,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
1,0.138,0.633,11,-9.765,1,0.0612,0.221,0.0,0.304,0.0948,74.621,audio_features,2WM74sIU2bjLtXbc01Juqf,spotify:track:2WM74sIU2bjLtXbc01Juqf,https://api.spotify.com/v1/tracks/2WM74sIU2bjLtXbc01Juqf,https://api.spotify.com/v1/audio-analysis/2WM74sIU2bjLtXbc01Juqf,591616,3,Attack of the Killer Clowns,spotify:track:2WM74sIU2bjLtXbc01Juqf,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
2,0.349,0.171,11,-23.512,1,0.0316,0.537,0.0627,0.0879,0.0507,144.758,audio_features,7a5X1rz0891fakVVcgtefI,spotify:track:7a5X1rz0891fakVVcgtefI,https://api.spotify.com/v1/tracks/7a5X1rz0891fakVVcgtefI,https://api.spotify.com/v1/audio-analysis/7a5X1rz0891fakVVcgtefI,191172,3,Killer Clown Waltz,spotify:track:7a5X1rz0891fakVVcgtefI,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
3,0.124,0.258,2,-26.925,0,0.0957,0.9,0.91,0.133,0.0471,84.233,audio_features,6t3Klk5Ig5eGkD5HvyyAyk,spotify:track:6t3Klk5Ig5eGkD5HvyyAyk,https://api.spotify.com/v1/tracks/6t3Klk5Ig5eGkD5HvyyAyk,https://api.spotify.com/v1/audio-analysis/6t3Klk5Ig5eGkD5HvyyAyk,591616,4,Funeral of a Vampire,spotify:track:6t3Klk5Ig5eGkD5HvyyAyk,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
4,0.0866,0.000201,10,-29.298,1,0.0627,0.912,0.978,0.111,0.119,88.071,audio_features,2edUPxQr8BvB6Y0yr1VpLn,spotify:track:2edUPxQr8BvB6Y0yr1VpLn,https://api.spotify.com/v1/tracks/2edUPxQr8BvB6Y0yr1VpLn,https://api.spotify.com/v1/audio-analysis/2edUPxQr8BvB6Y0yr1VpLn,141538,4,Lullaby for the Dead (Vampire’s Eulogy),spotify:track:2edUPxQr8BvB6Y0yr1VpLn,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
5,0.158,0.523,2,-15.917,0,0.0806,0.505,0.893,0.235,0.145,99.381,audio_features,7HCjFfuqE87Za8bRvNlOiq,spotify:track:7HCjFfuqE87Za8bRvNlOiq,https://api.spotify.com/v1/tracks/7HCjFfuqE87Za8bRvNlOiq,https://api.spotify.com/v1/audio-analysis/7HCjFfuqE87Za8bRvNlOiq,591616,4,Something is Behind You,spotify:track:7HCjFfuqE87Za8bRvNlOiq,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
6,0.186,0.389,9,-17.739,0,0.0443,0.937,0.884,0.376,0.0364,118.169,audio_features,3KXWdAbDrrCgGCE0hwWflt,spotify:track:3KXWdAbDrrCgGCE0hwWflt,https://api.spotify.com/v1/tracks/3KXWdAbDrrCgGCE0hwWflt,https://api.spotify.com/v1/audio-analysis/3KXWdAbDrrCgGCE0hwWflt,592469,4,Phantoms of Halloween Night,spotify:track:3KXWdAbDrrCgGCE0hwWflt,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
7,0.294,0.689,4,-14.592,0,0.0561,0.238,0.763,0.0983,0.0347,137.186,audio_features,6CCpe7hfAkX4wdqF91D1y2,spotify:track:6CCpe7hfAkX4wdqF91D1y2,https://api.spotify.com/v1/tracks/6CCpe7hfAkX4wdqF91D1y2,https://api.spotify.com/v1/audio-analysis/6CCpe7hfAkX4wdqF91D1y2,451243,3,Itsy Bitsy Monster,spotify:track:6CCpe7hfAkX4wdqF91D1y2,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
8,0.0607,0.697,0,-14.346,1,0.0676,0.39,0.951,0.347,0.045,61.47,audio_features,3r3ZqiCHakEq0X0mRoSsEL,spotify:track:3r3ZqiCHakEq0X0mRoSsEL,https://api.spotify.com/v1/tracks/3r3ZqiCHakEq0X0mRoSsEL,https://api.spotify.com/v1/audio-analysis/3r3ZqiCHakEq0X0mRoSsEL,513600,5,Trapped in the Attic,spotify:track:3r3ZqiCHakEq0X0mRoSsEL,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
9,0.197,0.922,0,-10.11,1,0.425,0.674,0.1,0.12,0.138,166.879,audio_features,5cUL6tbTIEZxwYAv7kNVNr,spotify:track:5cUL6tbTIEZxwYAv7kNVNr,https://api.spotify.com/v1/tracks/5cUL6tbTIEZxwYAv7kNVNr,https://api.spotify.com/v1/audio-analysis/5cUL6tbTIEZxwYAv7kNVNr,585270,3,Carnival of Terror (Torture in the Funhouse),spotify:track:5cUL6tbTIEZxwYAv7kNVNr,Halloween FX Productions,2JCBXi3V2tlTwXp8Q3tGnY
