,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.7,0.898,2,-4.45,1,0.29,0.00179,0.000268,0.133,0.513,175.163,audio_features,4Y6PrNadpfVVvXPnA9fayW,spotify:track:4Y6PrNadpfVVvXPnA9fayW,https://api.spotify.com/v1/tracks/4Y6PrNadpfVVvXPnA9fayW,https://api.spotify.com/v1/audio-analysis/4Y6PrNadpfVVvXPnA9fayW,239925,4,Shella - Halogenix Remix,spotify:track:4Y6PrNadpfVVvXPnA9fayW,Halogenix,24eQxPRLv3UMwEIo6mawVW
1,0.47,0.896,1,-5.476,1,0.0483,0.00103,0.808,0.148,0.117,114.013,audio_features,1ZKxBPBiXpV1CrglOQXksb,spotify:track:1ZKxBPBiXpV1CrglOQXksb,https://api.spotify.com/v1/tracks/1ZKxBPBiXpV1CrglOQXksb,https://api.spotify.com/v1/audio-analysis/1ZKxBPBiXpV1CrglOQXksb,260517,3,Your Loss - Halogenix Remix,spotify:track:1ZKxBPBiXpV1CrglOQXksb,Halogenix,24eQxPRLv3UMwEIo6mawVW
2,0.736,0.566,1,-5.856,1,0.179,0.00264,0.604,0.106,0.11,171.985,audio_features,4hHTIk6WpGBPoORHM6gUp0,spotify:track:4hHTIk6WpGBPoORHM6gUp0,https://api.spotify.com/v1/tracks/4hHTIk6WpGBPoORHM6gUp0,https://api.spotify.com/v1/audio-analysis/4hHTIk6WpGBPoORHM6gUp0,279070,4,Unlustrous,spotify:track:4hHTIk6WpGBPoORHM6gUp0,Halogenix,24eQxPRLv3UMwEIo6mawVW
3,0.7,0.868,7,-3.745,0,0.0765,0.0183,0.0012,0.603,0.383,86.012,audio_features,37flb0SuzcfnlfkmmYCFRr,spotify:track:37flb0SuzcfnlfkmmYCFRr,https://api.spotify.com/v1/tracks/37flb0SuzcfnlfkmmYCFRr,https://api.spotify.com/v1/audio-analysis/37flb0SuzcfnlfkmmYCFRr,301395,4,Organise - Halogenix Remix,spotify:track:37flb0SuzcfnlfkmmYCFRr,Halogenix,24eQxPRLv3UMwEIo6mawVW
4,0.656,0.73,1,-6.185,0,0.413,0.219,0.314,0.0713,0.2,139.493,audio_features,6aubvh0JWQWlhqlXTNCrav,spotify:track:6aubvh0JWQWlhqlXTNCrav,https://api.spotify.com/v1/tracks/6aubvh0JWQWlhqlXTNCrav,https://api.spotify.com/v1/audio-analysis/6aubvh0JWQWlhqlXTNCrav,303429,4,Relic,spotify:track:6aubvh0JWQWlhqlXTNCrav,Halogenix,24eQxPRLv3UMwEIo6mawVW
5,0.733,0.81,1,-4.91,1,0.299,0.000412,0.00273,0.0759,0.483,175.918,audio_features,3UfgXS3miINCklGT8F01ai,spotify:track:3UfgXS3miINCklGT8F01ai,https://api.spotify.com/v1/tracks/3UfgXS3miINCklGT8F01ai,https://api.spotify.com/v1/audio-analysis/3UfgXS3miINCklGT8F01ai,242328,4,Dragonforce,spotify:track:3UfgXS3miINCklGT8F01ai,Halogenix,24eQxPRLv3UMwEIo6mawVW
6,0.651,0.777,7,-4.004,0,0.114,0.03,0.741,0.177,0.0897,171.986,audio_features,5uQxvZd1MNz5aif1ccHiCc,spotify:track:5uQxvZd1MNz5aif1ccHiCc,https://api.spotify.com/v1/tracks/5uQxvZd1MNz5aif1ccHiCc,https://api.spotify.com/v1/audio-analysis/5uQxvZd1MNz5aif1ccHiCc,314886,4,Independent,spotify:track:5uQxvZd1MNz5aif1ccHiCc,Halogenix,24eQxPRLv3UMwEIo6mawVW
7,0.571,0.954,11,-1.427,1,0.111,0.000428,0.302,0.423,0.37,171.993,audio_features,7lUGvWPLcOX6CGsVd87pRi,spotify:track:7lUGvWPLcOX6CGsVd87pRi,https://api.spotify.com/v1/tracks/7lUGvWPLcOX6CGsVd87pRi,https://api.spotify.com/v1/audio-analysis/7lUGvWPLcOX6CGsVd87pRi,253467,4,Tekina,spotify:track:7lUGvWPLcOX6CGsVd87pRi,Halogenix,24eQxPRLv3UMwEIo6mawVW
8,0.664,0.89,4,-3.841,0,0.135,0.00338,0.782,0.0875,0.239,87.046,audio_features,12v477A3Y0ly6462C6peLu,spotify:track:12v477A3Y0ly6462C6peLu,https://api.spotify.com/v1/tracks/12v477A3Y0ly6462C6peLu,https://api.spotify.com/v1/audio-analysis/12v477A3Y0ly6462C6peLu,330606,4,Reminisce,spotify:track:12v477A3Y0ly6462C6peLu,Halogenix,24eQxPRLv3UMwEIo6mawVW
9,0.651,0.777,7,-4.004,0,0.114,0.03,0.741,0.177,0.0897,171.986,audio_features,0DeJhfdDjLhtr8qdFqAncf,spotify:track:0DeJhfdDjLhtr8qdFqAncf,https://api.spotify.com/v1/tracks/0DeJhfdDjLhtr8qdFqAncf,https://api.spotify.com/v1/audio-analysis/0DeJhfdDjLhtr8qdFqAncf,314886,4,Independent,spotify:track:0DeJhfdDjLhtr8qdFqAncf,Halogenix,24eQxPRLv3UMwEIo6mawVW
