,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.779,0.193,1,-14.564,0,0.285,0.94,0.85,0.101,0.278,85.003,audio_features,3loGP2FjMRFqdAFvPiJlXX,spotify:track:3loGP2FjMRFqdAFvPiJlXX,https://api.spotify.com/v1/tracks/3loGP2FjMRFqdAFvPiJlXX,https://api.spotify.com/v1/audio-analysis/3loGP2FjMRFqdAFvPiJlXX,190000,4,Die Halbe Davor,spotify:track:3loGP2FjMRFqdAFvPiJlXX,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
1,0.652,0.331,8,-9.804,1,0.0913,0.214,0.561,0.125,0.417,94.034,audio_features,51ikKyPrnuWAxJNfnObQ1E,spotify:track:51ikKyPrnuWAxJNfnObQ1E,https://api.spotify.com/v1/tracks/51ikKyPrnuWAxJNfnObQ1E,https://api.spotify.com/v1/audio-analysis/51ikKyPrnuWAxJNfnObQ1E,187883,4,N°1 Hu$Tler,spotify:track:51ikKyPrnuWAxJNfnObQ1E,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
2,0.583,0.355,4,-16.833,0,0.122,0.537,0.702,0.143,0.223,94.0,audio_features,5sGVA0ltxWay72BWfXp0r8,spotify:track:5sGVA0ltxWay72BWfXp0r8,https://api.spotify.com/v1/tracks/5sGVA0ltxWay72BWfXp0r8,https://api.spotify.com/v1/audio-analysis/5sGVA0ltxWay72BWfXp0r8,171950,4,Through The Jungle,spotify:track:5sGVA0ltxWay72BWfXp0r8,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
3,0.35,0.427,5,-14.664,0,0.282,0.632,0.537,0.321,0.185,84.0,audio_features,4AId8p4oZm0qnVajEtU3QW,spotify:track:4AId8p4oZm0qnVajEtU3QW,https://api.spotify.com/v1/tracks/4AId8p4oZm0qnVajEtU3QW,https://api.spotify.com/v1/audio-analysis/4AId8p4oZm0qnVajEtU3QW,295750,4,Lost,spotify:track:4AId8p4oZm0qnVajEtU3QW,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
4,0.336,0.23,0,-18.228,1,0.114,0.904,0.537,0.604,0.218,92.039,audio_features,0GHNGJppqdvbXmjiQ4Mpft,spotify:track:0GHNGJppqdvbXmjiQ4Mpft,https://api.spotify.com/v1/tracks/0GHNGJppqdvbXmjiQ4Mpft,https://api.spotify.com/v1/audio-analysis/0GHNGJppqdvbXmjiQ4Mpft,225000,4,So I Hu$Tle,spotify:track:0GHNGJppqdvbXmjiQ4Mpft,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
5,0.612,0.722,4,-9.585,1,0.0303,0.000799,0.657,0.205,0.154,93.035,audio_features,7bUdAbld6GbYhKNBPTeGui,spotify:track:7bUdAbld6GbYhKNBPTeGui,https://api.spotify.com/v1/tracks/7bUdAbld6GbYhKNBPTeGui,https://api.spotify.com/v1/audio-analysis/7bUdAbld6GbYhKNBPTeGui,226000,4,Gettin' Money,spotify:track:7bUdAbld6GbYhKNBPTeGui,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
6,0.397,0.391,8,-8.371,0,0.161,0.61,0.0681,0.096,0.435,184.041,audio_features,2O89JSayfL10SbxQvs90Cb,spotify:track:2O89JSayfL10SbxQvs90Cb,https://api.spotify.com/v1/tracks/2O89JSayfL10SbxQvs90Cb,https://api.spotify.com/v1/audio-analysis/2O89JSayfL10SbxQvs90Cb,141667,3,After the Hu$Tle,spotify:track:2O89JSayfL10SbxQvs90Cb,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
7,0.587,0.488,3,-10.016,0,0.0449,0.502,0.801,0.117,0.885,91.029,audio_features,10b5k9FvvWf16tJF1ezgnL,spotify:track:10b5k9FvvWf16tJF1ezgnL,https://api.spotify.com/v1/tracks/10b5k9FvvWf16tJF1ezgnL,https://api.spotify.com/v1/audio-analysis/10b5k9FvvWf16tJF1ezgnL,187150,4,Outro,spotify:track:10b5k9FvvWf16tJF1ezgnL,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
8,0.693,0.108,6,-10.21,0,0.0931,0.6,0.879,0.117,0.427,90.022,audio_features,0R86PKXz0hVNrjsVPSZA2J,spotify:track:0R86PKXz0hVNrjsVPSZA2J,https://api.spotify.com/v1/tracks/0R86PKXz0hVNrjsVPSZA2J,https://api.spotify.com/v1/audio-analysis/0R86PKXz0hVNrjsVPSZA2J,191854,4,D.i.d.m.z.d.g.s.h.,spotify:track:0R86PKXz0hVNrjsVPSZA2J,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
9,0.825,0.185,11,-10.368,0,0.088,0.342,0.786,0.111,0.64,92.016,audio_features,5x6Tq9dkNkgnGIqSFk3QQF,spotify:track:5x6Tq9dkNkgnGIqSFk3QQF,https://api.spotify.com/v1/tracks/5x6Tq9dkNkgnGIqSFk3QQF,https://api.spotify.com/v1/audio-analysis/5x6Tq9dkNkgnGIqSFk3QQF,156598,4,Achterbahn Beta,spotify:track:5x6Tq9dkNkgnGIqSFk3QQF,Hans Hu$tle,1PwlJoSttX1ML8TPVnRpra
