,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.58,0.983,11,-1.695,0,0.0451,0.0379,0.00794,0.16,0.0932,127.956,audio_features,5z9e9aeaiz4AynoQOkN86Q,spotify:track:5z9e9aeaiz4AynoQOkN86Q,https://api.spotify.com/v1/tracks/5z9e9aeaiz4AynoQOkN86Q,https://api.spotify.com/v1/audio-analysis/5z9e9aeaiz4AynoQOkN86Q,281228,4,Hold on (Headstrong Progressive Mix),spotify:track:5z9e9aeaiz4AynoQOkN86Q,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
1,0.524,0.865,2,-7.259,0,0.0405,0.0013,0.793,0.2,0.0818,127.995,audio_features,3HAVLJkgpuVmKsi9csxdUq,spotify:track:3HAVLJkgpuVmKsi9csxdUq,https://api.spotify.com/v1/tracks/3HAVLJkgpuVmKsi9csxdUq,https://api.spotify.com/v1/audio-analysis/3HAVLJkgpuVmKsi9csxdUq,234373,4,Phaedra's Kiss (Progressive Mix),spotify:track:3HAVLJkgpuVmKsi9csxdUq,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
2,0.359,0.265,9,-9.494,0,0.0315,0.772,0.00233,0.0866,0.0373,138.172,audio_features,6ddxNyYKWY2CfmC4Gzr7qj,spotify:track:6ddxNyYKWY2CfmC4Gzr7qj,https://api.spotify.com/v1/tracks/6ddxNyYKWY2CfmC4Gzr7qj,https://api.spotify.com/v1/audio-analysis/6ddxNyYKWY2CfmC4Gzr7qj,253160,4,You Are Everything I'm Not (Acoustic Piano Mix),spotify:track:6ddxNyYKWY2CfmC4Gzr7qj,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
3,0.399,0.759,5,-5.208,0,0.0359,7.94e-05,4.3e-06,0.532,0.288,129.983,audio_features,0Diux7aXTVoOUQdG0rlOb5,spotify:track:0Diux7aXTVoOUQdG0rlOb5,https://api.spotify.com/v1/tracks/0Diux7aXTVoOUQdG0rlOb5,https://api.spotify.com/v1/audio-analysis/0Diux7aXTVoOUQdG0rlOb5,173533,4,Sacrifice (Progressive Radio Edit),spotify:track:0Diux7aXTVoOUQdG0rlOb5,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
4,0.275,0.42,0,-3.714,0,0.0383,0.545,0.0,0.121,0.11,75.287,audio_features,6sALIr57axUVzGR4cqhrTZ,spotify:track:6sALIr57axUVzGR4cqhrTZ,https://api.spotify.com/v1/tracks/6sALIr57axUVzGR4cqhrTZ,https://api.spotify.com/v1/audio-analysis/6sALIr57axUVzGR4cqhrTZ,185053,4,Hear My Heart (Acoustic Piano Mix),spotify:track:6sALIr57axUVzGR4cqhrTZ,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
5,0.556,0.947,0,-5.157,0,0.036,0.000153,0.704,0.118,0.199,127.955,audio_features,69vXbEZ698Ts5vymGtNyrF,spotify:track:69vXbEZ698Ts5vymGtNyrF,https://api.spotify.com/v1/tracks/69vXbEZ698Ts5vymGtNyrF,https://api.spotify.com/v1/audio-analysis/69vXbEZ698Ts5vymGtNyrF,426563,4,The Truth (Progressive Remake 2021),spotify:track:69vXbEZ698Ts5vymGtNyrF,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
6,0.638,0.925,0,-6.921,1,0.0517,0.0019,0.714,0.418,0.104,137.992,audio_features,0orBlr7lTe6lhoAjxsWjnG,spotify:track:0orBlr7lTe6lhoAjxsWjnG,https://api.spotify.com/v1/tracks/0orBlr7lTe6lhoAjxsWjnG,https://api.spotify.com/v1/audio-analysis/0orBlr7lTe6lhoAjxsWjnG,439131,4,Star Dreamer (Techno Mix),spotify:track:0orBlr7lTe6lhoAjxsWjnG,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
7,0.256,0.552,9,-6.138,1,0.0309,0.698,3.57e-06,0.114,0.316,128.989,audio_features,6Prg50xfa3r5ZFdCHNkQtX,spotify:track:6Prg50xfa3r5ZFdCHNkQtX,https://api.spotify.com/v1/tracks/6Prg50xfa3r5ZFdCHNkQtX,https://api.spotify.com/v1/audio-analysis/6Prg50xfa3r5ZFdCHNkQtX,221952,4,Trouble (Acoustic Piano Mix),spotify:track:6Prg50xfa3r5ZFdCHNkQtX,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
8,0.626,0.927,2,-3.194,0,0.0533,0.000273,0.00175,0.22,0.239,128.045,audio_features,0QSZDBIgQDan3nVOf2AlU9,spotify:track:0QSZDBIgQDan3nVOf2AlU9,https://api.spotify.com/v1/tracks/0QSZDBIgQDan3nVOf2AlU9,https://api.spotify.com/v1/audio-analysis/0QSZDBIgQDan3nVOf2AlU9,215625,4,Time (Progressive Radio Edit),spotify:track:0QSZDBIgQDan3nVOf2AlU9,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
9,0.647,0.8,5,-4.955,0,0.0384,4.08e-05,0.215,0.319,0.28,130.078,audio_features,2roVDnTGch6y7MoJ4RheMS,spotify:track:2roVDnTGch6y7MoJ4RheMS,https://api.spotify.com/v1/tracks/2roVDnTGch6y7MoJ4RheMS,https://api.spotify.com/v1/audio-analysis/2roVDnTGch6y7MoJ4RheMS,175373,4,Nothing Can Change the Truth,spotify:track:2roVDnTGch6y7MoJ4RheMS,Headstrong,1YCde7Apa3Gl8ylvhyrpeM
