,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.462,0.598,11,-7.069,1,0.0646,0.431,7.51e-05,0.0964,0.418,126.116,audio_features,3djBPMPoo5ah0PL7ZSOuQi,spotify:track:3djBPMPoo5ah0PL7ZSOuQi,https://api.spotify.com/v1/tracks/3djBPMPoo5ah0PL7ZSOuQi,https://api.spotify.com/v1/audio-analysis/3djBPMPoo5ah0PL7ZSOuQi,265800,4,Particle,spotify:track:3djBPMPoo5ah0PL7ZSOuQi,Hundred Waters,108ugtkRFQzP9nGgNiyERO
1,0.447,0.879,11,-4.916,0,0.0568,0.00736,8.85e-05,0.18,0.432,128.885,audio_features,14z53OkF1OpO3UjOBwsqMK,spotify:track:14z53OkF1OpO3UjOBwsqMK,https://api.spotify.com/v1/tracks/14z53OkF1OpO3UjOBwsqMK,https://api.spotify.com/v1/audio-analysis/14z53OkF1OpO3UjOBwsqMK,279000,4,Wave to Anchor,spotify:track:14z53OkF1OpO3UjOBwsqMK,Hundred Waters,108ugtkRFQzP9nGgNiyERO
2,0.248,0.503,0,-8.388,1,0.0316,0.445,0.338,0.137,0.215,112.351,audio_features,6Sjn3qy2TIYFro0zirK5e6,spotify:track:6Sjn3qy2TIYFro0zirK5e6,https://api.spotify.com/v1/tracks/6Sjn3qy2TIYFro0zirK5e6,https://api.spotify.com/v1/audio-analysis/6Sjn3qy2TIYFro0zirK5e6,329853,3,Prison Guard,spotify:track:6Sjn3qy2TIYFro0zirK5e6,Hundred Waters,108ugtkRFQzP9nGgNiyERO
3,0.353,0.333,10,-9.435,1,0.0325,0.811,0.00445,0.108,0.19,116.171,audio_features,383Sq6a5oHTu6RT5HLghRl,spotify:track:383Sq6a5oHTu6RT5HLghRl,https://api.spotify.com/v1/tracks/383Sq6a5oHTu6RT5HLghRl,https://api.spotify.com/v1/audio-analysis/383Sq6a5oHTu6RT5HLghRl,147000,3,Parade,spotify:track:383Sq6a5oHTu6RT5HLghRl,Hundred Waters,108ugtkRFQzP9nGgNiyERO
4,0.293,0.794,9,-4.787,0,0.216,0.405,3.52e-05,0.145,0.197,162.473,audio_features,1H3D2fWSI9dCfPzzYary5p,spotify:track:1H3D2fWSI9dCfPzzYary5p,https://api.spotify.com/v1/tracks/1H3D2fWSI9dCfPzzYary5p,https://api.spotify.com/v1/audio-analysis/1H3D2fWSI9dCfPzzYary5p,288000,4,At home & in my head,spotify:track:1H3D2fWSI9dCfPzzYary5p,Hundred Waters,108ugtkRFQzP9nGgNiyERO
5,0.301,0.415,2,-7.231,1,0.0344,0.326,3.51e-05,0.121,0.148,108.03,audio_features,4QBM5oHzdeyqcyeCcP1zbo,spotify:track:4QBM5oHzdeyqcyeCcP1zbo,https://api.spotify.com/v1/tracks/4QBM5oHzdeyqcyeCcP1zbo,https://api.spotify.com/v1/audio-analysis/4QBM5oHzdeyqcyeCcP1zbo,271813,3,Firelight,spotify:track:4QBM5oHzdeyqcyeCcP1zbo,Hundred Waters,108ugtkRFQzP9nGgNiyERO
6,0.35,0.408,9,-8.834,1,0.0284,0.782,2.94e-05,0.149,0.27,62.353,audio_features,2oTxsZYlXhl7FQVQOXSgMF,spotify:track:2oTxsZYlXhl7FQVQOXSgMF,https://api.spotify.com/v1/tracks/2oTxsZYlXhl7FQVQOXSgMF,https://api.spotify.com/v1/audio-analysis/2oTxsZYlXhl7FQVQOXSgMF,113893,4,Re:,spotify:track:2oTxsZYlXhl7FQVQOXSgMF,Hundred Waters,108ugtkRFQzP9nGgNiyERO
7,0.5,0.54,9,-6.975,1,0.0437,0.525,0.00374,0.199,0.168,171.97,audio_features,1qckIo1XOnGJhB65WAz4Tz,spotify:track:1qckIo1XOnGJhB65WAz4Tz,https://api.spotify.com/v1/tracks/1qckIo1XOnGJhB65WAz4Tz,https://api.spotify.com/v1/audio-analysis/1qckIo1XOnGJhB65WAz4Tz,261840,4,Fingers,spotify:track:1qckIo1XOnGJhB65WAz4Tz,Hundred Waters,108ugtkRFQzP9nGgNiyERO
8,0.133,0.391,4,-7.97,1,0.0384,0.603,0.0,0.118,0.138,50.887,audio_features,0PzrNGlea7KuVLVIXfIEY4,spotify:track:0PzrNGlea7KuVLVIXfIEY4,https://api.spotify.com/v1/tracks/0PzrNGlea7KuVLVIXfIEY4,https://api.spotify.com/v1/audio-analysis/0PzrNGlea7KuVLVIXfIEY4,203880,3,Communicating,spotify:track:0PzrNGlea7KuVLVIXfIEY4,Hundred Waters,108ugtkRFQzP9nGgNiyERO
9,0.395,0.373,1,-7.393,0,0.0424,0.684,6.29e-05,0.319,0.223,119.909,audio_features,5ahLTsc2tCgX4Ki487tDAF,spotify:track:5ahLTsc2tCgX4Ki487tDAF,https://api.spotify.com/v1/tracks/5ahLTsc2tCgX4Ki487tDAF,https://api.spotify.com/v1/audio-analysis/5ahLTsc2tCgX4Ki487tDAF,296520,3,Blanket Me,spotify:track:5ahLTsc2tCgX4Ki487tDAF,Hundred Waters,108ugtkRFQzP9nGgNiyERO
