,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.593,0.232,9,-12.724,0,0.0305,0.631,0.0566,0.0924,0.0374,110.973,audio_features,5vuQnHDCXHC311fnZo4imB,spotify:track:5vuQnHDCXHC311fnZo4imB,https://api.spotify.com/v1/tracks/5vuQnHDCXHC311fnZo4imB,https://api.spotify.com/v1/audio-analysis/5vuQnHDCXHC311fnZo4imB,330973,4,MTT 420 RR,spotify:track:5vuQnHDCXHC311fnZo4imB,IDLES,75mafsNqNE1WSEVxIKuY5C
1,0.444,0.89,6,-5.478,1,0.0698,0.0194,0.0157,0.0501,0.3,176.095,audio_features,2M3vkZsS1EzPxffYWAQkD3,spotify:track:2M3vkZsS1EzPxffYWAQkD3,https://api.spotify.com/v1/tracks/2M3vkZsS1EzPxffYWAQkD3,https://api.spotify.com/v1/audio-analysis/2M3vkZsS1EzPxffYWAQkD3,205640,4,The Wheel,spotify:track:2M3vkZsS1EzPxffYWAQkD3,IDLES,75mafsNqNE1WSEVxIKuY5C
2,0.553,0.864,2,-6.997,1,0.0314,0.00524,0.0922,0.503,0.303,150.161,audio_features,3SgR3zZsDWGlf4kIZXT47D,spotify:track:3SgR3zZsDWGlf4kIZXT47D,https://api.spotify.com/v1/tracks/3SgR3zZsDWGlf4kIZXT47D,https://api.spotify.com/v1/audio-analysis/3SgR3zZsDWGlf4kIZXT47D,191987,4,When the Lights Come On,spotify:track:3SgR3zZsDWGlf4kIZXT47D,IDLES,75mafsNqNE1WSEVxIKuY5C
3,0.497,0.807,3,-6.721,1,0.0584,0.00151,0.692,0.2,0.512,69.966,audio_features,0kFEIHEFxd97rrYDGrLIzp,spotify:track:0kFEIHEFxd97rrYDGrLIzp,https://api.spotify.com/v1/tracks/0kFEIHEFxd97rrYDGrLIzp,https://api.spotify.com/v1/audio-analysis/0kFEIHEFxd97rrYDGrLIzp,233627,4,Car Crash,spotify:track:0kFEIHEFxd97rrYDGrLIzp,IDLES,75mafsNqNE1WSEVxIKuY5C
4,0.64,0.82,6,-5.89,0,0.0548,0.00585,0.0206,0.11,0.644,89.02,audio_features,41UfSlihKZ6slKSo8iEYzs,spotify:track:41UfSlihKZ6slKSo8iEYzs,https://api.spotify.com/v1/tracks/41UfSlihKZ6slKSo8iEYzs,https://api.spotify.com/v1/audio-analysis/41UfSlihKZ6slKSo8iEYzs,253960,4,The New Sensation,spotify:track:41UfSlihKZ6slKSo8iEYzs,IDLES,75mafsNqNE1WSEVxIKuY5C
5,0.415,0.852,0,-5.751,1,0.072,0.00239,0.258,0.0929,0.32,82.077,audio_features,7wxggYZmW6kc8C7l6ofRmw,spotify:track:7wxggYZmW6kc8C7l6ofRmw,https://api.spotify.com/v1/tracks/7wxggYZmW6kc8C7l6ofRmw,https://api.spotify.com/v1/audio-analysis/7wxggYZmW6kc8C7l6ofRmw,182200,4,Stockholm Syndrome,spotify:track:7wxggYZmW6kc8C7l6ofRmw,IDLES,75mafsNqNE1WSEVxIKuY5C
6,0.201,0.64,6,-5.276,0,0.0405,0.000667,0.00106,0.13,0.406,174.138,audio_features,7tlCoH63WmXXuNgdMThWmh,spotify:track:7tlCoH63WmXXuNgdMThWmh,https://api.spotify.com/v1/tracks/7tlCoH63WmXXuNgdMThWmh,https://api.spotify.com/v1/audio-analysis/7tlCoH63WmXXuNgdMThWmh,240973,3,The Beachland Ballroom,spotify:track:7tlCoH63WmXXuNgdMThWmh,IDLES,75mafsNqNE1WSEVxIKuY5C
7,0.457,0.883,0,-5.374,1,0.155,0.00217,0.913,0.564,0.299,76.986,audio_features,5Y8gTDNCIAXtyAoEIctFEH,spotify:track:5Y8gTDNCIAXtyAoEIctFEH,https://api.spotify.com/v1/tracks/5Y8gTDNCIAXtyAoEIctFEH,https://api.spotify.com/v1/audio-analysis/5Y8gTDNCIAXtyAoEIctFEH,260520,4,Crawl!,spotify:track:5Y8gTDNCIAXtyAoEIctFEH,IDLES,75mafsNqNE1WSEVxIKuY5C
8,0.565,0.869,9,-5.565,1,0.0372,0.00132,0.367,0.375,0.546,90.0,audio_features,2M7ZzCLiJUZ2jpgPEzK97k,spotify:track:2M7ZzCLiJUZ2jpgPEzK97k,https://api.spotify.com/v1/tracks/2M7ZzCLiJUZ2jpgPEzK97k,https://api.spotify.com/v1/audio-analysis/2M7ZzCLiJUZ2jpgPEzK97k,236747,4,Meds,spotify:track:2M7ZzCLiJUZ2jpgPEzK97k,IDLES,75mafsNqNE1WSEVxIKuY5C
9,0.283,0.0328,0,-33.809,1,0.0359,0.669,0.553,0.112,0.598,147.859,audio_features,1yKSpxhhoIEknhXMH8VGxd,spotify:track:1yKSpxhhoIEknhXMH8VGxd,https://api.spotify.com/v1/tracks/1yKSpxhhoIEknhXMH8VGxd,https://api.spotify.com/v1/audio-analysis/1yKSpxhhoIEknhXMH8VGxd,30827,1,Kelechi,spotify:track:1yKSpxhhoIEknhXMH8VGxd,IDLES,75mafsNqNE1WSEVxIKuY5C
