,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.487,0.852,0,-4.002,1,0.0596,0.054,0.0,0.111,0.191,157.934,audio_features,2Ms30hRxAxBpoZmh6WZvoo,spotify:track:2Ms30hRxAxBpoZmh6WZvoo,https://api.spotify.com/v1/tracks/2Ms30hRxAxBpoZmh6WZvoo,https://api.spotify.com/v1/audio-analysis/2Ms30hRxAxBpoZmh6WZvoo,187000,4,Wouldn’t Change A Thing,spotify:track:2Ms30hRxAxBpoZmh6WZvoo,ILLENIUM,45eNHdiiabvmbp4erw26rg
1,0.583,0.922,5,-3.704,0,0.0716,9.28e-05,0.141,0.13,0.317,140.01,audio_features,72srz1PlxoUUNiw6JcqaaI,spotify:track:72srz1PlxoUUNiw6JcqaaI,https://api.spotify.com/v1/tracks/72srz1PlxoUUNiw6JcqaaI,https://api.spotify.com/v1/audio-analysis/72srz1PlxoUUNiw6JcqaaI,198857,4,Blame Myself - ILLENIUM and Virtual Riot Remix,spotify:track:72srz1PlxoUUNiw6JcqaaI,ILLENIUM,45eNHdiiabvmbp4erw26rg
2,0.617,0.795,1,-4.567,0,0.0955,0.0411,0.0,0.0898,0.415,126.06,audio_features,0jitsmziKMI9MpzENnB0Tc,spotify:track:0jitsmziKMI9MpzENnB0Tc,https://api.spotify.com/v1/tracks/0jitsmziKMI9MpzENnB0Tc,https://api.spotify.com/v1/audio-analysis/0jitsmziKMI9MpzENnB0Tc,238095,4,Hurts Like This,spotify:track:0jitsmziKMI9MpzENnB0Tc,ILLENIUM,45eNHdiiabvmbp4erw26rg
3,0.607,0.868,8,-4.328,0,0.111,0.0226,7.71e-05,0.128,0.523,171.934,audio_features,1dVn0YP06AMySJXG6hdC55,spotify:track:1dVn0YP06AMySJXG6hdC55,https://api.spotify.com/v1/tracks/1dVn0YP06AMySJXG6hdC55,https://api.spotify.com/v1/audio-analysis/1dVn0YP06AMySJXG6hdC55,227000,4,Superhero,spotify:track:1dVn0YP06AMySJXG6hdC55,ILLENIUM,45eNHdiiabvmbp4erw26rg
4,0.252,0.441,6,-7.606,0,0.0827,0.0528,0.735,0.113,0.0519,205.903,audio_features,5zRljvpgY1elGsc18Qp3tC,spotify:track:5zRljvpgY1elGsc18Qp3tC,https://api.spotify.com/v1/tracks/5zRljvpgY1elGsc18Qp3tC,https://api.spotify.com/v1/audio-analysis/5zRljvpgY1elGsc18Qp3tC,345437,4,I See You,spotify:track:5zRljvpgY1elGsc18Qp3tC,ILLENIUM,45eNHdiiabvmbp4erw26rg
5,0.392,0.737,8,-3.882,1,0.0857,0.0523,0.000141,0.244,0.402,139.956,audio_features,4eW9LBbyJcSeJ3wp9Q83s1,spotify:track:4eW9LBbyJcSeJ3wp9Q83s1,https://api.spotify.com/v1/tracks/4eW9LBbyJcSeJ3wp9Q83s1,https://api.spotify.com/v1/audio-analysis/4eW9LBbyJcSeJ3wp9Q83s1,230571,4,Blame Myself,spotify:track:4eW9LBbyJcSeJ3wp9Q83s1,ILLENIUM,45eNHdiiabvmbp4erw26rg
6,0.442,0.748,2,-5.632,1,0.0538,0.0129,0.0,0.0917,0.191,134.176,audio_features,3ABiNXqIEkDx8jrcMpSTQt,spotify:track:3ABiNXqIEkDx8jrcMpSTQt,https://api.spotify.com/v1/tracks/3ABiNXqIEkDx8jrcMpSTQt,https://api.spotify.com/v1/audio-analysis/3ABiNXqIEkDx8jrcMpSTQt,240000,4,Heavenly Side,spotify:track:3ABiNXqIEkDx8jrcMpSTQt,ILLENIUM,45eNHdiiabvmbp4erw26rg
7,0.408,0.783,2,-5.081,1,0.0589,0.101,3.45e-06,0.181,0.344,175.956,audio_features,6CFm4rn5abOUJhONplxMjj,spotify:track:6CFm4rn5abOUJhONplxMjj,https://api.spotify.com/v1/tracks/6CFm4rn5abOUJhONplxMjj,https://api.spotify.com/v1/audio-analysis/6CFm4rn5abOUJhONplxMjj,210000,4,Fragments,spotify:track:6CFm4rn5abOUJhONplxMjj,ILLENIUM,45eNHdiiabvmbp4erw26rg
8,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926,audio_features,6XYSeb52faaNtl53CHIAVj,spotify:track:6XYSeb52faaNtl53CHIAVj,https://api.spotify.com/v1/tracks/6XYSeb52faaNtl53CHIAVj,https://api.spotify.com/v1/audio-analysis/6XYSeb52faaNtl53CHIAVj,251831,4,Sideways,spotify:track:6XYSeb52faaNtl53CHIAVj,ILLENIUM,45eNHdiiabvmbp4erw26rg
9,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085,audio_features,2G6MoKYA9jzrbscPiwsbdg,spotify:track:2G6MoKYA9jzrbscPiwsbdg,https://api.spotify.com/v1/tracks/2G6MoKYA9jzrbscPiwsbdg,https://api.spotify.com/v1/audio-analysis/2G6MoKYA9jzrbscPiwsbdg,165779,4,First Time,spotify:track:2G6MoKYA9jzrbscPiwsbdg,ILLENIUM,45eNHdiiabvmbp4erw26rg
10,0.563,0.837,8,-5.025,1,0.0457,0.0128,0.00922,0.0401,0.631,88.02,audio_features,5r7Lq0f8mFem1O0p7V07T4,spotify:track:5r7Lq0f8mFem1O0p7V07T4,https://api.spotify.com/v1/tracks/5r7Lq0f8mFem1O0p7V07T4,https://api.spotify.com/v1/audio-analysis/5r7Lq0f8mFem1O0p7V07T4,213500,4,U & Me,spotify:track:5r7Lq0f8mFem1O0p7V07T4,ILLENIUM,45eNHdiiabvmbp4erw26rg
11,0.494,0.651,11,-4.127,0,0.0384,0.0819,0.0,0.104,0.162,149.979,audio_features,1hKP9uIcZe0VyXQ2fdRQbq,spotify:track:1hKP9uIcZe0VyXQ2fdRQbq,https://api.spotify.com/v1/tracks/1hKP9uIcZe0VyXQ2fdRQbq,https://api.spotify.com/v1/audio-analysis/1hKP9uIcZe0VyXQ2fdRQbq,222400,4,Nightlight,spotify:track:1hKP9uIcZe0VyXQ2fdRQbq,ILLENIUM,45eNHdiiabvmbp4erw26rg
12,0.365,0.765,1,-4.449,1,0.0416,0.0088,2.06e-06,0.0959,0.241,179.955,audio_features,5B5932ySoLMVaOuqXdDgkW,spotify:track:5B5932ySoLMVaOuqXdDgkW,https://api.spotify.com/v1/tracks/5B5932ySoLMVaOuqXdDgkW,https://api.spotify.com/v1/audio-analysis/5B5932ySoLMVaOuqXdDgkW,236318,3,Hearts on Fire,spotify:track:5B5932ySoLMVaOuqXdDgkW,ILLENIUM,45eNHdiiabvmbp4erw26rg
13,0.413,0.537,7,-4.913,0,0.0311,0.316,4.52e-06,0.0771,0.118,77.661,audio_features,1r438dOUJRtUSFv54T97Fp,spotify:track:1r438dOUJRtUSFv54T97Fp,https://api.spotify.com/v1/tracks/1r438dOUJRtUSFv54T97Fp,https://api.spotify.com/v1/audio-analysis/1r438dOUJRtUSFv54T97Fp,264774,4,Lay It Down,spotify:track:1r438dOUJRtUSFv54T97Fp,ILLENIUM,45eNHdiiabvmbp4erw26rg
14,0.518,0.879,1,-3.087,1,0.119,0.0603,0.0,0.261,0.29,159.833,audio_features,2pKeerhKOKCx3Fid0GhikL,spotify:track:2pKeerhKOKCx3Fid0GhikL,https://api.spotify.com/v1/tracks/2pKeerhKOKCx3Fid0GhikL,https://api.spotify.com/v1/audio-analysis/2pKeerhKOKCx3Fid0GhikL,231000,4,Losing Patience,spotify:track:2pKeerhKOKCx3Fid0GhikL,ILLENIUM,45eNHdiiabvmbp4erw26rg
15,0.344,0.663,8,-4.448,0,0.0595,0.12,0.0,0.0957,0.233,140.129,audio_features,7Big35moOAF5WtTgkUN0pq,spotify:track:7Big35moOAF5WtTgkUN0pq,https://api.spotify.com/v1/tracks/7Big35moOAF5WtTgkUN0pq,https://api.spotify.com/v1/audio-analysis/7Big35moOAF5WtTgkUN0pq,300222,4,In My Mind,spotify:track:7Big35moOAF5WtTgkUN0pq,ILLENIUM,45eNHdiiabvmbp4erw26rg
16,0.557,0.781,1,-3.841,1,0.0925,0.00384,0.0,0.143,0.779,155.924,audio_features,4LyisbIqxl0KkBkurRPjzJ,spotify:track:4LyisbIqxl0KkBkurRPjzJ,https://api.spotify.com/v1/tracks/4LyisbIqxl0KkBkurRPjzJ,https://api.spotify.com/v1/audio-analysis/4LyisbIqxl0KkBkurRPjzJ,197062,4,Paper Thin,spotify:track:4LyisbIqxl0KkBkurRPjzJ,ILLENIUM,45eNHdiiabvmbp4erw26rg
17,0.476,0.507,1,-8.058,1,0.0459,0.405,1.13e-05,0.113,0.17,150.204,audio_features,7bV4ng1yiKLAvryrdTxBYO,spotify:track:7bV4ng1yiKLAvryrdTxBYO,https://api.spotify.com/v1/tracks/7bV4ng1yiKLAvryrdTxBYO,https://api.spotify.com/v1/audio-analysis/7bV4ng1yiKLAvryrdTxBYO,230400,4,Crazy Times,spotify:track:7bV4ng1yiKLAvryrdTxBYO,ILLENIUM,45eNHdiiabvmbp4erw26rg
18,0.517,0.309,5,-8.606,0,0.0358,0.384,2.53e-06,0.102,0.256,90.036,audio_features,4FKWBbeeKrX4iDOnkEklfv,spotify:track:4FKWBbeeKrX4iDOnkEklfv,https://api.spotify.com/v1/tracks/4FKWBbeeKrX4iDOnkEklfv,https://api.spotify.com/v1/audio-analysis/4FKWBbeeKrX4iDOnkEklfv,277333,4,Brave Soul,spotify:track:4FKWBbeeKrX4iDOnkEklfv,ILLENIUM,45eNHdiiabvmbp4erw26rg
19,0.392,0.737,8,-3.882,1,0.0857,0.0523,0.000141,0.244,0.402,139.956,audio_features,1suqXPrYygZ7BYiSfaVZE4,spotify:track:1suqXPrYygZ7BYiSfaVZE4,https://api.spotify.com/v1/tracks/1suqXPrYygZ7BYiSfaVZE4,https://api.spotify.com/v1/audio-analysis/1suqXPrYygZ7BYiSfaVZE4,230571,4,Blame Myself,spotify:track:1suqXPrYygZ7BYiSfaVZE4,ILLENIUM,45eNHdiiabvmbp4erw26rg
20,0.442,0.748,2,-5.632,1,0.0538,0.0129,0.0,0.0917,0.191,134.176,audio_features,0R7d7JyYRKcuTEO1j0Wkcw,spotify:track:0R7d7JyYRKcuTEO1j0Wkcw,https://api.spotify.com/v1/tracks/0R7d7JyYRKcuTEO1j0Wkcw,https://api.spotify.com/v1/audio-analysis/0R7d7JyYRKcuTEO1j0Wkcw,240000,4,Heavenly Side,spotify:track:0R7d7JyYRKcuTEO1j0Wkcw,ILLENIUM,45eNHdiiabvmbp4erw26rg
21,0.408,0.783,2,-5.081,1,0.0589,0.101,3.45e-06,0.181,0.344,175.956,audio_features,0qH4xYxCrvqO86YyLbkTrB,spotify:track:0qH4xYxCrvqO86YyLbkTrB,https://api.spotify.com/v1/tracks/0qH4xYxCrvqO86YyLbkTrB,https://api.spotify.com/v1/audio-analysis/0qH4xYxCrvqO86YyLbkTrB,210000,4,Fragments,spotify:track:0qH4xYxCrvqO86YyLbkTrB,ILLENIUM,45eNHdiiabvmbp4erw26rg
