,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.68,0.764,11,-5.534,1,0.0342,0.0249,0.833,0.0967,0.161,119.992,audio_features,4wlmBtkkW9OXvEkkyN6VAy,spotify:track:4wlmBtkkW9OXvEkkyN6VAy,https://api.spotify.com/v1/tracks/4wlmBtkkW9OXvEkkyN6VAy,https://api.spotify.com/v1/audio-analysis/4wlmBtkkW9OXvEkkyN6VAy,222000,4,Loving You Is So Easy,spotify:track:4wlmBtkkW9OXvEkkyN6VAy,IPeiqi,62ttTweDvqEfd60TMZaUzc
1,0.6,0.756,5,-9.334,0,0.0395,0.111,0.881,0.0978,0.0707,119.991,audio_features,0tl7BdOIa5foAq32C7Rs12,spotify:track:0tl7BdOIa5foAq32C7Rs12,https://api.spotify.com/v1/tracks/0tl7BdOIa5foAq32C7Rs12,https://api.spotify.com/v1/audio-analysis/0tl7BdOIa5foAq32C7Rs12,293000,4,Harp Breathing,spotify:track:0tl7BdOIa5foAq32C7Rs12,IPeiqi,62ttTweDvqEfd60TMZaUzc
2,0.735,0.605,11,-6.155,1,0.0591,0.00633,0.841,0.286,0.408,119.995,audio_features,7wEVmuqt49ZfDDCYa104DF,spotify:track:7wEVmuqt49ZfDDCYa104DF,https://api.spotify.com/v1/tracks/7wEVmuqt49ZfDDCYa104DF,https://api.spotify.com/v1/audio-analysis/7wEVmuqt49ZfDDCYa104DF,311972,4,Loving You Is So Easy - Extended Mix,spotify:track:7wEVmuqt49ZfDDCYa104DF,IPeiqi,62ttTweDvqEfd60TMZaUzc
3,0.683,0.925,10,-6.3,0,0.0427,0.00467,0.85,0.175,0.182,120.99,audio_features,0KMSyN9mLWmDJTkHaYk1Y0,spotify:track:0KMSyN9mLWmDJTkHaYk1Y0,https://api.spotify.com/v1/tracks/0KMSyN9mLWmDJTkHaYk1Y0,https://api.spotify.com/v1/audio-analysis/0KMSyN9mLWmDJTkHaYk1Y0,244035,4,Take Courage,spotify:track:0KMSyN9mLWmDJTkHaYk1Y0,IPeiqi,62ttTweDvqEfd60TMZaUzc
4,0.553,0.843,5,-7.331,1,0.0333,0.00147,0.821,0.0532,0.0649,122.997,audio_features,3pOu72LLzp3NhoKZ18Hz0S,spotify:track:3pOu72LLzp3NhoKZ18Hz0S,https://api.spotify.com/v1/tracks/3pOu72LLzp3NhoKZ18Hz0S,https://api.spotify.com/v1/audio-analysis/3pOu72LLzp3NhoKZ18Hz0S,324867,4,I Will Rise Up,spotify:track:3pOu72LLzp3NhoKZ18Hz0S,IPeiqi,62ttTweDvqEfd60TMZaUzc
5,0.409,0.708,5,-8.284,1,0.0487,0.158,0.382,0.403,0.762,81.913,audio_features,5qKsKfpqMks2zVIAbneZSj,spotify:track:5qKsKfpqMks2zVIAbneZSj,https://api.spotify.com/v1/tracks/5qKsKfpqMks2zVIAbneZSj,https://api.spotify.com/v1/audio-analysis/5qKsKfpqMks2zVIAbneZSj,175821,4,Forest and Sunset,spotify:track:5qKsKfpqMks2zVIAbneZSj,IPeiqi,62ttTweDvqEfd60TMZaUzc
6,0.769,0.483,5,-13.946,0,0.0647,0.0194,0.82,0.0846,0.585,119.992,audio_features,5lBjyv0UITq0VY3MMHXUWv,spotify:track:5lBjyv0UITq0VY3MMHXUWv,https://api.spotify.com/v1/tracks/5lBjyv0UITq0VY3MMHXUWv,https://api.spotify.com/v1/audio-analysis/5lBjyv0UITq0VY3MMHXUWv,440000,4,See Again,spotify:track:5lBjyv0UITq0VY3MMHXUWv,IPeiqi,62ttTweDvqEfd60TMZaUzc
7,0.784,0.832,8,-6.354,0,0.0469,0.011,0.854,0.0544,0.363,122.995,audio_features,0qHaPVdbzMhVkqzejKwuWY,spotify:track:0qHaPVdbzMhVkqzejKwuWY,https://api.spotify.com/v1/tracks/0qHaPVdbzMhVkqzejKwuWY,https://api.spotify.com/v1/audio-analysis/0qHaPVdbzMhVkqzejKwuWY,389637,4,Never Ignore the Stars,spotify:track:0qHaPVdbzMhVkqzejKwuWY,IPeiqi,62ttTweDvqEfd60TMZaUzc
8,0.634,0.685,4,-12.023,0,0.0405,0.00108,0.937,0.108,0.0379,125.013,audio_features,6oNKHKQUlDspPhi5WlDYUl,spotify:track:6oNKHKQUlDspPhi5WlDYUl,https://api.spotify.com/v1/tracks/6oNKHKQUlDspPhi5WlDYUl,https://api.spotify.com/v1/audio-analysis/6oNKHKQUlDspPhi5WlDYUl,496919,4,Light Of The Mind,spotify:track:6oNKHKQUlDspPhi5WlDYUl,IPeiqi,62ttTweDvqEfd60TMZaUzc
9,0.778,0.496,0,-16.246,1,0.0458,0.225,0.933,0.112,0.207,125.012,audio_features,0sf7xoBtQsAaWkYJhpOSi9,spotify:track:0sf7xoBtQsAaWkYJhpOSi9,https://api.spotify.com/v1/tracks/0sf7xoBtQsAaWkYJhpOSi9,https://api.spotify.com/v1/audio-analysis/0sf7xoBtQsAaWkYJhpOSi9,431556,4,Meditation,spotify:track:0sf7xoBtQsAaWkYJhpOSi9,IPeiqi,62ttTweDvqEfd60TMZaUzc
