,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.564,0.251,7,-10.688,0,0.0373,0.679,3.11e-05,0.141,0.259,124.944,audio_features,1OCRF3zCgr0pehWJtdpywm,spotify:track:1OCRF3zCgr0pehWJtdpywm,https://api.spotify.com/v1/tracks/1OCRF3zCgr0pehWJtdpywm,https://api.spotify.com/v1/audio-analysis/1OCRF3zCgr0pehWJtdpywm,94160,3,I Carried This for Years,spotify:track:1OCRF3zCgr0pehWJtdpywm,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
1,0.588,0.518,1,-8.071,1,0.0435,0.251,0.39,0.355,0.461,156.001,audio_features,1BbbSFYOFTKEInRMvuOyzk,spotify:track:1BbbSFYOFTKEInRMvuOyzk,https://api.spotify.com/v1/tracks/1BbbSFYOFTKEInRMvuOyzk,https://api.spotify.com/v1/audio-analysis/1BbbSFYOFTKEInRMvuOyzk,179133,4,Away Away,spotify:track:1BbbSFYOFTKEInRMvuOyzk,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
2,0.771,0.629,2,-7.155,1,0.157,0.0392,0.13,0.0686,0.288,148.032,audio_features,7LYyt10q2P6EHMaGjviK89,spotify:track:7LYyt10q2P6EHMaGjviK89,https://api.spotify.com/v1/tracks/7LYyt10q2P6EHMaGjviK89,https://api.spotify.com/v1/audio-analysis/7LYyt10q2P6EHMaGjviK89,191427,4,Deathless,spotify:track:7LYyt10q2P6EHMaGjviK89,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
3,0.654,0.661,5,-7.448,1,0.0384,0.0704,0.112,0.434,0.278,104.904,audio_features,72dQDmIiS3bHuRstBJKXUe,spotify:track:72dQDmIiS3bHuRstBJKXUe,https://api.spotify.com/v1/tracks/72dQDmIiS3bHuRstBJKXUe,https://api.spotify.com/v1/audio-analysis/72dQDmIiS3bHuRstBJKXUe,157187,4,I Wanna Be Like You,spotify:track:72dQDmIiS3bHuRstBJKXUe,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
4,0.666,0.525,2,-8.575,1,0.0774,0.491,0.00134,0.182,0.354,99.754,audio_features,7bidQXK3cAvnPv98ax8Ps4,spotify:track:7bidQXK3cAvnPv98ax8Ps4,https://api.spotify.com/v1/tracks/7bidQXK3cAvnPv98ax8Ps4,https://api.spotify.com/v1/audio-analysis/7bidQXK3cAvnPv98ax8Ps4,146200,4,No Man Is Big Enough For My Arms,spotify:track:7bidQXK3cAvnPv98ax8Ps4,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
5,0.764,0.339,6,-10.758,0,0.0634,0.312,0.00518,0.381,0.166,116.89,audio_features,0aNspF46sucMHHI46Jw8X8,spotify:track:0aNspF46sucMHHI46Jw8X8,https://api.spotify.com/v1/tracks/0aNspF46sucMHHI46Jw8X8,https://api.spotify.com/v1/audio-analysis/0aNspF46sucMHHI46Jw8X8,206493,3,Valé,spotify:track:0aNspF46sucMHHI46Jw8X8,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
6,0.507,0.00291,6,-11.335,0,0.057,0.923,2.89e-05,0.098,0.0946,140.393,audio_features,015UAwjEIT4Hul7FB0vWtS,spotify:track:015UAwjEIT4Hul7FB0vWtS,https://api.spotify.com/v1/tracks/015UAwjEIT4Hul7FB0vWtS,https://api.spotify.com/v1/audio-analysis/015UAwjEIT4Hul7FB0vWtS,194253,3,Waves,spotify:track:015UAwjEIT4Hul7FB0vWtS,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
7,0.47,0.235,11,-12.901,0,0.0532,0.8,4.43e-05,0.358,0.222,126.458,audio_features,0CUiXqfSRtxRRTFy3MTIgn,spotify:track:0CUiXqfSRtxRRTFy3MTIgn,https://api.spotify.com/v1/tracks/0CUiXqfSRtxRRTFy3MTIgn,https://api.spotify.com/v1/audio-analysis/0CUiXqfSRtxRRTFy3MTIgn,390360,5,Transmission/Michaelion,spotify:track:0CUiXqfSRtxRRTFy3MTIgn,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
8,0.68,0.474,7,-9.736,0,0.0773,0.0151,0.00939,0.0562,0.668,99.955,audio_features,4Qolq4voNJaxnQNYzFsMLu,spotify:track:4Qolq4voNJaxnQNYzFsMLu,https://api.spotify.com/v1/tracks/4Qolq4voNJaxnQNYzFsMLu,https://api.spotify.com/v1/audio-analysis/4Qolq4voNJaxnQNYzFsMLu,187400,4,Me Voy,spotify:track:4Qolq4voNJaxnQNYzFsMLu,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
9,0.609,0.591,2,-8.133,0,0.0598,0.369,0.313,0.0755,0.156,187.879,audio_features,7BFfpeF9JcrJTKufIAa9hw,spotify:track:7BFfpeF9JcrJTKufIAa9hw,https://api.spotify.com/v1/tracks/7BFfpeF9JcrJTKufIAa9hw,https://api.spotify.com/v1/audio-analysis/7BFfpeF9JcrJTKufIAa9hw,180747,4,When Will I Learn,spotify:track:7BFfpeF9JcrJTKufIAa9hw,Ibeyi,5Q8NEHGX70m1kkojbtm8wa
