,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.143,0.149,9,-27.436,0,0.0595,0.313,0.962,0.535,0.0442,139.801,audio_features,57mD6FgGkmiuT47EkY3ikx,spotify:track:57mD6FgGkmiuT47EkY3ikx,https://api.spotify.com/v1/tracks/57mD6FgGkmiuT47EkY3ikx,https://api.spotify.com/v1/audio-analysis/57mD6FgGkmiuT47EkY3ikx,376982,5,"Prologue - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:57mD6FgGkmiuT47EkY3ikx,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
1,0.261,0.134,0,-19.431,1,0.035,0.983,0.736,0.117,0.174,152.435,audio_features,3sbPwjxDvP78A8iqXZIWad,spotify:track:3sbPwjxDvP78A8iqXZIWad,https://api.spotify.com/v1/tracks/3sbPwjxDvP78A8iqXZIWad,https://api.spotify.com/v1/audio-analysis/3sbPwjxDvP78A8iqXZIWad,234745,4,"Pilgrimage - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:3sbPwjxDvP78A8iqXZIWad,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
2,0.344,0.312,7,-16.232,1,0.0335,0.967,0.0814,0.106,0.0761,136.422,audio_features,06EbvJfyamcuz35Ie0ECu7,spotify:track:06EbvJfyamcuz35Ie0ECu7,https://api.spotify.com/v1/tracks/06EbvJfyamcuz35Ie0ECu7,https://api.spotify.com/v1/audio-analysis/06EbvJfyamcuz35Ie0ECu7,327808,3,"Porcelain - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:06EbvJfyamcuz35Ie0ECu7,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
3,0.141,0.0459,4,-25.903,0,0.0462,0.98,0.533,0.13,0.0393,170.816,audio_features,1zOGVK9yXLuOp5Wvya2mKS,spotify:track:1zOGVK9yXLuOp5Wvya2mKS,https://api.spotify.com/v1/tracks/1zOGVK9yXLuOp5Wvya2mKS,https://api.spotify.com/v1/audio-analysis/1zOGVK9yXLuOp5Wvya2mKS,63887,1,"Horo - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:1zOGVK9yXLuOp5Wvya2mKS,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
4,0.267,0.146,5,-19.301,1,0.0447,0.98,0.562,0.61,0.0384,118.357,audio_features,41hYhIRm7Jr13IbLMiyOP1,spotify:track:41hYhIRm7Jr13IbLMiyOP1,https://api.spotify.com/v1/tracks/41hYhIRm7Jr13IbLMiyOP1,https://api.spotify.com/v1/audio-analysis/41hYhIRm7Jr13IbLMiyOP1,213700,4,"Easter Lily - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:41hYhIRm7Jr13IbLMiyOP1,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
5,0.347,0.0496,7,-22.869,1,0.0422,0.975,0.0272,0.149,0.0363,130.441,audio_features,6lN50FogX1HpIMEap5tYDN,spotify:track:6lN50FogX1HpIMEap5tYDN,https://api.spotify.com/v1/tracks/6lN50FogX1HpIMEap5tYDN,https://api.spotify.com/v1/audio-analysis/6lN50FogX1HpIMEap5tYDN,165361,3,"Parfum d'étoiles - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:6lN50FogX1HpIMEap5tYDN,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
6,0.0897,0.0473,7,-27.913,0,0.0444,0.961,0.571,0.0953,0.038,165.624,audio_features,0GoLyYd2KE7LjiYoRdaqQ1,spotify:track:0GoLyYd2KE7LjiYoRdaqQ1,https://api.spotify.com/v1/tracks/0GoLyYd2KE7LjiYoRdaqQ1,https://api.spotify.com/v1/audio-analysis/0GoLyYd2KE7LjiYoRdaqQ1,117852,3,"Kirinakijima - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:0GoLyYd2KE7LjiYoRdaqQ1,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
7,0.466,0.0895,3,-25.228,1,0.0418,0.994,0.104,0.69,0.0999,79.693,audio_features,3EeBI84Hzp3av2Prk3AKCr,spotify:track:3EeBI84Hzp3av2Prk3AKCr,https://api.spotify.com/v1/tracks/3EeBI84Hzp3av2Prk3AKCr,https://api.spotify.com/v1/audio-analysis/3EeBI84Hzp3av2Prk3AKCr,237789,4,"Sagu Palm's Song - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:3EeBI84Hzp3av2Prk3AKCr,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
8,0.303,0.367,5,-21.123,1,0.0344,0.944,0.944,0.104,0.5,104.922,audio_features,4yc1lmAOE00ca76Wlc2q7i,spotify:track:4yc1lmAOE00ca76Wlc2q7i,https://api.spotify.com/v1/tracks/4yc1lmAOE00ca76Wlc2q7i,https://api.spotify.com/v1/audio-analysis/4yc1lmAOE00ca76Wlc2q7i,118773,4,"chinuhaji - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:4yc1lmAOE00ca76Wlc2q7i,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
9,0.13,0.045,4,-24.74,0,0.0447,0.992,0.276,0.138,0.039,70.69,audio_features,0vlmMsStdAoVYlaEUbz3Mx,spotify:track:0vlmMsStdAoVYlaEUbz3Mx,https://api.spotify.com/v1/tracks/0vlmMsStdAoVYlaEUbz3Mx,https://api.spotify.com/v1/audio-analysis/0vlmMsStdAoVYlaEUbz3Mx,230873,5,"Red Silence - live at Bunkamura Orchard Hall, Tokyo, 2021",spotify:track:0vlmMsStdAoVYlaEUbz3Mx,Ichiko Aoba,6ignRjbPmLvKdtMLj9a5Xs
