,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.748,0.471,8,-10.806,0,0.0524,0.0364,0.835,0.195,0.0424,120.02,audio_features,1ATzaunzffz4B8Oujgl100,spotify:track:1ATzaunzffz4B8Oujgl100,https://api.spotify.com/v1/tracks/1ATzaunzffz4B8Oujgl100,https://api.spotify.com/v1/audio-analysis/1ATzaunzffz4B8Oujgl100,256000,4,It’s Your Season,spotify:track:1ATzaunzffz4B8Oujgl100,iSHi,6Dy7Ex5zlTLgXbsB92rPji
1,0.74,0.486,4,-6.086,0,0.052,0.00014,0.766,0.178,0.224,99.988,audio_features,54qwl8mJQ45SmIeYKp6jZp,spotify:track:54qwl8mJQ45SmIeYKp6jZp,https://api.spotify.com/v1/tracks/54qwl8mJQ45SmIeYKp6jZp,https://api.spotify.com/v1/audio-analysis/54qwl8mJQ45SmIeYKp6jZp,140400,4,Used To Know Me,spotify:track:54qwl8mJQ45SmIeYKp6jZp,iSHi,6Dy7Ex5zlTLgXbsB92rPji
2,0.722,0.448,1,-9.208,0,0.278,0.0189,0.519,0.126,0.228,170.145,audio_features,22pFXYT6eqZkmYegUj2Pyn,spotify:track:22pFXYT6eqZkmYegUj2Pyn,https://api.spotify.com/v1/tracks/22pFXYT6eqZkmYegUj2Pyn,https://api.spotify.com/v1/audio-analysis/22pFXYT6eqZkmYegUj2Pyn,70912,4,New Chance,spotify:track:22pFXYT6eqZkmYegUj2Pyn,iSHi,6Dy7Ex5zlTLgXbsB92rPji
3,0.477,0.73,6,-5.956,0,0.0827,0.0144,0.904,0.345,0.292,91.013,audio_features,7dtOVjNHrSN1alNhAy9kH7,spotify:track:7dtOVjNHrSN1alNhAy9kH7,https://api.spotify.com/v1/tracks/7dtOVjNHrSN1alNhAy9kH7,https://api.spotify.com/v1/audio-analysis/7dtOVjNHrSN1alNhAy9kH7,163516,4,Grace,spotify:track:7dtOVjNHrSN1alNhAy9kH7,iSHi,6Dy7Ex5zlTLgXbsB92rPji
4,0.275,0.709,2,-6.684,1,0.0614,0.035,0.279,0.089,0.265,87.356,audio_features,0r3VUST8mWtzmGB2CpNEq1,spotify:track:0r3VUST8mWtzmGB2CpNEq1,https://api.spotify.com/v1/tracks/0r3VUST8mWtzmGB2CpNEq1,https://api.spotify.com/v1/audio-analysis/0r3VUST8mWtzmGB2CpNEq1,78003,4,Miss Communicate,spotify:track:0r3VUST8mWtzmGB2CpNEq1,iSHi,6Dy7Ex5zlTLgXbsB92rPji
5,0.666,0.729,11,-9.438,0,0.0795,0.0396,0.757,0.152,0.0687,166.017,audio_features,0DMYJ8cbvhULI96mysxctz,spotify:track:0DMYJ8cbvhULI96mysxctz,https://api.spotify.com/v1/tracks/0DMYJ8cbvhULI96mysxctz,https://api.spotify.com/v1/audio-analysis/0DMYJ8cbvhULI96mysxctz,185060,4,Cold,spotify:track:0DMYJ8cbvhULI96mysxctz,iSHi,6Dy7Ex5zlTLgXbsB92rPji
6,0.747,0.53,9,-8.981,0,0.0522,0.261,0.917,0.103,0.101,94.945,audio_features,1uE7wythYRnzeeEZbE0CH0,spotify:track:1uE7wythYRnzeeEZbE0CH0,https://api.spotify.com/v1/tracks/1uE7wythYRnzeeEZbE0CH0,https://api.spotify.com/v1/audio-analysis/1uE7wythYRnzeeEZbE0CH0,206743,4,Right Now,spotify:track:1uE7wythYRnzeeEZbE0CH0,iSHi,6Dy7Ex5zlTLgXbsB92rPji
7,0.732,0.599,10,-7.983,0,0.0354,0.00108,0.726,0.105,0.405,140.004,audio_features,1BLdsNI5d8VBsXtKdKKU6e,spotify:track:1BLdsNI5d8VBsXtKdKKU6e,https://api.spotify.com/v1/tracks/1BLdsNI5d8VBsXtKdKKU6e,https://api.spotify.com/v1/audio-analysis/1BLdsNI5d8VBsXtKdKKU6e,236571,4,We Are,spotify:track:1BLdsNI5d8VBsXtKdKKU6e,iSHi,6Dy7Ex5zlTLgXbsB92rPji
8,0.448,0.369,5,-8.978,0,0.0544,0.055,0.724,0.102,0.18,138.543,audio_features,502qjqTw29deZzX25jwmUX,spotify:track:502qjqTw29deZzX25jwmUX,https://api.spotify.com/v1/tracks/502qjqTw29deZzX25jwmUX,https://api.spotify.com/v1/audio-analysis/502qjqTw29deZzX25jwmUX,92022,4,Smoke,spotify:track:502qjqTw29deZzX25jwmUX,iSHi,6Dy7Ex5zlTLgXbsB92rPji
9,0.666,0.131,9,-9.626,0,0.0314,0.97,0.593,0.108,0.681,127.97,audio_features,3qFLXgz5ScjoHqXyJ4xY8X,spotify:track:3qFLXgz5ScjoHqXyJ4xY8X,https://api.spotify.com/v1/tracks/3qFLXgz5ScjoHqXyJ4xY8X,https://api.spotify.com/v1/audio-analysis/3qFLXgz5ScjoHqXyJ4xY8X,86250,4,Greatness,spotify:track:3qFLXgz5ScjoHqXyJ4xY8X,iSHi,6Dy7Ex5zlTLgXbsB92rPji
