,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.454,0.789,3,-6.663,1,0.045,0.00914,0.0012,0.115,0.489,144.073,audio_features,3Xx8ZfeEcKDHbCKbpX2JA7,spotify:track:3Xx8ZfeEcKDHbCKbpX2JA7,https://api.spotify.com/v1/tracks/3Xx8ZfeEcKDHbCKbpX2JA7,https://api.spotify.com/v1/audio-analysis/3Xx8ZfeEcKDHbCKbpX2JA7,209756,4,Gold,spotify:track:3Xx8ZfeEcKDHbCKbpX2JA7,JAGUWAR,0izVMlMQvx03fhPNChpPNn
1,0.356,0.915,4,-5.974,1,0.083,0.00017,0.703,0.578,0.512,171.911,audio_features,5Dbmasjc4IUCnsswUKHCXe,spotify:track:5Dbmasjc4IUCnsswUKHCXe,https://api.spotify.com/v1/tracks/5Dbmasjc4IUCnsswUKHCXe,https://api.spotify.com/v1/audio-analysis/5Dbmasjc4IUCnsswUKHCXe,272333,4,Lunatic,spotify:track:5Dbmasjc4IUCnsswUKHCXe,JAGUWAR,0izVMlMQvx03fhPNChpPNn
2,0.406,0.804,8,-7.569,1,0.037,0.00316,0.571,0.533,0.685,156.228,audio_features,0jfthfgQGZhspBFBvJayaw,spotify:track:0jfthfgQGZhspBFBvJayaw,https://api.spotify.com/v1/tracks/0jfthfgQGZhspBFBvJayaw,https://api.spotify.com/v1/audio-analysis/0jfthfgQGZhspBFBvJayaw,307547,4,Skeleton Feet,spotify:track:0jfthfgQGZhspBFBvJayaw,JAGUWAR,0izVMlMQvx03fhPNChpPNn
3,0.397,0.883,9,-7.042,1,0.0538,8.62e-05,0.853,0.767,0.126,95.027,audio_features,6fo2NjylnJhRMFWOey3SEz,spotify:track:6fo2NjylnJhRMFWOey3SEz,https://api.spotify.com/v1/tracks/6fo2NjylnJhRMFWOey3SEz,https://api.spotify.com/v1/audio-analysis/6fo2NjylnJhRMFWOey3SEz,368987,4,Slow and Tiny,spotify:track:6fo2NjylnJhRMFWOey3SEz,JAGUWAR,0izVMlMQvx03fhPNChpPNn
4,0.439,0.651,3,-7.466,1,0.0273,0.039,0.654,0.457,0.239,92.074,audio_features,01e6bIanxjxUq1EKFujESV,spotify:track:01e6bIanxjxUq1EKFujESV,https://api.spotify.com/v1/tracks/01e6bIanxjxUq1EKFujESV,https://api.spotify.com/v1/audio-analysis/01e6bIanxjxUq1EKFujESV,342827,4,Gone,spotify:track:01e6bIanxjxUq1EKFujESV,JAGUWAR,0izVMlMQvx03fhPNChpPNn
5,0.38,0.779,1,-7.298,1,0.0389,0.00376,0.68,0.172,0.449,152.012,audio_features,2ZU4t3rHlwszZ63qwuYK4t,spotify:track:2ZU4t3rHlwszZ63qwuYK4t,https://api.spotify.com/v1/tracks/2ZU4t3rHlwszZ63qwuYK4t,https://api.spotify.com/v1/audio-analysis/2ZU4t3rHlwszZ63qwuYK4t,316733,4,Crystal,spotify:track:2ZU4t3rHlwszZ63qwuYK4t,JAGUWAR,0izVMlMQvx03fhPNChpPNn
6,0.324,0.848,8,-7.156,1,0.0624,5.26e-05,0.952,0.607,0.381,159.892,audio_features,6kUuIzutOpqJnwKx6ibbKW,spotify:track:6kUuIzutOpqJnwKx6ibbKW,https://api.spotify.com/v1/tracks/6kUuIzutOpqJnwKx6ibbKW,https://api.spotify.com/v1/audio-analysis/6kUuIzutOpqJnwKx6ibbKW,314707,4,Night Out,spotify:track:6kUuIzutOpqJnwKx6ibbKW,JAGUWAR,0izVMlMQvx03fhPNChpPNn
7,0.505,0.614,7,-7.683,0,0.0297,0.000868,0.46,0.322,0.194,128.047,audio_features,11zluYMzRVRI7YKCswbPh2,spotify:track:11zluYMzRVRI7YKCswbPh2,https://api.spotify.com/v1/tracks/11zluYMzRVRI7YKCswbPh2,https://api.spotify.com/v1/audio-analysis/11zluYMzRVRI7YKCswbPh2,307960,4,Whales,spotify:track:11zluYMzRVRI7YKCswbPh2,JAGUWAR,0izVMlMQvx03fhPNChpPNn
8,0.382,0.866,3,-7.601,1,0.0532,0.00114,0.831,0.42,0.286,153.925,audio_features,6G8xyp3mhItCYguNifDplW,spotify:track:6G8xyp3mhItCYguNifDplW,https://api.spotify.com/v1/tracks/6G8xyp3mhItCYguNifDplW,https://api.spotify.com/v1/audio-analysis/6G8xyp3mhItCYguNifDplW,366880,4,Away,spotify:track:6G8xyp3mhItCYguNifDplW,JAGUWAR,0izVMlMQvx03fhPNChpPNn
9,0.445,0.932,8,-5.608,1,0.0585,8.96e-05,0.513,0.644,0.187,129.994,audio_features,3FIgCnaMCoAqh7cNO4ohec,spotify:track:3FIgCnaMCoAqh7cNO4ohec,https://api.spotify.com/v1/tracks/3FIgCnaMCoAqh7cNO4ohec,https://api.spotify.com/v1/audio-analysis/3FIgCnaMCoAqh7cNO4ohec,280667,4,Week,spotify:track:3FIgCnaMCoAqh7cNO4ohec,JAGUWAR,0izVMlMQvx03fhPNChpPNn
10,0.108,0.303,1,-14.447,1,0.0371,0.498,0.936,0.112,0.0627,91.742,audio_features,03tTRktL4mALTbtE4jvaIH,spotify:track:03tTRktL4mALTbtE4jvaIH,https://api.spotify.com/v1/tracks/03tTRktL4mALTbtE4jvaIH,https://api.spotify.com/v1/audio-analysis/03tTRktL4mALTbtE4jvaIH,127213,4,End,spotify:track:03tTRktL4mALTbtE4jvaIH,JAGUWAR,0izVMlMQvx03fhPNChpPNn
11,0.451,0.965,1,-7.01,1,0.0615,0.144,0.0742,0.186,0.53,159.997,audio_features,7ENcLTD03FFrOxzE2mwqEy,spotify:track:7ENcLTD03FFrOxzE2mwqEy,https://api.spotify.com/v1/tracks/7ENcLTD03FFrOxzE2mwqEy,https://api.spotify.com/v1/audio-analysis/7ENcLTD03FFrOxzE2mwqEy,158386,4,Battles,spotify:track:7ENcLTD03FFrOxzE2mwqEy,JAGUWAR,0izVMlMQvx03fhPNChpPNn
12,0.454,0.789,3,-6.663,1,0.045,0.00914,0.0012,0.115,0.489,144.073,audio_features,2VnFpjVzWJo1tJIu3w3xwi,spotify:track:2VnFpjVzWJo1tJIu3w3xwi,https://api.spotify.com/v1/tracks/2VnFpjVzWJo1tJIu3w3xwi,https://api.spotify.com/v1/audio-analysis/2VnFpjVzWJo1tJIu3w3xwi,209756,4,Gold,spotify:track:2VnFpjVzWJo1tJIu3w3xwi,JAGUWAR,0izVMlMQvx03fhPNChpPNn
13,0.441,0.796,1,-9.184,1,0.0386,0.00688,0.0351,0.292,0.399,93.932,audio_features,7l9xyR32pGXAMyDjj23fg2,spotify:track:7l9xyR32pGXAMyDjj23fg2,https://api.spotify.com/v1/tracks/7l9xyR32pGXAMyDjj23fg2,https://api.spotify.com/v1/audio-analysis/7l9xyR32pGXAMyDjj23fg2,236000,4,Valley,spotify:track:7l9xyR32pGXAMyDjj23fg2,JAGUWAR,0izVMlMQvx03fhPNChpPNn
14,0.433,0.717,1,-7.76,1,0.0333,0.00649,0.749,0.091,0.718,152.044,audio_features,7gr1TwXiy0GesjV5zA7ZkN,spotify:track:7gr1TwXiy0GesjV5zA7ZkN,https://api.spotify.com/v1/tracks/7gr1TwXiy0GesjV5zA7ZkN,https://api.spotify.com/v1/audio-analysis/7gr1TwXiy0GesjV5zA7ZkN,230000,4,Crystal - Single Version,spotify:track:7gr1TwXiy0GesjV5zA7ZkN,JAGUWAR,0izVMlMQvx03fhPNChpPNn
15,0.208,0.443,8,-8.376,1,0.0432,0.000118,0.847,0.715,0.098,151.956,audio_features,1BvWP9z0a8ZxzBexP9DZFX,spotify:track:1BvWP9z0a8ZxzBexP9DZFX,https://api.spotify.com/v1/tracks/1BvWP9z0a8ZxzBexP9DZFX,https://api.spotify.com/v1/audio-analysis/1BvWP9z0a8ZxzBexP9DZFX,308361,4,Crystal - The Telescopes Remix,spotify:track:1BvWP9z0a8ZxzBexP9DZFX,JAGUWAR,0izVMlMQvx03fhPNChpPNn
16,0.38,0.779,1,-7.298,1,0.0389,0.00376,0.68,0.172,0.449,152.012,audio_features,3kF1CoBfWv44byesW5m4nc,spotify:track:3kF1CoBfWv44byesW5m4nc,https://api.spotify.com/v1/tracks/3kF1CoBfWv44byesW5m4nc,https://api.spotify.com/v1/audio-analysis/3kF1CoBfWv44byesW5m4nc,316733,4,Crystal,spotify:track:3kF1CoBfWv44byesW5m4nc,JAGUWAR,0izVMlMQvx03fhPNChpPNn
17,0.16,0.829,0,-6.464,0,0.0914,3.67e-05,0.8,0.733,0.0431,130.983,audio_features,510vRydXOfkAuQK3DtK3Fx,spotify:track:510vRydXOfkAuQK3DtK3Fx,https://api.spotify.com/v1/tracks/510vRydXOfkAuQK3DtK3Fx,https://api.spotify.com/v1/audio-analysis/510vRydXOfkAuQK3DtK3Fx,295253,4,Initiate Contact According to the Sound of Your Heart,spotify:track:510vRydXOfkAuQK3DtK3Fx,JAGUWAR,0izVMlMQvx03fhPNChpPNn
18,0.176,0.0192,5,-5.839,0,0.0487,1.84e-05,0.758,0.79,0.503,95.815,audio_features,4PEFZeDJowGjcxEbSEBLGX,spotify:track:4PEFZeDJowGjcxEbSEBLGX,https://api.spotify.com/v1/tracks/4PEFZeDJowGjcxEbSEBLGX,https://api.spotify.com/v1/audio-analysis/4PEFZeDJowGjcxEbSEBLGX,351520,4,Today,spotify:track:4PEFZeDJowGjcxEbSEBLGX,JAGUWAR,0izVMlMQvx03fhPNChpPNn
19,0.163,0.873,10,-8.513,0,0.103,0.00103,0.958,0.791,0.233,112.057,audio_features,6oF2w7yypOvyNLCDXn3hJ5,spotify:track:6oF2w7yypOvyNLCDXn3hJ5,https://api.spotify.com/v1/tracks/6oF2w7yypOvyNLCDXn3hJ5,https://api.spotify.com/v1/audio-analysis/6oF2w7yypOvyNLCDXn3hJ5,152240,4,Casun Casun,spotify:track:6oF2w7yypOvyNLCDXn3hJ5,JAGUWAR,0izVMlMQvx03fhPNChpPNn
20,0.234,0.496,3,-6.975,1,0.0763,1.28e-05,0.988,0.663,0.222,101.355,audio_features,3taQNAgQcemFr5rqLWisGg,spotify:track:3taQNAgQcemFr5rqLWisGg,https://api.spotify.com/v1/tracks/3taQNAgQcemFr5rqLWisGg,https://api.spotify.com/v1/audio-analysis/3taQNAgQcemFr5rqLWisGg,263027,4,Iwo Jima Island,spotify:track:3taQNAgQcemFr5rqLWisGg,JAGUWAR,0izVMlMQvx03fhPNChpPNn
21,0.224,0.744,8,-15.801,1,0.231,0.809,0.939,0.114,0.0393,118.185,audio_features,5LAs2eqGVAIq0G6Iodaqeh,spotify:track:5LAs2eqGVAIq0G6Iodaqeh,https://api.spotify.com/v1/tracks/5LAs2eqGVAIq0G6Iodaqeh,https://api.spotify.com/v1/audio-analysis/5LAs2eqGVAIq0G6Iodaqeh,134640,4,Navas Nightlight Tigers,spotify:track:5LAs2eqGVAIq0G6Iodaqeh,JAGUWAR,0izVMlMQvx03fhPNChpPNn
