,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.853,0.748,2,-6.218,1,0.049,0.0177,0.000137,0.0698,0.383,103.045,audio_features,6HAbPNraOVHwShFFtRVTik,spotify:track:6HAbPNraOVHwShFFtRVTik,https://api.spotify.com/v1/tracks/6HAbPNraOVHwShFFtRVTik,https://api.spotify.com/v1/audio-analysis/6HAbPNraOVHwShFFtRVTik,147241,4,DUMB DUMB,spotify:track:6HAbPNraOVHwShFFtRVTik,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
1,0.703,0.611,4,-6.376,1,0.0313,0.0705,0.0,0.133,0.527,144.991,audio_features,2ZMkjvuOQOD9HLplTDjbTA,spotify:track:2ZMkjvuOQOD9HLplTDjbTA,https://api.spotify.com/v1/tracks/2ZMkjvuOQOD9HLplTDjbTA,https://api.spotify.com/v1/audio-analysis/2ZMkjvuOQOD9HLplTDjbTA,207650,4,XOXO,spotify:track:2ZMkjvuOQOD9HLplTDjbTA,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
2,0.853,0.592,10,-6.323,0,0.067,0.0796,0.0,0.065,0.736,120.018,audio_features,0Teq2QVtNUn2lPsG1ZqmFT,spotify:track:0Teq2QVtNUn2lPsG1ZqmFT,https://api.spotify.com/v1/tracks/0Teq2QVtNUn2lPsG1ZqmFT,https://api.spotify.com/v1/audio-analysis/0Teq2QVtNUn2lPsG1ZqmFT,179396,4,Don’t Let Me Go (feat. GIRIBOY),spotify:track:0Teq2QVtNUn2lPsG1ZqmFT,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
3,0.731,0.549,6,-6.749,0,0.0329,0.0157,9.14e-06,0.083,0.45,137.932,audio_features,5ysBBGHvIGTqgQb5xdL3Lf,spotify:track:5ysBBGHvIGTqgQb5xdL3Lf,https://api.spotify.com/v1/tracks/5ysBBGHvIGTqgQb5xdL3Lf,https://api.spotify.com/v1/audio-analysis/5ysBBGHvIGTqgQb5xdL3Lf,197701,4,Anymore,spotify:track:5ysBBGHvIGTqgQb5xdL3Lf,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
4,0.741,0.599,9,-7.133,0,0.0946,0.101,0.0,0.099,0.566,91.983,audio_features,21obhV6hdu9pJEqC0jvNnO,spotify:track:21obhV6hdu9pJEqC0jvNnO,https://api.spotify.com/v1/tracks/21obhV6hdu9pJEqC0jvNnO,https://api.spotify.com/v1/audio-analysis/21obhV6hdu9pJEqC0jvNnO,182559,4,Watermelon,spotify:track:21obhV6hdu9pJEqC0jvNnO,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
5,0.678,0.827,7,-4.894,1,0.106,0.0103,1.39e-05,0.0372,0.556,179.972,audio_features,2vThhzagG4by8ybBs3Q08v,spotify:track:2vThhzagG4by8ybBs3Q08v,https://api.spotify.com/v1/tracks/2vThhzagG4by8ybBs3Q08v,https://api.spotify.com/v1/audio-analysis/2vThhzagG4by8ybBs3Q08v,185944,4,Birthday,spotify:track:2vThhzagG4by8ybBs3Q08v,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
6,0.779,0.656,8,-5.711,1,0.0641,0.0142,0.0,0.217,0.802,121.938,audio_features,26YSv4NFDACPUKGX5Aj079,spotify:track:26YSv4NFDACPUKGX5Aj079,https://api.spotify.com/v1/tracks/26YSv4NFDACPUKGX5Aj079,https://api.spotify.com/v1/audio-analysis/26YSv4NFDACPUKGX5Aj079,175375,4,What You Waiting For,spotify:track:26YSv4NFDACPUKGX5Aj079,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
7,0.537,0.506,3,-6.645,1,0.0869,0.353,0.0,0.422,0.554,130.012,audio_features,47K7si9sKri95IHuOz9HAA,spotify:track:47K7si9sKri95IHuOz9HAA,https://api.spotify.com/v1/tracks/47K7si9sKri95IHuOz9HAA,https://api.spotify.com/v1/audio-analysis/47K7si9sKri95IHuOz9HAA,188123,4,Outta My Head,spotify:track:47K7si9sKri95IHuOz9HAA,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
8,0.85,0.734,2,-6.415,1,0.0491,0.0221,0.000179,0.0728,0.406,103.027,audio_features,6dG2zPUOWXk3eMC7Hb3wh3,spotify:track:6dG2zPUOWXk3eMC7Hb3wh3,https://api.spotify.com/v1/tracks/6dG2zPUOWXk3eMC7Hb3wh3,https://api.spotify.com/v1/audio-analysis/6dG2zPUOWXk3eMC7Hb3wh3,149214,4,DUMB DUMB,spotify:track:6dG2zPUOWXk3eMC7Hb3wh3,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
9,0.765,0.688,8,-5.072,1,0.0731,0.0164,0.0,0.112,0.794,121.901,audio_features,5tXdUaMqWa15Rs2frNQMwX,spotify:track:5tXdUaMqWa15Rs2frNQMwX,https://api.spotify.com/v1/tracks/5tXdUaMqWa15Rs2frNQMwX,https://api.spotify.com/v1/audio-analysis/5tXdUaMqWa15Rs2frNQMwX,175327,4,What You Waiting For,spotify:track:5tXdUaMqWa15Rs2frNQMwX,JEON SOMI,7zYj9S9SdIunYCfSm7vzAR
