,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.602,0.937,4,-9.559,0,0.0431,0.864,0.862,0.101,0.411,126.992,audio_features,2hjCAtup4BZ4aDGyMyDR3G,spotify:track:2hjCAtup4BZ4aDGyMyDR3G,https://api.spotify.com/v1/tracks/2hjCAtup4BZ4aDGyMyDR3G,https://api.spotify.com/v1/audio-analysis/2hjCAtup4BZ4aDGyMyDR3G,238110,5,Alpha 7,spotify:track:2hjCAtup4BZ4aDGyMyDR3G,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
1,0.562,0.939,2,-10.043,0,0.0457,0.0319,0.709,0.112,0.0672,130.033,audio_features,4rjQjNJaKXpzI4rhh8TchQ,spotify:track:4rjQjNJaKXpzI4rhh8TchQ,https://api.spotify.com/v1/tracks/4rjQjNJaKXpzI4rhh8TchQ,https://api.spotify.com/v1/audio-analysis/4rjQjNJaKXpzI4rhh8TchQ,107077,4,The Tower Of Naphtali,spotify:track:4rjQjNJaKXpzI4rhh8TchQ,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
2,0.64,0.796,3,-5.669,1,0.0293,0.0153,0.51,0.0991,0.62,127.026,audio_features,0SoXs5jnhcc6kBG3vxpqMz,spotify:track:0SoXs5jnhcc6kBG3vxpqMz,https://api.spotify.com/v1/tracks/0SoXs5jnhcc6kBG3vxpqMz,https://api.spotify.com/v1/audio-analysis/0SoXs5jnhcc6kBG3vxpqMz,274016,4,Black Mesa (feat. Joan Lorring and Leslie Howard) - Joris Voorn Remix,spotify:track:0SoXs5jnhcc6kBG3vxpqMz,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
3,0.292,0.293,11,-11.023,1,0.0361,0.918,0.967,0.105,0.0695,94.93,audio_features,2Ifwl920HAt0ZWdtBiPtca,spotify:track:2Ifwl920HAt0ZWdtBiPtca,https://api.spotify.com/v1/tracks/2Ifwl920HAt0ZWdtBiPtca,https://api.spotify.com/v1/audio-analysis/2Ifwl920HAt0ZWdtBiPtca,98268,3,Midi Sans Frontières,spotify:track:2Ifwl920HAt0ZWdtBiPtca,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
4,0.25,0.827,8,-11.73,1,0.102,0.153,0.693,0.111,0.196,126.924,audio_features,4yejSvTjqY1QOkNsnwMySQ,spotify:track:4yejSvTjqY1QOkNsnwMySQ,https://api.spotify.com/v1/tracks/4yejSvTjqY1QOkNsnwMySQ,https://api.spotify.com/v1/audio-analysis/4yejSvTjqY1QOkNsnwMySQ,136063,4,GU43 Ambient Fill,spotify:track:4yejSvTjqY1QOkNsnwMySQ,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
5,0.68,0.672,5,-10.962,0,0.0338,0.0132,0.905,0.362,0.206,128.018,audio_features,6K7PyIcQXL4BM6r6zA6srB,spotify:track:6K7PyIcQXL4BM6r6zA6srB,https://api.spotify.com/v1/tracks/6K7PyIcQXL4BM6r6zA6srB,https://api.spotify.com/v1/audio-analysis/6K7PyIcQXL4BM6r6zA6srB,330000,4,Kassandria,spotify:track:6K7PyIcQXL4BM6r6zA6srB,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
6,0.598,0.629,3,-10.17,0,0.0304,0.249,0.845,0.104,0.0526,126.969,audio_features,3KBLYcu46MNpmZt7TA1qgc,spotify:track:3KBLYcu46MNpmZt7TA1qgc,https://api.spotify.com/v1/tracks/3KBLYcu46MNpmZt7TA1qgc,https://api.spotify.com/v1/audio-analysis/3KBLYcu46MNpmZt7TA1qgc,248929,4,Open Door - Joris Voorn Edit,spotify:track:3KBLYcu46MNpmZt7TA1qgc,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
7,0.533,0.539,2,-12.232,1,0.0443,0.92,0.922,0.106,0.159,170.758,audio_features,7ogIawEBanxLRkzYV5sHZh,spotify:track:7ogIawEBanxLRkzYV5sHZh,https://api.spotify.com/v1/tracks/7ogIawEBanxLRkzYV5sHZh,https://api.spotify.com/v1/audio-analysis/7ogIawEBanxLRkzYV5sHZh,166875,4,Acid Flow,spotify:track:7ogIawEBanxLRkzYV5sHZh,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
8,0.694,0.661,9,-10.728,0,0.0536,0.000141,0.897,0.0738,0.177,128.008,audio_features,4CQ0JgGryaOvGQPP9P3D46,spotify:track:4CQ0JgGryaOvGQPP9P3D46,https://api.spotify.com/v1/tracks/4CQ0JgGryaOvGQPP9P3D46,https://api.spotify.com/v1/audio-analysis/4CQ0JgGryaOvGQPP9P3D46,398063,4,Nea Skioni,spotify:track:4CQ0JgGryaOvGQPP9P3D46,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
9,0.107,0.49,2,-11.178,1,0.0383,0.0477,0.315,0.123,0.0322,166.639,audio_features,1gHaRONecG48igbNLL9xVj,spotify:track:1gHaRONecG48igbNLL9xVj,https://api.spotify.com/v1/tracks/1gHaRONecG48igbNLL9xVj,https://api.spotify.com/v1/audio-analysis/1gHaRONecG48igbNLL9xVj,291596,3,Auto Drone 1,spotify:track:1gHaRONecG48igbNLL9xVj,Joris Voorn,4jGpKAmwvU263l0tUh4xKU
