,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.726,0.556,7,-8.481,1,0.206,0.0754,1.42e-05,0.392,0.664,89.034,audio_features,3j4dwWOInrwggtANnxD1qj,spotify:track:3j4dwWOInrwggtANnxD1qj,https://api.spotify.com/v1/tracks/3j4dwWOInrwggtANnxD1qj,https://api.spotify.com/v1/audio-analysis/3j4dwWOInrwggtANnxD1qj,113287,4,Rendezvous,spotify:track:3j4dwWOInrwggtANnxD1qj,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
1,0.731,0.556,1,-8.426,0,0.303,0.00403,0.0,0.566,0.372,156.181,audio_features,0te6ABUMnSKdNGWCp5dfeU,spotify:track:0te6ABUMnSKdNGWCp5dfeU,https://api.spotify.com/v1/tracks/0te6ABUMnSKdNGWCp5dfeU,https://api.spotify.com/v1/audio-analysis/0te6ABUMnSKdNGWCp5dfeU,123447,4,Face Of My City (feat. Lil Baby),spotify:track:0te6ABUMnSKdNGWCp5dfeU,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
2,0.732,0.587,6,-7.61,0,0.249,0.0131,0.000753,0.148,0.183,97.412,audio_features,2RYARqc8RoQM7994fdeOnp,spotify:track:2RYARqc8RoQM7994fdeOnp,https://api.spotify.com/v1/tracks/2RYARqc8RoQM7994fdeOnp,https://api.spotify.com/v1/audio-analysis/2RYARqc8RoQM7994fdeOnp,214000,4,21C/Delta,spotify:track:2RYARqc8RoQM7994fdeOnp,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
3,0.86,0.73,6,-8.987,0,0.373,0.444,0.0,0.111,0.446,107.988,audio_features,63w9jCxv7V7wfsxFc20ft1,spotify:track:63w9jCxv7V7wfsxFc20ft1,https://api.spotify.com/v1/tracks/63w9jCxv7V7wfsxFc20ft1,https://api.spotify.com/v1/audio-analysis/63w9jCxv7V7wfsxFc20ft1,154062,5,Funny Seeing You Here,spotify:track:63w9jCxv7V7wfsxFc20ft1,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
4,0.949,0.584,11,-8.388,0,0.069,0.112,0.0,0.103,0.926,108.033,audio_features,53tSRqnmFG9YlnWFfEFAyf,spotify:track:53tSRqnmFG9YlnWFfEFAyf,https://api.spotify.com/v1/tracks/53tSRqnmFG9YlnWFfEFAyf,https://api.spotify.com/v1/audio-analysis/53tSRqnmFG9YlnWFfEFAyf,168906,4,Way Out (feat. Big Sean),spotify:track:53tSRqnmFG9YlnWFfEFAyf,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
5,0.877,0.58,10,-7.198,0,0.0795,0.0901,0.0,0.108,0.856,103.006,audio_features,38M1EA5L7Hulse9hLcwll8,spotify:track:38M1EA5L7Hulse9hLcwll8,https://api.spotify.com/v1/tracks/38M1EA5L7Hulse9hLcwll8,https://api.spotify.com/v1/audio-analysis/38M1EA5L7Hulse9hLcwll8,197031,4,Already Best Friends (feat. Chris Brown),spotify:track:38M1EA5L7Hulse9hLcwll8,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
6,0.663,0.645,3,-7.37,0,0.248,0.538,6.84e-05,0.214,0.587,71.968,audio_features,2F2kUgogrwSMjenvkFcNSu,spotify:track:2F2kUgogrwSMjenvkFcNSu,https://api.spotify.com/v1/tracks/2F2kUgogrwSMjenvkFcNSu,https://api.spotify.com/v1/audio-analysis/2F2kUgogrwSMjenvkFcNSu,203500,4,Keep It Light,spotify:track:2F2kUgogrwSMjenvkFcNSu,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
7,0.861,0.482,11,-8.591,0,0.222,0.262,9.68e-05,0.14,0.603,92.057,audio_features,0Dglw90unXXd3lI5W5Dnex,spotify:track:0Dglw90unXXd3lI5W5Dnex,https://api.spotify.com/v1/tracks/0Dglw90unXXd3lI5W5Dnex,https://api.spotify.com/v1/audio-analysis/0Dglw90unXXd3lI5W5Dnex,156531,4,Creme,spotify:track:0Dglw90unXXd3lI5W5Dnex,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
8,0.791,0.586,1,-6.343,1,0.147,0.181,0.0,0.105,0.643,93.505,audio_features,2pgjVhfuuiCksjkzjru0n6,spotify:track:2pgjVhfuuiCksjkzjru0n6,https://api.spotify.com/v1/tracks/2pgjVhfuuiCksjkzjru0n6,https://api.spotify.com/v1/audio-analysis/2pgjVhfuuiCksjkzjru0n6,164031,4,Same Guy (feat. Adam Levine),spotify:track:2pgjVhfuuiCksjkzjru0n6,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
9,0.91,0.45,6,-10.224,0,0.156,0.0339,0.0,0.0825,0.494,144.085,audio_features,5Jo8LSbILqPlYJPo7wO2wS,spotify:track:5Jo8LSbILqPlYJPo7wO2wS,https://api.spotify.com/v1/tracks/5Jo8LSbILqPlYJPo7wO2wS,https://api.spotify.com/v1/audio-analysis/5Jo8LSbILqPlYJPo7wO2wS,153360,4,Route 66 (feat. EST Gee),spotify:track:5Jo8LSbILqPlYJPo7wO2wS,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
10,0.788,0.789,5,-6.172,0,0.0916,0.0889,0.0,0.234,0.802,123.081,audio_features,0oIV3G50eNVzeSpeI5rtm7,spotify:track:0oIV3G50eNVzeSpeI5rtm7,https://api.spotify.com/v1/tracks/0oIV3G50eNVzeSpeI5rtm7,https://api.spotify.com/v1/audio-analysis/0oIV3G50eNVzeSpeI5rtm7,156578,4,Tyler Herro,spotify:track:0oIV3G50eNVzeSpeI5rtm7,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
11,0.731,0.51,6,-8.914,0,0.0539,0.03,0.0,0.302,0.601,76.215,audio_features,08kz9zYcukuZ8RKnQyKSnS,spotify:track:08kz9zYcukuZ8RKnQyKSnS,https://api.spotify.com/v1/tracks/08kz9zYcukuZ8RKnQyKSnS,https://api.spotify.com/v1/audio-analysis/08kz9zYcukuZ8RKnQyKSnS,177190,4,Luv Is Dro (feat. Static Major & Bryson Tiller),spotify:track:08kz9zYcukuZ8RKnQyKSnS,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
12,0.921,0.598,11,-6.774,0,0.245,0.0174,0.0,0.25,0.79,144.972,audio_features,0jhHGr5lc6mZGgWXwwdkmd,spotify:track:0jhHGr5lc6mZGgWXwwdkmd,https://api.spotify.com/v1/tracks/0jhHGr5lc6mZGgWXwwdkmd,https://api.spotify.com/v1/audio-analysis/0jhHGr5lc6mZGgWXwwdkmd,139741,4,Whats Poppin,spotify:track:0jhHGr5lc6mZGgWXwwdkmd,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
13,0.749,0.675,5,-8.758,0,0.364,0.144,0.0,0.107,0.682,93.45,audio_features,3AfGUmuUCVbdeIApA1ao9P,spotify:track:3AfGUmuUCVbdeIApA1ao9P,https://api.spotify.com/v1/tracks/3AfGUmuUCVbdeIApA1ao9P,https://api.spotify.com/v1/audio-analysis/3AfGUmuUCVbdeIApA1ao9P,207797,4,Baxter Avenue,spotify:track:3AfGUmuUCVbdeIApA1ao9P,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
14,0.904,0.73,2,-5.273,1,0.282,0.0517,0.0,0.209,0.828,145.08,audio_features,1EhJ3rFZE9hAc2vu9Z2hgL,spotify:track:1EhJ3rFZE9hAc2vu9Z2hgL,https://api.spotify.com/v1/tracks/1EhJ3rFZE9hAc2vu9Z2hgL,https://api.spotify.com/v1/audio-analysis/1EhJ3rFZE9hAc2vu9Z2hgL,227478,4,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",spotify:track:1EhJ3rFZE9hAc2vu9Z2hgL,Jack Harlow,2LIk90788K0zvyj2JJVwkJ
