,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.592,0.659,10,-7.256,0,0.0411,0.337,0.000918,0.0977,0.454,148.956,audio_features,5MEyRZXM2PHQbh9LRN6Dhw,spotify:track:5MEyRZXM2PHQbh9LRN6Dhw,https://api.spotify.com/v1/tracks/5MEyRZXM2PHQbh9LRN6Dhw,https://api.spotify.com/v1/audio-analysis/5MEyRZXM2PHQbh9LRN6Dhw,117987,4,Creep,spotify:track:5MEyRZXM2PHQbh9LRN6Dhw,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
1,0.749,0.823,11,-4.591,0,0.0326,0.0197,0.0,0.0736,0.643,125.009,audio_features,3GN4qe6CrarjGTZU2DdpEe,spotify:track:3GN4qe6CrarjGTZU2DdpEe,https://api.spotify.com/v1/tracks/3GN4qe6CrarjGTZU2DdpEe,https://api.spotify.com/v1/audio-analysis/3GN4qe6CrarjGTZU2DdpEe,158400,4,Liar,spotify:track:3GN4qe6CrarjGTZU2DdpEe,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
2,0.911,0.31,11,-10.807,0,0.0764,0.289,0.00298,0.109,0.86,114.01,audio_features,2v8sobNLXAfTpDZODXd443,spotify:track:2v8sobNLXAfTpDZODXd443,https://api.spotify.com/v1/tracks/2v8sobNLXAfTpDZODXd443,https://api.spotify.com/v1/audio-analysis/2v8sobNLXAfTpDZODXd443,128421,4,Killer,spotify:track:2v8sobNLXAfTpDZODXd443,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
3,0.792,0.496,1,-7.053,1,0.0814,0.0659,0.0,0.394,0.431,87.987,audio_features,6D0s2ohAXF64Gpsl64QUYn,spotify:track:6D0s2ohAXF64Gpsl64QUYn,https://api.spotify.com/v1/tracks/6D0s2ohAXF64Gpsl64QUYn,https://api.spotify.com/v1/audio-analysis/6D0s2ohAXF64Gpsl64QUYn,160909,4,Patient,spotify:track:6D0s2ohAXF64Gpsl64QUYn,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
4,0.696,0.323,1,-9.253,0,0.0946,0.321,6.98e-05,0.0755,0.571,204.064,audio_features,1Js9HpOZ9i2b4qsA0iY6lL,spotify:track:1Js9HpOZ9i2b4qsA0iY6lL,https://api.spotify.com/v1/tracks/1Js9HpOZ9i2b4qsA0iY6lL,https://api.spotify.com/v1/audio-analysis/1Js9HpOZ9i2b4qsA0iY6lL,214118,4,The Show,spotify:track:1Js9HpOZ9i2b4qsA0iY6lL,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
5,0.745,0.62,7,-8.64,0,0.0833,0.158,6.09e-05,0.509,0.704,99.937,audio_features,3GSYyAVsbjxkLxD0zs3ptN,spotify:track:3GSYyAVsbjxkLxD0zs3ptN,https://api.spotify.com/v1/tracks/3GSYyAVsbjxkLxD0zs3ptN,https://api.spotify.com/v1/audio-analysis/3GSYyAVsbjxkLxD0zs3ptN,139200,4,Outta My Head,spotify:track:3GSYyAVsbjxkLxD0zs3ptN,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
6,0.649,0.347,2,-12.567,1,0.138,0.695,0.000386,0.118,0.742,185.954,audio_features,1YjnbWhfhF0xIUTE6HqehG,spotify:track:1YjnbWhfhF0xIUTE6HqehG,https://api.spotify.com/v1/tracks/1YjnbWhfhF0xIUTE6HqehG,https://api.spotify.com/v1/audio-analysis/1YjnbWhfhF0xIUTE6HqehG,189677,3,Pinky Promise,spotify:track:1YjnbWhfhF0xIUTE6HqehG,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
7,0.894,0.27,0,-10.792,1,0.172,0.518,3.26e-06,0.27,0.669,119.965,audio_features,2XuKSBnk8QOCFnS7nK3IBY,spotify:track:2XuKSBnk8QOCFnS7nK3IBY,https://api.spotify.com/v1/tracks/2XuKSBnk8QOCFnS7nK3IBY,https://api.spotify.com/v1/audio-analysis/2XuKSBnk8QOCFnS7nK3IBY,150000,4,What's Love,spotify:track:2XuKSBnk8QOCFnS7nK3IBY,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
8,0.848,0.34,0,-8.771,0,0.103,0.775,0.00284,0.204,0.322,140.045,audio_features,01jTHzJ2nDJJS6nbqcmiNN,spotify:track:01jTHzJ2nDJJS6nbqcmiNN,https://api.spotify.com/v1/tracks/01jTHzJ2nDJJS6nbqcmiNN,https://api.spotify.com/v1/audio-analysis/01jTHzJ2nDJJS6nbqcmiNN,154286,4,Two Face,spotify:track:01jTHzJ2nDJJS6nbqcmiNN,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
9,0.926,0.397,11,-13.053,1,0.181,0.356,0.0132,0.0826,0.411,100.02,audio_features,6zDC0HfeNdue7LRQ4dtou3,spotify:track:6zDC0HfeNdue7LRQ4dtou3,https://api.spotify.com/v1/tracks/6zDC0HfeNdue7LRQ4dtou3,https://api.spotify.com/v1/audio-analysis/6zDC0HfeNdue7LRQ4dtou3,136800,4,Runaway,spotify:track:6zDC0HfeNdue7LRQ4dtou3,Jake Daniels,3AYZMgvmzNKc3cGmJUSITh
