,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.634,0.808,3,-4.12,1,0.0517,0.192,0.0,0.0898,0.937,82.016,audio_features,5g0XcG0apQTlO3X8r38vGf,spotify:track:5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/tracks/5g0XcG0apQTlO3X8r38vGf,https://api.spotify.com/v1/audio-analysis/5g0XcG0apQTlO3X8r38vGf,186867,4,Down To The Honkytonk,spotify:track:5g0XcG0apQTlO3X8r38vGf,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
1,0.578,0.956,0,-3.714,1,0.0606,0.338,0.00511,0.11,0.856,87.995,audio_features,6rpdu5YXg8uxsISJ31zhOd,spotify:track:6rpdu5YXg8uxsISJ31zhOd,https://api.spotify.com/v1/tracks/6rpdu5YXg8uxsISJ31zhOd,https://api.spotify.com/v1/audio-analysis/6rpdu5YXg8uxsISJ31zhOd,221667,4,Ain't Here To Talk,spotify:track:6rpdu5YXg8uxsISJ31zhOd,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
2,0.592,0.826,3,-4.768,1,0.0567,0.109,7.02e-06,0.115,0.848,150.055,audio_features,70UhJghVnHYXUxguAnETes,spotify:track:70UhJghVnHYXUxguAnETes,https://api.spotify.com/v1/tracks/70UhJghVnHYXUxguAnETes,https://api.spotify.com/v1/audio-analysis/70UhJghVnHYXUxguAnETes,170840,4,Catch A Cold One,spotify:track:70UhJghVnHYXUxguAnETes,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
3,0.604,0.868,6,-3.539,1,0.0445,0.086,0.0,0.0502,0.553,94.057,audio_features,3dlCF1mzW1UKMOb4b1XN17,spotify:track:3dlCF1mzW1UKMOb4b1XN17,https://api.spotify.com/v1/tracks/3dlCF1mzW1UKMOb4b1XN17,https://api.spotify.com/v1/audio-analysis/3dlCF1mzW1UKMOb4b1XN17,187027,4,I Was Jack (You Were Diane),spotify:track:3dlCF1mzW1UKMOb4b1XN17,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
4,0.48,0.851,10,-3.98,1,0.0758,0.376,0.0,0.109,0.881,157.999,audio_features,1S4zg0dP5HdZkOtqrDk3yg,spotify:track:1S4zg0dP5HdZkOtqrDk3yg,https://api.spotify.com/v1/tracks/1S4zg0dP5HdZkOtqrDk3yg,https://api.spotify.com/v1/audio-analysis/1S4zg0dP5HdZkOtqrDk3yg,188360,4,Grass Is Always Greener,spotify:track:1S4zg0dP5HdZkOtqrDk3yg,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
5,0.51,0.838,6,-2.702,1,0.0469,0.396,0.0,0.195,0.574,145.922,audio_features,31JID2STTlLuFqXFWHyM8e,spotify:track:31JID2STTlLuFqXFWHyM8e,https://api.spotify.com/v1/tracks/31JID2STTlLuFqXFWHyM8e,https://api.spotify.com/v1/audio-analysis/31JID2STTlLuFqXFWHyM8e,192653,4,Homemade,spotify:track:31JID2STTlLuFqXFWHyM8e,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
6,0.57,0.901,3,-4.965,1,0.0531,0.138,0.0,0.111,0.951,165.99,audio_features,3ZFIxdRcSj6z1jcg7elDIb,spotify:track:3ZFIxdRcSj6z1jcg7elDIb,https://api.spotify.com/v1/tracks/3ZFIxdRcSj6z1jcg7elDIb,https://api.spotify.com/v1/audio-analysis/3ZFIxdRcSj6z1jcg7elDIb,179187,4,Drink All Day,spotify:track:3ZFIxdRcSj6z1jcg7elDIb,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
7,0.659,0.695,2,-4.491,1,0.0293,0.603,4.62e-05,0.21,0.575,89.999,audio_features,3N8XRxE5VZiwaD43ncpRTl,spotify:track:3N8XRxE5VZiwaD43ncpRTl,https://api.spotify.com/v1/tracks/3N8XRxE5VZiwaD43ncpRTl,https://api.spotify.com/v1/audio-analysis/3N8XRxE5VZiwaD43ncpRTl,175213,4,That's On Me,spotify:track:3N8XRxE5VZiwaD43ncpRTl,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
8,0.66,0.708,3,-5.63,1,0.0387,0.629,0.0,0.229,0.885,140.041,audio_features,2eQYv5UJAjtXraIVzy2ZH7,spotify:track:2eQYv5UJAjtXraIVzy2ZH7,https://api.spotify.com/v1/tracks/2eQYv5UJAjtXraIVzy2ZH7,https://api.spotify.com/v1/audio-analysis/2eQYv5UJAjtXraIVzy2ZH7,180053,4,Señorita,spotify:track:2eQYv5UJAjtXraIVzy2ZH7,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
9,0.602,0.582,2,-7.315,1,0.029,0.752,2.6e-05,0.0794,0.389,109.992,audio_features,7yWZMRVD9g94LC4gnaw9zg,spotify:track:7yWZMRVD9g94LC4gnaw9zg,https://api.spotify.com/v1/tracks/7yWZMRVD9g94LC4gnaw9zg,https://api.spotify.com/v1/audio-analysis/7yWZMRVD9g94LC4gnaw9zg,189227,4,In It,spotify:track:7yWZMRVD9g94LC4gnaw9zg,Jake Owen,1n2pb9Tsfe4SwAjmUac6YT
