,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.606,0.192,5,-12.579,0,0.0371,0.959,0.272,0.118,0.0399,75.551,audio_features,1Nh0Dqi3TqoCibKTcZgLqm,spotify:track:1Nh0Dqi3TqoCibKTcZgLqm,https://api.spotify.com/v1/tracks/1Nh0Dqi3TqoCibKTcZgLqm,https://api.spotify.com/v1/audio-analysis/1Nh0Dqi3TqoCibKTcZgLqm,256156,4,Famous Last Words,spotify:track:1Nh0Dqi3TqoCibKTcZgLqm,James Blake,53KwLdlmrlCelAZMaLVZqU
1,0.633,0.436,6,-9.872,1,0.0519,0.902,0.00966,0.0949,0.206,143.95,audio_features,2g8pYx1gMD98mgCOLOXFtb,spotify:track:2g8pYx1gMD98mgCOLOXFtb,https://api.spotify.com/v1/tracks/2g8pYx1gMD98mgCOLOXFtb,https://api.spotify.com/v1/audio-analysis/2g8pYx1gMD98mgCOLOXFtb,199639,4,Life Is Not The Same,spotify:track:2g8pYx1gMD98mgCOLOXFtb,James Blake,53KwLdlmrlCelAZMaLVZqU
2,0.545,0.496,10,-7.262,0,0.146,0.627,0.262,0.154,0.114,172.017,audio_features,4rqtfDXtY3RwxB9Z9BaPMq,spotify:track:4rqtfDXtY3RwxB9Z9BaPMq,https://api.spotify.com/v1/tracks/4rqtfDXtY3RwxB9Z9BaPMq,https://api.spotify.com/v1/audio-analysis/4rqtfDXtY3RwxB9Z9BaPMq,195905,4,Coming Back (feat. SZA),spotify:track:4rqtfDXtY3RwxB9Z9BaPMq,James Blake,53KwLdlmrlCelAZMaLVZqU
3,0.472,0.146,1,-12.88,1,0.0421,0.942,0.00717,0.111,0.102,131.809,audio_features,4jmeWtMM5hB3Ap7FAkjkMJ,spotify:track:4jmeWtMM5hB3Ap7FAkjkMJ,https://api.spotify.com/v1/tracks/4jmeWtMM5hB3Ap7FAkjkMJ,https://api.spotify.com/v1/audio-analysis/4jmeWtMM5hB3Ap7FAkjkMJ,155983,4,Funeral,spotify:track:4jmeWtMM5hB3Ap7FAkjkMJ,James Blake,53KwLdlmrlCelAZMaLVZqU
4,0.761,0.494,7,-9.323,0,0.207,0.638,5.35e-05,0.102,0.23,100.031,audio_features,5OebgAoB5IfSuVohoApQSs,spotify:track:5OebgAoB5IfSuVohoApQSs,https://api.spotify.com/v1/tracks/5OebgAoB5IfSuVohoApQSs,https://api.spotify.com/v1/audio-analysis/5OebgAoB5IfSuVohoApQSs,236378,4,Frozen (feat. JID & SwaVay),spotify:track:5OebgAoB5IfSuVohoApQSs,James Blake,53KwLdlmrlCelAZMaLVZqU
5,0.684,0.346,0,-12.809,1,0.041,0.744,0.499,0.0793,0.503,119.993,audio_features,2xF1vu3SuCiM1JWaRO9OND,spotify:track:2xF1vu3SuCiM1JWaRO9OND,https://api.spotify.com/v1/tracks/2xF1vu3SuCiM1JWaRO9OND,https://api.spotify.com/v1/audio-analysis/2xF1vu3SuCiM1JWaRO9OND,195144,4,I'm So Blessed You're Mine,spotify:track:2xF1vu3SuCiM1JWaRO9OND,James Blake,53KwLdlmrlCelAZMaLVZqU
6,0.69,0.61,6,-8.701,1,0.0381,0.619,0.00829,0.283,0.314,133.125,audio_features,5CyCTuESzEGgzLbSb48SAm,spotify:track:5CyCTuESzEGgzLbSb48SAm,https://api.spotify.com/v1/tracks/5CyCTuESzEGgzLbSb48SAm,https://api.spotify.com/v1/audio-analysis/5CyCTuESzEGgzLbSb48SAm,153238,4,Foot Forward,spotify:track:5CyCTuESzEGgzLbSb48SAm,James Blake,53KwLdlmrlCelAZMaLVZqU
7,0.371,0.25,5,-11.404,1,0.0279,0.936,0.00286,0.0856,0.04,100.066,audio_features,7wv1T9ft6WE1ARSjcVSAz7,spotify:track:7wv1T9ft6WE1ARSjcVSAz7,https://api.spotify.com/v1/tracks/7wv1T9ft6WE1ARSjcVSAz7,https://api.spotify.com/v1/audio-analysis/7wv1T9ft6WE1ARSjcVSAz7,218003,4,Show Me (feat. Monica Martin),spotify:track:7wv1T9ft6WE1ARSjcVSAz7,James Blake,53KwLdlmrlCelAZMaLVZqU
8,0.501,0.361,1,-10.633,1,0.036,0.964,0.00584,0.177,0.241,78.154,audio_features,472v41hTBVxEIBnP5hcDNi,spotify:track:472v41hTBVxEIBnP5hcDNi,https://api.spotify.com/v1/tracks/472v41hTBVxEIBnP5hcDNi,https://api.spotify.com/v1/audio-analysis/472v41hTBVxEIBnP5hcDNi,280994,4,Say What You Will,spotify:track:472v41hTBVxEIBnP5hcDNi,James Blake,53KwLdlmrlCelAZMaLVZqU
9,0.436,0.341,7,-10.479,1,0.0346,0.888,0.00355,0.0914,0.0912,129.582,audio_features,1zszkLoEul1Eye3abiVFqi,spotify:track:1zszkLoEul1Eye3abiVFqi,https://api.spotify.com/v1/tracks/1zszkLoEul1Eye3abiVFqi,https://api.spotify.com/v1/audio-analysis/1zszkLoEul1Eye3abiVFqi,239498,4,Lost Angel Nights,spotify:track:1zszkLoEul1Eye3abiVFqi,James Blake,53KwLdlmrlCelAZMaLVZqU
10,0.569,0.189,4,-13.139,0,0.0366,0.912,0.00444,0.107,0.144,75.976,audio_features,3DcrwzStCYtMPkHUREZj8c,spotify:track:3DcrwzStCYtMPkHUREZj8c,https://api.spotify.com/v1/tracks/3DcrwzStCYtMPkHUREZj8c,https://api.spotify.com/v1/audio-analysis/3DcrwzStCYtMPkHUREZj8c,201712,4,Friends That Break Your Heart,spotify:track:3DcrwzStCYtMPkHUREZj8c,James Blake,53KwLdlmrlCelAZMaLVZqU
11,0.486,0.432,9,-8.461,1,0.0389,0.894,0.469,0.109,0.109,64.98,audio_features,1eZ22qtQVlszkCW1aVen5S,spotify:track:1eZ22qtQVlszkCW1aVen5S,https://api.spotify.com/v1/tracks/1eZ22qtQVlszkCW1aVen5S,https://api.spotify.com/v1/audio-analysis/1eZ22qtQVlszkCW1aVen5S,295800,4,If I'm Insecure,spotify:track:1eZ22qtQVlszkCW1aVen5S,James Blake,53KwLdlmrlCelAZMaLVZqU
