,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.596,0.902,2,-8.227,1,0.0325,0.502,0.882,0.159,0.0433,115.024,audio_features,1ivY5RQchO9BNAzQklJWR0,spotify:track:1ivY5RQchO9BNAzQklJWR0,https://api.spotify.com/v1/tracks/1ivY5RQchO9BNAzQklJWR0,https://api.spotify.com/v1/audio-analysis/1ivY5RQchO9BNAzQklJWR0,131478,3,Leyenda,spotify:track:1ivY5RQchO9BNAzQklJWR0,James Hurr,2g9i2kA0jUr6sfAT28l2vL
1,0.617,0.923,5,-3.354,0,0.0332,0.0772,8.32e-05,0.0798,0.672,123.99,audio_features,16NKXTDc1xtrzzBD9mGgJA,spotify:track:16NKXTDc1xtrzzBD9mGgJA,https://api.spotify.com/v1/tracks/16NKXTDc1xtrzzBD9mGgJA,https://api.spotify.com/v1/audio-analysis/16NKXTDc1xtrzzBD9mGgJA,182419,4,Don’t Fade Away,spotify:track:16NKXTDc1xtrzzBD9mGgJA,James Hurr,2g9i2kA0jUr6sfAT28l2vL
2,0.728,0.924,5,-4.741,0,0.0524,0.0154,0.0235,0.0686,0.901,123.989,audio_features,7nH5LxTvRVC8lUihdVH9iQ,spotify:track:7nH5LxTvRVC8lUihdVH9iQ,https://api.spotify.com/v1/tracks/7nH5LxTvRVC8lUihdVH9iQ,https://api.spotify.com/v1/audio-analysis/7nH5LxTvRVC8lUihdVH9iQ,375968,4,Don’t Fade Away - Extended Mix,spotify:track:7nH5LxTvRVC8lUihdVH9iQ,James Hurr,2g9i2kA0jUr6sfAT28l2vL
3,0.657,0.872,3,-4.52,0,0.174,0.00834,2.62e-06,0.373,0.733,123.918,audio_features,0ezJfSE6ZzxGbklIO8qvl7,spotify:track:0ezJfSE6ZzxGbklIO8qvl7,https://api.spotify.com/v1/tracks/0ezJfSE6ZzxGbklIO8qvl7,https://api.spotify.com/v1/audio-analysis/0ezJfSE6ZzxGbklIO8qvl7,174296,4,Bodyswerve,spotify:track:0ezJfSE6ZzxGbklIO8qvl7,James Hurr,2g9i2kA0jUr6sfAT28l2vL
4,0.545,0.963,1,-4.006,0,0.316,0.00557,0.00214,0.767,0.533,125.113,audio_features,7nINnmj9Edo51fhijxLnHQ,spotify:track:7nINnmj9Edo51fhijxLnHQ,https://api.spotify.com/v1/tracks/7nINnmj9Edo51fhijxLnHQ,https://api.spotify.com/v1/audio-analysis/7nINnmj9Edo51fhijxLnHQ,157920,4,The Revival,spotify:track:7nINnmj9Edo51fhijxLnHQ,James Hurr,2g9i2kA0jUr6sfAT28l2vL
5,0.799,0.871,6,-5.272,0,0.12,0.000192,0.141,0.369,0.416,125.01,audio_features,74VPFxl4DaU8dHs1hUeQmW,spotify:track:74VPFxl4DaU8dHs1hUeQmW,https://api.spotify.com/v1/tracks/74VPFxl4DaU8dHs1hUeQmW,https://api.spotify.com/v1/audio-analysis/74VPFxl4DaU8dHs1hUeQmW,376800,4,The Revival - Extended Mix,spotify:track:74VPFxl4DaU8dHs1hUeQmW,James Hurr,2g9i2kA0jUr6sfAT28l2vL
6,0.652,0.953,8,-3.032,1,0.168,0.00963,0.00772,0.125,0.724,122.028,audio_features,4prPpbMFJKlkQ1pctCcEm6,spotify:track:4prPpbMFJKlkQ1pctCcEm6,https://api.spotify.com/v1/tracks/4prPpbMFJKlkQ1pctCcEm6,https://api.spotify.com/v1/audio-analysis/4prPpbMFJKlkQ1pctCcEm6,170164,4,Love Together,spotify:track:4prPpbMFJKlkQ1pctCcEm6,James Hurr,2g9i2kA0jUr6sfAT28l2vL
7,0.797,0.93,11,-4.321,1,0.107,0.00297,0.18,0.156,0.842,122.013,audio_features,7hgDYGOkB7UTLfGS1DocRr,spotify:track:7hgDYGOkB7UTLfGS1DocRr,https://api.spotify.com/v1/tracks/7hgDYGOkB7UTLfGS1DocRr,https://api.spotify.com/v1/audio-analysis/7hgDYGOkB7UTLfGS1DocRr,350656,4,Love Together - Extended Mix,spotify:track:7hgDYGOkB7UTLfGS1DocRr,James Hurr,2g9i2kA0jUr6sfAT28l2vL
8,0.551,0.936,10,-5.279,0,0.0458,0.0234,2.97e-06,0.0694,0.347,123.941,audio_features,6ELFuA4VYT2qVtg2wQ30RT,spotify:track:6ELFuA4VYT2qVtg2wQ30RT,https://api.spotify.com/v1/tracks/6ELFuA4VYT2qVtg2wQ30RT,https://api.spotify.com/v1/audio-analysis/6ELFuA4VYT2qVtg2wQ30RT,165984,4,Jump In (feat. RoRoe),spotify:track:6ELFuA4VYT2qVtg2wQ30RT,James Hurr,2g9i2kA0jUr6sfAT28l2vL
9,0.582,0.976,1,-4.956,1,0.048,0.000636,0.838,0.204,0.158,124.01,audio_features,5Vs7q9E9xiXvfEnvYRAV9k,spotify:track:5Vs7q9E9xiXvfEnvYRAV9k,https://api.spotify.com/v1/tracks/5Vs7q9E9xiXvfEnvYRAV9k,https://api.spotify.com/v1/audio-analysis/5Vs7q9E9xiXvfEnvYRAV9k,151452,4,She Knows What She’s Doing,spotify:track:5Vs7q9E9xiXvfEnvYRAV9k,James Hurr,2g9i2kA0jUr6sfAT28l2vL
10,0.724,0.952,9,-4.901,0,0.0606,0.000348,0.624,0.022,0.238,123.996,audio_features,5McRN6bEjedarEVPnOtdcD,spotify:track:5McRN6bEjedarEVPnOtdcD,https://api.spotify.com/v1/tracks/5McRN6bEjedarEVPnOtdcD,https://api.spotify.com/v1/audio-analysis/5McRN6bEjedarEVPnOtdcD,360484,4,She Knows What She’s Doing - Extended Mix,spotify:track:5McRN6bEjedarEVPnOtdcD,James Hurr,2g9i2kA0jUr6sfAT28l2vL
11,0.584,0.946,7,-5.893,1,0.0674,0.033,0.866,0.169,0.339,123.989,audio_features,3VAMDOQg1GBGU4Cx2mst99,spotify:track:3VAMDOQg1GBGU4Cx2mst99,https://api.spotify.com/v1/tracks/3VAMDOQg1GBGU4Cx2mst99,https://api.spotify.com/v1/audio-analysis/3VAMDOQg1GBGU4Cx2mst99,205645,4,Champion Lover,spotify:track:3VAMDOQg1GBGU4Cx2mst99,James Hurr,2g9i2kA0jUr6sfAT28l2vL
12,0.729,0.869,7,-6.655,1,0.0772,0.00979,0.87,0.0492,0.296,123.999,audio_features,6RZ09xBlhqB5jPwWLK7Ahg,spotify:track:6RZ09xBlhqB5jPwWLK7Ahg,https://api.spotify.com/v1/tracks/6RZ09xBlhqB5jPwWLK7Ahg,https://api.spotify.com/v1/audio-analysis/6RZ09xBlhqB5jPwWLK7Ahg,358548,4,Champion Lover - Extended Mix,spotify:track:6RZ09xBlhqB5jPwWLK7Ahg,James Hurr,2g9i2kA0jUr6sfAT28l2vL
13,0.699,0.735,0,-10.79,1,0.0366,0.0165,0.846,0.0466,0.21,125.997,audio_features,0aegLeCA5bJbTKPAGpXTqO,spotify:track:0aegLeCA5bJbTKPAGpXTqO,https://api.spotify.com/v1/tracks/0aegLeCA5bJbTKPAGpXTqO,https://api.spotify.com/v1/audio-analysis/0aegLeCA5bJbTKPAGpXTqO,398994,4,Thirsty - Peter Napoli Remix,spotify:track:0aegLeCA5bJbTKPAGpXTqO,James Hurr,2g9i2kA0jUr6sfAT28l2vL
14,0.697,0.981,5,-4.321,0,0.218,0.0077,0.845,0.301,0.654,124.012,audio_features,0wZF2AP6T48tv5AT2tQzju,spotify:track:0wZF2AP6T48tv5AT2tQzju,https://api.spotify.com/v1/tracks/0wZF2AP6T48tv5AT2tQzju,https://api.spotify.com/v1/audio-analysis/0wZF2AP6T48tv5AT2tQzju,150484,4,In Your House,spotify:track:0wZF2AP6T48tv5AT2tQzju,James Hurr,2g9i2kA0jUr6sfAT28l2vL
15,0.775,0.956,8,-5.727,1,0.158,0.00377,0.901,0.0548,0.486,123.991,audio_features,0eepNNa4aUwWKkcHn2B9bp,spotify:track:0eepNNa4aUwWKkcHn2B9bp,https://api.spotify.com/v1/tracks/0eepNNa4aUwWKkcHn2B9bp,https://api.spotify.com/v1/audio-analysis/0eepNNa4aUwWKkcHn2B9bp,345000,4,In Your House - Extended Mix,spotify:track:0eepNNa4aUwWKkcHn2B9bp,James Hurr,2g9i2kA0jUr6sfAT28l2vL
16,0.749,0.895,0,-6.156,1,0.0481,0.00571,0.0783,0.112,0.118,124.996,audio_features,5zT5T8XQuhUMh7AwhGUUJ7,spotify:track:5zT5T8XQuhUMh7AwhGUUJ7,https://api.spotify.com/v1/tracks/5zT5T8XQuhUMh7AwhGUUJ7,https://api.spotify.com/v1/audio-analysis/5zT5T8XQuhUMh7AwhGUUJ7,192300,4,Don't Over Think It,spotify:track:5zT5T8XQuhUMh7AwhGUUJ7,James Hurr,2g9i2kA0jUr6sfAT28l2vL
17,0.73,0.945,0,-4.791,1,0.0439,0.00182,0.876,0.0233,0.468,124.991,audio_features,76tvXfc32WSGp6DWNFTrSG,spotify:track:76tvXfc32WSGp6DWNFTrSG,https://api.spotify.com/v1/tracks/76tvXfc32WSGp6DWNFTrSG,https://api.spotify.com/v1/audio-analysis/76tvXfc32WSGp6DWNFTrSG,405600,4,Thirsty,spotify:track:76tvXfc32WSGp6DWNFTrSG,James Hurr,2g9i2kA0jUr6sfAT28l2vL
18,0.789,0.871,7,-4.41,1,0.0344,0.00556,0.000947,0.0509,0.767,122.029,audio_features,1VbasAn1bGaxXc7PHOaORi,spotify:track:1VbasAn1bGaxXc7PHOaORi,https://api.spotify.com/v1/tracks/1VbasAn1bGaxXc7PHOaORi,https://api.spotify.com/v1/audio-analysis/1VbasAn1bGaxXc7PHOaORi,168689,4,Everyday People,spotify:track:1VbasAn1bGaxXc7PHOaORi,James Hurr,2g9i2kA0jUr6sfAT28l2vL
