,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.759,0.949,11,-5.3,0,0.0644,0.248,0.244,0.0441,0.705,123.966,audio_features,384DNgNu0yFsBviXJF5vCE,spotify:track:384DNgNu0yFsBviXJF5vCE,https://api.spotify.com/v1/tracks/384DNgNu0yFsBviXJF5vCE,https://api.spotify.com/v1/audio-analysis/384DNgNu0yFsBviXJF5vCE,157213,4,House Work,spotify:track:384DNgNu0yFsBviXJF5vCE,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
1,0.789,0.547,9,-8.738,0,0.0748,0.072,9.21e-05,0.0782,0.48,120.024,audio_features,6bUESKTqkaCSZENF3bkHAT,spotify:track:6bUESKTqkaCSZENF3bkHAT,https://api.spotify.com/v1/tracks/6bUESKTqkaCSZENF3bkHAT,https://api.spotify.com/v1/audio-analysis/6bUESKTqkaCSZENF3bkHAT,203227,4,Jacques,spotify:track:6bUESKTqkaCSZENF3bkHAT,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
2,0.878,0.696,11,-5.284,0,0.152,0.191,0.0,0.269,0.732,123.965,audio_features,0G3qdbvL9pvnguzNYGxjUs,spotify:track:0G3qdbvL9pvnguzNYGxjUs,https://api.spotify.com/v1/tracks/0G3qdbvL9pvnguzNYGxjUs,https://api.spotify.com/v1/audio-analysis/0G3qdbvL9pvnguzNYGxjUs,212440,4,You Don't Know Me,spotify:track:0G3qdbvL9pvnguzNYGxjUs,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
3,0.906,0.832,5,-3.004,0,0.0718,0.0909,0.0,0.152,0.751,104.03,audio_features,0z9SOpvLc4OniZeZ0DRqUC,spotify:track:0z9SOpvLc4OniZeZ0DRqUC,https://api.spotify.com/v1/tracks/0z9SOpvLc4OniZeZ0DRqUC,https://api.spotify.com/v1/audio-analysis/0z9SOpvLc4OniZeZ0DRqUC,159753,4,Harder,spotify:track:0z9SOpvLc4OniZeZ0DRqUC,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
4,0.543,0.932,9,-3.088,0,0.245,0.11,0.0,0.103,0.914,120.014,audio_features,7CqAGPq9vK5yS0MpLSfGGQ,spotify:track:7CqAGPq9vK5yS0MpLSfGGQ,https://api.spotify.com/v1/tracks/7CqAGPq9vK5yS0MpLSfGGQ,https://api.spotify.com/v1/audio-analysis/7CqAGPq9vK5yS0MpLSfGGQ,165467,4,Instruction,spotify:track:7CqAGPq9vK5yS0MpLSfGGQ,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
5,0.791,0.634,1,-5.311,0,0.14,0.198,5.72e-06,0.108,0.655,107.058,audio_features,1WEcZvYYWLOpjFUxPyWDiL,spotify:track:1WEcZvYYWLOpjFUxPyWDiL,https://api.spotify.com/v1/tracks/1WEcZvYYWLOpjFUxPyWDiL,https://api.spotify.com/v1/audio-analysis/1WEcZvYYWLOpjFUxPyWDiL,218027,4,Ring Ring,spotify:track:1WEcZvYYWLOpjFUxPyWDiL,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
6,0.772,0.762,11,-7.831,0,0.0463,0.0257,1.14e-05,0.457,0.616,125.026,audio_features,0go8BfDVfaZcWh6gBBbU0p,spotify:track:0go8BfDVfaZcWh6gBBbU0p,https://api.spotify.com/v1/tracks/0go8BfDVfaZcWh6gBBbU0p,https://api.spotify.com/v1/audio-analysis/0go8BfDVfaZcWh6gBBbU0p,186840,4,Play,spotify:track:0go8BfDVfaZcWh6gBBbU0p,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
7,0.719,0.585,6,-8.954,0,0.0513,0.00124,0.00132,0.0925,0.268,122.03,audio_features,2VlhNjFcXHFIaN10zFcHpC,spotify:track:2VlhNjFcXHFIaN10zFcHpC,https://api.spotify.com/v1/tracks/2VlhNjFcXHFIaN10zFcHpC,https://api.spotify.com/v1/audio-analysis/2VlhNjFcXHFIaN10zFcHpC,186973,4,100 Times,spotify:track:2VlhNjFcXHFIaN10zFcHpC,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
8,0.721,0.732,11,-5.534,0,0.0377,0.0256,0.000275,0.146,0.697,125.984,audio_features,75bg3ENN7h3yu0Xbk07u79,spotify:track:75bg3ENN7h3yu0Xbk07u79,https://api.spotify.com/v1/tracks/75bg3ENN7h3yu0Xbk07u79,https://api.spotify.com/v1/audio-analysis/75bg3ENN7h3yu0Xbk07u79,207627,4,Breathe,spotify:track:75bg3ENN7h3yu0Xbk07u79,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
9,0.696,0.859,8,-4.596,1,0.0326,0.00201,0.0212,0.145,0.493,126.005,audio_features,2kscmZ7v4phYrm9yqiFTkn,spotify:track:2kscmZ7v4phYrm9yqiFTkn,https://api.spotify.com/v1/tracks/2kscmZ7v4phYrm9yqiFTkn,https://api.spotify.com/v1/audio-analysis/2kscmZ7v4phYrm9yqiFTkn,266267,4,Cruel,spotify:track:2kscmZ7v4phYrm9yqiFTkn,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr
