,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.625,0.281,2,-10.193,1,0.0336,0.319,0.000396,0.123,0.189,83.021,audio_features,5RmwyNDUiEqekiFPbUj71Q,spotify:track:5RmwyNDUiEqekiFPbUj71Q,https://api.spotify.com/v1/tracks/5RmwyNDUiEqekiFPbUj71Q,https://api.spotify.com/v1/audio-analysis/5RmwyNDUiEqekiFPbUj71Q,162237,4,Trunk Song,spotify:track:5RmwyNDUiEqekiFPbUj71Q,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
1,0.784,0.736,11,-6.195,1,0.0376,0.353,0.000812,0.0907,0.47,105.979,audio_features,12ysapFQseaUgoNwKLA6nR,spotify:track:12ysapFQseaUgoNwKLA6nR,https://api.spotify.com/v1/tracks/12ysapFQseaUgoNwKLA6nR,https://api.spotify.com/v1/audio-analysis/12ysapFQseaUgoNwKLA6nR,202996,4,The Millennium Express,spotify:track:12ysapFQseaUgoNwKLA6nR,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
2,0.757,0.902,4,-4.111,1,0.0309,0.00963,8.8e-06,0.641,0.766,125.022,audio_features,2bmfI7jS9cvk9R33ndERUf,spotify:track:2bmfI7jS9cvk9R33ndERUf,https://api.spotify.com/v1/tracks/2bmfI7jS9cvk9R33ndERUf,https://api.spotify.com/v1/audio-analysis/2bmfI7jS9cvk9R33ndERUf,206787,4,From These Heights,spotify:track:2bmfI7jS9cvk9R33ndERUf,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
3,0.781,0.556,4,-8.329,1,0.0641,0.207,1.45e-05,0.125,0.623,130.993,audio_features,2SAH17PgMs9mr6TelH6TR6,spotify:track:2SAH17PgMs9mr6TelH6TR6,https://api.spotify.com/v1/tracks/2SAH17PgMs9mr6TelH6TR6,https://api.spotify.com/v1/audio-analysis/2SAH17PgMs9mr6TelH6TR6,243113,4,Marigold,spotify:track:2SAH17PgMs9mr6TelH6TR6,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
4,0.595,0.413,1,-9.02,1,0.0363,0.655,0.00711,0.112,0.13,139.948,audio_features,3D6DSG5T5MQwlqT1YbIl0Z,spotify:track:3D6DSG5T5MQwlqT1YbIl0Z,https://api.spotify.com/v1/tracks/3D6DSG5T5MQwlqT1YbIl0Z,https://api.spotify.com/v1/audio-analysis/3D6DSG5T5MQwlqT1YbIl0Z,240462,4,Bad Nights,spotify:track:3D6DSG5T5MQwlqT1YbIl0Z,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
5,0.716,0.61,10,-6.223,1,0.0358,0.239,1.95e-05,0.0871,0.139,59.993,audio_features,0Wuna5xxzVvaBfJaDKXKLc,spotify:track:0Wuna5xxzVvaBfJaDKXKLc,https://api.spotify.com/v1/tracks/0Wuna5xxzVvaBfJaDKXKLc,https://api.spotify.com/v1/audio-analysis/0Wuna5xxzVvaBfJaDKXKLc,181311,4,Overexposed,spotify:track:0Wuna5xxzVvaBfJaDKXKLc,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
6,0.733,0.481,2,-7.554,1,0.0347,0.273,0.0739,0.287,0.553,125.009,audio_features,6mNNt5QHcWvRgxwgLGzsXK,spotify:track:6mNNt5QHcWvRgxwgLGzsXK,https://api.spotify.com/v1/tracks/6mNNt5QHcWvRgxwgLGzsXK,https://api.spotify.com/v1/audio-analysis/6mNNt5QHcWvRgxwgLGzsXK,186325,4,Stella Brown,spotify:track:6mNNt5QHcWvRgxwgLGzsXK,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
7,0.76,0.226,9,-12.03,1,0.0901,0.601,0.9,0.106,0.105,109.972,audio_features,7ceA5D4DZVDhanAqDVxLG5,spotify:track:7ceA5D4DZVDhanAqDVxLG5,https://api.spotify.com/v1/tracks/7ceA5D4DZVDhanAqDVxLG5,https://api.spotify.com/v1/audio-analysis/7ceA5D4DZVDhanAqDVxLG5,70125,3,May & Murakami,spotify:track:7ceA5D4DZVDhanAqDVxLG5,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
8,0.625,0.636,9,-6.134,1,0.0555,0.173,0.0,0.165,0.533,125.979,audio_features,6QuIm72UmhDlJzS0xkx8Oe,spotify:track:6QuIm72UmhDlJzS0xkx8Oe,https://api.spotify.com/v1/tracks/6QuIm72UmhDlJzS0xkx8Oe,https://api.spotify.com/v1/audio-analysis/6QuIm72UmhDlJzS0xkx8Oe,170419,4,A Piece Of Your Mind,spotify:track:6QuIm72UmhDlJzS0xkx8Oe,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
9,0.698,0.465,7,-7.568,1,0.0309,0.289,1.05e-05,0.115,0.571,103.995,audio_features,74bs6pFMlHY4uXH8mMVn9w,spotify:track:74bs6pFMlHY4uXH8mMVn9w,https://api.spotify.com/v1/tracks/74bs6pFMlHY4uXH8mMVn9w,https://api.spotify.com/v1/audio-analysis/74bs6pFMlHY4uXH8mMVn9w,168530,4,Love Dies At Dawn,spotify:track:74bs6pFMlHY4uXH8mMVn9w,Jelani Aryeh,7A47sEe0ih6WpKmNCRMu86
