,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.298,0.239,5,-16.305,1,0.0517,0.363,0.713,0.237,0.0823,153.992,audio_features,1PLpmPrfqbbdOHeeqnYSzx,spotify:track:1PLpmPrfqbbdOHeeqnYSzx,https://api.spotify.com/v1/tracks/1PLpmPrfqbbdOHeeqnYSzx,https://api.spotify.com/v1/audio-analysis/1PLpmPrfqbbdOHeeqnYSzx,148470,3,Guess What - Mixed,spotify:track:1PLpmPrfqbbdOHeeqnYSzx,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
1,0.741,0.451,2,-14.742,1,0.0883,0.0755,0.214,0.102,0.551,157.048,audio_features,4NBdKqjL4UPasjv9Xzbnpf,spotify:track:4NBdKqjL4UPasjv9Xzbnpf,https://api.spotify.com/v1/tracks/4NBdKqjL4UPasjv9Xzbnpf,https://api.spotify.com/v1/audio-analysis/4NBdKqjL4UPasjv9Xzbnpf,180457,4,Seven 55 (DJ-Kicks) - Mixed,spotify:track:4NBdKqjL4UPasjv9Xzbnpf,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
2,0.706,0.485,0,-13.11,1,0.0571,0.0154,0.893,0.133,0.174,128.008,audio_features,5TBgrUNYHmREhcbDnRzr2O,spotify:track:5TBgrUNYHmREhcbDnRzr2O,https://api.spotify.com/v1/tracks/5TBgrUNYHmREhcbDnRzr2O,https://api.spotify.com/v1/audio-analysis/5TBgrUNYHmREhcbDnRzr2O,143042,4,Wet x3 - Mixed,spotify:track:5TBgrUNYHmREhcbDnRzr2O,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
3,0.76,0.911,2,-10.926,1,0.0431,0.0218,0.853,0.288,0.671,127.989,audio_features,5MEh07gYMU5iAOwxky8RDv,spotify:track:5MEh07gYMU5iAOwxky8RDv,https://api.spotify.com/v1/tracks/5MEh07gYMU5iAOwxky8RDv,https://api.spotify.com/v1/audio-analysis/5MEh07gYMU5iAOwxky8RDv,109579,4,Twilite - Mixed,spotify:track:5MEh07gYMU5iAOwxky8RDv,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
4,0.835,0.492,1,-14.02,0,0.0856,0.00464,0.732,0.136,0.475,125.973,audio_features,4Ma26Q71jUSOr9jdoRIYtg,spotify:track:4Ma26Q71jUSOr9jdoRIYtg,https://api.spotify.com/v1/tracks/4Ma26Q71jUSOr9jdoRIYtg,https://api.spotify.com/v1/audio-analysis/4Ma26Q71jUSOr9jdoRIYtg,80895,4,Lip Biter - Mixed,spotify:track:4Ma26Q71jUSOr9jdoRIYtg,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
5,0.766,0.72,9,-8.972,0,0.0567,0.00188,0.762,0.0554,0.869,129.711,audio_features,2rzTCYdqjAXPpKz2l478R9,spotify:track:2rzTCYdqjAXPpKz2l478R9,https://api.spotify.com/v1/tracks/2rzTCYdqjAXPpKz2l478R9,https://api.spotify.com/v1/audio-analysis/2rzTCYdqjAXPpKz2l478R9,145505,4,Bail-E - Mixed,spotify:track:2rzTCYdqjAXPpKz2l478R9,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
6,0.762,0.885,1,-11.958,0,0.0628,0.000549,0.797,0.0758,0.968,130.407,audio_features,6IWvWmLKqryHcT1MA8E8fH,spotify:track:6IWvWmLKqryHcT1MA8E8fH,https://api.spotify.com/v1/tracks/6IWvWmLKqryHcT1MA8E8fH,https://api.spotify.com/v1/audio-analysis/6IWvWmLKqryHcT1MA8E8fH,76204,4,Jungli - la (Joe Howe Club Mix) - Mixed,spotify:track:6IWvWmLKqryHcT1MA8E8fH,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
7,0.74,0.389,5,-13.45,0,0.078,8.42e-05,0.179,0.0962,0.842,130.957,audio_features,01o33JL8FLp2jgNnI0VhRE,spotify:track:01o33JL8FLp2jgNnI0VhRE,https://api.spotify.com/v1/tracks/01o33JL8FLp2jgNnI0VhRE,https://api.spotify.com/v1/audio-analysis/01o33JL8FLp2jgNnI0VhRE,249196,4,Freak Like U (Club Mix) - Mixed,spotify:track:01o33JL8FLp2jgNnI0VhRE,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
8,0.711,0.929,8,-11.566,1,0.0651,0.000997,0.811,0.32,0.692,131.62,audio_features,4hib6LFqXXaudYjfURWOXo,spotify:track:4hib6LFqXXaudYjfURWOXo,https://api.spotify.com/v1/tracks/4hib6LFqXXaudYjfURWOXo,https://api.spotify.com/v1/audio-analysis/4hib6LFqXXaudYjfURWOXo,193607,4,Foaming - Mixed,spotify:track:4hib6LFqXXaudYjfURWOXo,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
9,0.791,0.585,4,-17.914,0,0.0723,0.00279,0.927,0.0796,0.357,129.384,audio_features,7MJoleopJoAcQey2K2Z5Kg,spotify:track:7MJoleopJoAcQey2K2Z5Kg,https://api.spotify.com/v1/tracks/7MJoleopJoAcQey2K2Z5Kg,https://api.spotify.com/v1/audio-analysis/7MJoleopJoAcQey2K2Z5Kg,88961,4,Teaspoon La Qoh - Mixed,spotify:track:7MJoleopJoAcQey2K2Z5Kg,Jessy Lanza,4b99uGDv75xD1n2QHuPRDN
