,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.416,0.802,11,-4.221,1,0.0471,0.0225,0.0541,0.039,0.739,121.967,audio_features,0dSTbC1TcahlWOZV5C5OhI,spotify:track:0dSTbC1TcahlWOZV5C5OhI,https://api.spotify.com/v1/tracks/0dSTbC1TcahlWOZV5C5OhI,https://api.spotify.com/v1/audio-analysis/0dSTbC1TcahlWOZV5C5OhI,202128,4,Cut Me Loose - 2021 Edit,spotify:track:0dSTbC1TcahlWOZV5C5OhI,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
1,0.498,0.46,0,-10.012,1,0.0446,0.0133,0.766,0.214,0.287,126.965,audio_features,2gQhKOMTingbfKkuJYMZjh,spotify:track:2gQhKOMTingbfKkuJYMZjh,https://api.spotify.com/v1/tracks/2gQhKOMTingbfKkuJYMZjh,https://api.spotify.com/v1/audio-analysis/2gQhKOMTingbfKkuJYMZjh,452657,4,No Words,spotify:track:2gQhKOMTingbfKkuJYMZjh,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
2,0.715,0.711,10,-7.214,0,0.0625,0.0822,0.168,0.0842,0.251,120.026,audio_features,6HjGjswwOjkULG8CJjrYh7,spotify:track:6HjGjswwOjkULG8CJjrYh7,https://api.spotify.com/v1/tracks/6HjGjswwOjkULG8CJjrYh7,https://api.spotify.com/v1/audio-analysis/6HjGjswwOjkULG8CJjrYh7,301250,4,That Shit Frankie Plays,spotify:track:6HjGjswwOjkULG8CJjrYh7,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
3,0.724,0.695,10,-7.233,0,0.0652,0.0952,0.159,0.0843,0.315,120.013,audio_features,2p5ohvN3FXnRF0dDBQ8VYE,spotify:track:2p5ohvN3FXnRF0dDBQ8VYE,https://api.spotify.com/v1/tracks/2p5ohvN3FXnRF0dDBQ8VYE,https://api.spotify.com/v1/audio-analysis/2p5ohvN3FXnRF0dDBQ8VYE,300750,4,That Shit Frankie Plays - Clean Mix Non-Explicit,spotify:track:2p5ohvN3FXnRF0dDBQ8VYE,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
4,0.805,0.762,7,-6.254,1,0.0472,0.000872,0.0017,0.0853,0.524,123.007,audio_features,6jFiYKkVPahWeGfJ13tGMy,spotify:track:6jFiYKkVPahWeGfJ13tGMy,https://api.spotify.com/v1/tracks/6jFiYKkVPahWeGfJ13tGMy,https://api.spotify.com/v1/audio-analysis/6jFiYKkVPahWeGfJ13tGMy,184909,4,Real Good Time,spotify:track:6jFiYKkVPahWeGfJ13tGMy,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
5,0.788,0.776,7,-6.983,1,0.0525,0.0532,0.524,0.12,0.776,127.004,audio_features,2J6C7ZbCPLipACR6n8RGzV,spotify:track:2J6C7ZbCPLipACR6n8RGzV,https://api.spotify.com/v1/tracks/2J6C7ZbCPLipACR6n8RGzV,https://api.spotify.com/v1/audio-analysis/2J6C7ZbCPLipACR6n8RGzV,321273,4,6am in Oakland,spotify:track:2J6C7ZbCPLipACR6n8RGzV,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
6,0.699,0.809,1,-6.299,0,0.0386,0.246,0.653,0.0839,0.92,122.002,audio_features,1zI0tFXUfUqNDT7NLjyqDl,spotify:track:1zI0tFXUfUqNDT7NLjyqDl,https://api.spotify.com/v1/tracks/1zI0tFXUfUqNDT7NLjyqDl,https://api.spotify.com/v1/audio-analysis/1zI0tFXUfUqNDT7NLjyqDl,221977,4,Only Girl,spotify:track:1zI0tFXUfUqNDT7NLjyqDl,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
7,0.775,0.829,6,-6.779,1,0.0448,0.112,0.718,0.0735,0.933,122.006,audio_features,63SjIWIMmGctbMnQP4rs8t,spotify:track:63SjIWIMmGctbMnQP4rs8t,https://api.spotify.com/v1/tracks/63SjIWIMmGctbMnQP4rs8t,https://api.spotify.com/v1/audio-analysis/63SjIWIMmGctbMnQP4rs8t,312649,4,Only Girl - Extended Mix,spotify:track:63SjIWIMmGctbMnQP4rs8t,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
8,0.882,0.686,3,-5.372,0,0.102,0.0699,0.00582,0.163,0.71,123.014,audio_features,69rji5xtI6xmfvmeNT6GcR,spotify:track:69rji5xtI6xmfvmeNT6GcR,https://api.spotify.com/v1/tracks/69rji5xtI6xmfvmeNT6GcR,https://api.spotify.com/v1/audio-analysis/69rji5xtI6xmfvmeNT6GcR,164204,4,Slave,spotify:track:69rji5xtI6xmfvmeNT6GcR,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
9,0.937,0.63,3,-5.295,0,0.078,0.0152,0.0332,0.0931,0.662,122.988,audio_features,5OECaRcaSgmv0WkyH16mwP,spotify:track:5OECaRcaSgmv0WkyH16mwP,https://api.spotify.com/v1/tracks/5OECaRcaSgmv0WkyH16mwP,https://api.spotify.com/v1/audio-analysis/5OECaRcaSgmv0WkyH16mwP,244170,4,Slave - Club Mix,spotify:track:5OECaRcaSgmv0WkyH16mwP,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
10,0.66,0.794,7,-3.498,0,0.0452,0.0718,0.0,0.275,0.562,123.978,audio_features,6dOFmM5Faj4nm1peWRmfGr,spotify:track:6dOFmM5Faj4nm1peWRmfGr,https://api.spotify.com/v1/tracks/6dOFmM5Faj4nm1peWRmfGr,https://api.spotify.com/v1/audio-analysis/6dOFmM5Faj4nm1peWRmfGr,215112,4,You Can't Beat Love,spotify:track:6dOFmM5Faj4nm1peWRmfGr,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
11,0.667,0.764,7,-3.712,0,0.0446,0.042,0.0,0.241,0.521,123.961,audio_features,2a9jpuVpn9nDKubBrkcyQB,spotify:track:2a9jpuVpn9nDKubBrkcyQB,https://api.spotify.com/v1/tracks/2a9jpuVpn9nDKubBrkcyQB,https://api.spotify.com/v1/audio-analysis/2a9jpuVpn9nDKubBrkcyQB,384616,4,You Can't Beat Love - Club Mix,spotify:track:2a9jpuVpn9nDKubBrkcyQB,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
12,0.767,0.723,10,-4.303,0,0.0612,0.0157,0.0,0.0525,0.698,125.029,audio_features,0rKUyNcVPTSjLgZ9tZg7BW,spotify:track:0rKUyNcVPTSjLgZ9tZg7BW,https://api.spotify.com/v1/tracks/0rKUyNcVPTSjLgZ9tZg7BW,https://api.spotify.com/v1/audio-analysis/0rKUyNcVPTSjLgZ9tZg7BW,285012,4,Feel Good,spotify:track:0rKUyNcVPTSjLgZ9tZg7BW,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
13,0.715,0.903,9,-4.936,0,0.118,0.00622,0.249,0.71,0.753,122.982,audio_features,3mcjxn0DRXBxUkZsysvzBk,spotify:track:3mcjxn0DRXBxUkZsysvzBk,https://api.spotify.com/v1/tracks/3mcjxn0DRXBxUkZsysvzBk,https://api.spotify.com/v1/audio-analysis/3mcjxn0DRXBxUkZsysvzBk,350604,4,Desire,spotify:track:3mcjxn0DRXBxUkZsysvzBk,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
14,0.838,0.658,8,-5.525,1,0.0401,0.042,0.000618,0.118,0.672,123.014,audio_features,5JTsQl9rtxnq1SqTSyCbqp,spotify:track:5JTsQl9rtxnq1SqTSyCbqp,https://api.spotify.com/v1/tracks/5JTsQl9rtxnq1SqTSyCbqp,https://api.spotify.com/v1/audio-analysis/5JTsQl9rtxnq1SqTSyCbqp,222161,4,Do You Ever - Jethro Heston Remix,spotify:track:5JTsQl9rtxnq1SqTSyCbqp,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
15,0.861,0.652,5,-5.49,0,0.0391,0.0485,0.000316,0.116,0.693,123.027,audio_features,1Iuv6fjzlxyq2hmT9KLYBC,spotify:track:1Iuv6fjzlxyq2hmT9KLYBC,https://api.spotify.com/v1/tracks/1Iuv6fjzlxyq2hmT9KLYBC,https://api.spotify.com/v1/audio-analysis/1Iuv6fjzlxyq2hmT9KLYBC,261185,4,Do You Ever - Jethro Heston Extended Remix,spotify:track:1Iuv6fjzlxyq2hmT9KLYBC,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj
