,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.604,0.463,10,-12.414,1,0.0767,0.24,0.481,0.14,0.242,100.089,audio_features,0g9CmPhJlkNIboQIj0EvL2,spotify:track:0g9CmPhJlkNIboQIj0EvL2,https://api.spotify.com/v1/tracks/0g9CmPhJlkNIboQIj0EvL2,https://api.spotify.com/v1/audio-analysis/0g9CmPhJlkNIboQIj0EvL2,276420,4,Samba de Maracatu,spotify:track:0g9CmPhJlkNIboQIj0EvL2,Joe Chambers,0umoeIflP3pWEefnX9lvx4
1,0.41,0.375,5,-21.369,0,0.0384,0.551,0.912,0.123,0.426,139.593,audio_features,3KriuSwLDhSiCnvuPB64cm,spotify:track:3KriuSwLDhSiCnvuPB64cm,https://api.spotify.com/v1/tracks/3KriuSwLDhSiCnvuPB64cm,https://api.spotify.com/v1/audio-analysis/3KriuSwLDhSiCnvuPB64cm,346373,4,I Got Rhythm,spotify:track:3KriuSwLDhSiCnvuPB64cm,Joe Chambers,0umoeIflP3pWEefnX9lvx4
2,0.416,0.22,8,-19.236,1,0.0373,0.679,0.892,0.117,0.319,104.894,audio_features,3VtGNtQzoyG9YW5XKHdMWi,spotify:track:3VtGNtQzoyG9YW5XKHdMWi,https://api.spotify.com/v1/tracks/3VtGNtQzoyG9YW5XKHdMWi,https://api.spotify.com/v1/audio-analysis/3VtGNtQzoyG9YW5XKHdMWi,346507,5,Summertime,spotify:track:3VtGNtQzoyG9YW5XKHdMWi,Joe Chambers,0umoeIflP3pWEefnX9lvx4
3,0.51,0.0687,8,-22.731,1,0.0535,0.938,0.826,0.103,0.107,118.686,audio_features,2yAyfbXuNxXUEGAe8urZ5a,spotify:track:2yAyfbXuNxXUEGAe8urZ5a,https://api.spotify.com/v1/tracks/2yAyfbXuNxXUEGAe8urZ5a,https://api.spotify.com/v1/audio-analysis/2yAyfbXuNxXUEGAe8urZ5a,470427,4,Young and Foolish,spotify:track:2yAyfbXuNxXUEGAe8urZ5a,Joe Chambers,0umoeIflP3pWEefnX9lvx4
4,0.614,0.258,8,-18.502,1,0.032,0.823,0.496,0.111,0.307,135.597,audio_features,1zcqzVNGxRnhT0u2G5BGrg,spotify:track:1zcqzVNGxRnhT0u2G5BGrg,https://api.spotify.com/v1/tracks/1zcqzVNGxRnhT0u2G5BGrg,https://api.spotify.com/v1/audio-analysis/1zcqzVNGxRnhT0u2G5BGrg,365867,4,Tom's Tune,spotify:track:1zcqzVNGxRnhT0u2G5BGrg,Joe Chambers,0umoeIflP3pWEefnX9lvx4
5,0.713,0.0904,7,-23.247,0,0.0379,0.855,0.73,0.0686,0.406,112.98,audio_features,5BDyblM6N9WPXbu27ySeeS,spotify:track:5BDyblM6N9WPXbu27ySeeS,https://api.spotify.com/v1/tracks/5BDyblM6N9WPXbu27ySeeS,https://api.spotify.com/v1/audio-analysis/5BDyblM6N9WPXbu27ySeeS,339267,4,Laila,spotify:track:5BDyblM6N9WPXbu27ySeeS,Joe Chambers,0umoeIflP3pWEefnX9lvx4
6,0.567,0.344,8,-17.893,1,0.0325,0.643,0.776,0.1,0.451,97.585,audio_features,31ffvxl5PvsnJyIrvRGal1,spotify:track:31ffvxl5PvsnJyIrvRGal1,https://api.spotify.com/v1/tracks/31ffvxl5PvsnJyIrvRGal1,https://api.spotify.com/v1/audio-analysis/31ffvxl5PvsnJyIrvRGal1,357067,4,The Man I Love,spotify:track:31ffvxl5PvsnJyIrvRGal1,Joe Chambers,0umoeIflP3pWEefnX9lvx4
7,0.406,0.0776,5,-23.165,1,0.0372,0.937,0.887,0.112,0.0837,73.428,audio_features,04tGOAXRPflgTZOCyknxIB,spotify:track:04tGOAXRPflgTZOCyknxIB,https://api.spotify.com/v1/tracks/04tGOAXRPflgTZOCyknxIB,https://api.spotify.com/v1/audio-analysis/04tGOAXRPflgTZOCyknxIB,547173,4,Bud Will Be Back Shortly,spotify:track:04tGOAXRPflgTZOCyknxIB,Joe Chambers,0umoeIflP3pWEefnX9lvx4
8,0.481,0.183,0,-20.722,1,0.0362,0.844,0.733,0.0987,0.288,74.268,audio_features,43VC1xaSjvPIV7hxTbb4j2,spotify:track:43VC1xaSjvPIV7hxTbb4j2,https://api.spotify.com/v1/tracks/43VC1xaSjvPIV7hxTbb4j2,https://api.spotify.com/v1/audio-analysis/43VC1xaSjvPIV7hxTbb4j2,459640,4,You're My Everything,spotify:track:43VC1xaSjvPIV7hxTbb4j2,Joe Chambers,0umoeIflP3pWEefnX9lvx4
9,0.479,0.363,1,-13.843,1,0.0309,0.19,0.0615,0.317,0.47,84.431,audio_features,3a1cnEqQTY73XkWtRtTd2q,spotify:track:3a1cnEqQTY73XkWtRtTd2q,https://api.spotify.com/v1/tracks/3a1cnEqQTY73XkWtRtTd2q,https://api.spotify.com/v1/audio-analysis/3a1cnEqQTY73XkWtRtTd2q,303917,4,Epistrophy,spotify:track:3a1cnEqQTY73XkWtRtTd2q,Joe Chambers,0umoeIflP3pWEefnX9lvx4
10,0.56,0.526,5,-10.83,1,0.0297,0.384,0.00668,0.0753,0.568,98.282,audio_features,6aQhHKqkl7hyVkig0x2yDL,spotify:track:6aQhHKqkl7hyVkig0x2yDL,https://api.spotify.com/v1/tracks/6aQhHKqkl7hyVkig0x2yDL,https://api.spotify.com/v1/audio-analysis/6aQhHKqkl7hyVkig0x2yDL,270142,4,The Outlaw,spotify:track:6aQhHKqkl7hyVkig0x2yDL,Joe Chambers,0umoeIflP3pWEefnX9lvx4
11,0.334,0.165,5,-18.696,0,0.0335,0.874,0.81,0.122,0.187,126.651,audio_features,11Ii4XLcN18TOpujRb3zNw,spotify:track:11Ii4XLcN18TOpujRb3zNw,https://api.spotify.com/v1/tracks/11Ii4XLcN18TOpujRb3zNw,https://api.spotify.com/v1/audio-analysis/11Ii4XLcN18TOpujRb3zNw,362766,4,Never Let Me Go,spotify:track:11Ii4XLcN18TOpujRb3zNw,Joe Chambers,0umoeIflP3pWEefnX9lvx4
12,0.507,0.544,0,-12.053,1,0.0564,0.422,0.636,0.0949,0.736,150.848,audio_features,3fuuS1Bs5cH3SU5Fbfpcwe,spotify:track:3fuuS1Bs5cH3SU5Fbfpcwe,https://api.spotify.com/v1/tracks/3fuuS1Bs5cH3SU5Fbfpcwe,https://api.spotify.com/v1/audio-analysis/3fuuS1Bs5cH3SU5Fbfpcwe,298839,4,Havana,spotify:track:3fuuS1Bs5cH3SU5Fbfpcwe,Joe Chambers,0umoeIflP3pWEefnX9lvx4
13,0.508,0.777,7,-10.998,0,0.0378,0.123,0.287,0.0757,0.544,103.656,audio_features,77nLS1MvjWDU29a9cga20x,spotify:track:77nLS1MvjWDU29a9cga20x,https://api.spotify.com/v1/tracks/77nLS1MvjWDU29a9cga20x,https://api.spotify.com/v1/audio-analysis/77nLS1MvjWDU29a9cga20x,339924,4,Samba de Maracatu,spotify:track:77nLS1MvjWDU29a9cga20x,Joe Chambers,0umoeIflP3pWEefnX9lvx4
