,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.547,0.435,9,-6.256,0,0.0288,0.638,0.0,0.278,0.102,127.908,audio_features,64Brbnu6NLQ1Nx5n3yCbeI,spotify:track:64Brbnu6NLQ1Nx5n3yCbeI,https://api.spotify.com/v1/tracks/64Brbnu6NLQ1Nx5n3yCbeI,https://api.spotify.com/v1/audio-analysis/64Brbnu6NLQ1Nx5n3yCbeI,206033,4,In Heaven - Jon Campbell Candlelight Edit,spotify:track:64Brbnu6NLQ1Nx5n3yCbeI,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
1,0.56,0.998,9,-0.693,0,0.172,0.22,0.00174,0.303,0.288,138.012,audio_features,6GyChi3LB28CQF0j38lKpe,spotify:track:6GyChi3LB28CQF0j38lKpe,https://api.spotify.com/v1/tracks/6GyChi3LB28CQF0j38lKpe,https://api.spotify.com/v1/audio-analysis/6GyChi3LB28CQF0j38lKpe,219130,4,In Heaven - Jon Campbell Radio Edit,spotify:track:6GyChi3LB28CQF0j38lKpe,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
2,0.579,0.997,9,-1.397,0,0.0769,0.0326,0.0133,0.351,0.337,137.98,audio_features,6sTJXxwWTHz3Js9L9Zofd2,spotify:track:6sTJXxwWTHz3Js9L9Zofd2,https://api.spotify.com/v1/tracks/6sTJXxwWTHz3Js9L9Zofd2,https://api.spotify.com/v1/audio-analysis/6sTJXxwWTHz3Js9L9Zofd2,276607,4,In Heaven - Jon Campbell Extended Remix,spotify:track:6sTJXxwWTHz3Js9L9Zofd2,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
3,0.782,0.942,9,-4.965,0,0.0518,0.000397,0.222,0.1,0.755,141.96,audio_features,1J5lzdlhlh87ie2MaxDEx7,spotify:track:1J5lzdlhlh87ie2MaxDEx7,https://api.spotify.com/v1/tracks/1J5lzdlhlh87ie2MaxDEx7,https://api.spotify.com/v1/audio-analysis/1J5lzdlhlh87ie2MaxDEx7,305916,4,In Heaven - Jamie B & Nova Scotia Remix,spotify:track:1J5lzdlhlh87ie2MaxDEx7,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
4,0.643,0.989,9,-3.559,0,0.0435,0.000462,0.0753,0.243,0.71,137.998,audio_features,7n0JEv1W5KsLetISeCAvjD,spotify:track:7n0JEv1W5KsLetISeCAvjD,https://api.spotify.com/v1/tracks/7n0JEv1W5KsLetISeCAvjD,https://api.spotify.com/v1/audio-analysis/7n0JEv1W5KsLetISeCAvjD,306087,4,In Heaven - Elysium Remix,spotify:track:7n0JEv1W5KsLetISeCAvjD,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
5,0.618,0.942,6,-3.559,1,0.0339,0.135,1.17e-06,0.806,0.59,127.965,audio_features,6tESlwjHo69Z8nJeF0j2x1,spotify:track:6tESlwjHo69Z8nJeF0j2x1,https://api.spotify.com/v1/tracks/6tESlwjHo69Z8nJeF0j2x1,https://api.spotify.com/v1/audio-analysis/6tESlwjHo69Z8nJeF0j2x1,205093,4,Home - Jon's New Wave Radio Edit,spotify:track:6tESlwjHo69Z8nJeF0j2x1,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
6,0.533,0.929,6,-4.847,1,0.108,0.212,2.89e-06,0.2,0.392,127.878,audio_features,5uK4tuVj1hzgueNzF2lqWi,spotify:track:5uK4tuVj1hzgueNzF2lqWi,https://api.spotify.com/v1/tracks/5uK4tuVj1hzgueNzF2lqWi,https://api.spotify.com/v1/audio-analysis/5uK4tuVj1hzgueNzF2lqWi,212960,4,Home - Jon's Original Radio Edit,spotify:track:5uK4tuVj1hzgueNzF2lqWi,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
7,0.563,0.932,3,-5.025,0,0.0715,0.0488,0.000117,0.0716,0.414,127.955,audio_features,6y4BE3twhijMesAP6xinRb,spotify:track:6y4BE3twhijMesAP6xinRb,https://api.spotify.com/v1/tracks/6y4BE3twhijMesAP6xinRb,https://api.spotify.com/v1/audio-analysis/6y4BE3twhijMesAP6xinRb,282067,4,Home - Jon's Original Extended Remix,spotify:track:6y4BE3twhijMesAP6xinRb,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
8,0.542,0.733,6,-5.217,1,0.0598,0.00353,0.0689,0.0942,0.308,127.896,audio_features,1DNe0vmT2on7pU78ObcCsu,spotify:track:1DNe0vmT2on7pU78ObcCsu,https://api.spotify.com/v1/tracks/1DNe0vmT2on7pU78ObcCsu,https://api.spotify.com/v1/audio-analysis/1DNe0vmT2on7pU78ObcCsu,332040,4,Home - Jon's Big Bouncer Remix,spotify:track:1DNe0vmT2on7pU78ObcCsu,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
9,0.642,0.989,6,-5.082,0,0.0601,0.000999,0.00057,0.396,0.495,139.975,audio_features,4iuFRnstjDABJtblmDSyti,spotify:track:4iuFRnstjDABJtblmDSyti,https://api.spotify.com/v1/tracks/4iuFRnstjDABJtblmDSyti,https://api.spotify.com/v1/audio-analysis/4iuFRnstjDABJtblmDSyti,221133,4,Home - Elysium Remix,spotify:track:4iuFRnstjDABJtblmDSyti,Jon Campbell,5TPJDCD1FbqiuEcQhZQGu4
