,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.6,0.848,2,-3.865,1,0.0359,0.0891,0.0,0.0651,0.784,149.958,audio_features,37BFE3uxpCFBlv1sdMAHlc,spotify:track:37BFE3uxpCFBlv1sdMAHlc,https://api.spotify.com/v1/tracks/37BFE3uxpCFBlv1sdMAHlc,https://api.spotify.com/v1/audio-analysis/37BFE3uxpCFBlv1sdMAHlc,194737,4,Old Hat,spotify:track:37BFE3uxpCFBlv1sdMAHlc,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
1,0.62,0.791,9,-3.343,1,0.0265,0.0361,0.0,0.143,0.734,95.075,audio_features,5IbXLXhuGVd4EiOe1bSKQn,spotify:track:5IbXLXhuGVd4EiOe1bSKQn,https://api.spotify.com/v1/tracks/5IbXLXhuGVd4EiOe1bSKQn,https://api.spotify.com/v1/audio-analysis/5IbXLXhuGVd4EiOe1bSKQn,209110,4,Heartache Medication,spotify:track:5IbXLXhuGVd4EiOe1bSKQn,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
2,0.644,0.849,7,-3.652,1,0.0346,0.0345,0.0,0.155,0.824,97.962,audio_features,78e1sXDMCKOKS4i0nMIySc,spotify:track:78e1sXDMCKOKS4i0nMIySc,https://api.spotify.com/v1/tracks/78e1sXDMCKOKS4i0nMIySc,https://api.spotify.com/v1/audio-analysis/78e1sXDMCKOKS4i0nMIySc,209477,4,Nobody Leaves A Girl Like That,spotify:track:78e1sXDMCKOKS4i0nMIySc,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
3,0.539,0.837,9,-3.458,1,0.0385,0.0094,0.0,0.262,0.554,151.913,audio_features,0IltSq80UORoGHZhZfwme4,spotify:track:0IltSq80UORoGHZhZfwme4,https://api.spotify.com/v1/tracks/0IltSq80UORoGHZhZfwme4,https://api.spotify.com/v1/audio-analysis/0IltSq80UORoGHZhZfwme4,220881,4,Ain't Always The Cowboy,spotify:track:0IltSq80UORoGHZhZfwme4,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
4,0.384,0.958,9,-3.018,1,0.0598,0.0219,3.15e-05,0.272,0.749,107.05,audio_features,6RDCNdJP5LzpxXJfb06EuG,spotify:track:6RDCNdJP5LzpxXJfb06EuG,https://api.spotify.com/v1/tracks/6RDCNdJP5LzpxXJfb06EuG,https://api.spotify.com/v1/audio-analysis/6RDCNdJP5LzpxXJfb06EuG,291619,4,Me And Jack,spotify:track:6RDCNdJP5LzpxXJfb06EuG,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
5,0.591,0.577,1,-7.493,1,0.0269,0.396,1.77e-06,0.116,0.513,80.034,audio_features,0O09mKxqAYIFunjLt5763x,spotify:track:0O09mKxqAYIFunjLt5763x,https://api.spotify.com/v1/tracks/0O09mKxqAYIFunjLt5763x,https://api.spotify.com/v1/audio-analysis/0O09mKxqAYIFunjLt5763x,222984,4,Don't Blame It On Whiskey,spotify:track:0O09mKxqAYIFunjLt5763x,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
6,0.452,0.9,2,-2.686,1,0.0893,0.0303,0.0,0.203,0.565,180.04,audio_features,2wZC4ZjS3sQDAeMyPZnB0U,spotify:track:2wZC4ZjS3sQDAeMyPZnB0U,https://api.spotify.com/v1/tracks/2wZC4ZjS3sQDAeMyPZnB0U,https://api.spotify.com/v1/audio-analysis/2wZC4ZjS3sQDAeMyPZnB0U,185191,4,Tied One On,spotify:track:2wZC4ZjS3sQDAeMyPZnB0U,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
7,0.595,0.715,11,-5.001,0,0.0668,0.0468,1.74e-05,0.114,0.833,176.128,audio_features,7nqMGgdXIhXxasTirCzBbp,spotify:track:7nqMGgdXIhXxasTirCzBbp,https://api.spotify.com/v1/tracks/7nqMGgdXIhXxasTirCzBbp,https://api.spotify.com/v1/audio-analysis/7nqMGgdXIhXxasTirCzBbp,229345,4,Oughta Know That,spotify:track:7nqMGgdXIhXxasTirCzBbp,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
8,0.757,0.705,2,-5.084,1,0.0252,0.0375,6.28e-06,0.114,0.855,104.969,audio_features,1MGBsprDexJRUpKAVgzJqv,spotify:track:1MGBsprDexJRUpKAVgzJqv,https://api.spotify.com/v1/tracks/1MGBsprDexJRUpKAVgzJqv,https://api.spotify.com/v1/audio-analysis/1MGBsprDexJRUpKAVgzJqv,207161,4,Tequila Little Time,spotify:track:1MGBsprDexJRUpKAVgzJqv,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
9,0.536,0.79,11,-3.587,1,0.0314,0.0651,9.35e-05,0.109,0.964,201.949,audio_features,5MruFTDdaDVJvpg5h7ulAQ,spotify:track:5MruFTDdaDVJvpg5h7ulAQ,https://api.spotify.com/v1/tracks/5MruFTDdaDVJvpg5h7ulAQ,https://api.spotify.com/v1/audio-analysis/5MruFTDdaDVJvpg5h7ulAQ,195694,4,Buy That Man A Beer,spotify:track:5MruFTDdaDVJvpg5h7ulAQ,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN
