,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.199,0.953,4,-8.424,1,0.0805,0.0464,1.13e-06,0.966,0.0592,134.989,audio_features,5hOTK9h0qcTcGpSnfJacAx,spotify:track:5hOTK9h0qcTcGpSnfJacAx,https://api.spotify.com/v1/tracks/5hOTK9h0qcTcGpSnfJacAx,https://api.spotify.com/v1/audio-analysis/5hOTK9h0qcTcGpSnfJacAx,382261,4,Escape - Live,spotify:track:5hOTK9h0qcTcGpSnfJacAx,Journey,0rvjqX7ttXeg3mTy8Xscbt
1,0.144,0.971,9,-9.117,1,0.0981,0.0102,1.15e-06,0.949,0.0445,156.774,audio_features,4vwqhhfCn9CawrikEn1P0R,spotify:track:4vwqhhfCn9CawrikEn1P0R,https://api.spotify.com/v1/tracks/4vwqhhfCn9CawrikEn1P0R,https://api.spotify.com/v1/audio-analysis/4vwqhhfCn9CawrikEn1P0R,208268,4,Where Were You - Live,spotify:track:4vwqhhfCn9CawrikEn1P0R,Journey,0rvjqX7ttXeg3mTy8Xscbt
2,0.185,0.989,0,-8.439,1,0.21,0.0684,1.58e-06,0.979,0.036,88.071,audio_features,4NU6ETkLW8KDP2DfkrWbDi,spotify:track:4NU6ETkLW8KDP2DfkrWbDi,https://api.spotify.com/v1/tracks/4NU6ETkLW8KDP2DfkrWbDi,https://api.spotify.com/v1/audio-analysis/4NU6ETkLW8KDP2DfkrWbDi,256785,4,Line Of Fire - Live,spotify:track:4NU6ETkLW8KDP2DfkrWbDi,Journey,0rvjqX7ttXeg3mTy8Xscbt
3,0.32,0.846,4,-8.829,1,0.0707,0.229,0.0,0.906,0.178,123.342,audio_features,712ILUsyC3ZcKNcTT73k2V,spotify:track:712ILUsyC3ZcKNcTT73k2V,https://api.spotify.com/v1/tracks/712ILUsyC3ZcKNcTT73k2V,https://api.spotify.com/v1/audio-analysis/712ILUsyC3ZcKNcTT73k2V,249665,4,Don't Stop Believing - Live,spotify:track:712ILUsyC3ZcKNcTT73k2V,Journey,0rvjqX7ttXeg3mTy8Xscbt
4,0.0822,0.928,2,-9.021,1,0.116,0.0181,1.81e-06,0.899,0.0439,171.468,audio_features,021OJNW0IVFmJWfVHND7PU,spotify:track:021OJNW0IVFmJWfVHND7PU,https://api.spotify.com/v1/tracks/021OJNW0IVFmJWfVHND7PU,https://api.spotify.com/v1/audio-analysis/021OJNW0IVFmJWfVHND7PU,589166,4,Stone In Love / Keep On Running - Live,spotify:track:021OJNW0IVFmJWfVHND7PU,Journey,0rvjqX7ttXeg3mTy8Xscbt
5,0.169,0.661,7,-9.413,1,0.0541,0.135,0.0,0.98,0.357,113.875,audio_features,4Fw5cmWeHlkqeSs8BMRQrJ,spotify:track:4Fw5cmWeHlkqeSs8BMRQrJ,https://api.spotify.com/v1/tracks/4Fw5cmWeHlkqeSs8BMRQrJ,https://api.spotify.com/v1/audio-analysis/4Fw5cmWeHlkqeSs8BMRQrJ,318671,3,Lights / Stay Awhile - Live,spotify:track:4Fw5cmWeHlkqeSs8BMRQrJ,Journey,0rvjqX7ttXeg3mTy8Xscbt
6,0.17,0.929,0,-9.072,1,0.0898,0.0469,1.17e-05,0.993,0.149,124.134,audio_features,3QLvMm6KfogSU8MlrV93XP,spotify:track:3QLvMm6KfogSU8MlrV93XP,https://api.spotify.com/v1/tracks/3QLvMm6KfogSU8MlrV93XP,https://api.spotify.com/v1/audio-analysis/3QLvMm6KfogSU8MlrV93XP,501185,4,Do You Recall / Loving You Is Easy - Live,spotify:track:3QLvMm6KfogSU8MlrV93XP,Journey,0rvjqX7ttXeg3mTy8Xscbt
7,0.354,0.953,11,-11.268,0,0.126,0.000353,0.829,0.98,0.116,97.162,audio_features,4nJlTBWX5QT7Bs4hGTlL4n,spotify:track:4nJlTBWX5QT7Bs4hGTlL4n,https://api.spotify.com/v1/tracks/4nJlTBWX5QT7Bs4hGTlL4n,https://api.spotify.com/v1/audio-analysis/4nJlTBWX5QT7Bs4hGTlL4n,264928,4,Drum Solo - Live,spotify:track:4nJlTBWX5QT7Bs4hGTlL4n,Journey,0rvjqX7ttXeg3mTy8Xscbt
8,0.193,0.941,9,-9.576,1,0.0652,0.00147,0.0199,0.456,0.103,90.689,audio_features,4dmhLt72G0ta8reawBr8c9,spotify:track:4dmhLt72G0ta8reawBr8c9,https://api.spotify.com/v1/tracks/4dmhLt72G0ta8reawBr8c9,https://api.spotify.com/v1/audio-analysis/4dmhLt72G0ta8reawBr8c9,240764,4,Too Far Gone - Live,spotify:track:4dmhLt72G0ta8reawBr8c9,Journey,0rvjqX7ttXeg3mTy8Xscbt
9,0.133,0.656,7,-8.035,1,0.0639,0.256,1.29e-06,0.957,0.144,143.27,audio_features,3grqdFf942oaEnzWyRLwU4,spotify:track:3grqdFf942oaEnzWyRLwU4,https://api.spotify.com/v1/tracks/3grqdFf942oaEnzWyRLwU4,https://api.spotify.com/v1/audio-analysis/3grqdFf942oaEnzWyRLwU4,299431,4,Too Late - Live,spotify:track:3grqdFf942oaEnzWyRLwU4,Journey,0rvjqX7ttXeg3mTy8Xscbt
